Time,Meg
19:30:47:004,59.7386
19:30:47:052,62.257
19:30:47:071,61.5525
19:30:47:089,61.6897
19:30:47:113,59.7012
19:30:47:141,61.5186
19:30:47:150,62.0702
19:30:47:167,60.3443
19:30:47:185,57.809
19:30:47:204,60.4586
19:30:47:223,62.8269
19:30:47:251,59.3857
19:30:47:264,60.8794
19:30:47:282,59.5093
19:30:47:300,60.5625
19:30:47:319,59.0768
19:30:47:340,60.1488
19:30:47:361,60.8811
19:30:47:379,61.9777
19:30:47:401,60.9462
19:30:47:419,60.35
19:30:47:439,60.6109
19:30:47:462,61.1534
19:30:47:479,61.1534
19:30:47:499,60.8499
19:30:47:519,61.0949
19:30:47:539,61.7096
19:30:47:561,62.7497
19:30:47:584,61.4425
19:30:47:602,61.6475
19:30:47:619,63.1806
19:30:47:639,61.7894
19:30:47:660,62.4479
19:30:47:679,63.4018
19:30:47:700,63.7642
19:30:47:719,62.6944
19:30:47:739,60.2911
19:30:47:765,60.3587
19:30:47:780,60.2101
19:30:47:799,61.5997
19:30:47:819,61.3994
19:30:47:839,63.1339
19:30:47:859,61.3631
19:30:47:879,62.6837
19:30:47:900,62.2469
19:30:47:919,62.5392
19:30:47:938,62.4337
19:30:47:958,62.2469
19:30:47:979,63.1522
19:30:47:999,62.1116
19:30:48:022,62.8738
19:30:48:041,62.9856
19:30:48:061,63.2743
19:30:48:079,63.1339
19:30:48:099,62.5421
19:30:48:118,62.8416
19:30:48:141,62.0525
19:30:48:159,62.5844
19:30:48:178,61.861
19:30:48:198,62.5528
19:30:48:219,62.6584
19:30:48:239,63.2424
19:30:48:263,65.386
19:30:48:282,64.3689
19:30:48:299,63.8323
19:30:48:318,63.8739
19:30:48:339,64.4512
19:30:48:358,63.9263
19:30:48:378,63.7689
19:30:48:398,64.6208
19:30:48:419,63.5607
19:30:48:441,62.0621
19:30:48:462,64.8224
19:30:48:479,64.2071
19:30:48:498,64.7101
19:30:48:518,63.4659
19:30:48:538,63.0265
19:30:48:562,62.4109
19:30:48:580,62.6889
19:30:48:598,62.7088
19:30:48:618,64.3178
19:30:48:639,64.0883
19:30:48:659,63.3922
19:30:48:679,62.1362
19:30:48:698,61.961
19:30:48:718,61.1793
19:30:48:739,61.1792
19:30:48:758,61.1792
19:30:48:779,61.1793
19:30:48:798,63.0169
19:30:48:818,61.8949
19:30:48:838,62.0621
19:30:48:858,62.1689
19:30:48:878,61.6795
19:30:48:898,62.5492
19:30:48:918,62.2085
19:30:48:939,60.6895
19:30:48:958,61.6476
19:30:49:052,63.4436
19:30:49:052,61.8469
