Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
16:33:45:434,473,-86.0,477,,124,
16:33:47:506,473,-85.0,477,,124,
16:33:49:403,473,-86.0,477,,124,
16:33:51:404,473,-83.0,477,,124,
16:33:53:402,473,-88.0,477,,124,
16:33:55:404,473,-84.0,477,,124,
16:33:57:398,473,-84.0,477,,124,
16:33:59:396,473,-79.0,477,,124,
16:34:01:401,473,-85.0,477,,124,
16:34:03:395,473,-81.0,477,,124,
16:34:05:400,473,-87.0,477,,124,
16:34:07:393,473,-87.0,477,,124,
16:34:09:409,473,-81.0,477,,124,
16:34:11:392,473,-75.0,477,,124,
16:34:13:408,473,-79.0,477,,124,
16:34:15:394,473,-79.0,477,,124,
16:34:17:391,473,-82.0,477,,124,
16:34:19:389,473,-82.0,477,,124,
16:34:21:392,473,-80.0,477,,124,
16:34:23:426,473,-79.0,477,,124,
16:34:25:387,473,-74.0,477,,124,
16:34:27:388,473,-82.0,477,,124,
16:34:29:394,473,-82.0,477,,124,
16:34:31:380,473,-86.0,477,,124,
16:34:33:380,473,-91.0,477,,124,
16:34:35:377,473,-95.0,477,,124,
16:34:37:376,473,-100.0,477,,124,
16:34:39:378,473,-101.0,477,,124,
16:34:41:376,473,-88.0,477,,124,
16:34:43:375,473,-93.0,477,,124,
16:34:45:373,473,-93.0,477,,124,
16:34:47:371,473,-92.0,477,,124,
16:34:49:371,473,-82.0,477,,124,
16:34:51:369,473,-90.0,477,,124,
16:34:53:372,473,-92.0,477,,124,
16:34:55:380,473,-98.0,477,,124,
16:34:57:374,473,-99.0,477,,124,
16:34:59:456,473,-98.0,477,,124,
16:35:01:368,473,-92.0,477,-109.0,124,
16:35:03:367,473,-93.0,477,-103.0,124,
16:35:05:363,473,-101.0,477,-108.0,124,
16:35:07:362,473,-105.0,477,-101.0,124,
16:35:09:366,473,-107.0,477,-101.0,124,
16:35:11:364,473,-116.0,477,-97.0,124,
16:35:13:359,473,-105.0,477,-100.0,124,
16:35:15:359,473,-103.0,477,-95.0,124,
16:35:17:357,473,-98.0,477,-100.0,124,
16:35:19:362,473,-96.0,477,-95.0,124,
16:35:21:353,473,-95.0,477,-99.0,124,
16:35:23:351,473,-97.0,477,-102.0,124,
16:35:25:352,473,-97.0,477,-100.0,124,
16:35:27:349,473,-95.0,477,-104.0,124,
16:35:29:348,473,-89.0,477,-105.0,124,
16:35:31:351,473,-81.0,477,-105.0,124,
16:35:33:347,473,-83.0,477,-97.0,124,
16:35:35:344,473,-79.0,477,-99.0,124,
16:35:37:349,473,-80.0,477,-96.0,124,
16:35:39:344,473,-95.0,477,-97.0,124,
16:35:41:343,473,-96.0,477,-89.0,124,
16:35:43:340,473,-99.0,477,-91.0,124,
16:35:45:342,473,-109.0,477,-92.0,124,
16:35:47:344,473,-99.0,477,-86.0,124,
16:35:49:338,473,-102.0,477,-85.0,124,
16:35:51:346,473,-102.0,477,-86.0,124,
16:35:53:334,473,-101.0,477,-82.0,124,
16:35:55:336,473,-101.0,477,-73.0,124,
16:35:57:333,473,-101.0,477,-71.0,124,
16:35:59:336,473,-101.0,477,-71.0,124,
16:36:01:331,473,-101.0,477,-73.0,124,
16:36:03:332,473,-101.0,477,-83.0,124,
16:36:05:328,473,-101.0,477,-82.0,124,
16:36:07:334,473,-101.0,477,-85.0,124,
16:36:09:325,473,-101.0,477,-76.0,124,
16:36:11:325,473,-101.0,477,-75.0,124,
16:36:13:324,473,-101.0,477,-80.0,124,
16:36:15:323,473,,477,-83.0,124,
16:36:17:325,473,,477,-78.0,124,
16:36:19:322,473,,477,-73.0,124,
16:36:21:319,473,,477,-77.0,124,
16:36:23:317,473,,477,-78.0,124,
16:36:25:325,473,,477,-84.0,124,
16:36:27:319,473,-97.0,477,-85.0,124,
16:36:29:324,473,-91.0,477,-86.0,124,
16:36:31:315,473,-87.0,477,-91.0,124,
16:36:33:328,473,-92.0,477,-88.0,124,
16:36:35:313,473,-86.0,477,-87.0,124,
16:36:37:313,473,-95.0,477,-88.0,124,
16:36:39:312,473,-91.0,477,-90.0,124,
16:36:41:313,473,-98.0,477,-90.0,124,
16:36:43:308,473,-106.0,477,-90.0,124,
16:36:45:309,473,-103.0,477,-90.0,124,
16:36:47:307,473,-106.0,477,-88.0,124,
16:36:49:406,473,-106.0,477,-95.0,124,
16:36:51:304,473,-106.0,477,-95.0,124,
16:36:53:303,473,-116.0,477,-93.0,124,
16:36:55:303,473,-109.0,477,-91.0,124,
16:36:57:304,473,-112.0,477,-91.0,124,
16:36:59:298,473,-96.0,477,-79.0,124,
16:37:01:297,473,-98.0,477,-83.0,124,
16:37:03:300,473,-101.0,477,-81.0,124,
16:37:05:311,473,-101.0,477,-81.0,124,
16:37:07:294,473,,477,-87.0,124,
