Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
19:51:35:204,473,-85.0,477,,124,
19:51:37:332,473,-89.0,477,,124,
19:51:39:208,473,-87.0,477,,124,
19:51:41:210,473,-86.0,477,,124,
19:51:43:216,473,-84.0,477,,124,
19:51:45:210,473,-90.0,477,,124,
19:51:47:209,473,-90.0,477,,124,
19:51:49:206,473,-78.0,477,,124,
19:51:51:209,473,-89.0,477,,124,
19:51:53:213,473,-83.0,477,,124,
19:51:55:208,473,-86.0,477,,124,
19:51:57:212,473,-90.0,477,,124,
19:51:59:201,473,-87.0,477,,124,
19:52:01:208,473,-86.0,477,,124,
19:52:03:199,473,-79.0,477,,124,
19:52:05:198,473,-74.0,477,,124,
19:52:07:205,473,-73.0,477,,124,
19:52:09:197,473,-83.0,477,,124,
19:52:11:198,473,-88.0,477,,124,
19:52:13:194,473,-85.0,477,,124,
19:52:15:202,473,-83.0,477,,124,
19:52:17:251,473,-81.0,477,,124,
19:52:19:190,473,-81.0,477,,124,
19:52:21:194,473,-85.0,477,,124,
19:52:23:192,473,-89.0,477,,124,
19:52:25:192,473,-91.0,477,,124,
19:52:27:191,473,-89.0,477,,124,
19:52:29:185,473,-98.0,477,,124,
19:52:31:190,473,-96.0,477,,124,
19:52:33:185,473,-100.0,477,,124,
19:52:35:183,473,-94.0,477,,124,
19:52:37:188,473,-94.0,477,,124,
19:52:39:181,473,-91.0,477,,124,
19:52:41:179,473,-96.0,477,,124,
19:52:43:177,473,-89.0,477,,124,
19:52:45:182,473,-90.0,477,,124,
19:52:47:185,473,-93.0,477,,124,
19:52:49:175,473,-96.0,477,,124,
19:52:51:173,473,-93.0,477,,124,
19:52:53:172,473,-97.0,477,,124,
19:52:55:176,473,-93.0,477,,124,
19:52:57:171,473,-96.0,477,-93.0,124,
19:52:59:169,473,-95.0,477,-103.0,124,
19:53:01:169,473,-100.0,477,-98.0,124,
19:53:03:175,473,-107.0,477,-103.0,124,
19:53:05:163,473,-108.0,477,-99.0,124,-132.0
19:53:07:166,473,-109.0,477,-99.0,124,-132.0
19:53:09:165,473,-99.0,477,-95.0,124,-132.0
19:53:11:163,473,-105.0,477,-95.0,124,-132.0
19:53:13:163,473,-102.0,477,-100.0,124,-132.0
19:53:15:161,473,-107.0,477,-98.0,124,-124.0
19:53:17:158,473,-95.0,477,-97.0,124,-124.0
19:53:19:158,473,-94.0,477,-97.0,124,-123.0
19:53:21:161,473,-98.0,477,-102.0,124,-123.0
19:53:23:153,473,-99.0,477,-102.0,124,-123.0
19:53:25:152,473,-91.0,477,-101.0,124,-123.0
19:53:27:163,473,-91.0,477,-97.0,124,-123.0
19:53:29:153,473,-90.0,477,-100.0,124,-123.0
19:53:31:158,473,-86.0,477,-101.0,124,-123.0
19:53:33:151,473,-86.0,477,-107.0,124,-123.0
19:53:35:151,473,-79.0,477,-94.0,124,-123.0
19:53:37:147,473,-88.0,477,-95.0,124,-123.0
19:53:39:193,473,-96.0,477,-104.0,124,-123.0
