Time,Meg
19:11:45:319,36.6996
19:11:45:339,42.4067
19:11:45:361,42.4322
19:11:45:382,42.728
19:11:45:401,42.7497
19:11:45:421,42.6502
19:11:45:441,42.6363
19:11:45:465,42.5408
19:11:45:481,42.5486
19:11:45:502,42.5993
19:11:45:521,42.7558
19:11:45:542,42.6009
19:11:45:561,42.5868
19:11:45:582,42.4837
19:11:45:606,42.479
19:11:45:622,42.3873
19:11:45:641,42.3343
19:11:45:661,42.2259
19:11:45:681,42.2384
19:11:45:701,42.0165
19:11:45:721,42.126
19:11:45:741,41.8708
19:11:45:761,41.8
19:11:45:781,41.8696
19:11:45:801,41.926
19:11:45:821,41.959
19:11:45:841,42.0709
19:11:45:865,41.826
19:11:45:881,41.6498
19:11:45:902,41.6967
19:11:45:921,41.6977
19:11:45:942,41.6187
19:11:45:961,41.5333
19:11:45:981,41.4933
19:11:46:001,41.619
19:11:46:021,41.4695
19:11:46:041,41.5569
19:11:46:061,41.586
19:11:46:081,41.6387
19:11:46:102,41.6043
19:11:46:121,41.898
19:11:46:141,41.7579
19:11:46:161,41.7681
19:11:46:181,41.7198
19:11:46:204,41.7826
19:11:46:221,41.9223
19:11:46:241,42.0505
19:11:46:261,41.9465
19:11:46:281,42.0827
19:11:46:301,42.1627
19:11:46:321,42.2333
19:11:46:341,42.2758
19:11:46:361,42.3225
19:11:46:381,42.5662
19:11:46:401,42.5646
19:11:46:422,42.7847
19:11:46:441,42.9743
19:11:46:461,43.2255
19:11:46:481,43.2423
19:11:46:502,43.5193
19:11:46:521,43.8291
19:11:46:541,43.975
19:11:46:561,44.1521
19:11:46:582,44.4405
19:11:46:601,44.5415
19:11:46:621,44.67
19:11:46:641,44.7899
19:11:46:661,45.0059
19:11:46:681,45.2898
19:11:46:701,45.4275
19:11:46:722,45.4934
19:11:46:742,45.8114
19:11:46:761,45.7955
19:11:46:781,45.7629
19:11:46:801,45.9383
19:11:46:822,46.222
19:11:46:841,46.2854
19:11:46:863,46.292
19:11:46:881,46.3167
19:11:46:905,46.354
19:11:46:921,46.1972
19:11:46:941,46.3284
19:11:46:961,46.4224
19:11:46:981,46.2576
19:11:47:001,46.0386
19:11:47:021,45.7523
19:11:47:041,45.5805
19:11:47:062,45.4186
19:11:47:081,45.2742
19:11:47:101,45.2964
19:11:47:121,45.1646
19:11:47:142,45.1018
19:11:47:161,45.0932
19:11:47:181,45.113
19:11:47:201,45.1385
19:11:47:222,45.1479
19:11:47:241,45.085
19:11:47:261,45.1572
19:11:47:281,45.2857
19:11:47:353,45.4898
19:11:47:358,45.5929
19:11:47:359,45.6383
19:11:47:366,45.5124
19:11:47:381,45.6428
19:11:47:401,45.7446
19:11:47:421,45.7974
19:11:47:441,45.8644
19:11:47:461,45.6147
19:11:47:481,45.5791
19:11:47:501,45.464
19:11:47:521,45.5695
19:11:47:542,45.7201
19:11:47:561,45.8123
19:11:47:581,46.0834
19:11:47:602,46.2382
19:11:47:622,46.1522
19:11:47:641,46.2511
19:11:47:661,46.5199
19:11:47:681,46.7972
19:11:47:702,46.9539
19:11:47:722,47.0903
19:11:47:741,47.2886
19:11:47:761,47.6431
19:11:47:782,48.1179
19:11:47:801,48.8023
19:11:47:821,49.3685
19:11:47:841,49.6459
19:11:47:861,50.0297
19:11:47:881,50.4652
19:11:47:901,50.8276
19:11:47:921,51.2401
19:11:47:942,51.5441
19:11:47:961,51.8921
19:11:47:981,52.0475
19:11:48:001,52.2513
19:11:48:024,52.5966
19:11:48:041,52.7975
19:11:48:061,52.9956
19:11:48:081,53.3594
19:11:48:102,53.7862
19:11:48:122,54.0013
19:11:48:141,54.0708
19:11:48:161,54.1857
19:11:48:182,54.4045
19:11:48:201,54.7371
19:11:48:224,54.9014
19:11:48:241,55.2046
19:11:48:262,55.5306
19:11:48:281,55.5064
19:11:48:302,55.5395
19:11:48:323,55.6676
19:11:48:342,55.8013
19:11:48:361,56.033
19:11:48:381,55.9551
19:11:48:401,56.1417
19:11:48:424,56.2675
19:11:48:441,56.2128
19:11:48:461,56.3565
19:11:48:481,56.6277
19:11:48:502,57.0394
19:11:48:524,57.4517
19:11:48:542,57.5083
19:11:48:561,58.0684
19:11:48:582,58.3824
19:11:48:601,58.8014
19:11:48:621,58.953
19:11:48:642,59.2914
19:11:48:662,59.5418
19:11:48:681,59.5327
19:11:48:701,59.5958
19:11:48:724,59.9598
19:11:48:742,59.8172
19:11:48:761,59.8406
19:11:48:783,59.6446
19:11:48:802,59.8228
19:11:48:823,59.8093
19:11:48:841,59.7614
19:11:48:861,59.8945
19:11:48:881,59.9617
19:11:48:902,60.0145
19:11:48:922,60.1816
19:11:48:942,60.2662
19:11:48:961,60.5726
19:11:48:982,60.8188
19:11:49:002,60.8743
19:11:49:024,60.957
19:11:49:041,60.9927
19:11:49:062,61.0286
19:11:49:081,61.1635
19:11:49:101,61.3089
19:11:49:121,61.5594
19:11:49:142,61.6228
19:11:49:161,61.7382
19:11:49:181,62.0216
19:11:49:201,62.2001
19:11:49:222,62.3469
19:11:49:242,62.6746
19:11:49:261,62.6285
19:11:49:281,62.6105
19:11:49:302,62.5435
19:11:49:321,62.4968
19:11:49:341,62.6209
19:11:49:415,62.6542
19:11:49:416,62.8215
19:11:49:416,62.793
19:11:49:421,62.7882
19:11:49:441,63.0767
19:11:49:462,63.2548
19:11:49:481,63.462
19:11:49:501,63.4325
19:11:49:521,63.3153
19:11:49:542,63.1715
19:11:49:561,62.9889
19:11:49:581,63.0784
19:11:49:601,62.8829
19:11:49:625,62.6106
19:11:49:641,62.481
19:11:49:661,62.2739
19:11:49:681,62.3491
19:11:49:703,62.212
19:11:49:721,62.3172
19:11:49:741,62.3388
19:11:49:761,62.4097
19:11:49:782,62.6061
19:11:49:802,62.7036
19:11:49:821,62.488
19:11:49:841,62.4478
19:11:49:862,62.4114
19:11:49:881,62.5031
19:11:49:901,62.1418
19:11:49:921,61.975
19:11:49:942,61.6746
19:11:49:961,61.3418
19:11:49:981,60.884
19:11:50:001,60.6498
19:11:50:021,60.3462
19:11:50:041,59.5893
19:11:50:061,59.2432
19:11:50:081,58.9979
19:11:50:102,58.5693
19:11:50:121,58.1292
19:11:50:141,57.6743
19:11:50:161,57.4194
19:11:50:182,57.1788
19:11:50:201,56.8338
19:11:50:221,56.5551
19:11:50:241,56.1828
19:11:50:262,55.7846
19:11:50:281,55.3905
19:11:50:301,55.4066
19:11:50:321,55.1752
19:11:50:342,55.2644
19:11:50:361,55.0716
19:11:50:381,54.8867
19:11:50:402,55.3004
19:11:50:422,55.2475
19:11:50:441,55.3949
19:11:50:461,55.5573
19:11:50:481,55.2612
19:11:50:502,55.345
19:11:50:521,55.2588
19:11:50:541,55.2828
19:11:50:561,55.3015
19:11:50:582,55.2077
19:11:50:601,55.0426
19:11:50:622,55.1232
19:11:50:641,54.9813
19:11:50:661,55.0143
19:11:50:681,55.0838
19:11:50:701,55.2609
