Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
19:05:52:958,296,-66.0,297,,298,
19:05:54:973,296,-62.0,297,,298,
19:05:56:960,296,-64.0,297,,298,
19:05:58:960,296,-65.0,297,,298,
19:06:00:960,296,-59.0,297,,298,
19:06:02:960,296,-62.0,297,,298,
19:06:04:960,296,-64.0,297,,298,
19:06:06:960,296,-63.0,297,,298,
19:06:08:960,296,-68.0,297,,298,
19:06:10:960,296,-68.0,297,,298,
19:06:12:960,296,-65.0,297,,298,
19:06:14:964,296,-76.0,297,,298,
19:06:16:959,296,-71.0,297,,298,
19:06:18:959,296,-69.0,297,,298,
19:06:20:960,296,-73.0,297,,298,
19:06:22:959,296,-72.0,297,,298,
19:06:24:960,296,-69.0,297,,298,
19:06:26:960,296,-79.0,297,,298,
19:06:28:959,296,-68.0,297,,298,
19:06:30:959,296,-75.0,297,,298,
19:06:32:959,296,-78.0,297,,298,
19:06:34:960,296,-76.0,297,,298,-86.0
19:06:36:960,296,-73.0,297,,298,-91.0
19:06:38:960,296,-76.0,297,,298,-92.0
19:06:40:959,296,-71.0,297,,298,-88.0
19:06:42:959,296,-75.0,297,,298,-94.0
19:06:44:961,296,-79.0,297,,298,-95.0
19:06:46:960,296,-76.0,297,,298,-91.0
19:06:48:959,296,-81.0,297,,298,-93.0
19:06:50:959,296,-86.0,297,,298,-88.0
19:06:52:959,296,-86.0,297,,298,-81.0
19:06:54:960,296,-87.0,297,,298,-83.0
19:06:56:960,296,-82.0,297,,298,-89.0
19:06:58:959,296,-76.0,297,,298,-86.0
19:07:00:959,296,-81.0,297,,298,-91.0
19:07:02:959,296,-82.0,297,,298,-91.0
19:07:04:978,296,-70.0,297,,298,-92.0
19:07:06:959,296,-77.0,297,,298,-87.0
19:07:08:959,296,-81.0,297,,298,-87.0
19:07:10:960,296,-83.0,297,,298,-82.0
19:07:12:959,296,-84.0,297,,298,-83.0
19:07:14:960,296,-81.0,297,,298,-70.0
19:07:16:960,296,-82.0,297,,298,-80.0
19:07:18:959,296,-83.0,297,,298,-82.0
19:07:20:959,296,-82.0,297,,298,-80.0
19:07:22:959,296,-87.0,297,,298,-89.0
19:07:24:960,296,-80.0,297,,298,-92.0
19:07:26:960,296,-88.0,297,,298,-85.0
19:07:28:960,296,-88.0,297,,298,-88.0
19:07:30:961,296,-91.0,297,,298,-88.0
19:07:32:960,296,-94.0,297,,298,-97.0
19:07:34:960,296,-86.0,297,,298,-93.0
19:07:36:960,296,-86.0,297,,298,-94.0
19:07:38:963,296,-88.0,297,,298,-99.0
19:07:40:962,296,-86.0,297,,298,-95.0
19:07:42:959,296,-99.0,297,,298,-101.0
19:07:44:960,296,-95.0,297,,298,-98.0
19:07:46:959,296,-100.0,297,,298,-98.0
19:07:48:959,296,-100.0,297,,298,-102.0
19:07:50:959,296,-90.0,297,-105.0,298,-101.0
19:07:52:960,296,-98.0,297,-107.0,298,-106.0
19:07:54:960,296,-99.0,297,-104.0,298,-108.0
19:07:56:959,296,-95.0,297,-106.0,298,-108.0
19:07:58:959,296,-85.0,297,-101.0,298,-102.0
19:08:00:961,296,-84.0,297,-95.0,298,-101.0
19:08:02:960,296,-86.0,297,-96.0,298,-97.0
19:08:04:960,296,-84.0,297,-95.0,298,-96.0
19:08:06:959,296,-88.0,297,-102.0,298,-109.0
19:08:08:959,296,-82.0,297,-101.0,298,-114.0
19:08:10:959,296,-83.0,297,-97.0,298,-111.0
19:08:12:960,296,-78.0,297,-101.0,298,-121.0
19:08:14:959,296,-84.0,297,-99.0,298,-101.0
19:08:16:991,296,-92.0,297,-107.0,298,-140.0
19:08:18:960,296,-88.0,297,-103.0,298,-107.0
19:08:20:960,296,-88.0,297,-109.0,298,-108.0
19:08:22:960,296,-81.0,297,-95.0,298,-140.0
19:08:24:960,296,-83.0,297,-107.0,298,-140.0
19:08:26:959,296,-86.0,297,-95.0,298,-140.0
19:08:28:960,296,-82.0,297,,298,
19:08:30:959,296,-85.0,297,,298,
19:08:32:959,296,-81.0,297,,298,
19:08:34:959,296,-81.0,297,,298,
19:08:36:959,296,-83.0,297,,298,
19:08:38:960,296,-91.0,297,,298,
19:08:40:960,296,-89.0,297,,298,
19:08:42:960,296,-93.0,297,,298,
19:08:44:960,296,-97.0,297,,298,
19:08:46:959,296,-94.0,297,-82.0,298,
19:08:48:959,296,-92.0,297,-91.0,298,
19:08:50:959,296,-91.0,297,-82.0,298,
19:08:52:960,296,-91.0,297,-83.0,298,
19:08:54:959,296,-90.0,297,-78.0,298,
19:08:56:960,296,-96.0,297,-81.0,298,
19:08:58:960,296,-102.0,297,-83.0,298,
19:09:00:960,296,-140.0,297,-89.0,298,
19:09:02:960,296,-109.0,297,-78.0,298,
19:09:04:960,296,-100.0,297,-82.0,298,
19:09:06:960,296,-104.0,297,-84.0,298,
