Time,Meg
14:23:35:172,34.7192
14:23:35:193,34.8423
14:23:35:211,35.1786
14:23:35:231,35.3247
14:23:35:249,35.6265
14:23:35:273,35.8216
14:23:35:289,36.4115
14:23:35:308,36.7838
14:23:35:326,37.4484
14:23:35:345,38.1285
14:23:35:365,38.5994
14:23:35:384,38.8401
14:23:35:407,38.8737
14:23:35:423,39.384
14:23:35:442,39.3106
14:23:35:462,39.3547
14:23:35:480,39.3877
14:23:35:499,39.2738
14:23:35:523,39.467
14:23:35:540,39.4465
14:23:35:557,39.6312
14:23:35:576,39.5702
14:23:35:595,39.5445
14:23:35:614,39.3315
14:23:35:634,39.1066
14:23:35:655,38.8588
14:23:35:674,38.37
14:23:35:693,37.7914
14:23:35:713,37.1642
14:23:35:732,36.3155
14:23:35:753,35.8625
14:23:35:774,35.4224
14:23:35:793,34.992
14:23:35:813,34.7168
14:23:35:834,34.1458
14:23:35:852,34.1423
14:23:35:875,34.2333
14:23:35:893,34.7763
14:23:35:913,35.2595
14:23:35:934,35.9052
14:23:35:953,36.624
14:23:35:976,37.366
14:23:35:993,38.3648
14:23:36:016,39.312
14:23:36:033,39.7253
14:23:36:054,40.4282
14:23:36:076,40.855
14:23:36:095,41.5196
14:23:36:116,42.2471
14:23:36:134,42.8418
14:23:36:155,43.8758
14:23:36:178,44.6535
14:23:36:194,45.8246
14:23:36:215,46.9463
14:23:36:233,48.413
14:23:36:253,49.6374
14:23:36:277,50.5962
14:23:36:292,51.6172
14:23:36:314,52.1179
14:23:36:333,52.7808
14:23:36:353,53.3005
14:23:36:378,53.6104
14:23:36:393,53.7525
14:23:36:416,53.9316
14:23:36:433,53.9647
14:23:36:453,53.7222
14:23:36:479,53.4915
14:23:36:494,53.3356
14:23:36:515,53.4425
14:23:36:534,53.1915
14:23:36:554,53.3355
14:23:36:578,53.082
14:23:36:595,53.1796
14:23:36:617,53.1876
14:23:36:633,53.2742
14:23:36:654,53.078
14:23:36:676,52.7554
14:23:36:695,52.5147
14:23:36:715,51.733
14:23:36:733,51.174
14:23:36:752,50.5565
14:23:36:778,49.904
14:23:36:794,49.0211
14:23:36:814,48.0171
14:23:36:834,46.6581
14:23:36:853,44.9724
14:23:36:878,43.5287
14:23:36:893,42.0571
14:23:36:916,40.7349
14:23:36:933,39.7061
14:23:36:954,38.7743
14:23:36:979,38.1203
14:23:37:049,37.777
14:23:37:049,37.7511
14:23:37:050,37.5967
14:23:37:059,37.635
14:23:37:075,37.6043
14:23:37:092,37.4004
14:23:37:113,37.482
14:23:37:132,37.1558
14:23:37:153,36.8347
14:23:37:174,36.224
14:23:37:194,35.6783
14:23:37:214,35.2229
14:23:37:233,34.862
14:23:37:253,34.547
14:23:37:275,34.0886
14:23:37:293,33.8408
14:23:37:313,33.7405
14:23:37:333,33.6115
14:23:37:353,33.462
14:23:37:375,33.1488
14:23:37:393,32.7154
14:23:37:414,32.2586
14:23:37:433,31.732
14:23:37:452,31.1839
14:23:37:474,30.4716
14:23:37:492,30.1344
14:23:37:513,29.6041
14:23:37:532,29.1579
14:23:37:552,28.9195
14:23:37:574,28.8589
14:23:37:593,28.899
14:23:37:613,28.9126
14:23:37:633,28.8738
14:23:37:653,28.7063
14:23:37:675,28.7383
14:23:37:694,28.7392
14:23:37:713,28.4342
14:23:37:733,28.1482
14:23:37:752,27.8256
14:23:37:776,27.5229
14:23:37:793,27.2627
14:23:37:815,27.1933
14:23:37:834,26.803
14:23:37:852,26.5217
14:23:37:879,26.3923
14:23:37:893,26.1741
14:23:37:916,25.7384
14:23:37:934,25.6979
14:23:37:954,25.8042
14:23:37:979,25.666
14:23:37:993,25.7739
14:23:38:015,25.9856
14:23:38:033,25.8944
14:23:38:053,25.9033
14:23:38:075,25.8422
14:23:38:094,25.7658
14:23:38:116,25.5765
14:23:38:134,25.6422
14:23:38:153,25.8759
14:23:38:181,25.7368
14:23:38:195,25.847
14:23:38:216,25.8756
14:23:38:233,26.0939
14:23:38:253,26.215
14:23:38:279,26.1349
14:23:38:294,25.8979
14:23:38:315,25.6703
14:23:38:334,25.5086
14:23:38:353,25.2583
14:23:38:376,24.9632
14:23:38:396,24.6463
14:23:38:416,24.4195
14:23:38:434,24.1217
14:23:38:454,23.8174
14:23:38:477,23.5835
14:23:38:493,23.4182
14:23:38:515,23.1644
14:23:38:533,22.9078
14:23:38:553,22.7699
14:23:38:574,22.2968
14:23:38:594,21.7335
14:23:38:615,21.4638
14:23:38:633,20.8366
14:23:38:653,20.2848
14:23:38:679,19.8489
14:23:38:694,19.2987
14:23:38:718,18.8932
14:23:38:734,18.7662
14:23:38:754,18.9102
14:23:38:780,18.8226
14:23:38:800,18.9968
14:23:38:812,18.9683
14:23:38:834,18.8919
14:23:38:853,18.8899
14:23:38:876,18.8567
14:23:38:894,18.6802
14:23:38:915,18.5246
14:23:38:933,18.2419
14:23:38:953,17.4961
14:23:38:980,16.8876
14:23:38:993,16.3974
14:23:39:014,15.824
14:23:39:033,15.0493
14:23:39:110,14.4898
14:23:39:110,13.8132
14:23:39:110,13.4249
14:23:39:113,12.9739
14:23:39:132,12.6377
14:23:39:153,12.2774
14:23:39:175,11.8912
14:23:39:192,11.734
14:23:39:214,11.4253
14:23:39:234,11.0521
14:23:39:253,10.5174
14:23:39:275,10.4129
14:23:39:293,9.8796
14:23:39:312,9.3185
14:23:39:333,9.1737
14:23:39:353,8.8476
14:23:39:373,8.4883
14:23:39:393,8.1752
14:23:39:413,7.8097
14:23:39:433,7.5139
14:23:39:452,7.4515
14:23:39:473,7.3574
14:23:39:492,7.3015
14:23:39:514,7.2359
14:23:39:532,7.4481
14:23:39:553,7.6658
14:23:39:573,8.0367
14:23:39:593,8.2465
14:23:39:613,8.3409
14:23:39:632,8.4498
14:23:39:654,8.0993
14:23:39:676,7.7795
14:23:39:692,7.2359
14:23:39:713,6.728
14:23:39:734,6.1162
14:23:39:755,5.795
14:23:39:776,5.5886
14:23:39:793,5.3072
14:23:39:813,5.23
14:23:39:833,5.1301
14:23:39:852,5.3572
14:23:39:873,5.547
14:23:39:893,5.7996
14:23:39:914,6.0011
14:23:39:934,6.5576
14:23:39:954,6.98
14:23:39:980,7.5398
14:23:39:993,8.082
14:23:40:016,8.6115
14:23:40:033,9.1256
14:23:40:053,9.72
14:23:40:073,10.3561
14:23:40:096,10.9165
14:23:40:115,11.3512
14:23:40:135,11.83
14:23:40:153,12.2431
14:23:40:174,12.6907
14:23:40:197,13.2206
14:23:40:215,13.5107
14:23:40:233,13.6196
14:23:40:254,13.7277
14:23:40:279,14.0073
14:23:40:294,14.1373
14:23:40:314,14.2345
14:23:40:333,14.119
14:23:40:353,14.2943
14:23:40:374,14.708
14:23:40:394,14.8334
14:23:40:414,15.1106
14:23:40:433,15.4792
14:23:40:453,15.8299
14:23:40:474,16.5948
14:23:40:495,17.2578
14:23:40:515,17.6038
14:23:40:533,18.0118
14:23:40:553,18.7944
14:23:40:575,19.4924
14:23:40:596,19.9301
14:23:40:614,20.4578
14:23:40:633,20.5649
14:23:40:654,20.7482
14:23:40:679,21.1747
14:23:40:695,21.4228
14:23:40:716,21.8614
14:23:40:733,22.131
14:23:40:755,22.4944
14:23:40:781,22.9363
14:23:40:795,23.381
14:23:40:815,23.9352
14:23:40:833,24.441
14:23:40:853,24.8415
14:23:40:874,25.3744
14:23:40:895,25.8366
14:23:40:914,26.4676
14:23:40:934,27.1994
14:23:40:953,27.9727
14:23:40:975,28.4832
14:23:40:996,29.0581
14:23:41:014,29.6932
14:23:41:033,30.1695
14:23:41:054,30.8609
14:23:41:074,31.3253
14:23:41:093,31.799
14:23:41:181,32.4984
14:23:41:181,33.1673
14:23:41:187,33.7069
14:23:41:188,34.1583
14:23:41:195,34.7191
14:23:41:213,34.9473
14:23:41:233,35.4955
14:23:41:254,36.0849
14:23:41:277,36.2062
14:23:41:294,36.5494
14:23:41:313,37.1066
14:23:41:333,37.6188
14:23:41:352,37.9218
14:23:41:373,38.4394
14:23:41:393,38.5639
14:23:41:417,38.4728
14:23:41:432,38.5518
14:23:41:452,38.673
14:23:41:473,38.3394
14:23:41:493,38.0177
14:23:41:514,37.7831
14:23:41:532,37.5998
14:23:41:553,37.7052
14:23:41:573,37.7534
14:23:41:595,37.8615
14:23:41:613,37.8287
14:23:41:633,38.1854
14:23:41:653,38.7824
14:23:41:674,39.3189
14:23:41:694,39.8591
14:23:41:713,40.3071
14:23:41:732,40.8157
14:23:41:753,41.1868
14:23:41:774,41.6995
14:23:41:794,42.2764
14:23:41:814,42.6868
14:23:41:832,43.2297
14:23:41:853,43.8975
14:23:41:873,44.4297
14:23:41:894,45.3737
14:23:41:913,46.2344
14:23:41:933,47.0949
14:23:41:961,47.8047
14:23:41:977,48.4839
14:23:41:993,49.2948
14:23:42:014,49.7823
14:23:42:034,50.3195
14:23:42:053,50.421
14:23:42:073,50.6978
14:23:42:095,51.0581
14:23:42:114,51.2484
14:23:42:134,51.6863
14:23:42:153,51.6098
14:23:42:174,51.5351
14:23:42:196,51.578
14:23:42:215,51.665
14:23:42:235,51.8218
14:23:42:255,51.8895
14:23:42:274,52.0469
14:23:42:294,51.9496
14:23:42:316,52.2924
14:23:42:334,52.4782
14:23:42:353,53.0049
14:23:42:374,53.3819
14:23:42:397,53.6567
14:23:42:415,53.9069
14:23:42:434,54.1937
14:23:42:454,54.4277
14:23:42:473,54.4427
14:23:42:492,54.9367
14:23:42:516,54.8141
14:23:42:534,54.6971
14:23:42:553,54.6781
14:23:42:575,54.6384
14:23:42:599,54.4306
14:23:42:614,54.3589
14:23:42:633,54.2802
14:23:42:655,54.043
14:23:42:674,53.9637
14:23:42:693,54.1973
14:23:42:715,54.2784
14:23:42:734,54.3015
14:23:42:755,54.4801
14:23:42:774,54.6981
14:23:42:794,54.8322
14:23:42:816,55.0178
14:23:42:835,54.9939
14:23:42:854,54.9675
14:23:42:874,55.0229
14:23:42:898,55.0124
14:23:42:914,55.0375
14:23:42:933,54.8383
14:23:42:953,54.8389
14:23:42:973,54.9569
14:23:42:998,55.1663
14:23:43:015,55.4244
14:23:43:035,55.7634
14:23:43:054,55.9609
14:23:43:075,56.1558
14:23:43:097,56.5188
14:23:43:114,56.8685
14:23:43:135,56.932
14:23:43:153,57.3913
14:23:43:174,57.3978
14:23:43:197,57.4782
14:23:43:262,57.84
14:23:43:262,58.1992
14:23:43:263,58.3217
14:23:43:276,58.4393
14:23:43:299,58.6237
14:23:43:315,58.4697
14:23:43:336,58.3431
14:23:43:354,58.2065
14:23:43:375,57.9474
14:23:43:397,57.5972
14:23:43:416,57.7032
14:23:43:434,57.6359
14:23:43:453,57.71
14:23:43:473,57.85
14:23:43:497,58.2615
14:23:43:514,58.342
14:23:43:534,58.6468
14:23:43:553,58.8858
14:23:43:574,58.9791
14:23:43:597,58.9066
14:23:43:614,58.8554
14:23:43:633,58.9321
14:23:43:654,58.9112
14:23:43:717,58.9193
14:23:43:733,59.0125
14:23:43:754,59.3392
14:23:43:777,59.849
14:23:43:796,59.9622
14:23:43:817,60.0713
