Time,Meg
19:05:50:162,63.9069
19:05:50:182,64.0551
19:05:50:201,64.2078
19:05:50:219,63.8924
19:05:50:240,63.7798
19:05:50:266,63.7587
19:05:50:278,63.8986
19:05:50:300,63.8289
19:05:50:316,64.0303
19:05:50:336,64.0185
19:05:50:355,64.0352
19:05:50:373,63.9924
19:05:50:401,63.8615
19:05:50:417,63.7813
19:05:50:431,63.7076
19:05:50:451,63.7621
19:05:50:469,63.6679
19:05:50:488,63.7533
19:05:50:509,63.7829
19:05:50:534,63.9291
19:05:50:552,63.8779
19:05:50:640,63.8693
19:05:50:640,63.7877
19:05:50:640,63.9158
19:05:50:641,63.9346
19:05:50:650,63.6614
19:05:50:667,63.4114
19:05:50:689,63.2947
19:05:50:707,63.4787
19:05:50:728,63.5933
19:05:50:750,63.6848
19:05:50:768,63.4077
19:05:50:789,63.5396
19:05:50:808,63.8521
19:05:50:835,63.9025
19:05:50:852,64.1159
19:05:50:867,63.7527
19:05:50:888,63.6081
19:05:50:908,63.6005
19:05:50:932,63.5385
19:05:50:949,63.379
19:05:50:968,63.1963
19:05:50:989,63.3612
19:05:51:008,63.2365
19:05:51:032,63.611
19:05:51:050,63.6755
19:05:51:069,63.6464
19:05:51:089,63.8824
19:05:51:108,63.9257
19:05:51:132,64.0471
19:05:51:150,64.1446
19:05:51:168,64.043
19:05:51:190,63.8739
19:05:51:208,63.701
19:05:51:231,63.6852
19:05:51:250,63.6366
19:05:51:268,63.5103
19:05:51:289,63.4441
19:05:51:307,63.3063
19:05:51:331,63.3226
19:05:51:348,63.404
19:05:51:369,63.626
19:05:51:388,63.8543
19:05:51:409,63.9274
19:05:51:430,64.143
19:05:51:448,64.0265
19:05:51:469,63.9808
19:05:51:489,64.187
19:05:51:509,64.234
19:05:51:533,64.3471
19:05:51:549,64.1402
19:05:51:568,64.0038
19:05:51:588,63.9423
19:05:51:607,63.9127
19:05:51:633,64.0254
19:05:51:649,63.8722
19:05:51:667,63.8138
19:05:51:688,63.6108
19:05:51:708,63.7069
19:05:51:732,63.685
19:05:51:748,63.7381
19:05:51:768,63.6994
19:05:51:789,63.6115
19:05:51:807,63.5224
19:05:51:833,63.415
19:05:51:849,63.3285
19:05:51:868,63.4381
19:05:51:889,63.3791
19:05:51:909,63.3807
19:05:51:931,63.5249
19:05:51:983,63.6769
19:05:51:984,63.7858
19:05:51:992,63.9411
19:05:52:009,64.1755
19:05:52:028,64.2504
19:05:52:050,64.2893
19:05:52:070,64.1661
19:05:52:092,64.2654
19:05:52:108,64.1059
19:05:52:131,64.0738
19:05:52:149,64.2277
19:05:52:167,63.981
19:05:52:189,63.5959
19:05:52:207,63.5067
19:05:52:233,63.4586
19:05:52:248,63.592
19:05:52:268,63.6749
19:05:52:289,63.8271
19:05:52:307,63.6465
19:05:52:331,63.7867
19:05:52:349,63.9118
19:05:52:370,63.9837
19:05:52:391,64.1001
19:05:52:409,63.9126
19:05:52:430,63.8626
19:05:52:450,63.829
19:05:52:468,63.6775
19:05:52:491,63.7404
19:05:52:508,63.8441
19:05:52:531,63.886
19:05:52:550,64.1466
19:05:52:570,64.1861
19:05:52:589,64.1694
19:05:52:607,64.1199
19:05:52:631,64.2372
19:05:52:650,64.0659
19:05:52:667,63.8441
19:05:52:689,64.029
19:05:52:707,63.7697
19:05:52:731,63.6752
19:05:52:749,63.4474
19:05:52:768,63.4647
19:05:52:789,63.4627
19:05:52:808,63.645
19:05:52:831,63.6651
19:05:52:849,63.5745
19:05:52:870,63.5693
19:05:52:890,63.7046
19:05:52:908,63.9959
19:05:52:933,64.0266
19:05:52:948,64.0804
19:05:52:968,64.1033
19:05:52:989,64.0788
19:05:53:008,64.1812
19:05:53:031,64.3346
19:05:53:048,64.156
19:05:53:068,64.1883
19:05:53:089,64.3482
19:05:53:108,64.289
19:05:53:131,64.3459
19:05:53:148,64.6012
19:05:53:167,64.3639
19:05:53:188,64.3217
19:05:53:207,64.4268
19:05:53:231,64.4625
19:05:53:249,64.3907
