Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
19:01:20:049,473,,477,-86.0,480,
19:01:22:049,473,,477,-85.0,480,
19:01:24:050,473,,477,-79.0,480,
19:01:26:049,473,,477,-83.0,480,
19:01:28:070,473,,477,-81.0,480,
19:01:30:052,473,,477,-82.0,480,
19:01:32:051,473,,477,-87.0,480,
19:01:34:050,473,,477,-89.0,480,
19:01:36:052,473,,477,-88.0,480,
19:01:38:048,473,,477,-86.0,480,
19:01:40:050,473,,477,-90.0,480,
19:01:42:052,473,,477,-88.0,480,
19:01:44:050,473,,477,-86.0,480,
19:01:46:049,473,,477,-85.0,480,
19:01:48:049,473,,477,-87.0,480,
19:01:50:049,473,,477,-85.0,480,
19:01:52:048,473,,477,-83.0,480,
19:01:54:048,473,-99.0,477,-83.0,480,
19:01:56:050,473,-92.0,477,-82.0,480,
19:01:58:047,473,-89.0,477,-81.0,480,
19:02:00:048,473,-94.0,477,-75.0,480,
19:02:02:048,473,-94.0,477,-79.0,480,
19:02:04:050,473,-94.0,477,-80.0,480,
19:02:06:050,473,-94.0,477,-80.0,480,
19:02:08:049,473,-94.0,477,-74.0,480,
19:02:10:049,473,-94.0,477,-80.0,480,
19:02:12:049,473,-94.0,477,-73.0,480,
19:02:14:049,473,-94.0,477,-70.0,480,
19:02:16:049,473,-94.0,477,-75.0,480,
19:02:18:049,473,-94.0,477,-74.0,480,
19:02:20:050,473,-94.0,477,-76.0,480,
19:02:22:049,473,-94.0,477,-75.0,480,
19:02:24:049,473,-94.0,477,-79.0,480,
19:02:26:052,473,-94.0,477,-77.0,480,
19:02:28:050,473,-100.0,477,-78.0,480,
19:02:30:049,473,-100.0,477,-73.0,480,
19:02:32:049,473,-100.0,477,-67.0,480,
19:02:34:066,473,-100.0,477,-77.0,480,
19:02:36:050,473,-100.0,477,-75.0,480,
19:02:38:048,473,-100.0,477,-77.0,480,
19:02:40:051,473,-100.0,477,-78.0,480,
19:02:42:050,473,-100.0,477,-77.0,480,
19:02:44:050,473,-100.0,477,-82.0,480,
19:02:46:049,473,-96.0,477,-73.0,480,
19:02:48:050,473,-94.0,477,-84.0,480,
19:02:50:049,473,-99.0,477,-78.0,480,
19:02:52:050,473,-97.0,477,-81.0,480,
19:02:54:048,473,-95.0,477,-84.0,480,
19:02:56:051,473,-96.0,477,-82.0,480,
19:02:58:048,473,-90.0,477,-85.0,480,
19:03:00:050,473,-90.0,477,-87.0,480,
19:03:02:049,473,-101.0,477,-91.0,480,
19:03:04:049,473,-96.0,477,-86.0,480,
19:03:06:048,473,-95.0,477,-86.0,480,
19:03:08:048,473,-94.0,477,-87.0,480,
19:03:10:048,473,-98.0,477,-92.0,480,
19:03:12:050,473,-83.0,477,-93.0,480,
19:03:14:048,473,-73.0,477,-87.0,480,
19:03:16:048,473,-77.0,477,-90.0,480,
19:03:18:047,473,-64.0,477,-88.0,480,
19:03:20:049,473,-61.0,477,-88.0,480,
19:03:22:049,473,-71.0,477,-88.0,480,
19:03:24:049,473,-77.0,477,-93.0,480,
19:03:26:051,473,-83.0,477,-94.0,480,
19:03:28:049,473,-88.0,477,-100.0,480,
19:03:30:049,473,-90.0,477,-102.0,480,
19:03:32:048,473,-90.0,477,-102.0,480,
19:03:34:051,473,-95.0,477,-96.0,480,
19:03:36:050,473,-87.0,477,-99.0,480,
19:03:38:049,473,-97.0,477,-91.0,480,
19:03:40:049,473,-94.0,477,-91.0,480,
19:03:42:050,473,-92.0,477,-86.0,480,
19:03:44:098,473,-93.0,477,-90.0,480,
19:03:46:051,473,-95.0,477,-87.0,480,
19:03:48:050,473,-98.0,477,-92.0,480,
19:03:50:048,473,-102.0,477,-94.0,480,
19:03:52:049,473,-105.0,477,-95.0,480,
19:03:54:048,473,-104.0,477,-94.0,480,
19:03:56:052,473,-101.0,477,-96.0,480,
19:03:58:049,473,-102.0,477,-97.0,480,
19:04:00:049,473,-104.0,477,-96.0,480,
19:04:02:055,473,-92.0,477,-93.0,480,
19:04:04:049,473,-94.0,477,-96.0,480,
19:04:06:049,473,-101.0,477,-98.0,480,-104.0
19:04:08:049,473,-97.0,477,-98.0,480,
19:04:10:049,473,-98.0,477,-104.0,480,
19:04:12:047,473,-99.0,477,-106.0,480,
19:04:14:047,473,-89.0,477,-100.0,480,
19:04:16:047,473,-93.0,477,-102.0,480,
19:04:18:047,473,-95.0,477,-106.0,480,
19:04:20:055,473,-96.0,477,,480,
19:04:22:051,473,-92.0,477,,480,
19:04:24:052,473,-91.0,477,-106.0,480,
19:04:26:051,473,-87.0,477,,480,
19:04:28:051,473,-89.0,477,,480,
19:04:30:048,473,-86.0,477,,480,
19:04:32:048,473,-87.0,477,,480,
19:04:34:048,473,-83.0,477,,480,
19:04:36:048,473,-84.0,477,,480,
19:04:38:048,473,-80.0,477,,480,
19:04:40:051,473,-83.0,477,,480,
19:04:42:052,473,-80.0,477,,480,
19:04:44:051,473,-76.0,477,,480,
19:04:46:049,473,-74.0,477,,480,
19:04:48:049,473,-76.0,477,,480,
