Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3
19:05:50:162,473,-83,477,,480,
19:05:52:149,473,-81,477,,480,
19:05:54:149,473,-81,477,,480,
19:05:56:149,473,-81,477,,480,
19:05:58:173,473,-81,477,,480,
19:06:00:148,473,-83,477,,480,
19:06:02:149,473,-83,477,,480,
19:06:04:149,473,-72,477,,480,
19:06:06:148,473,-72,477,,480,
19:06:08:149,473,-70,477,,480,
19:06:10:149,473,-70,477,,480,
19:06:12:148,473,-78,477,,480,
19:06:14:150,473,-78,477,,480,
19:06:16:147,473,-80,477,,480,
19:06:18:147,473,-80,477,,480,
19:06:20:148,473,-76,477,,480,
19:06:22:148,473,-76,477,,480,
19:06:24:149,473,-76,477,,480,
19:06:26:148,473,-76,477,,480,
19:06:28:148,473,-68,477,,480,
19:06:30:148,473,-68,477,,480,
19:06:32:149,473,-66,477,,480,
19:06:34:148,473,-66,477,,480,
19:06:36:148,473,-70,477,,480,
19:06:38:147,473,-70,477,,480,
19:06:40:148,473,-80,477,,480,
19:06:42:153,473,-80,477,,480,
19:06:44:147,473,-83,477,,480,
19:06:46:148,473,-83,477,,480,
19:06:48:152,473,-77,477,,480,
19:06:50:152,473,-77,477,,480,
19:06:52:151,473,-75,477,,480,
19:06:54:150,473,-75,477,,480,
19:06:56:150,473,-72,477,,480,-90.0
19:06:58:148,473,-72,477,,480,-90.0
19:07:00:153,473,-71,477,,480,
19:07:02:148,473,-71,477,,480,
19:07:04:156,473,-67,477,,480,
19:07:06:192,473,-67,477,,480,
19:07:08:148,473,-69,477,,480,
19:07:10:149,473,-69,477,,480,
19:07:12:148,473,-70,477,,480,
19:07:14:148,473,-70,477,,480,
19:07:16:150,473,-75,477,,480,
19:07:18:148,473,-75,477,,480,
19:07:20:149,473,-79,477,,480,
19:07:22:149,473,-79,477,,480,
19:07:24:149,473,-79,477,,480,
19:07:26:148,473,-79,477,,480,
19:07:28:151,473,-83,477,,480,
19:07:30:148,473,-83,477,,480,
19:07:32:148,473,-79,477,,480,
19:07:34:148,473,-79,477,,480,
19:07:36:149,473,-72,477,,480,
19:07:38:147,473,-72,477,,480,
19:07:40:149,473,-78,477,,480,
19:07:42:148,473,-78,477,,480,
19:07:44:148,473,-58,477,,480,
19:07:46:149,473,-58,477,,480,
19:07:48:149,473,-65,477,,480,
19:07:50:148,473,-65,477,,480,
19:07:52:148,473,-76,477,,480,
19:07:54:148,473,-76,477,,480,
19:07:56:148,473,-76,477,,480,
19:07:58:147,473,-76,477,,480,
19:08:00:148,473,-75,477,,480,
19:08:02:148,473,-75,477,,480,
19:08:04:148,473,-79,477,,480,
19:08:06:148,473,-79,477,,480,
19:08:08:154,473,-78,477,,480,
19:08:10:183,473,-78,477,,480,
19:08:12:148,473,-85,477,,480,
19:08:14:152,473,-85,477,,480,
19:08:16:147,473,-81,477,,480,
19:08:18:151,473,-81,477,,480,
19:08:20:152,473,-90,477,,480,
19:08:22:148,473,-90,477,,480,
19:08:24:151,473,-88,477,,480,
19:08:26:149,473,-88,477,,480,
19:08:28:149,473,-88,477,,480,
19:08:30:150,473,-88,477,,480,
19:08:32:148,473,-90,477,,480,
19:08:34:149,473,-90,477,,480,
19:08:36:149,473,-90,477,,480,
19:08:38:148,473,-90,477,,480,
19:08:40:147,473,-92,477,,480,
19:08:42:149,473,-92,477,,480,
19:08:44:148,473,-90,477,,480,
19:08:46:150,473,-90,477,,480,
19:08:48:149,473,-93,477,,480,
19:08:50:148,473,-93,477,,480,
19:08:52:148,473,-93,477,,480,
19:08:54:149,473,-93,477,,480,
19:08:56:148,473,-89,477,,480,
19:08:58:147,473,-89,477,,480,
19:09:00:149,473,-92,477,,480,
19:09:02:148,473,-92,477,,480,
19:09:04:147,473,-93,477,,480,
19:09:06:150,473,-93,477,,480,
19:09:08:151,473,-93,477,,480,
19:09:10:151,473,-93,477,,480,
19:09:12:150,473,-95,477,,480,
19:09:14:149,473,-95,477,,480,
