Time,Meg
17:00:28:107,39.5463
17:00:28:127,36.6138
17:00:28:147,38.3525
17:00:28:167,38.1766
17:00:28:192,37.1777
17:00:28:210,38.4339
17:00:28:227,37.7798
17:00:28:246,38.135
17:00:28:266,38.4765
17:00:28:294,37.5552
17:00:28:310,36.069
17:00:28:325,36.4319
17:00:28:348,36.771
17:00:28:375,36.3336
17:00:28:389,37.2533
17:00:28:407,36.6905
17:00:28:424,35.7892
17:00:28:446,36.5232
17:00:28:472,35.8946
17:00:28:490,36.6162
17:00:28:507,36.2568
17:00:28:530,34.95
17:00:28:544,33.9577
17:00:28:566,35.8769
17:00:28:603,35.8965
17:00:28:605,35.102
17:00:28:625,35.2774
17:00:28:646,36.0437
17:00:28:670,34.9941
17:00:28:689,35.124
17:00:28:706,34.86
17:00:28:725,35.6373
17:00:28:746,34.7478
17:00:28:771,35.2878
17:00:28:788,36.1629
17:00:28:806,35.2324
17:00:28:825,34.982
17:00:28:846,35.7206
17:00:28:872,35.9277
17:00:28:888,35.1282
17:00:28:905,35.1052
17:00:28:925,34.6814
17:00:28:946,34.7314
17:00:28:971,35.1867
17:00:28:988,34.4055
17:00:29:005,34.7485
17:00:29:025,33.6231
17:00:29:048,33.663
17:00:29:072,34.9551
17:00:29:089,34.4819
17:00:29:105,36.2862
17:00:29:126,32.9836
17:00:29:145,34.2838
17:00:29:166,33.2567
17:00:29:186,35.5169
17:00:29:205,33.6372
17:00:29:225,34.4947
17:00:29:246,34.2535
17:00:29:273,34.8532
17:00:29:293,34.03
17:00:29:311,32.9692
17:00:29:327,33.829
17:00:29:346,35.1282
17:00:29:372,34.2527
17:00:29:388,34.8874
17:00:29:405,34.5905
17:00:29:427,34.5418
17:00:29:446,35.3219
17:00:29:467,35.0885
17:00:29:490,34.7915
17:00:29:506,34.2906
17:00:29:526,36.0664
17:00:29:545,36.9956
17:00:29:567,36.8146
17:00:29:590,36.4558
17:00:29:607,34.7154
17:00:29:625,35.9357
17:00:29:646,35.5068
17:00:29:674,35.8854
17:00:29:690,36.284
17:00:29:708,37.3326
17:00:29:731,36.3931
17:00:29:744,36.6088
17:00:29:765,37.0515
17:00:29:790,36.5813
17:00:29:808,37.0247
17:00:29:824,36.3206
17:00:29:845,36.701
17:00:29:866,38.0536
17:00:29:888,38.0536
17:00:29:905,36.0488
17:00:29:925,36.3356
17:00:29:945,36.7985
17:00:29:965,36.0258
17:00:29:988,36.3614
17:00:30:006,36.6402
17:00:30:025,35.7273
17:00:30:103,35.6341
17:00:30:104,36.1383
17:00:30:104,35.5678
17:00:30:115,35.2547
17:00:30:128,34.0016
17:00:30:145,35.9706
17:00:30:165,35.2114
17:00:30:189,35.4786
17:00:30:206,35.6228
17:00:30:224,36.4179
17:00:30:246,34.5498
17:00:30:265,37.3583
17:00:30:288,35.9962
17:00:30:306,34.5545
17:00:30:324,36.562
17:00:30:344,36.425
17:00:30:365,36.4228
17:00:30:389,36.9599
17:00:30:407,35.6102
17:00:30:425,37.0754
17:00:30:445,36.7709
17:00:30:464,38.1008
17:00:30:489,37.5359
17:00:30:507,36.149
17:00:30:526,35.772
17:00:30:547,38.0736
17:00:30:572,37.5281
17:00:30:588,37.9587
17:00:30:606,36.7791
17:00:30:629,36.7005
17:00:30:644,36.6529
17:00:30:664,38.78
17:00:30:689,36.6524
17:00:30:705,37.2783
17:00:30:725,38.5926
17:00:30:745,37.1224
17:00:30:765,37.5518
17:00:30:789,37.4959
17:00:30:806,36.9771
17:00:30:828,38.3068
17:00:30:847,36.5933
17:00:30:864,36.4103
17:00:30:885,37.1178
17:00:30:919,36.1318
17:00:30:925,37.2459
17:00:30:951,35.3362
17:00:30:964,36.3847
17:00:30:992,35.4153
17:00:31:007,35.2716
17:00:31:025,36.0179
17:00:31:047,37.6215
17:00:31:071,34.9077
17:00:31:090,36.3545
17:00:31:105,37.505
17:00:31:125,37.3214
17:00:31:144,38.0902
17:00:31:165,37.3946
17:00:31:184,37.6854
17:00:31:205,37.2845
17:00:31:223,38.0014
17:00:31:243,36.1251
17:00:31:263,36.3304
17:00:31:289,37.7222
17:00:31:308,37.2697
17:00:31:326,36.3877
17:00:31:345,36.7709
17:00:31:363,36.0241
