Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:57:35:091,338,-65,169,-101.0,282,,318,-99.0,320,-95.0
16:57:37:168,338,-77,169,-101.0,282,,318,-99.0,320,-95.0
16:57:39:102,338,-76,169,-101.0,282,,318,-99.0,320,-95.0
16:57:41:103,338,-75,169,-101.0,282,,318,-99.0,320,-95.0
16:57:43:104,338,-79,169,-101.0,282,,318,-99.0,320,-95.0
16:57:45:102,338,-74,169,-101.0,282,,318,-99.0,320,-95.0
16:57:47:093,338,-69,169,-101.0,282,,318,-99.0,320,-95.0
16:57:49:092,338,-67,169,-101.0,282,,318,-99.0,320,-95.0
16:57:51:094,338,-79,169,,282,-109.0,318,,320,
16:57:53:090,338,-78,169,-108.0,282,-109.0,318,-124.0,320,
16:57:55:090,338,-71,169,-108.0,282,-102.0,318,-124.0,320,
16:57:57:089,338,-66,169,-123.0,282,-102.0,318,-115.0,320,
16:57:59:096,338,-72,169,-118.0,282,-100.0,318,-115.0,320,
16:58:01:090,338,-80,169,-118.0,282,-100.0,318,-121.0,320,
16:58:03:091,338,-74,169,-118.0,282,-98.0,318,-121.0,320,
16:58:05:083,338,-72,169,-118.0,282,-98.0,318,-121.0,320,
16:58:07:088,338,-68,169,-118.0,282,-98.0,318,-121.0,320,
16:58:09:082,338,-67,169,-118.0,282,-98.0,318,-121.0,320,
16:58:11:081,338,-76,169,-118.0,282,-98.0,318,-121.0,320,
16:58:13:084,338,-83,169,,282,-88.0,318,,320,
16:58:15:082,338,-81,169,-113.0,282,-88.0,318,-121.0,320,
16:58:17:079,338,-82,169,-113.0,282,-92.0,318,-121.0,320,
16:58:19:080,338,-79,169,-130.0,282,-92.0,318,-128.0,320,
16:58:21:080,338,-78,169,-130.0,282,-90.0,318,-128.0,320,
16:58:23:079,338,-74,169,-117.0,282,-90.0,318,-128.0,320,
16:58:25:074,338,-71,169,-117.0,282,-94.0,318,-128.0,320,
16:58:27:072,338,-76,169,-122.0,282,-94.0,318,-128.0,320,
16:58:29:086,338,-78,169,-122.0,282,-94.0,318,-128.0,320,
16:58:31:072,338,-76,169,-122.0,282,-94.0,318,-128.0,320,
