Time,Meg
16:51:29:161,37.6229
16:51:29:214,39.9658
16:51:29:228,36.6521
16:51:29:248,39.8912
16:51:29:267,37.3996
16:51:29:287,39.4362
16:51:29:317,37.091
16:51:29:326,38.6529
16:51:29:351,37.2265
16:51:29:369,38.6711
16:51:29:386,39.2653
16:51:29:414,39.3159
16:51:29:425,39.3159
16:51:29:451,37.6694
16:51:29:468,36.8772
16:51:29:485,38.992
16:51:29:515,39.5919
16:51:29:524,37.8228
16:51:29:554,38.0817
16:51:29:568,37.7023
16:51:29:583,38.1558
16:51:29:602,37.3842
16:51:29:622,38.1728
16:51:29:649,38.4359
16:51:29:667,37.928
16:51:29:687,37.6562
16:51:29:701,37.928
16:51:29:723,38.1688
16:51:29:752,37.4416
16:51:29:773,38.1728
16:51:29:781,38.6442
16:51:29:802,38.8871
16:51:29:822,37.2669
16:51:29:853,37.6226
16:51:29:864,40.4421
16:51:29:880,37.6408
16:51:29:903,37.8889
16:51:29:923,38.2173
16:51:29:943,36.8875
16:51:29:967,38.4436
16:51:29:985,37.9287
16:51:30:000,38.6499
16:51:30:020,39.9944
16:51:30:042,38.7172
16:51:30:061,38.7489
16:51:30:085,38.7969
16:51:30:102,38.5022
16:51:30:120,39.0344
16:51:30:147,38.3345
16:51:30:165,37.8651
16:51:30:185,38.0588
16:51:30:200,38.4264
16:51:30:220,38.5266
16:51:30:243,38.4144
16:51:30:261,37.9127
16:51:30:281,38.5392
16:51:30:302,38.6277
16:51:30:320,39.4355
16:51:30:340,38.7089
16:51:30:360,36.8489
16:51:30:380,39.487
16:51:30:401,38.7126
16:51:30:421,38.2905
16:51:30:444,40.6304
16:51:30:463,36.1673
16:51:30:481,38.7005
16:51:30:501,38.8225
16:51:30:528,39.0201
16:51:30:548,38.2359
16:51:30:569,39.1425
16:51:30:581,39.594
16:51:30:600,38.5771
16:51:30:620,38.6545
16:51:30:645,38.1821
16:51:30:664,36.206
16:51:30:681,38.1443
16:51:30:701,37.0567
16:51:30:721,37.5679
16:51:30:746,37.3918
16:51:30:764,37.8549
16:51:30:783,37.4933
16:51:30:801,37.7363
16:51:30:824,37.4339
16:51:30:847,38.7022
16:51:30:864,38.0036
16:51:30:881,39.6246
16:51:30:901,37.6057
16:51:30:921,38.4003
16:51:30:943,37.9135
16:51:30:964,38.1026
16:51:30:981,38.0317
16:51:31:001,38.578
16:51:31:021,38.0927
16:51:31:046,38.078
16:51:31:062,37.2294
16:51:31:081,37.3128
16:51:31:101,39.1058
16:51:31:196,38.107
16:51:31:196,37.1369
16:51:31:197,38.469
16:51:31:205,38.0843
16:51:31:205,38.0164
16:51:31:219,38.7906
16:51:31:240,37.6287
16:51:31:260,36.7009
16:51:31:281,38.7978
16:51:31:301,37.9522
16:51:31:321,37.9967
16:51:31:347,39.7313
16:51:31:365,37.952
16:51:31:379,37.952
16:51:31:400,38.2428
16:51:31:420,37.3262
16:51:31:439,38.1773
16:51:31:459,36.6071
16:51:31:480,36.4578
16:51:31:500,38.2208
16:51:31:520,38.4618
16:51:31:540,37.2067
16:51:31:560,37.2938
16:51:31:580,37.1726
16:51:31:600,37.6226
16:51:31:620,36.9691
16:51:31:640,37.4927
16:51:31:660,37.4485
16:51:31:681,38.1297
16:51:31:700,36.901
16:51:31:720,36.6931
16:51:31:743,38.1834
16:51:31:761,36.5354
16:51:31:780,36.5196
16:51:31:800,37.227
16:51:31:820,35.9647
16:51:31:840,37.9591
