Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:47:57:700,140,-104.0,246,-99.0,138,,80,,125,-93.0
16:47:59:706,140,-104.0,246,-99.0,138,,80,-95.0,125,-93.0
16:48:01:754,140,,246,,138,,80,-98.0,125,
16:48:03:701,140,,246,,138,,80,-96.0,125,
16:48:05:696,140,,246,,138,,80,-96.0,125,
16:48:07:697,140,,246,,138,,80,-93.0,125,
16:48:09:696,140,,246,,138,,80,-93.0,125,
16:48:11:690,140,,246,,138,,80,-91.0,125,
16:48:13:690,140,,246,,138,,80,-92.0,125,
16:48:15:688,140,,246,,138,,80,-90.0,125,
16:48:17:687,140,,246,,138,,80,-90.0,125,
16:48:19:687,140,,246,,138,,80,-89.0,125,
16:48:21:688,140,,246,,138,,80,-88.0,125,
16:48:23:685,140,,246,,138,,80,-90.0,125,
16:48:25:686,140,,246,,138,,80,-91.0,125,
16:48:27:687,140,-92.0,246,-98.0,138,,80,-93.0,125,-99.0
16:48:29:682,140,-100.0,246,-97.0,138,,80,-88.0,125,-98.0
16:48:31:680,140,-96.0,246,-98.0,138,,80,-88.0,125,-101.0
16:48:33:680,140,-96.0,246,-98.0,138,,80,-88.0,125,-101.0
16:48:35:678,140,-96.0,246,-98.0,138,,80,-90.0,125,-101.0
16:48:37:676,140,-96.0,246,-98.0,138,,80,-88.0,125,-101.0
16:48:39:675,140,-96.0,246,-98.0,138,,80,-93.0,125,-101.0
16:48:41:674,140,-96.0,246,-98.0,138,,80,-94.0,125,-101.0
16:48:43:674,140,-96.0,246,-98.0,138,,80,-94.0,125,-101.0
16:48:45:675,140,-96.0,246,-98.0,138,,80,-93.0,125,-101.0
16:48:47:676,140,-96.0,246,-98.0,138,,80,-94.0,125,-101.0
16:48:49:672,140,-96.0,246,-98.0,138,,80,-95.0,125,-101.0
16:48:51:668,140,-96.0,246,-98.0,138,,80,-94.0,125,-101.0
16:48:53:724,140,-96.0,246,-98.0,138,,80,-95.0,125,-101.0
16:48:55:666,140,-96.0,246,-98.0,138,,80,-96.0,125,-101.0
16:48:57:665,140,-96.0,246,-98.0,138,,80,-93.0,125,-101.0
16:48:59:669,140,-96.0,246,-98.0,138,,80,-100.0,125,-101.0
16:49:01:668,140,-96.0,246,-98.0,138,,80,-104.0,125,-101.0
16:49:03:664,140,-112.0,246,-109.0,138,,80,-102.0,125,-121.0
16:49:05:667,140,-106.0,246,-105.0,138,-96.0,80,-102.0,125,-103.0
16:49:07:660,140,-106.0,246,-105.0,138,-96.0,80,,125,-103.0
16:49:09:660,140,-106.0,246,-105.0,138,-96.0,80,,125,-103.0
16:49:11:657,140,-106.0,246,-105.0,138,-96.0,80,,125,-103.0
16:49:13:656,140,-106.0,246,-105.0,138,-96.0,80,,125,-103.0
16:49:15:655,140,-106.0,246,-105.0,138,-96.0,80,,125,-103.0
16:49:17:660,140,,246,,138,,80,,125,
16:49:19:653,140,,246,,138,-94.0,80,,125,
16:49:21:654,140,,246,-101.0,138,-93.0,80,,125,
16:49:23:655,140,,246,,138,-93.0,80,,125,
16:49:25:653,140,,246,,138,-95.0,80,,125,
16:49:27:647,140,,246,,138,-95.0,80,,125,
16:49:29:647,140,,246,,138,-96.0,80,,125,
16:49:31:647,140,,246,,138,-96.0,80,,125,
16:49:33:646,140,,246,-107.0,138,-94.0,80,,125,
16:49:35:644,140,,246,-99.0,138,-95.0,80,,125,
16:49:37:644,140,,246,-102.0,138,-92.0,80,,125,
16:49:39:645,140,,246,-100.0,138,-90.0,80,,125,
16:49:41:643,140,,246,-98.0,138,-89.0,80,,125,
16:49:43:647,140,,246,-101.0,138,-89.0,80,,125,
16:49:45:660,140,,246,-98.0,138,-89.0,80,,125,
16:49:47:698,140,,246,-104.0,138,-89.0,80,,125,
16:49:49:636,140,,246,,138,-96.0,80,,125,
16:49:51:639,140,,246,,138,-98.0,80,,125,-88.0
16:49:53:641,140,,246,-99.0,138,-106.0,80,,125,
16:49:55:632,140,,246,-98.0,138,-104.0,80,,125,
16:49:57:634,140,,246,-93.0,138,-104.0,80,,125,
16:49:59:632,140,,246,-97.0,138,-104.0,80,,125,
16:50:01:633,140,,246,-96.0,138,-105.0,80,,125,
16:50:03:634,140,,246,-98.0,138,-104.0,80,,125,
16:50:05:628,140,,246,-98.0,138,-106.0,80,,125,
16:50:07:627,140,,246,-100.0,138,,80,,125,
16:50:09:626,140,,246,-102.0,138,,80,,125,
16:50:11:625,140,,246,-102.0,138,-108.0,80,,125,
16:50:13:624,140,,246,,138,,80,,125,
16:50:15:626,140,,246,,138,,80,,125,
16:50:17:626,140,,246,,138,,80,,125,
16:50:19:621,140,,246,,138,,80,,125,
16:50:21:626,140,,246,,138,,80,,125,
16:50:23:625,140,,246,-97.0,138,,80,,125,
16:50:25:617,140,,246,-94.0,138,,80,,125,
16:50:27:616,140,,246,-88.0,138,,80,,125,
16:50:29:615,140,,246,-105.0,138,,80,,125,
16:50:31:614,140,-105.0,246,-98.0,138,,80,,125,
16:50:33:612,140,-103.0,246,-107.0,138,,80,,125,
