Sample_ID,Output_Source,Output_File,Output_Position,Original_Signal_Source,Sampled_Signal_Position,Original_Label_Source,Sampled_Label_Position,Random_Seed
0001,局部_三星S7_transplant/局部_三星S7_transplant_0001,局部_三星S7_transplant_0001_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(2687,2887)",局部_小米MAX3/20230509_1841,"(2629,2829)",20260709
0002,局部_三星S7_transplant/局部_三星S7_transplant_0002,局部_三星S7_transplant_0002_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(5819,6019)",局部_小米MAX3/20230509_1841,"(6087,6287)",20260709
0003,局部_三星S7_transplant/局部_三星S7_transplant_0003,局部_三星S7_transplant_0003_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(2630,2830)",局部_小米MAX3/20230509_1848,"(2819,3019)",20260709
0004,局部_三星S7_transplant/局部_三星S7_transplant_0004,局部_三星S7_transplant_0004_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(5350,5550)",局部_小米MAX3/20230509_1848,"(5182,5382)",20260709
0005,局部_三星S7_transplant/局部_三星S7_transplant_0005,局部_三星S7_transplant_0005_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(8284,8484)",局部_小米MAX3/20230509_1848,"(8597,8797)",20260709
0006,局部_三星S7_transplant/局部_三星S7_transplant_0006,局部_三星S7_transplant_0006_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(2645,2845)",局部_小米MAX3/20230509_1852,"(2724,2924)",20260709
0007,局部_三星S7_transplant/局部_三星S7_transplant_0007,局部_三星S7_transplant_0007_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(5804,6004)",局部_小米MAX3/20230509_1852,"(5768,5968)",20260709
0008,局部_三星S7_transplant/局部_三星S7_transplant_0008,局部_三星S7_transplant_0008_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(8262,8462)",局部_小米MAX3/20230509_1852,"(8572,8772)",20260709
0009,局部_三星S7_transplant/局部_三星S7_transplant_0009,局部_三星S7_transplant_0009_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(9215,9415)",局部_小米MAX3/20230509_1852,"(9547,9747)",20260709
0010,局部_三星S7_transplant/局部_三星S7_transplant_0010,局部_三星S7_transplant_0010_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(2656,2856)",局部_小米MAX3/20230513_1855,"(2496,2696)",20260709
0011,局部_三星S7_transplant/局部_三星S7_transplant_0011,局部_三星S7_transplant_0011_merged.csv,"(0,400)",局部_三星S7/20230627_1707,"(5718,5918)",局部_小米MAX3/20230513_1855,"(5564,5764)",20260709
0012,局部_三星S7_transplant/局部_三星S7_transplant_0012,局部_三星S7_transplant_0012_merged.csv,"(0,400)",局部_三星S7/20230704_1948,"(8431,8631)",局部_小米MAX3/20230513_1855,"(8098,8298)",20260709
0013,局部_三星S7_transplant/局部_三星S7_transplant_0013,局部_三星S7_transplant_0013_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(9228,9428)",局部_小米MAX3/20230513_1855,"(9307,9507)",20260709
0014,局部_三星S7_transplant/局部_三星S7_transplant_0014,局部_三星S7_transplant_0014_merged.csv,"(0,400)",局部_三星S7/20230703_1721,"(2659,2859)",局部_小米MAX3/20230513_1858,"(2667,2867)",20260709
