Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:24:47:297,-0.5749,1.2136,9.5803,33.5156,0.0011,-0.0756,-0.1991,-43.8693
16:24:47:313,-0.8563,1.3827,9.5422,33.7018,0.0522,-0.2332,-0.1906,-43.8693
16:24:47:333,-0.9951,1.4951,9.4348,33.3964,0.1395,-0.3875,-0.1491,-43.8693
16:24:47:353,-0.9459,1.5406,9.2249,33.3083,0.1629,-0.3396,-0.0586,-43.8693
16:24:47:374,-0.8824,1.5924,9.0044,33.3221,0.0628,-0.1139,-0.0032,-43.8693
16:24:47:392,-1.0713,1.7926,9.0267,33.2141,-0.0809,0.0266,0.0096,-43.8693
16:24:47:413,-1.1773,1.8747,9.2025,33.5459,-0.1522,0.0671,0.0383,-43.8693
16:24:47:433,-1.0681,1.8521,9.2187,33.7339,-0.1107,0.0373,0.0756,-43.8693
16:24:47:453,-0.9198,1.8807,9.1211,33.7704,-0.0596,-0.05,0.0905,-43.8693
16:24:47:473,-0.706,1.8193,9.1539,33.5744,-0.082,-0.1405,0.0724,-43.8693
16:24:47:493,-0.5088,1.6394,9.2946,33.4391,-0.1586,-0.1118,0.0543,-43.8693
16:24:47:514,-0.368,1.5202,9.5684,33.3739,-0.2364,0.0128,0.0617,-43.8693
16:24:47:533,-0.347,1.5178,9.6672,33.2627,-0.2364,0.0767,0.0596,-43.8693
16:24:47:553,-0.4221,1.6015,9.6753,33.2438,-0.1842,0.0256,0.0266,-43.8693
16:24:47:573,-0.5241,1.5763,9.622,33.3369,-0.1352,0.016,0.0106,-43.8693
16:24:47:593,-0.5461,1.5044,9.5011,33.3223,-0.1054,0.0458,0.017,-43.8693
16:24:47:616,-0.5959,1.6373,9.4101,33.4246,-0.0788,0.115,0.0586,-43.8693
16:24:47:633,-0.5131,1.6974,9.3673,33.3924,-0.0692,0.1672,0.0756,-43.8693
16:24:47:653,-0.2777,1.5612,9.295,33.2707,-0.0884,0.1139,0.017,-43.8693
16:24:47:677,-0.3037,1.498,9.5932,33.3643,-0.0937,-0.0532,-0.0554,-43.8693
16:24:47:693,-0.4221,1.4199,9.8367,33.4139,0.0266,-0.1384,-0.0639,-43.8693
16:24:47:714,-0.4696,1.4422,9.8125,33.549,0.181,-0.0798,0.0192,-43.8693
16:24:47:733,-0.4774,1.7201,9.7332,33.7427,0.2598,0.0564,0.1576,-43.8693
16:24:47:753,-0.4076,1.9918,9.6121,33.5988,0.2619,0.1799,0.2353,-43.8693
16:24:47:774,-0.2332,2.0485,9.5236,33.4541,0.2789,0.1118,0.2172,-43.8693
16:24:47:793,-0.1936,2.0902,9.5533,33.3556,0.3024,-0.0415,0.1895,-43.8693
16:24:47:813,-0.2654,2.4083,9.7824,33.0108,0.3119,-0.0735,0.1863,-43.8693
16:24:47:833,-0.2848,2.6181,10.0169,32.881,0.2843,0.0617,0.214,-43.8693
16:24:47:853,-0.2102,2.6712,10.1193,32.8884,0.2694,0.2193,0.2321,-43.8693
16:24:47:873,-0.2445,2.8543,10.2936,32.9955,0.2321,0.1725,0.1906,-43.8693
16:24:47:893,-0.4947,2.955,10.5655,33.0668,0.2321,0.0777,0.1363,-43.8693
16:24:47:913,-0.9261,2.7369,10.4895,32.939,0.3396,0.1544,0.1384,-43.8693
16:24:47:933,-1.1898,2.5954,9.9779,32.8735,0.4525,0.2534,0.1991,-43.8693
16:24:47:953,-0.995,2.0968,9.5244,32.8331,0.3045,0.0607,0.1661,-43.8693
16:24:47:973,-0.6243,1.6644,10.0822,32.7228,-0.1352,-0.3322,0.0266,-43.8693
16:24:47:993,-0.3525,1.0064,11.1698,32.8774,-0.4951,-0.4514,-0.1192,-43.8693
16:24:48:014,-0.583,0.6162,12.035,32.797,-0.5355,-0.2662,-0.1714,-43.8693
16:24:48:033,-0.9485,0.2336,11.4932,32.9861,-0.1948,0.131,-0.1086,-43.8693
