Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:43:38:932,0.0199,3.7113,9.4394,38.345,-0.3982,-0.3386,0.3577,-63.2481
16:43:38:952,0.1382,3.5453,9.737,38.0929,-0.2427,-0.1672,0.214,-63.2481
16:43:38:973,-0.116,3.4716,9.6801,38.0208,-0.0064,-0.0266,0.1235,-63.2481
16:43:38:993,-0.3303,3.3318,9.2597,38.0354,0.198,-0.033,0.1554,-63.2481
16:43:39:013,-0.3241,3.2252,8.7541,38.0445,0.2587,-0.2055,0.2481,-63.2481
16:43:39:032,-0.175,3.4078,8.3297,38.056,0.2055,-0.3705,0.3481,-63.2481
16:43:39:053,-0.1414,3.9057,8.295,37.998,0.1395,-0.4003,0.412,-63.2481
16:43:39:074,-0.0141,4.0955,8.1232,38.2836,0.099,-0.2151,0.412,-63.2481
16:43:39:093,0.1761,4.0706,8.0305,38.2036,-0.0266,0.0117,0.3865,-63.2481
16:43:39:113,0.3005,4.025,8.1222,37.9807,-0.1874,0.1395,0.3556,-63.3428
16:43:39:133,0.3429,3.9668,8.3904,38.2526,-0.3322,0.2704,0.264,-63.448
16:43:39:153,0.1616,3.882,8.5993,38.0693,-0.3567,0.4397,0.1608,-63.56
16:43:39:173,-0.1393,3.754,8.7965,37.8768,-0.3226,0.5494,0.1618,-63.6746
16:43:39:192,-0.1849,3.636,9.0378,37.6672,-0.2321,0.5015,0.247,-63.7914
16:43:39:214,-0.089,3.5731,9.3063,37.6097,-0.1767,0.2427,0.2843,-63.9142
16:43:39:232,-0.1325,3.4756,9.6617,37.3707,-0.1139,0.0426,0.3002,-64.0458
16:43:39:253,-0.2442,3.2692,10.227,37.4202,-0.0724,0.0468,0.3726,-64.1848
16:43:39:273,-0.1854,3.4071,10.745,37.534,-0.0362,0.1459,0.5164,-64.3322
16:43:39:293,-0.0157,3.3049,11.1722,37.4882,0.0181,0.3886,0.5707,-64.4914
16:43:39:314,0.0402,3.1554,11.3611,37.4973,0.1618,0.6942,0.5536,-64.6641
16:43:39:333,-0.0414,3.1653,11.0704,37.2733,0.3811,1.0306,0.5483,-64.8486
16:43:39:353,-0.5641,2.9576,10.2849,37.288,0.5888,1.3244,0.5483,-65.0431
16:43:39:374,-1.2235,3.2408,9.3378,37.1833,0.643,1.3766,0.5579,-65.2475
16:43:39:393,-1.3635,3.25,8.6653,37.1883,0.4141,0.9667,0.5227,-65.4651
16:43:39:414,-1.234,2.6886,8.7225,37.1024,0.0309,0.2449,0.2928,-65.6987
16:43:39:433,-1.4573,2.1768,9.6892,37.2479,-0.148,-0.379,0.0873,-65.9457
16:43:39:453,-1.4868,1.7698,10.2925,37.1665,-0.0085,-0.8464,0.0426,-66.1948
16:43:39:473,-1.1377,1.3707,10.2205,36.874,0.1267,-1.1786,-0.0309,-66.4401
16:43:39:493,-0.754,1.0493,9.8907,36.9252,0.1107,-1.3777,-0.1139,-66.6789
16:43:39:513,-0.5154,0.8924,9.5478,36.9681,-0.0298,-1.3564,-0.1789,-66.9079
16:43:39:533,-0.4749,1.0416,9.2478,36.7052,-0.1341,-1.1189,-0.1874,-67.1245
16:43:39:553,-0.5286,1.2378,8.6862,36.7248,-0.1672,-0.757,-0.1192,-67.3249
16:43:39:573,-0.5049,1.5413,7.8649,36.7129,-0.2289,-0.3599,0.0266,-67.5118
16:43:39:593,-0.2987,1.865,7.2624,36.2806,-0.4184,-0.0767,0.1852,-67.691
16:43:39:613,0.0723,2.2806,7.2123,36.0296,-0.6526,0.1501,0.2608,-67.8703
16:43:39:633,0.3195,2.5464,7.2461,36.0547,-0.7346,0.4131,0.2055,-68.0522
16:43:39:653,0.3549,2.543,7.3004,35.9297,-0.6526,0.5504,0.0607,-68.2351
16:43:39:673,0.3187,2.6076,7.0206,36.0206,-0.527,0.494,-0.1224,-68.415
16:43:39:693,0.2573,2.6983,6.727,35.9265,-0.5419,0.1608,-0.3684,-68.5877
16:43:39:714,-0.0471,2.9609,7.2901,35.8742,-0.6281,-0.395,-0.5589,-68.7478
16:43:39:733,0.0245,2.6631,8.3863,35.9457,-0.5408,-0.856,-0.6122,-68.8884
16:43:39:754,0.2181,2.2517,9.2567,35.8993,-0.3034,-0.8677,-0.6303,-69.0041
16:43:39:777,0.16,2.007,9.8775,35.6378,-0.1544,-0.4589,-0.5217,-69.0041
16:43:39:793,-0.0267,2.4469,10.4919,35.5937,-0.2097,-0.0021,-0.3407,-69.0041
16:43:39:813,-0.2952,3.0485,11.04,35.2795,-0.3024,0.3875,-0.2257,-69.0041
16:43:39:833,-0.4428,3.1757,11.6248,35.3859,-0.2672,0.6292,-0.2065,-69.0041
16:43:39:853,-0.3775,2.9154,12.0064,35.3547,-0.1416,0.6388,-0.2534,-69.0041
16:43:39:873,-0.363,2.4994,12.3434,35.3393,-0.0447,0.4184,-0.3609,-69.0041
16:43:39:894,-0.5074,2.047,12.7707,35.4241,0.0873,0.1703,-0.4365,-69.0041
16:43:39:913,-0.7247,1.6081,12.8061,35.1603,0.3056,0.131,-0.4014,-69.0041
16:43:39:934,-0.6382,1.2686,12.0445,34.7159,0.4344,0.2576,-0.3013,-69.0041
16:43:39:954,-0.1055,0.5733,11.2255,34.3586,0.2502,0.1416,-0.2736,-69.0041
16:43:39:974,-0.0862,0.4307,10.9596,34.2228,0.0394,0.1522,-0.2151,-69.0041
16:43:39:994,-0.1618,0.4851,10.5843,34.0412,0.1192,0.4024,-0.1235,-69.0041
16:43:40:014,-0.2569,0.4197,9.7574,34.189,0.2395,0.3471,-0.1703,-69.0041
16:43:40:034,-0.3626,0.383,8.8788,33.9812,0.2225,0.0554,-0.1906,-69.0041
16:43:40:054,-0.1692,0.4298,8.2752,33.8033,0.0341,-0.2608,-0.1331,-69.0041
16:43:40:074,0.0999,0.6678,8.0276,33.8211,-0.2002,-0.3705,-0.0862,-69.0041
16:43:40:094,0.2812,0.9972,7.9864,33.5627,-0.3822,-0.2789,-0.1491,-69.0041
16:43:40:115,0.267,1.2155,7.8208,33.82,-0.4344,-0.0639,-0.2726,-69.0041
16:43:40:137,0.14,1.1867,7.4297,33.9405,-0.4088,0.1352,-0.4088,-69.0041
16:43:40:153,-0.1315,1.2443,7.1294,33.7015,-0.3897,0.1682,-0.4929,-68.9076
16:43:40:174,-0.3276,1.313,7.0958,33.7702,-0.3726,0.0777,-0.4706,-68.7983
16:43:40:194,-0.3724,1.4538,7.2067,33.5504,-0.3396,-0.0213,-0.3524,-68.677
16:43:40:214,-0.1327,1.5145,7.4084,33.3739,-0.28,-0.0256,-0.1767,-68.5468
16:43:40:236,0.2539,1.5134,7.6799,33.3578,-0.2427,0.0011,-0.1075,-68.4135
16:43:40:254,0.4768,1.6629,7.9497,33.5415,-0.2587,-0.0106,-0.1427,-68.2808
16:43:40:273,0.2977,1.8627,8.402,33.2914,-0.3258,-0.1267,-0.2214,-68.1488
16:43:40:294,-0.1126,1.8513,9.2207,33.1781,-0.4078,-0.2555,-0.2214,-68.0156
16:43:40:314,-0.3566,1.5755,10.4712,33.0101,-0.412,-0.2417,-0.0277,-67.8801
16:43:40:335,-0.4464,1.6095,11.6091,32.6347,-0.1884,-0.0756,0.2044,-67.7463
16:43:40:354,-0.4167,2.069,11.8433,32.3995,0.1129,0.2853,0.3205,-67.619
16:43:40:374,-0.2419,2.2851,11.6349,31.8955,0.1863,0.3556,0.296,-67.5036
16:43:40:394,0.1321,1.5979,11.5866,31.5919,0.0862,0.1278,0.1895,-67.4028
16:43:40:415,-0.0245,1.1628,12.2062,31.7582,-0.0458,0.0192,0.1288,-67.4028
16:43:40:433,-0.7172,1.3174,12.9576,31.4977,-0.0181,0.3098,0.2353,-67.4028
16:43:40:454,-1.3761,1.7625,12.9774,31.7582,0.1884,0.5962,0.395,-67.4028
16:43:40:473,-1.2225,1.6597,12.0759,31.6283,0.3279,0.4152,0.3854,-67.4028
16:43:40:494,-0.6666,1.2612,11.2015,31.4743,0.2843,-0.0649,0.1512,-67.4028
16:43:40:514,-0.6081,1.1384,10.5409,31.5499,0.2853,-0.264,-0.2055,-67.4028
16:43:40:534,-1.2395,1.0224,9.9655,31.6723,0.3045,-0.4365,-0.4812,-67.4028
16:43:40:553,-1.7265,0.3686,9.5379,31.8446,0.2268,-0.6899,-0.5802,-67.4028
16:43:40:574,-1.7054,-0.3396,9.1695,32.0683,0.0745,-0.84,-0.5227,-67.4028
16:43:40:594,-1.4969,-0.4502,9.0092,32.4346,-0.1107,-0.7985,-0.3929,-67.3022
16:43:40:616,-1.0568,-0.482,8.9215,32.6531,-0.2438,-0.5792,-0.2172,-67.1899
16:43:40:634,-0.7456,-0.2022,8.5345,32.4494,-0.181,-0.0894,-0.0426,-67.0706
16:43:40:654,-0.7065,0.2532,7.6503,32.4867,0.0138,0.4056,0.1533,-66.9485
16:43:40:674,-0.8055,0.887,6.6844,32.3667,0.116,0.5664,0.378,-66.8313
16:43:40:694,-0.5755,1.3399,6.0213,32.2158,0.1043,0.4259,0.543,-66.7287
16:43:40:715,-0.3857,1.57,5.9366,32.2512,0.0192,0.1597,0.5142,-66.7287
16:43:40:734,-0.2809,1.4082,6.4419,32.0493,-0.0884,-0.1459,0.3215,-66.7287
16:43:40:753,-0.3562,0.9133,7.413,32.0623,-0.1884,-0.4365,0.0894,-66.7287
16:43:40:773,-0.5207,0.0984,8.4413,32.1625,-0.23,-0.6132,-0.0703,-66.7287
16:43:40:800,-1.0431,-0.1296,9.5512,31.7865,-0.2225,-0.5547,-0.0405,-66.7287
16:43:40:815,-1.3694,-0.0256,10.6114,31.876,-0.1192,-0.3056,0.2076,-66.7287
16:43:40:833,-1.1138,0.2675,10.9756,31.3701,0.0564,0.0256,0.4024,-66.7287
16:43:40:854,-0.6203,0.6507,10.9798,30.9649,0.0021,0.1693,0.3684,-66.7287
16:43:40:873,-0.6064,1.172,11.6322,30.6697,-0.2097,0.2289,0.2364,-66.7287
16:43:40:893,-0.8921,1.3311,12.4034,30.6136,-0.2172,0.5025,0.2002,-66.7287
16:43:40:913,-1.1847,1.6654,12.4007,30.6778,-0.0852,0.8177,0.3173,-66.7287
16:43:40:948,-0.7271,2.1714,11.5675,30.9721,-0.1299,0.8805,0.379,-66.7287
16:43:40:953,0.6252,1.5029,11.1922,31.304,-0.5973,0.5302,0.0745,-66.7287
16:43:40:975,0.5121,0.6921,12.6118,31.365,-0.7495,0.3109,-0.3034,-66.7287
16:43:40:993,-0.403,0.038,12.9584,31.3658,-0.1533,0.2949,-0.4067,-66.7287
16:43:41:013,-0.94,-0.2938,11.5863,31.5408,0.4216,0.0021,-0.3087,-66.7287
16:43:41:033,-0.5931,-0.8463,10.0817,31.4313,0.4525,-0.5611,-0.1373,-66.7287
16:43:41:053,-0.0879,-0.9398,9.7373,31.5999,0.1267,-0.9805,0.016,-66.7287
16:43:41:073,0.5515,-0.5218,9.9281,31.8425,-0.0309,-0.9188,0.1192,-66.7287
16:43:41:094,1.0104,-0.2833,9.404,31.688,0.0639,-0.4983,0.0479,-66.7287
16:43:41:114,0.8648,-0.0142,8.3468,31.8613,0.2225,0.0245,-0.0916,-66.7287
16:43:41:135,0.3795,0.3477,7.2417,31.7817,0.2662,0.3641,-0.1703,-66.7287
16:43:41:155,-0.0643,0.6924,6.4437,31.6008,0.1448,0.4173,-0.165,-66.7287
16:43:41:174,-0.1501,0.8857,6.1685,31.5628,0.0437,0.3801,-0.0649,-66.7287
16:43:41:194,0.1367,0.8381,6.1631,31.559,-0.0021,0.2364,0.0383,-66.7287
16:43:41:215,0.6554,1.035,6.5575,31.5678,-0.0617,-0.0117,0.0596,-66.7287
