Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:38:04:289,-1.1817,1.5897,9.031,54.474,0.0051,-0.0861,0.1951,-3.0356
16:38:04:306,-0.7194,1.7396,9.2455,54.5793,-0.029,-0.0816,0.3404,-3.0356
16:38:04:325,-0.2278,1.9838,9.4356,54.2764,-0.0824,0.0417,0.3096,-3.0356
16:38:04:345,-0.0126,2.0436,9.6496,54.092,-0.1397,0.0849,0.1823,-3.0356
16:38:04:365,-0.1181,2.0152,9.8688,53.973,-0.1031,-0.0036,0.0432,-3.0356
16:38:04:384,-0.2703,1.9401,9.8492,53.9745,0.0361,-0.1679,-0.0455,-3.0356
16:38:04:405,-0.2592,1.8778,9.9296,54.1752,0.1875,-0.3219,-0.0563,-3.0356
16:38:04:425,-0.0429,1.8327,10.0328,54.3897,0.3397,-0.3146,-0.0279,-3.0356
16:38:04:445,-0.0293,1.8386,9.7177,54.688,0.4409,-0.1674,0.0211,-3.0356
16:38:04:465,0.0495,2.0421,9.1976,54.9928,0.4044,-0.0901,0.0377,-3.0356
16:38:04:484,0.3819,2.2618,8.8627,54.7999,0.2401,-0.1482,-0.0464,-3.0356
16:38:04:504,0.5092,2.3492,9.1697,54.5744,0.1066,-0.1922,-0.1359,-3.0356
16:38:04:525,0.3857,2.4249,9.312,54.5207,0.164,-0.1502,-0.1561,-3.0356
16:38:04:545,0.0244,2.4903,8.8332,54.3328,0.2638,-0.1452,-0.0615,-3.0356
16:38:04:565,0.3405,2.535,8.1821,54.4278,0.2037,-0.213,-0.0361,-3.0356
16:38:04:584,0.6207,2.4379,8.0436,54.3992,-0.0469,-0.3338,-0.0618,-3.0356
16:38:04:605,0.4081,1.8232,8.4083,54.3175,-0.3151,-0.418,0.0095,-3.0356
16:38:04:624,0.5496,2.2854,9.2827,54.2546,-0.4507,-0.4192,0.2269,-3.0356
16:38:04:645,0.7982,2.1862,10.1011,54.2374,-0.303,-0.3434,0.2465,-3.0356
16:38:04:666,1.0065,2.4218,10.1731,54.307,-0.1535,-0.3544,0.1941,-3.0356
16:38:04:685,1.5101,2.339,9.7117,54.3039,-0.0764,-0.3077,0.1612,-3.0356
16:38:04:705,1.6357,2.6636,9.2413,54.4853,-0.1285,-0.2597,0.0785,-3.0356
16:38:04:724,1.5499,2.8349,9.066,54.1988,-0.2311,-0.2218,-0.026,-3.0356
16:38:04:745,1.1614,2.8301,9.2236,54.3976,-0.2678,-0.1222,-0.079,-3.0356
16:38:04:765,0.8983,2.7153,9.1929,54.3674,-0.2214,-0.0163,-0.0159,-3.0356
16:38:04:785,0.9285,2.7193,9.075,54.2028,-0.158,0.0094,0.0781,-3.0356
16:38:04:805,1.2106,2.8065,8.957,54.3548,-0.1483,-0.0238,0.0938,-3.0356
16:38:04:824,1.3777,2.8779,9.0798,54.381,-0.1833,-0.0219,0.0351,-3.0356
16:38:04:845,1.2085,2.7399,9.4247,54.3495,-0.1822,0.0208,-0.0111,-3.0356
16:38:04:865,1.0436,2.5317,9.5914,54.5769,-0.1108,0.0967,0.0138,-3.0356
16:38:04:885,1.0222,2.54,9.5947,54.5693,-0.0586,0.1445,0.0567,-3.0356
16:38:04:905,1.1668,2.4476,9.5292,54.2973,-0.0427,0.1888,0.0635,-3.0356
16:38:04:925,1.0744,2.5278,9.5384,54.3402,-0.0388,0.2369,0.0221,-3.0356
16:38:04:945,0.8157,2.6708,9.5391,54.4008,-0.021,0.2298,0.0392,-3.0356
16:38:04:965,0.7666,2.7776,9.6208,54.4319,0.0254,0.131,0.0769,-3.0356
16:38:04:985,0.8645,2.7685,9.6268,54.5112,0.079,0.0785,0.1089,-3.0356
16:38:05:005,0.9269,2.7548,9.6054,54.6629,0.1005,0.1271,0.1211,-3.0356
16:38:05:025,0.881,2.7662,9.6967,54.5973,0.1084,0.2045,0.1328,-3.0356
