Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:52:21:134,-0.6245,1.6408,9.9309,51.0851,0.2662,-0.4589,0.1235,0.0701
16:52:21:151,-0.5608,1.676,9.8457,50.9803,0.5738,-0.3758,0.1118,0.0754
16:52:21:172,-0.5694,1.8303,9.7057,51.0094,0.8059,-0.3641,0.1288,0.0829
16:52:21:191,-0.4727,2.0068,9.4205,50.7471,0.9656,-0.4972,0.1618,0.0923
16:52:21:211,-0.3074,2.2871,9.0007,50.5651,0.9923,-0.658,0.1735,0.1035
16:52:21:232,-0.0539,2.714,8.3647,50.4265,0.8283,-0.6888,0.1501,0.1152
16:52:21:251,0.0863,3.0123,7.9629,50.6358,0.461,-0.6037,0.1011,0.1248
16:52:21:271,0.1292,3.307,8.2336,50.4656,0.0362,-0.4812,0.0937,0.1304
16:52:21:291,0.3273,3.0784,9.041,50.4296,-0.1884,-0.4759,0.0777,0.1322
16:52:21:311,0.4945,2.7305,9.512,50.6607,-0.1554,-0.5046,0.0256,0.1327
16:52:21:332,0.6032,2.8023,9.3521,50.6264,-0.0032,-0.477,0.0415,0.134
16:52:21:351,0.556,3.1574,9.2211,50.7452,0.1224,-0.4386,0.1214,0.1365
16:52:21:371,0.6675,3.4987,8.9268,50.6159,0.148,-0.4269,0.1842,0.1398
16:52:21:391,0.9543,3.6537,8.6787,50.5901,0.0692,-0.3247,0.1714,0.1429
16:52:21:411,1.1012,3.765,8.6214,50.3268,-0.0862,-0.2459,0.1054,0.1446
16:52:21:432,1.1622,3.8393,8.7418,50.5265,-0.2012,-0.1522,0.0437,0.1446
16:52:21:452,1.1285,3.6271,8.68,50.587,-0.2395,-0.0032,-0.016,0.1433
16:52:21:471,0.9638,3.4941,8.5407,50.671,-0.2417,0.1075,-0.0564,0.141
16:52:21:491,0.8049,3.4232,8.3663,50.6768,-0.2395,0.1672,-0.0394,0.1383
16:52:21:511,0.7062,3.5391,8.2782,50.5826,-0.2726,0.2225,0.0117,0.1353
16:52:21:533,0.6733,3.6378,8.2291,50.4289,-0.3503,0.1948,0.0202,0.1318
16:52:21:551,0.5659,3.8333,8.5217,50.3909,-0.4557,0.0905,-0.0287,0.1277
16:52:21:571,0.4453,3.9254,8.9646,50.2194,-0.494,-0.033,-0.0586,0.1232
16:52:21:591,0.438,3.898,9.2613,50.2297,-0.4163,-0.0617,0.0011,0.1191
16:52:21:611,0.5575,3.9311,9.3433,50.1557,-0.2906,-0.0075,0.1214,0.116
16:52:21:632,0.805,4.0867,9.5496,50.175,-0.2161,0.0085,0.2161,0.1138
16:52:21:651,1.0121,4.3386,9.8391,50.0181,-0.1491,-0.0075,0.2406,0.1121
16:52:21:671,0.9805,4.5195,10.1578,50.2215,-0.0373,0.0256,0.2012,0.1111
16:52:21:691,0.8788,4.5145,10.2066,50.3229,0.1267,0.0916,0.1757,0.111
16:52:21:711,0.8163,4.4511,10.2451,50.2652,0.2449,0.1214,0.1799,0.112
16:52:21:733,0.6532,4.4253,10.5103,50.265,0.3492,0.0117,0.1757,0.1141
16:52:21:751,0.4267,4.373,10.8723,50.2749,0.5153,-0.1235,0.164,0.1174
16:52:21:771,0.3259,4.0832,10.9135,50.4608,0.807,-0.0532,0.1767,0.1232
16:52:21:791,0.1736,3.7548,10.5333,50.6629,1.0572,0.1757,0.1959,0.131
16:52:21:811,0.0377,3.4538,9.8388,50.9175,1.137,0.2832,0.2257,0.1397
16:52:21:833,0.0001,3.2772,9.2887,51.0361,1.0338,0.1874,0.2545,0.1493
16:52:21:851,0.1204,3.0004,9.0609,51.056,0.7964,-0.0341,0.2438,0.1563
16:52:21:871,0.3811,2.637,9.036,51.0063,0.5238,-0.2172,0.1693,0.163
16:52:21:891,0.6753,2.2893,9.0396,51.1753,0.3183,-0.2108,0.082,0.1681
16:52:21:912,0.8245,1.9334,8.865,51.2132,0.1821,-0.1107,0.0053,0.1714
16:52:21:932,0.6124,1.9744,8.7569,51.2554,0.0767,0.049,-0.0287,0.173
16:52:21:951,0.4473,2.2618,8.6098,51.4342,-0.0458,0.164,-0.0532,0.173
16:52:21:972,0.4374,2.211,8.3334,51.3827,-0.1682,0.2779,-0.1331,0.1714
16:52:21:992,0.3114,1.9965,7.9753,51.5175,-0.2534,0.4014,-0.2332,0.1681
16:52:22:012,0.078,1.848,7.6834,51.5229,-0.2768,0.478,-0.28,0.1636
16:52:22:032,-0.3234,1.888,7.345,51.5837,-0.2726,0.511,-0.23,0.1587
16:52:22:052,-0.7037,2.2319,7.0893,51.6844,-0.2502,0.5334,-0.0788,0.1538
16:52:22:072,-0.8535,2.5071,6.8098,51.8467,-0.1948,0.5494,0.115,0.1492
16:52:22:092,-0.9277,2.7769,6.5757,51.9828,-0.1533,0.5653,0.3045,0.1452
16:52:22:112,-0.9908,3.135,6.4086,52.0258,-0.1789,0.5451,0.4695,0.1416
16:52:22:132,-0.8727,3.5677,6.6803,52.0597,-0.3002,0.3854,0.5962,0.1379
16:52:22:152,-0.2927,3.38,7.262,52.2804,-0.4131,0.2364,0.6196,0.1338
16:52:22:173,0.1653,3.0204,8.1745,52.1257,-0.4365,0.099,0.5568,0.1297
16:52:22:192,0.3124,2.888,9.2398,52.0041,-0.2651,-0.1224,0.4738,0.1264
16:52:22:212,0.2701,2.9119,9.7245,51.8321,0.016,-0.2236,0.362,0.126
16:52:22:233,0.272,2.988,9.6749,51.8774,0.2332,-0.0777,0.247,0.128
16:52:22:252,0.0006,3.5167,9.3946,51.7997,0.2364,0.2992,0.1086,0.1304
16:52:22:272,-0.3462,4.2751,9.2233,52.0398,-0.0373,0.774,0.0075,0.13
16:52:22:292,-0.5571,4.5649,9.6027,52.2477,-0.4301,1.0476,-0.0564,0.1244
16:52:22:312,-0.4499,3.8464,10.0866,52.5709,-0.7815,1.0955,-0.2225,0.1142
16:52:22:332,-0.6647,3.1983,10.8484,52.5179,-0.9582,0.9284,-0.4716,0.101
16:52:22:353,-1.0904,2.8361,11.3001,52.4584,-0.8677,0.6494,-0.626,0.0877
16:52:22:373,-1.286,2.7368,11.6811,52.6429,-0.6239,0.2757,-0.6377,0.0771
16:52:22:392,-1.1023,2.527,12.012,52.6231,-0.329,-0.2342,-0.625,0.0709
16:52:22:412,-0.6743,2.3056,12.0073,52.6402,-0.0564,-0.6888,-0.6856,0.0698
16:52:22:432,-0.3757,2.3637,11.9403,52.9851,0.0181,-0.8432,-0.8475,0.0724
16:52:22:451,-0.4433,2.324,11.8922,53.2114,0.0319,-0.7357,-1.0135,0.0756
16:52:22:472,-0.8354,2.0329,11.6512,53.4682,0.1512,-0.4567,-1.0934,0.0784
16:52:22:495,-1.1286,1.7566,11.2335,53.6768,0.3556,-0.2087,-1.0316,0.0811
16:52:22:514,-1.3129,1.6162,10.7709,53.8745,0.5249,0.1512,-0.8847,0.0845
16:52:22:534,-1.4167,1.3595,10.0307,53.7188,0.577,0.5164,-0.6984,0.088
16:52:22:552,-1.2782,1.1467,9.1516,53.3371,0.5174,0.6771,-0.4791,0.0898
16:52:22:572,-0.8694,1.0941,8.472,53.4429,0.4205,0.5472,-0.2332,0.0909
16:52:22:592,-0.5318,1.2384,7.9535,53.3242,0.3343,0.4333,-0.0745,0.0921
16:52:22:612,-0.7256,1.4398,7.7283,53.4677,0.2204,0.4653,-0.1437,0.0927
16:52:22:632,-1.2555,1.7155,7.3091,53.4753,0.1522,0.4983,-0.1544,0.0922
16:52:22:652,-1.434,1.6578,6.4848,53.8967,0.0916,0.5089,-0.0298,0.0911
16:52:22:672,-1.5277,1.7309,5.8196,54.0287,-0.0021,0.5451,0.0884,0.0896
16:52:22:692,-1.7324,2.0129,5.5492,54.1757,-0.0649,0.7144,0.313,0.0873
16:52:22:713,-1.9693,2.3354,5.639,54.4589,-0.1118,0.9539,0.6271,0.0841
16:52:22:732,-2.0616,2.5944,6.0237,54.353,-0.1416,0.9273,0.9773,0.0803
16:52:22:752,-1.8928,2.6031,7.106,54.3502,-0.2342,0.4642,1.1786,0.077
16:52:22:771,-2.0882,2.8561,7.2093,54.7295,-0.4589,0.0256,1.1264,0.0745
16:52:22:792,-1.9083,2.9898,7.6508,54.8623,-0.6377,-0.0926,0.9284,0.0717
16:52:22:812,-1.673,2.9196,7.9961,55.1376,-0.774,-0.1299,0.7772,0.0676
16:52:22:833,-1.3126,2.9237,8.2796,55.3859,-0.8879,-0.0234,0.7197,0.0623
16:52:22:852,-1.1008,3.1056,8.9952,55.4272,-0.938,0.0202,0.7027,0.0556
16:52:22:872,-0.9115,3.3832,9.6702,55.6164,-0.8017,-0.1554,0.7974,0.049
16:52:22:892,-0.4981,3.3965,9.7517,55.3396,-0.5728,-0.3992,1.0306,0.0451
16:52:22:912,-0.2404,3.6569,10.1002,55.529,-0.3332,-0.577,1.383,0.0448
16:52:22:932,0.2658,4.4119,11.3793,55.7156,0.1054,-0.8645,1.6374,0.0486
16:52:22:952,1.2088,4.7809,11.851,56.1758,0.5078,-0.4056,1.3617,0.0569
16:52:22:972,1.5079,4.4391,12.0225,56.2106,0.4951,0.2193,0.5919,0.064
16:52:22:993,0.6667,4.1115,11.7997,56.5829,0.263,0.5227,-0.1703,0.066
16:52:23:015,-0.5504,3.9484,11.4176,56.84,-0.0224,0.5313,-0.5451,0.0638
16:52:23:033,-1.4246,3.1074,11.397,56.9184,-0.2545,0.6718,-0.7059,0.0589
16:52:23:052,-2.226,1.9969,11.9828,57.2497,-0.3354,0.7719,-0.8581,0.0515
16:52:23:072,-2.8899,0.613,11.7132,57.4621,-0.2364,0.6665,-1.0561,0.0433
16:52:23:091,-3.1031,-0.4154,11.0836,57.6642,-0.1001,0.4472,-1.2212,0.0365
16:52:23:111,-3.3389,-0.6094,10.2321,58.0165,0.0596,0.3833,-1.1913,0.0317
16:52:23:144,-3.3315,-0.4766,9.3566,57.8707,0.2268,0.3577,-0.9646,0.029
16:52:23:151,-3.4352,-0.0989,9.0609,58.1864,0.3226,0.016,-0.659,0.0285
16:52:23:173,-3.4201,0.4724,8.7612,58.0819,0.3386,-0.4812,-0.4035,0.0309
16:52:23:191,-2.9205,0.6577,8.1003,58.0215,0.3428,-0.8368,-0.2395,0.0361
16:52:23:211,-2.2487,0.5787,7.3168,58.0207,0.3535,-0.658,-0.1001,0.0429
16:52:23:232,-1.9128,0.8842,6.7317,58.3251,0.3503,-0.1682,0.1235,0.0489
16:52:23:252,-1.6436,1.3697,6.4821,58.6826,0.3034,0.2768,0.3907,0.0529
16:52:23:272,-1.6009,1.7176,6.4531,58.5618,0.2225,0.5824,0.4961,0.0546
16:52:23:292,-1.714,1.5617,6.3214,58.5056,0.1054,0.7751,0.5281,0.0541
16:52:23:311,-2.09,1.3539,6.3604,58.5651,-0.0309,0.7857,0.6931,0.0517
16:52:23:332,-2.4046,1.5778,6.8358,58.8966,-0.1246,0.8517,0.9539,0.0486
16:52:23:351,-2.6262,2.2521,7.6773,58.8153,-0.2736,0.6697,0.8986,0.0448
16:52:23:371,-2.309,3.2324,8.4644,59.1498,-0.4397,0.1373,0.4642,0.04
16:52:23:392,-1.3985,2.9339,9.3911,59.5665,-0.3822,-0.3748,0.2427,0.0364
16:52:23:412,-1.1878,2.7026,9.5631,59.3811,-0.1938,-0.7974,0.066,0.0363
16:52:23:432,-1.4414,2.6676,9.6825,59.4178,0.0692,-0.7708,-0.0224,0.0395
16:52:23:451,-1.3981,3.0617,9.7531,59.3456,0.1938,-0.8815,0.0138,0.0448
16:52:23:471,-1.0109,3.4862,9.7685,59.4081,0.0053,-1.1871,0.0703,0.0513
16:52:23:491,-0.6999,3.5976,10.6818,59.2633,-0.2747,-1.285,0.0905,0.0572
16:52:23:513,-0.3379,3.3598,11.8554,59.6102,-0.28,-1.1743,0.1011,0.0617
16:52:23:532,-0.0243,3.0876,12.5825,59.478,-0.1586,-0.9646,0.1288,0.066
16:52:23:552,0.0651,3.3071,12.9501,59.2955,-0.0447,-0.643,0.1927,0.0702
16:52:23:573,0.3115,3.2887,12.5086,59.2975,0.0362,0.0724,0.0873,0.073
16:52:23:592,0.5101,2.8564,12.1553,59.5521,0.0224,0.5919,-0.0852,0.0723
16:52:23:611,0.8057,2.0774,12.0235,59.657,0.1565,0.7921,-0.2459,0.0689
16:52:23:632,0.7151,1.1284,11.2858,59.7161,0.5919,0.6303,-0.5568,0.0666
16:52:23:652,-0.2751,0.3973,9.2345,59.651,0.9007,0.3662,-0.9763,0.0684
16:52:23:672,-1.191,0.6246,7.387,59.8503,0.7442,0.0106,-1.1956,0.0725
16:52:23:692,-1.7957,0.9861,6.7242,59.6221,0.247,-0.5557,-1.0998,0.0764
16:52:23:712,-2.0091,0.8224,6.686,59.8301,-0.2087,-0.7964,-0.9539,0.0788
16:52:23:732,-2.2877,1.1398,7.5152,59.9243,-0.5036,-0.9656,-0.7729,0.0791
16:52:23:751,-2.1848,1.5025,7.6481,59.834,-0.6111,-0.9145,-0.478,0.0784
16:52:23:772,-1.3665,1.1751,7.5997,59.6311,-0.7665,-0.4557,-0.2033,0.0768
16:52:23:791,-0.7236,1.1182,8.1439,59.4667,-0.8081,0.263,-0.0692,0.0714
16:52:23:811,-0.8963,1.5571,8.7854,59.7394,-0.6984,0.7634,-0.0106,0.063
16:52:23:832,-1.1045,1.5968,9.2519,59.6074,-0.3865,1.2936,0.1075,0.0534
16:52:23:852,-1.2679,1.6592,8.9878,59.5125,-0.0671,1.285,0.2906,0.045
16:52:23:872,-1.6392,2.1967,8.6269,59.8096,0.0639,0.7655,0.3226,0.0395
16:52:23:893,-1.2767,2.1451,8.7256,59.9843,0.0309,-0.1192,0.3024,0.0375
16:52:23:912,-0.8489,2.2848,9.3618,59.8977,0.1576,-0.5557,0.1916,0.0392
16:52:23:933,-0.9762,1.9655,9.5008,59.9171,0.2832,-0.4322,0.1171,0.0438
16:52:23:952,-0.9782,2.2057,9.2252,59.9385,0.3364,-0.2928,0.1491,0.0485
16:52:23:972,-0.7341,2.9521,9.173,59.7201,0.4035,-0.89,0.1831,0.0536
16:52:23:992,-0.775,3.1923,8.8169,59.3856,0.3407,-1.0966,-0.0639,0.0619
16:52:24:012,-1.1417,2.9978,8.5957,59.4996,0.2395,-0.4525,-0.0692,0.0692
16:52:24:033,-1.853,3.2583,8.3945,59.3165,0.1278,0.0234,0.0522,0.0729
16:52:24:052,-1.9068,2.955,8.5068,59.2585,-0.1672,0.0522,0.2225,0.0733
16:52:24:072,-1.6609,2.7316,9.2793,59.4807,-0.4716,-0.033,0.4056,0.0714
16:52:24:092,-1.7396,2.5193,10.5697,59.2979,-0.6143,0.5494,0.6526,0.0666
16:52:24:113,-1.6077,2.531,11.1215,59.114,-0.5068,0.8507,0.9305,0.0594
16:52:24:133,-1.62,2.5248,11.4699,59.0091,-0.3567,0.8336,1.1615,0.0523
16:52:24:152,-1.3873,2.8101,12.4287,59.2233,-0.1757,0.8869,1.2648,0.0468
16:52:24:172,-0.6955,2.3372,12.1874,59.141,0.0224,0.2949,1.0487,0.0434
16:52:24:192,-0.2873,1.0316,11.9326,59.1942,0.0841,-0.2491,0.5643,0.0436
16:52:24:212,-0.7132,0.0293,11.6113,59.3725,0.2374,-0.3897,0.2097,0.0465
16:52:24:233,-1.4257,-0.2471,10.72,59.0557,0.3726,-0.2204,0.0617,0.0509
16:52:24:253,-2.1488,0.0971,9.7436,58.5163,0.4078,-0.0192,0.0617,0.0551
16:52:24:272,-2.4242,0.8019,9.054,58.3531,0.3418,-0.1554,0.1001,0.0587
16:52:24:292,-1.4628,1.2182,8.8227,58.1519,0.23,-0.544,0.0117,0.0626
16:52:24:312,-1.0247,1.4278,8.492,57.8721,0.0979,-0.6931,-0.2587,0.0672
16:52:24:332,-1.3546,1.4687,8.2742,57.991,-0.0926,-0.4461,-0.3503,0.0708
16:52:24:352,-1.9535,1.4081,8.072,57.8733,-0.2374,0.0649,-0.1512,0.0712
16:52:24:372,-2.0131,1.3398,8.1018,57.8622,-0.2853,0.5313,0.181,0.0682
16:52:24:391,-1.2182,1.2578,7.973,57.864,-0.1565,0.6963,0.3716,0.0634
16:52:24:411,-0.6025,1.3019,7.7045,57.8535,0.016,0.4983,0.2002,0.0593
16:52:24:432,-1.1914,1.3726,7.3279,57.8044,0.1948,0.1778,0.0319,0.0575
16:52:24:451,-1.9009,1.4664,6.8679,57.5026,0.2417,-0.1011,0.1118,0.0587
16:52:24:471,-1.4915,1.2499,6.5974,57.313,0.0138,-0.4014,0.2395,0.0614
16:52:24:495,-0.2411,1.1211,7.0834,57.2061,-0.3364,-0.6739,0.132,0.0636
16:52:24:512,0.8529,0.9872,8.3172,56.9602,-0.642,-0.6015,-0.3684,0.0635
16:52:24:532,0.0434,0.8098,8.9769,56.9513,-0.626,0.0522,-0.8059,0.06
16:52:24:553,-1.8892,1.4312,8.6653,56.9656,-0.6856,0.6835,-0.8879,0.0528
16:52:24:572,-2.8333,2.0118,8.6912,56.9022,-0.8751,0.8698,-0.6707,0.0419
16:52:24:592,-2.6453,2.5277,9.541,56.8898,-0.9454,0.6399,-0.4291,0.0292
16:52:24:612,-2.477,3.2631,11.0839,56.5982,-0.7431,0.3939,-0.2513,0.0181
16:52:24:633,-1.9224,3.7911,11.9054,56.4316,-0.2555,0.0958,-0.0607,0.0111
16:52:24:653,-1.5065,3.6884,11.9436,56.5105,0.1118,-0.2875,-0.0511,0.0099
16:52:24:672,-1.5421,3.568,11.9835,56.3267,0.28,-0.4482,-0.0767,0.013
16:52:24:692,-1.7611,3.2363,12.2138,56.3733,0.3354,-0.3386,-0.0319,0.0177
16:52:24:712,-1.6635,3.0358,12.4631,56.0071,0.5259,-0.1299,0.0532,0.0225
16:52:24:735,-0.9396,2.5687,11.871,55.893,0.7697,0.0511,-0.0128,0.0282
16:52:24:752,-0.8058,1.8254,10.8399,56.0505,0.7474,0.1033,-0.2342,0.0343
16:52:24:772,-0.9795,1.0184,10.2127,55.9543,0.5408,0.1565,-0.3886,0.0391
16:52:24:792,-1.0249,0.0391,9.8228,55.8641,0.3173,0.1852,-0.4897,0.0417
16:52:24:812,-0.8285,-0.5398,9.6099,55.8626,0.1778,0.1501,-0.5195,0.0423
16:52:24:833,-0.5557,-0.8402,9.166,55.6848,0.0543,0.05,-0.5462,0.0422
16:52:24:852,-0.3269,-0.7923,8.7524,55.686,-0.1618,-0.1352,-0.5675,0.0415
16:52:24:872,-0.3347,-0.4421,8.6757,55.4298,-0.3087,-0.2151,-0.5877,0.0397
16:52:24:892,-0.7164,0.2546,8.502,55.3611,-0.3439,-0.1246,-0.5653,0.0372
16:52:24:912,-0.8324,0.8301,8.144,55.5671,-0.3098,-0.0437,-0.4855,0.0342
16:52:24:933,-0.6771,1.1861,7.8067,55.3178,-0.2896,-0.0277,-0.4823,0.031
16:52:24:952,-0.7162,1.4703,7.84,55.3618,-0.2726,-0.1022,-0.5345,0.0284
16:52:24:972,-0.8689,1.633,7.9179,55.2267,-0.1693,-0.1959,-0.6186,0.0262
16:52:24:992,-1.0739,1.7233,7.8289,55.0034,-0.016,-0.3311,-0.6537,0.0255
16:52:25:012,-0.9801,1.7077,8.0055,54.535,0.0692,-0.4259,-0.6771,0.0266
16:52:25:032,-0.8213,1.5638,8.0283,54.1333,0.0479,-0.4269,-0.7186,0.0286
16:52:25:052,-0.8043,1.5609,7.9599,54.0268,-0.1576,-0.3205,-0.7697,0.0297
16:52:25:072,-1.2291,1.5201,8.3977,53.7299,-0.4035,-0.2928,-0.7708,0.0283
16:52:25:092,-1.4598,1.3668,8.9592,53.7774,-0.494,-0.2459,-0.6186,0.0251
16:52:25:111,-1.5497,1.3193,9.3063,53.6095,-0.477,0.0128,-0.4525,0.0212
16:52:25:147,-1.8923,1.5626,9.4824,53.6017,-0.428,0.132,-0.3087,0.0166
16:52:25:151,-2.0407,1.5745,9.6841,53.7954,-0.3364,0.0596,-0.1799,0.0122
16:52:25:171,-2.0915,1.5481,9.8089,53.2164,-0.1799,-0.1192,-0.0671,0.0094
16:52:25:191,-1.6823,1.4872,9.9631,53.2668,0.0298,-0.2374,0.0192,0.009
16:52:25:211,-1.2568,1.7625,9.7945,52.9057,0.1767,-0.0884,-0.0021,0.0107
16:52:25:232,-1.4239,1.9124,9.5556,52.481,0.0554,0.0149,-0.0021,0.0124
16:52:25:251,-1.569,1.9444,9.9036,52.4651,-0.1863,-0.016,0.0852,0.0123
16:52:25:272,-1.3942,1.8697,10.6198,52.3351,-0.2555,-0.0884,0.197,0.0106
16:52:25:292,-0.9248,1.9351,11.3714,52.4369,-0.0979,-0.2065,0.2928,0.0093
16:52:25:311,-0.2383,2.4077,11.9191,52.3938,0.115,-0.3407,0.3066,0.0103
16:52:25:333,0.3513,2.8076,12.4945,52.1978,0.3279,-0.4951,0.2268,0.0137
16:52:25:353,0.9769,2.4149,12.6855,52.2505,0.5057,-0.6824,0.0298,0.0196
16:52:25:371,0.9306,1.5878,12.5476,52.1722,0.6069,-0.8027,-0.2683,0.0274
16:52:25:392,0.5542,0.4519,12.1945,52.0199,0.7069,-0.8538,-0.5568,0.0364
16:52:25:412,-0.2266,-0.5026,11.4237,52.0485,0.8123,-0.6037,-0.6942,0.0462
16:52:25:432,-1.0578,-0.7671,10.151,52.0633,0.7825,-0.2619,-0.6388,0.0555
16:52:25:453,-1.4937,-0.6792,8.9883,51.8469,0.5345,0.0373,-0.5611,0.0626
16:52:25:471,-1.8827,-0.5367,8.3029,51.6827,0.165,0.1586,-0.5483,0.0659
16:52:25:492,-2.3859,-0.3281,8.1447,51.7959,-0.1693,0.0948,-0.5291,0.0656
16:52:25:512,-2.5836,-0.3666,8.407,51.7767,-0.3662,-0.0852,-0.4354,0.0629
16:52:25:532,-2.633,-0.2881,8.6071,51.3682,-0.3194,-0.2385,-0.2012,0.0598
