Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:38:32:455,1.2942,1.4511,10.424,55.5642,-0.0043,-0.379,-0.4972,0.1619
17:38:32:474,0.9562,1.4413,10.2881,55.561,0.4195,-0.2055,-0.5068,0.1662
17:38:32:494,0.6138,1.5581,10.2447,55.5133,0.8751,0.1842,-0.4024,0.1729
17:38:32:515,0.3038,1.5923,9.6564,55.1157,1.169,0.2534,-0.2864,0.1822
17:38:32:534,0.2955,1.8883,9.1313,55.1391,1.2456,0.51,-0.2129,0.1915
17:38:32:554,0.3615,2.3443,8.4641,55.1083,1.1743,0.5632,-0.2332,0.2002
17:38:32:574,0.4649,2.8174,7.9813,55.1165,0.8602,0.4706,-0.3162,0.2068
17:38:32:594,0.0891,3.2297,8.1026,55.0168,0.3641,0.1395,-0.4312,0.2104
17:38:32:616,-0.6073,3.2441,8.6734,54.9583,-0.1757,-0.4802,-0.5089,0.2114
17:38:32:634,-0.462,2.9798,9.0022,54.9707,-0.6771,-1.0806,-0.5962,0.2104
17:38:32:654,0.3514,2.8772,9.1911,54.9794,-1.0146,-1.4415,-0.6942,0.2076
17:38:32:674,0.7412,2.8496,9.222,55.0441,-1.0774,-1.3159,-0.5345,0.2034
17:38:32:694,0.5583,3.8384,9.4612,55.2588,-0.5281,-0.9859,0.3258,0.2008
17:38:32:716,1.4086,3.7543,8.3693,55.3113,0.1214,-0.1427,0.7144,0.2015
17:38:32:734,1.6823,3.1083,8.0353,55.2641,0.2534,1.0583,0.7815,0.2003
17:38:32:754,1.2366,2.9718,8.3413,55.1868,0.5132,1.9707,0.7815,0.1966
17:38:32:774,1.0203,3.2951,8.9046,55.1167,0.5877,2.3241,0.7708,0.1923
17:38:32:794,0.945,3.8142,9.4437,55.26,0.5153,1.8855,0.7506,0.1886
17:38:32:815,1.1496,4.0305,9.4272,55.3578,0.3897,1.136,0.7091,0.1865
17:38:32:835,1.5853,4.1493,9.2201,55.4587,0.3141,0.577,0.6239,0.1863
17:38:32:855,1.7515,4.1922,8.8174,55.359,0.3311,0.2342,0.5153,0.1878
17:38:32:874,1.732,4.3923,8.3472,55.228,0.3226,0.082,0.4301,0.1901
17:38:32:894,1.6714,4.3313,7.7772,55.1547,0.2449,-0.0681,0.4205,0.1925
17:38:32:915,1.7329,4.5747,7.735,54.958,0.0362,-0.05,0.4354,0.1937
17:38:32:934,1.7812,4.6316,8.6505,54.8964,0.1852,0.3258,0.4567,0.1935
17:38:32:954,1.7892,4.56,9.0023,54.9527,0.4844,0.4695,0.412,0.1951
17:38:32:974,1.3863,4.7354,9.2792,55.1378,0.7335,0.4418,0.3364,0.1987
17:38:32:994,1.0821,5.083,9.407,55.2943,0.8964,0.1714,0.3535,0.2051
17:38:33:015,1.1128,5.3257,9.1867,55.4009,1.0125,-0.0767,0.4003,0.2137
17:38:33:034,1.3009,5.4623,8.7898,55.3767,1.0753,-0.181,0.4344,0.2236
17:38:33:054,1.6153,5.819,8.5655,55.0921,1.0987,-0.2704,0.4173,0.2342
17:38:33:074,1.9551,6.17,8.3692,54.6747,1.1243,-0.4301,0.3737,0.2455
17:38:33:094,2.2746,6.3332,8.0501,54.5279,1.1317,-0.6122,0.2864,0.2579
17:38:33:115,2.3292,6.5084,7.6799,54.7314,1.1115,-0.6441,0.2023,0.2704
17:38:33:134,2.1354,6.5349,7.4825,54.9367,1.0189,-0.4791,0.1757,0.2817
17:38:33:154,1.3621,6.3114,7.5258,54.9359,0.7665,-0.3098,0.198,0.2905
17:38:33:174,0.6713,5.8235,7.8453,54.9515,0.4887,-0.2832,0.3481,0.2966
17:38:33:195,0.2911,4.9337,7.9531,54.8215,0.1086,-0.3609,0.577,0.3001
17:38:33:215,0.6643,4.2049,8.5761,54.5771,-0.4003,-0.477,0.7442,0.3001
17:38:33:235,1.652,3.7428,9.7281,54.49,-0.642,-0.5877,0.6952,0.2978
17:38:33:254,2.1183,2.9983,10.142,54.6503,-0.5121,-0.577,0.4706,0.2961
17:38:33:274,1.8517,2.5482,9.9181,54.6561,-0.2214,-0.3758,0.2885,0.2957
17:38:33:296,1.3841,2.4419,9.3099,54.2653,0.0458,-0.1916,0.2619,0.2968
17:38:33:315,1.4078,2.561,8.5099,54.1983,0.1799,-0.0213,0.3343,0.2983
17:38:33:335,1.7795,2.432,7.7206,54.0372,0.2576,0.1054,0.4195,0.2998
17:38:33:354,2.3056,2.2497,6.8632,53.8457,0.2481,0.231,0.4141,0.3008
17:38:33:374,2.7276,2.1437,6.3006,53.849,0.1373,0.3173,0.296,0.3006
17:38:33:395,2.9943,2.338,6.0234,54.1576,-0.049,0.3002,0.1065,0.299
17:38:33:415,2.8304,2.467,5.9243,53.9975,-0.2715,0.1991,-0.0852,0.2961
17:38:33:435,2.5464,2.6754,6.2,54.0907,-0.4865,0.0841,-0.2108,0.292
17:38:33:454,2.4307,2.9673,6.5418,53.842,-0.5643,-0.0287,-0.2651,0.2876
17:38:33:474,2.4445,3.1756,6.7022,53.8797,-0.5675,-0.2033,-0.3002,0.2838
17:38:33:495,2.5094,3.5076,6.7914,53.9882,-0.544,-0.3588,-0.3418,0.281
17:38:33:516,2.6018,4.1833,6.8546,54.1968,-0.4844,-0.444,-0.3343,0.279
17:38:33:534,2.3614,4.7224,6.9306,54.2168,-0.4408,-0.4557,-0.2491,0.2777
17:38:33:555,2.261,5.3462,6.9726,54.2854,-0.4621,-0.412,-0.0383,0.2761
17:38:33:578,2.5079,5.7502,7.202,54.1365,-0.51,-0.3375,0.2065,0.2737
17:38:33:595,3.1961,5.9018,7.5896,53.8519,-0.4961,-0.1895,0.3811,0.2705
17:38:33:616,3.8803,5.8652,8.0701,53.585,-0.4546,-0.0777,0.3992,0.267
17:38:33:635,4.294,5.7477,8.5855,53.5246,-0.4322,-0.0447,0.2843,0.2635
17:38:33:655,4.1898,5.718,9.2583,53.4423,-0.4535,-0.0362,0.1224,0.2599
17:38:33:676,3.8234,5.6881,10.1424,53.1752,-0.3801,-0.0958,0.0021,0.2568
17:38:33:695,3.4495,5.7334,10.5253,53.2995,-0.1054,-0.1512,-0.0479,0.2559
17:38:33:716,3.2361,5.7531,9.9302,53.089,0.2406,0.0447,-0.0298,0.2574
17:38:33:734,3.0398,5.6624,9.4484,52.8349,0.4237,0.4834,0.0394,0.2587
17:38:33:754,2.7275,5.3978,9.6046,52.694,0.4738,0.8038,0.0979,0.2588
17:38:33:775,2.3609,5.0199,10.2003,52.7013,0.5025,0.7548,0.1459,0.2588
17:38:33:795,2.1906,4.6914,10.0868,52.5108,0.6069,0.4408,0.1789,0.2608
17:38:33:815,2.3721,4.2216,9.0979,52.5279,0.658,0.2864,0.1895,0.2646
17:38:33:834,2.3924,3.5137,8.244,52.5154,0.5909,0.4173,0.181,0.2676
17:38:33:854,2.1355,2.7433,7.9109,52.4899,0.4429,0.6452,0.2214,0.2685
17:38:33:875,2.1258,2.083,7.8255,52.2739,0.3045,0.823,0.2843,0.2671
17:38:33:895,2.1587,1.4825,7.6721,52.2632,0.0873,0.9305,0.2938,0.2635
17:38:33:915,2.1637,1.319,7.7752,51.9782,-0.264,0.9539,0.164,0.2571
17:38:33:935,1.7004,1.4668,8.3221,51.797,-0.6601,0.9358,-0.0192,0.2476
17:38:33:958,0.9497,1.7551,9.3012,51.713,-0.9252,0.7602,-0.0937,0.2361
17:38:33:975,0.4671,2.2037,10.1177,51.4866,-0.8538,0.3545,-0.0181,0.2263
17:38:33:994,0.5625,2.9407,9.7127,51.3025,-0.4684,-0.1491,0.1618,0.2218
17:38:34:015,1.2451,3.8478,8.3817,51.4436,-0.1661,-0.3364,0.3641,0.2216
17:38:34:035,1.8951,4.537,7.2392,51.57,-0.0948,-0.346,0.5174,0.2227
17:38:34:056,2.3083,4.967,6.7848,51.4246,-0.1714,-0.363,0.5866,0.2234
17:38:34:075,2.8336,5.0937,6.6135,51.299,-0.2662,-0.4791,0.5834,0.2239
17:38:34:095,3.2474,4.5089,6.4854,51.2917,-0.3013,-0.3939,0.444,0.2238
17:38:34:115,3.1718,3.6045,6.488,50.9363,-0.2821,-0.0245,0.2172,0.2222
17:38:34:134,2.7192,2.8978,6.9817,50.9014,-0.2672,0.4567,0.0298,0.2181
17:38:34:156,2.1672,2.7623,7.8444,50.8946,-0.2161,0.6367,-0.1139,0.2128
17:38:34:175,1.4857,2.6932,8.5491,50.6946,-0.1075,0.4195,-0.1565,0.209
17:38:34:195,1.2936,2.9081,8.5495,50.5904,-0.0362,-0.0617,-0.1267,0.2082
17:38:34:215,1.8166,3.7169,8.236,50.4664,-0.0596,-0.395,-0.116,0.2096
17:38:34:234,2.3361,4.2805,7.917,49.9727,-0.1139,-0.3769,-0.1554,0.2111
17:38:34:254,2.9218,4.8456,8.193,49.7787,-0.1991,-0.1448,-0.264,0.2108
17:38:34:275,3.2919,5.48,8.9089,49.5563,-0.2395,0.1448,-0.4653,0.2086
17:38:34:295,3.0916,5.5957,9.7897,49.3621,-0.1906,0.395,-0.7016,0.2052
17:38:34:315,2.5663,5.734,10.5647,49.6016,-0.1522,0.4397,-0.8187,0.2016
17:38:34:338,2.141,5.5113,11.2373,49.702,-0.1927,0.3492,-0.84,0.1982
17:38:34:355,1.9808,5.2532,12,49.7097,-0.2289,0.0692,-0.84,0.1957
17:38:34:375,1.8508,4.8413,12.3724,49.6801,-0.1065,-0.23,-0.7708,0.1952
17:38:34:394,1.7692,4.1031,12.0133,49.8574,0.0756,-0.3151,-0.6122,0.197
17:38:34:415,1.5596,3.0284,11.378,49.5055,0.1565,-0.2449,-0.4248,0.1997
17:38:34:436,1.4612,2.0507,11.1605,49.1335,0.1884,-0.1437,-0.1938,0.202
17:38:34:455,1.7565,1.1991,11.0729,48.8754,0.3205,-0.1991,-0.0234,0.2052
17:38:34:475,2.3956,0.8495,10.1766,48.595,0.5685,-0.3545,0.0064,0.211
17:38:34:495,2.9036,0.8487,8.6531,48.4,0.6718,-0.3673,-0.0926,0.2184
17:38:34:516,2.953,0.9675,7.339,48.3375,0.4557,-0.2438,-0.2257,0.2245
17:38:34:535,2.6621,1.1189,6.8037,48.0516,0.0181,-0.1693,-0.3162,0.2264
17:38:34:555,2.3727,0.9291,6.9136,47.8852,-0.444,-0.2779,-0.346,0.2249
