Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]",[],[],[]
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]","[0a:dd:3a:a3:22:1e, 36:25:b4:b1:06:70, c8:02:8f:d1:d7:59, b4:6d:c2:2f:69:ea, d0:aa:5f:e2:48:cc, 02:e0:4c:d4:6a:76, 34:f7:16:60:ed:7f, 70:fd:45:e9:ff:74, 70:fd:45:e9:ff:73, 70:fd:45:e9:ff:72, 70:fd:45:e9:ff:71, 70:fd:45:e9:ff:70, 3a:9e:80:1b:79:2b, c0:51:5c:29:20:6c, 36:da:4b:b1:06:70]","[DIRECT-Xiaomi SU7_213122, Xiaomi SU7_709639, HAP_TWPZOX, BYD_DVRc22f69ea, , BX-Y3#4780DCC2, hzbelle, wirelesscs, livestream, camera, wirelessDS, Livat WiFi, iTV-bScz, DC, Xiaomi SU7_709639]","[-80, -80, -91, -57, -72, -82, -90, -91, -94, -92, -94, -94, -93, -92, -65]"
signal_20251120_1738_2.csv,"['Lte', 'Lte']","[471, 484]","[-85, -106]","[0a:dd:3a:a3:22:1e, 36:25:b4:b1:06:70, b4:6d:c2:2f:69:ea, d0:aa:5f:e2:48:cc, 38:9e:80:bb:79:2b, 3a:9e:80:1b:79:2b, 7e:09:e9:5f:97:f1, 82:ae:54:b0:05:13]","[DIRECT-Xiaomi SU7_213122, Xiaomi SU7_709639, BYD_DVRc22f69ea, , lakala-ajd, iTV-bScz, , ⻓城智选]","[-77, -73, -47, -63, -83, -83, -65, -69]"
