Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:17:20:869,-0.5673,0.7644,10.2988,44.6209,-0.0484,0.0573,-0.0297,0
16:17:20:872,-0.5194,0.8422,10.1084,44.7499,0.0222,0.0392,-0.0172,0
16:17:20:875,-0.3578,0.9607,9.7852,43.9966,0.0648,0.0027,-0.0199,0
16:17:20:878,-0.3303,1.0098,9.6727,42.9098,0.04,-0.0055,-0.0441,-3.7801
16:17:20:886,-0.3902,0.9535,9.6918,43.6091,-0.0082,0.0227,-0.0571,-7.4464
16:17:20:908,-0.4297,0.9499,9.7744,43.3104,-0.0426,0.0608,-0.0553,-11.0013
16:17:20:927,-0.5266,0.9691,9.7744,44.1277,-0.049,0.0842,-0.0452,-14.4478
16:17:20:946,-0.5673,1.0505,9.6308,44.2407,-0.0391,0.0645,-0.0364,-17.7891
16:17:20:965,-0.5015,1.0696,9.6104,44.1767,-0.0359,-0.0141,-0.0462,-21.0286
16:17:20:985,-0.4608,0.9966,9.8954,43.9087,-0.0391,-0.0985,-0.0774,-24.1695
16:17:21:018,-0.6068,0.8158,10.1479,43.9737,-0.0205,-0.0926,-0.0787,-27.215
16:17:21:029,-0.6942,0.823,10.0007,43.8986,-0.0106,0.0001,-0.0244,-30.1674
16:17:21:045,-0.5039,0.9571,9.8523,44.0912,-0.0324,0.0488,0.011,-33.0283
16:17:21:064,-0.5087,0.9978,9.9217,44.2198,-0.0575,0.023,-0.0177,-35.8016
16:17:21:084,-0.632,0.8386,10.0534,44.7126,-0.0439,-0.0061,-0.038,-38.4917
16:17:21:103,-0.7996,0.7644,10.0629,44.8508,-0.0151,-0.0026,-0.0145,-41.1011
16:17:21:124,-0.687,0.7715,9.9564,42.9098,0.0096,0.0139,0.026,-43.6312
16:17:21:143,-0.5889,0.853,9.7601,44.1277,0.0091,0.0294,0.0347,-46.0844
16:17:21:163,-0.5889,0.835,9.7002,43.6719,-0.0229,0.0283,0.0302,-48.4642
16:17:21:182,-0.6212,0.7644,9.8523,43.4205,-0.0434,0.0192,0.0305,-50.7739
16:17:21:202,-0.6331,0.7153,9.9133,44.6126,-0.0245,0.0192,0.0513,-53.0153
16:17:21:225,-0.5625,0.7751,9.7373,43.2874,-0.0018,0.0179,0.072,-55.1903
16:17:21:242,-0.4656,0.896,9.6763,44.5737,-0.0101,-0.0047,0.0771,-57.3017
16:17:21:262,-0.3746,0.8841,9.729,44.3778,-0.0311,-0.0183,0.0635,-59.3518
16:17:21:283,-0.4572,0.8625,9.8606,44.3697,-0.0444,-0.0212,0.056,-61.343
16:17:21:301,-0.4285,0.8314,9.9049,43.1918,-0.0343,-0.0047,0.0635,-63.2768
16:17:21:322,-0.3878,0.8613,9.8163,42.9711,-0.0303,-0.001,0.0587,-65.1549
16:17:21:344,-0.3363,0.8362,9.972,42.7309,-0.041,-0.0327,0.0427,-66.9785
16:17:21:362,-0.3746,0.7739,10.0905,43.3758,-0.0258,-0.0141,0.0355,-68.7496
16:17:21:379,-0.3985,0.8015,9.8678,43.9168,-0.0117,0.0342,0.0515,-70.4699
16:17:21:399,-0.3447,0.8697,9.6511,43.919,-0.033,0.036,0.0467,-72.1399
16:17:21:419,-0.3279,0.8925,9.857,42.9203,-0.0679,0.0019,0.0198,-73.7616
16:17:21:439,-0.4249,0.732,10.0067,42.5233,-0.0671,0.011,0.0036,-75.3361
16:17:21:462,-0.5529,0.6626,10.0498,42.395,-0.0455,0.0118,0.0347,-76.8643
16:17:21:480,-0.3854,0.7608,9.9983,43.7577,-0.0058,0.0067,0.06,-78.3469
16:17:21:497,-0.3662,0.8757,9.8319,42.4311,0.0104,0.0017,0.047,-79.7864
16:17:21:517,-0.3339,0.8601,9.717,43.1443,-0.0082,0.0086,0.0217,-81.1847
16:17:21:537,-0.3698,0.7452,9.7625,44.2211,-0.0466,0.0137,-0.0009,-82.5424
16:17:21:559,-0.4117,0.6207,9.9756,43.3073,-0.0599,0.0014,-0.006,-83.8603
16:17:21:578,-0.4871,0.5872,10.0953,44.4033,-0.037,0.0057,0.007,-85.1387
16:17:21:597,-0.4332,0.6542,9.9768,42.8503,-0.0042,0.0224,0.0316,-86.3787
16:17:21:617,-0.383,0.7823,9.7385,44.2027,-0.0037,0.0379,0.0382,-87.5818
16:17:21:643,-0.2992,0.835,9.6164,43.735,-0.0349,0.0328,0.0241,-88.7499
16:17:21:656,-0.3686,0.8338,9.6559,42.1427,-0.0639,0.019,0.0057,-89.8842
16:17:21:675,-0.4332,0.7572,9.8391,42.1427,-0.0657,-0.0148,-0.0092,-90.9852
16:17:21:697,-0.4751,0.7236,9.8594,44.312,-0.0466,-0.0111,-0.0127,-92.0536
16:17:21:714,-0.4105,0.6949,9.8834,42.9123,-0.0399,-0.0066,-0.0153,-93.0898
16:17:21:735,-0.4237,0.6866,9.8523,43.1075,-0.0412,0.0312,-0.0217,-94.0945
16:17:21:756,-0.5757,0.6853,9.8044,43.4547,-0.0522,0.0267,-0.0217,-95.0685
16:17:21:777,-0.5458,0.6099,9.8834,43.7083,-0.0418,0.0187,-0.0196,-96.0128
16:17:21:796,-0.5374,0.586,9.9827,43.522,-0.0271,0.0275,-0.0047,-96.9288
16:17:21:815,-0.5482,0.6135,10.0354,44.693,-0.0215,0.044,-0.0015,-97.8164
16:17:21:834,-0.6344,0.5357,10.2677,44.2197,-0.0032,0.0584,0.0001,-98.6768
16:17:21:854,-0.6763,0.513,10.4795,44.3778,0.0368,0.1159,0.0334,-99.5115
