Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:54:57:741,-1.07,2.1071,8.5751,57.5931,0.2927,-0.209,-0.3568,-127.4676
16:54:57:760,-1.262,2.1761,8.9321,57.0504,0.1214,-0.1122,-0.3546,-127.4676
16:54:57:780,-1.226,2.0381,9.3731,56.5613,-0.0403,-0.1484,-0.3631,-127.4676
16:54:57:801,-1.176,2.021,9.519,56.6532,-0.0712,-0.1984,-0.3759,-127.4676
16:54:57:822,-1.133,2.0621,9.555,56.6959,-0.0755,-0.1909,-0.3589,-127.4676
16:54:57:841,-1.2071,1.983,9.7841,56.6517,-0.1084,-0.1026,-0.3387,-127.4676
16:54:57:861,-1.2281,1.853,10.1681,56.6667,-0.1159,-0.0718,-0.3216,-127.4676
16:54:57:880,-1.166,1.832,10.175,56.4677,-0.0722,-0.1717,-0.311,-127.4676
16:54:57:901,-1.073,1.7981,9.8591,56.3123,0.0076,-0.2005,-0.294,-127.4676
16:54:57:922,-1.044,1.88,9.7871,56.382,0.0192,-0.159,-0.2589,-127.4676
16:54:57:941,-0.996,1.9181,9.725,56.6192,-0.0223,-0.1057,-0.2174,-127.4676
16:54:57:961,-0.8,1.949,9.452,56.7584,-0.0041,-0.01,-0.1738,-127.4676
16:54:57:980,-0.711,1.961,9.2981,56.8095,-0.0147,0.0517,-0.161,-127.4676
16:54:58:000,-0.8261,1.9631,9.5231,56.7781,-0.0648,0.0528,-0.2035,-127.4676
16:54:58:022,-0.9341,1.916,9.54,56.5908,-0.0562,-0.0494,-0.2291,-127.3756
16:54:58:044,-0.9341,2.04,9.2051,56.5848,0.0417,-0.1111,-0.2248,-127.2796
16:54:58:060,-0.9461,2.153,8.93,56.7222,0.0821,-0.0781,-0.1918,-127.1786
16:54:58:081,-1.0031,2.1911,8.867,56.732,0.0309,-0.0228,-0.1898,-127.0735
16:54:58:100,-1.128,2.229,9.1639,56.6504,-0.0456,-0.0451,-0.2089,-126.9648
16:54:58:121,-1.173,2.133,9.15,56.5821,-0.0456,-0.1174,-0.2194,-126.8525
16:54:58:143,-1.161,2.09,8.997,56.2824,-0.0019,-0.1526,-0.2185,-126.7352
16:54:58:161,-1.188,2.052,8.891,55.9681,-0.0095,-0.1452,-0.2057,-126.6126
16:54:58:180,-1.226,1.9271,8.9801,56.011,-0.069,-0.094,-0.1833,-126.485
16:54:58:200,-1.245,1.877,8.951,56.0658,-0.085,-0.1196,-0.1312,-126.3535
16:54:58:222,-1.1111,2.021,8.7881,56.1741,-0.0946,-0.2036,-0.062,-126.2195
16:54:58:242,-0.893,2.0141,8.5511,56.35,-0.1371,-0.2069,-0.0737,-126.0859
16:54:58:260,-0.9671,2.0741,8.946,56.3563,-0.2722,-0.159,-0.1013,-125.9535
16:54:58:280,-0.9101,2.0419,9.2051,56.3536,-0.4224,-0.1942,-0.1269,-125.8226
16:54:58:301,-1.0271,2.09,9.734,56.4018,-0.5064,-0.1345,-0.1226,-125.6929
16:54:58:322,-1.166,2.136,10.632,56.4985,-0.5426,-0.1376,-0.0982,-125.5645
16:54:58:342,-1.14,2.382,10.484,56.5024,-0.3457,-0.2898,-0.0663,-125.438
16:54:58:360,-0.5651,2.636,8.7761,56.4839,-0.0679,-0.4293,0.0657,-125.3139
16:54:58:380,-0.146,2.469,8.456,56.4072,-0.0978,-0.2229,0.2009,-125.1948
16:54:58:400,-0.366,2.2631,9.753,56.4048,-0.3436,-0.0462,0.1466,-125.0852
16:54:58:423,-1.307,2.097,10.4981,56.36,-0.217,-0.2303,-0.0162,-124.9856
16:54:58:441,-0.144,2.552,8.331,56.2927,0.0884,-0.7699,-0.0386,-124.8908
16:54:58:460,0.0131,2.306,8.877,56.4294,0.2513,-0.4857,0.1742,-124.7972
16:54:58:479,0.111,2.351,8.925,56.6387,-0.0232,-0.2355,0.0785,-124.7972
16:54:58:501,-0.053,2.598,10.4981,56.8139,-0.0403,-0.1909,-0.0131,-124.7972
16:54:58:522,0.095,2.327,8.4131,56.9071,-0.1041,-0.6677,0.0518,-124.7972
16:54:58:540,0.3101,2.78,9.3221,56.9504,-0.0286,-0.3877,-0.0099,-124.7972
16:54:58:561,0.356,2.7491,8.891,56.9244,-0.1052,-0.3069,-0.0184,-124.7972
16:54:58:580,0.231,2.916,9.0971,56.9256,-0.1222,-0.2101,-0.0652,-124.7972
16:54:58:601,0.2861,3.062,8.4941,56.9449,-0.1584,-0.1419,-0.0631,-124.7972
16:54:58:622,0.0161,2.9981,8.97,56.9402,-0.3724,0.0454,-0.0844,-124.7972
16:54:58:641,-0.125,2.646,10.682,56.8611,-0.6182,0.2135,-0.0396,-124.7972
16:54:58:660,-0.374,2.387,10.575,56.6899,-0.5309,0.0656,-0.0003,-124.7067
16:54:58:680,-0.441,2.421,10.1441,56.699,-0.2713,0.0773,0.0785,-124.7067
16:54:58:700,-0.56,2.49,10.16,56.5473,-0.2361,0.1635,0.2115,-124.7067
16:54:58:721,-0.347,2.1311,10.565,56.2981,-0.367,0.172,0.369,-124.7067
16:54:58:740,-0.189,1.971,11.0921,56.1693,-0.3277,0.0858,0.4658,-124.7067
16:54:58:760,-0.2951,2.016,10.8791,55.9144,-0.1202,-0.0909,0.4903,-124.7067
16:54:58:780,0.083,1.755,10.6301,55.6428,0.0107,-0.2739,0.5009,-124.7067
16:54:58:800,0.305,1.47,11.1401,55.7461,-0.0786,-0.4037,0.4275,-124.7067
16:54:58:822,0.317,1.374,10.397,55.9538,0.0118,-0.5303,0.3902,-124.7067
16:54:58:841,0.533,1.3601,9.389,56.1105,0.1555,-0.3399,0.4158,-124.7067
16:54:58:860,0.89,1.001,10.0691,56.2766,0.0076,0.0155,0.4733,-124.7067
16:54:58:881,1.014,0.8141,11.058,56.1932,-0.1957,0.0986,0.4232,-124.7067
16:54:58:900,1.191,0.522,10.809,55.9092,-0.2861,0.089,0.3327,-124.7067
16:54:58:922,0.7391,-0.3251,10.6391,55.5978,-0.3542,0.3083,0.1924,-124.7067
16:54:58:940,-0.2351,-0.404,10.6181,55.4131,-0.3,0.6498,0.1699,-124.7067
16:54:58:959,-1.193,-0.327,9.9191,55.3543,-0.0403,0.8436,0.2721,-124.7067
16:54:58:980,-1.4921,-0.291,9.497,55.3485,0.2513,0.9893,0.4712,-124.7067
16:54:59:001,-1.499,-0.2771,9.983,55.4141,0.3172,0.8073,0.6309,-124.8079
16:54:59:022,-1.125,-0.279,10.038,55.2619,0.2992,0.2188,0.7052,-124.9258
16:54:59:040,-0.6131,-0.009,9.507,54.9992,0.4524,-0.2813,0.7393,-125.063
16:54:59:060,-0.0911,0.5651,9.0401,54.9951,0.5173,-0.5325,0.6574,-125.2203
16:54:59:081,0.3461,0.7421,8.0921,55.0782,0.4088,-0.5006,0.5328,-125.3957
16:54:59:100,0.02,0.852,8.075,55.3453,0.1502,-0.06,0.3893,-125.5848
16:54:59:122,-0.57,0.963,8.762,55.5319,-0.102,0.3636,0.2584,-125.7829
16:54:59:140,-0.728,1.082,8.489,55.3572,-0.1606,0.4093,0.2051,-125.9851
16:54:59:161,-0.96,1.226,8.331,55.1895,-0.1074,0.3869,0.1881,-126.1889
16:54:59:182,-0.848,1.353,8.307,54.8101,-0.1489,0.2816,0.2051,-126.3933
16:54:59:200,-0.74,1.329,8.424,54.4201,-0.1786,0.2124,0.2956,-126.5985
16:54:59:222,-0.876,1.5371,8.834,54.3412,-0.2244,0.1453,0.2445,-126.8073
16:54:59:240,-0.275,1.382,9.368,54.2927,-0.2414,-0.0696,0.2977,-127.0188
16:54:59:260,0.3821,1.4771,9.8111,54.2301,-0.1286,-0.3006,0.2721,-127.2341
16:54:59:280,-0.003,1.4441,10.517,54.4611,0.0608,-0.5613,0.2072,-127.453
16:54:59:300,-0.6611,1.389,10.0001,54.5924,0.3257,-0.9358,0.0891,-127.6733
16:54:59:322,-0.4811,1.554,9.8681,54.8378,0.5291,-1.0497,0.1614,-127.8906
16:54:59:340,0.705,2.004,10.745,55.0161,0.5514,-0.9571,0.3498,-128.1055
16:54:59:360,1.385,2.153,9.9191,55.0514,0.6333,-0.9497,0.4041,-128.3242
16:54:59:380,1.2371,2.174,9.1481,54.8287,0.7056,-0.7645,0.3244,-128.5506
16:54:59:400,0.3941,2.789,9.363,54.4825,0.6333,-0.3123,0.1742,-128.7836
16:54:59:422,-0.275,3.381,9.749,54.1705,0.5301,-0.1217,0.1614,-129.0185
16:54:59:440,0.042,3.383,10.139,53.845,0.4407,-0.0345,0.3233,-129.2527
16:54:59:460,0.605,3.1961,10.986,53.7223,0.3183,-0.0866,0.4137,-129.4905
16:54:59:480,0.794,3.0581,11.9441,53.8003,0.2108,-0.2186,0.4297,-129.7356
16:54:59:500,0.858,2.8331,12.464,54.0166,0.2108,-0.3814,0.4349,-129.9888
16:54:59:521,1.131,2.8061,12.0281,54.1429,0.2056,-0.4836,0.4977,-130.2499
16:54:59:540,0.935,2.924,12.045,53.957,0.1959,-0.2164,0.5169,-130.5202
16:54:59:561,0.329,2.8781,11.99,53.8133,0.1247,0.1006,0.4786,-130.801
16:54:59:580,0.042,1.92,12.114,53.8148,0.0544,0.2827,0.5159,-131.0908
16:54:59:601,0.2051,1.061,11.532,53.7616,0.0235,0.2571,0.6053,-131.3892
16:54:59:622,0.0161,0.8261,9.794,53.8929,0.1204,0.3806,0.685,-131.6989
16:54:59:641,-0.723,0.8621,8.19,53.9983,0.3365,0.9712,0.7532,-132.0223
