Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:24:16:446,0.134,9.0281,4.7785,35.5165,0.0914,-0.9455,-0.6943,17.627
16:24:16:455,-0.5025,7.6786,6.5109,33.7358,0.0914,-0.9455,-0.6943,17.8122
16:24:16:474,-0.9643,7.9011,5.391,36.5211,0.2991,-0.0377,-0.0945,18.0999
16:24:16:493,-0.8399,8.0207,4.3143,36.3388,0.4176,-0.1978,-0.0615,18.4275
16:24:16:511,-0.5838,8.1571,3.8453,37.4128,0.2967,-0.3224,-0.0248,18.7589
16:24:16:530,-0.4642,8.2074,4.0247,35.8839,0.0475,-0.381,0.0106,19.0822
16:24:16:550,-0.3087,8.1428,4.7378,36.9855,-0.1883,-0.4714,0.013,19.3969
16:24:16:572,-0.1412,7.9226,5.4293,36.7734,-0.3227,-0.5741,-0.0334,19.6991
16:24:16:589,-0.2393,7.8006,6.0371,37.4786,-0.3557,-0.6034,-0.1213,20.0037
16:24:16:608,-0.5934,7.6857,6.4128,34.2493,-0.3227,-0.5496,-0.1946,20.3326
16:24:16:626,-1.017,7.6523,6.6903,37.1411,-0.2298,-0.4433,-0.1824,20.6974
16:24:16:645,-1.1103,7.6427,6.2931,35.5792,-0.0723,-0.3554,-0.059,21.0875
16:24:16:664,-0.737,7.7551,5.5442,37.1418,0.0731,-0.2735,0.09,21.4751
16:24:16:684,-0.079,7.8485,5.3336,36.8032,0.0792,-0.2063,0.1841,21.8358
16:24:16:705,0.0622,7.7312,5.7906,37.3109,-0.0271,-0.1794,0.1621,22.1708
16:24:16:723,-0.3924,7.8293,5.9342,37.3303,-0.06,-0.177,0.0607,22.5013
16:24:16:742,-0.5025,7.8844,5.4891,37.8161,0.0194,-0.144,0.0253,22.8275
16:24:16:762,-0.335,7.9729,5.0106,37.6947,0.0548,-0.1367,0.0448,23.1438
16:24:16:780,-0.2249,8.016,4.9101,36.6018,-0.0002,-0.1514,0.0546,23.4447
16:24:16:799,-0.1029,7.9777,5.0991,36.3109,-0.0967,-0.1807,0.0485,23.7323
16:24:16:819,0.0024,7.9011,5.4245,36.9437,-0.1675,-0.1807,0.0277,24.0077
16:24:16:842,0.0455,7.9992,5.5442,35.3021,-0.1724,-0.1452,0.0179,24.2713
16:24:16:862,0.2728,8.0327,5.3384,36.9326,-0.126,-0.1355,0.0216,24.519
16:24:16:879,0.4762,7.9083,5.2259,37.0628,-0.1248,-0.1892,-0.0016,24.7501
