Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20260108_1617.csv,"['Lte', 'Lte']","[317, 309]","[-79, -96]","[10:8f:fe:af:9f:12, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:16, a8:43:a4:c5:d5:d2, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:23, 10:8f:fe:af:a0:54, d0:aa:5f:eb:56:b3, 32:08:71:f8:99:53, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:56, 10:8f:fe:af:a0:57, c0:e0:18:e5:e1:96, 10:8f:fe:af:a0:52, 10:8f:fe:af:a0:55, 10:8f:fe:af:a0:53, c0:e0:18:e5:e1:97, 10:8f:fe:af:a0:17, 10:8f:fe:af:a0:15, 10:8f:fe:af:a0:16, 8c:53:c3:cf:4f:a2, 10:8f:fe:af:a0:51, 10:8f:fe:af:a0:13, 10:8f:fe:af:a0:10, 10:8f:fe:af:a0:14, c0:e0:18:e5:e9:57, 10:8f:fe:af:a0:11, c0:e0:18:e5:e9:56]","[WirelessICC, Redmi Note 12 Turbo, WirelessSGF, IKEA APP, IKEA WIFI, WirelessDS, WirelessLocal_IO, WirelessMobile, WirelessLocal, XMY_D150R_I6_d5d2, IKEA APP, WirelessLocal_IO, WirelessLocal, WirelessSGF, WirelessICC, WirelessDS, WirelessMobile, IKEA WIFI, WirelessLocal_IO, , Xiaomi SU7_333639, WirelessSGF, WirelessLocal, IKEA APP, WirelessLocal, WirelessICC, WirelessDS, IKEA WIFI, IKEA APP, IKEA APP, WirelessDS, WirelessLocal, HFB111213, WirelessMobile, IKEA WIFI, WirelessSGF, WirelessLocal_IO, IKEA APP, WirelessMobile, WirelessLocal]","[-76, -78, -78, -78, -79, -79, -79, -79, -80, -83, -84, -85, -85, -85, -85, -86, -86, -86, -87, -87, -88, -88, -88, -88, -88, -89, -89, -89, -89, -89, -90, -90, -90, -91, -91, -92, -92, -92, -93, -93]"
signal_20260108_1617.csv,"['Lte', 'Lte']","[317, 309]","[-78, -96]","[8e:65:26:2e:6a:12, c0:e0:18:e5:dc:56, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:22, d0:aa:5f:eb:56:b3, 10:8f:fe:af:a0:54, 10:8f:fe:af:a0:57, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:52, 10:8f:fe:af:a0:55, 10:8f:fe:af:a0:56, 10:8f:fe:af:a0:53, 10:8f:fe:af:a0:51, 32:08:71:f8:99:53, 10:8f:fe:af:a0:11, 10:8f:fe:af:a0:12, 10:8f:fe:af:a0:15, 10:8f:fe:af:a0:16, 10:8f:fe:af:a0:14, 10:8f:fe:af:a0:17, c0:e0:18:e5:dc:53]","[Redmi Note 12 Turbo, WirelessLocal, WirelessSGF, WirelessICC, IKEA WIFI, WirelessDS, WirelessLocal, IKEA APP, WirelessMobile, IKEA WIFI, WirelessLocal_IO, WirelessLocal_IO, WirelessDS, WirelessMobile, WirelessLocal, IKEA APP, WirelessSGF, WirelessICC, , WirelessLocal_IO, IKEA APP, WirelessSGF, WirelessICC, WirelessDS, WirelessLocal, IKEA WIFI, WirelessMobile, Xiaomi SU7_333639, WirelessMobile, WirelessICC, WirelessDS, WirelessLocal, WirelessLocal_IO, IKEA APP, IKEA WIFI]","[-72, -79, -81, -81, -81, -81, -81, -81, -82, -82, -83, -83, -83, -83, -84, -84, -84, -84, -84, -87, -87, -88, -88, -88, -88, -88, -88, -89, -89, -89, -90, -90, -90, -90, -91]"
signal_20260108_1617.csv,"['Lte', 'Lte']","[317, 309]","[-79, -96]","[8e:65:26:2e:6a:12, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, a8:43:a4:c5:d5:d2, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d7, 10:8f:fe:af:a0:17, 10:8f:fe:af:9f:d6, 8c:53:c3:cf:4f:a2, d0:aa:5f:eb:56:b3, 10:8f:fe:af:a0:15, 10:8f:fe:af:a0:16, 10:8f:fe:af:a0:11, 10:8f:fe:af:a0:12, 10:8f:fe:af:9f:d0, 10:8f:fe:af:9f:d4, 10:8f:fe:af:a0:14, 10:8f:fe:af:a0:10, 10:8f:fe:af:a0:13, 32:08:71:f8:99:53]","[Redmi Note 12 Turbo, WirelessLocal_IO, IKEA WIFI, WirelessDS, IKEA APP, WirelessMobile, XMY_D150R_I6_d5d2, WirelessLocal, WirelessSGF, WirelessICC, WirelessLocal_IO, WirelessDS, WirelessLocal, IKEA APP, WirelessSGF, WirelessMobile, WirelessICC, IKEA WIFI, WirelessICC, WirelessDS, WirelessMobile, IKEA WIFI, IKEA APP, IKEA APP, WirelessLocal, HFB111213, , WirelessDS, WirelessLocal, WirelessMobile, WirelessICC, WirelessSGF, WirelessLocal_IO, WirelessLocal_IO, WirelessSGF, IKEA WIFI, Xiaomi SU7_333639]","[-67, -75, -76, -76, -76, -76, -76, -77, -78, -78, -78, -78, -78, -78, -78, -78, -78, -79, -86, -86, -87, -87, -87, -88, -88, -88, -89, -89, -89, -89, -89, -89, -89, -90, -90, -90, -92]"
signal_20260108_1617.csv,"['Lte', 'Lte']","[317, 309]","[-80, -96]","[10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:17, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:d7, 10:8f:fe:af:a0:52, 10:8f:fe:af:a0:56, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:54, 10:8f:fe:af:a0:57, 10:8f:fe:af:a0:51, d0:aa:5f:eb:56:b3, 10:8f:fe:af:a0:55, 10:8f:fe:af:a0:53, a8:43:a4:c5:d5:d2, 8c:53:c3:cf:4f:a2, 10:8f:fe:af:a0:17, 10:8f:fe:af:a0:16, 3c:a3:7e:e4:63:b5, 3c:a3:7e:e4:63:b6, 10:8f:fe:af:a0:15, 10:8f:fe:af:a0:12, 3c:a3:7e:e4:63:b1, c0:e0:18:e5:e1:93, 8c:53:c3:cf:55:06, e0:2d:f0:86:5b:cf]","[WirelessDS, WirelessLocal, IKEA APP, Redmi Note 12 Turbo, IKEA WIFI, WirelessICC, WirelessICC, WirelessLocal_IO, WirelessMobile, WirelessLocal_IO, WirelessDS, IKEA APP, WirelessSGF, IKEA WIFI, WirelessSGF, WirelessLocal, WirelessMobile, IKEA APP, WirelessICC, WirelessLocal, WirelessSGF, WirelessLocal_IO, IKEA APP, WirelessMobile, , WirelessDS, IKEA WIFI, XMY_D150R_I6_d5d2, HFB111213, IKEA APP, WirelessLocal, WirelessDS, WirelessLocal, WirelessDS, WirelessICC, WirelessMobile, IKEA WIFI, Xiaomi_5505, Smartphone_connect_865bcf]","[-77, -77, -77, -78, -78, -78, -79, -79, -79, -79, -79, -79, -79, -79, -80, -80, -80, -85, -86, -86, -87, -87, -87, -87, -87, -88, -88, -88, -90, -91, -92, -92, -92, -93, -93, -94, -94, -94, -95]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-80, -91, -104]","[8e:65:26:2e:6a:12, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, c0:e0:18:e5:dc:57, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d7, e2:19:a7:d7:e8:c6, 10:8f:fe:af:a0:54, d0:aa:5f:eb:56:b3, 8c:53:c3:cf:4f:a2, 10:8f:fe:af:9f:d0, 10:8f:fe:af:9f:d4, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d6, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:55, 10:8f:fe:af:a0:57, 10:8f:fe:af:a0:51, 10:8f:fe:af:a0:56, 10:8f:fe:af:a0:53, 10:8f:fe:af:a0:52, 10:8f:fe:af:9f:e5, c0:e0:18:e5:dc:54, 10:8f:fe:af:a0:16, 10:8f:fe:af:a0:11, 10:8f:fe:af:9f:e0, 10:8f:fe:af:9f:e2, 82:5b:11:17:34:86]","[Redmi Note 12 Turbo, IKEA WIFI, WirelessSGF, WirelessICC, WirelessDS, WirelessLocal, WirelessLocal_IO, IKEA APP, WirelessMobile, IKEA APP, WirelessSGF, WirelessICC, WirelessLocal_IO, WirelessDS, WirelessLocal, IKEA APP, WirelessMobile, IKEA WIFI, WirelessMobile, WirelessICC, IKEA WIFI, IKEA APP, vivo S30, WirelessLocal_IO, , HFB111213, WirelessSGF, WirelessLocal_IO, WirelessDS, WirelessLocal, WirelessSGF, WirelessDS, IKEA APP, WirelessMobile, WirelessLocal, IKEA WIFI, WirelessICC, WirelessDS, WirelessLocal_IO, WirelessLocal, WirelessMobile, WirelessSGF, WirelessICC, Xiaomi SU7_408264]","[-70, -73, -74, -74, -74, -74, -74, -74, -74, -79, -80, -80, -81, -81, -81, -81, -81, -81, -85, -85, -85, -85, -85, -86, -86, -86, -87, -87, -87, -87, -88, -88, -88, -88, -89, -89, -90, -91, -91, -92, -92, -92, -92, -93]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-82, -89, -104]","[a8:43:a4:c5:d5:d2, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:14, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:d2, 32:08:71:f8:99:53, 10:8f:fe:af:9f:d6, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d4, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d7, d0:aa:5f:eb:56:b3, 10:8f:fe:af:9f:d3, 10:8f:fe:af:a0:15, 10:8f:fe:af:9f:d0, 10:8f:fe:af:a0:13, 8c:53:c3:cf:4f:a2, 10:8f:fe:af:a0:17, 10:8f:fe:af:a0:10, 10:8f:fe:af:a0:16, 10:8f:fe:af:a0:14, 10:8f:fe:af:a0:51, c0:e0:18:e5:dc:57, e0:2d:f0:86:5b:cf, 10:8f:fe:af:a0:55, c0:e0:18:e5:dc:53, c0:e0:18:e5:dc:56, c0:e0:18:e5:dc:54, c0:e0:18:e5:dc:52, 10:8f:fe:af:a0:57, c0:e0:18:e5:dc:51, 10:8f:fe:af:a0:54, b0:cc:ce:29:73:36]","[XMY_D150R_I6_d5d2, WirelessDS, WirelessSGF, IKEA APP, WirelessMobile, WirelessLocal_IO, Redmi Note 12 Turbo, WirelessICC, IKEA WIFI, WirelessLocal, WirelessSGF, WirelessICC, IKEA WIFI, WirelessLocal_IO, WirelessDS, WirelessLocal, IKEA APP, WirelessMobile, WirelessICC, Xiaomi SU7_333639, WirelessLocal, WirelessMobile, WirelessLocal_IO, WirelessDS, IKEA APP, , IKEA WIFI, WirelessDS, WirelessSGF, IKEA WIFI, HFB111213, IKEA APP, WirelessSGF, WirelessLocal, WirelessLocal_IO, WirelessMobile, IKEA APP, Smartphone_connect_865bcf, WirelessDS, IKEA WIFI, WirelessLocal, WirelessLocal_IO, WirelessICC, IKEA APP, WirelessMobile, WirelessLocal_IO, ]","[-71, -75, -76, -76, -76, -77, -78, -78, -78, -78, -81, -81, -81, -82, -82, -82, -82, -82, -83, -84, -84, -85, -85, -85, -85, -86, -86, -87, -87, -87, -87, -88, -88, -89, -89, -90, -90, -91, -92, -92, -92, -92, -92, -93, -93, -94, -94]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-85, -91, -104]","[10:8f:fe:af:9f:10, 10:8f:fe:af:9f:13, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, 32:08:71:f8:99:53, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:d4, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d7, 10:8f:fe:af:9f:d0, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d6, 10:8f:fe:af:a0:53, 10:8f:fe:af:9f:20, d0:aa:5f:eb:56:b3, 10:8f:fe:af:a0:56, 10:8f:fe:af:a0:57, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:21, 8c:53:c3:cf:4f:a2, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:52, 10:8f:fe:af:a0:55, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:22, 10:8f:fe:af:a0:54, 10:8f:fe:af:a0:51, 10:8f:fe:af:9f:e5, 10:8f:fe:af:9f:e0, 10:8f:fe:af:9f:e3, 32:f7:8e:f8:99:53, 10:8f:fe:af:9f:e4, 10:8f:fe:af:9f:e7, a8:43:a4:c5:d5:d2, 10:8f:fe:af:9f:e2, 10:8f:fe:af:a0:13, 10:8f:fe:af:9f:e6, 3c:a3:7e:e4:63:b0, 10:8f:fe:af:a0:11, 3c:a3:7e:e4:63:b4]","[WirelessSGF, IKEA WIFI, Redmi Note 12 Turbo, WirelessICC, WirelessDS, WirelessLocal, WirelessLocal_IO, IKEA APP, WirelessMobile, Xiaomi SU7_333639, WirelessMobile, WirelessICC, WirelessLocal_IO, WirelessDS, IKEA APP, WirelessSGF, IKEA WIFI, WirelessLocal, IKEA WIFI, WirelessSGF, , WirelessLocal, IKEA APP, WirelessDS, IKEA APP, WirelessMobile, HFB111213, WirelessSGF, WirelessICC, WirelessDS, WirelessLocal_IO, WirelessICC, WirelessLocal_IO, WirelessMobile, WirelessDS, WirelessSGF, IKEA WIFI, Xiaomi SU7_333639, WirelessLocal_IO, IKEA APP, XMY_D150R_I6_d5d2, WirelessICC, IKEA WIFI, WirelessLocal, WirelessSGF, WirelessMobile, WirelessLocal_IO]","[-76, -76, -77, -77, -77, -77, -77, -77, -77, -81, -81, -81, -81, -81, -81, -82, -82, -82, -85, -85, -85, -86, -86, -86, -86, -86, -86, -87, -87, -87, -87, -87, -88, -88, -88, -89, -89, -89, -90, -90, -91, -91, -92, -92, -92, -93, -93]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-82, -89, -104]","[c0:e0:18:e5:dc:52, 10:8f:fe:af:9f:12, d0:aa:5f:eb:56:b3, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:11, 8c:53:c3:cf:4f:a2, 32:08:71:f8:99:53, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:26, 10:8f:fe:af:9f:20, 10:8f:fe:af:9f:22, 10:8f:fe:af:9f:23, 10:8f:fe:af:9f:24, 10:8f:fe:af:9f:25, 10:8f:fe:af:9f:27, 10:8f:fe:af:9f:21, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d0, 10:8f:fe:af:9f:d4, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d7, 10:8f:fe:af:9f:e2, c0:e0:18:e5:dc:55, c0:e0:18:e5:dc:57, c0:e0:18:e5:dc:56, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:e1, 10:8f:fe:af:9f:d6, 10:8f:fe:af:9f:e3, 10:8f:fe:af:9f:e4, 10:8f:fe:af:a0:11, 10:8f:fe:af:a0:12, 10:8f:fe:af:a0:10, 10:8f:fe:af:9f:e0, 10:8f:fe:af:a0:16, 10:8f:fe:af:a0:14, 10:8f:fe:af:a0:50, 10:8f:fe:af:a0:51, 10:8f:fe:af:a0:15, 10:8f:fe:af:a0:17, 10:8f:fe:af:a0:13]","[WirelessICC, WirelessICC, , Redmi Note 12 Turbo, WirelessSGF, WirelessDS, WirelessLocal, WirelessLocal_IO, IKEA APP, WirelessMobile, HFB111213, Xiaomi SU7_333639, IKEA WIFI, WirelessLocal, WirelessSGF, WirelessICC, IKEA WIFI, WirelessLocal_IO, WirelessDS, IKEA APP, WirelessMobile, IKEA WIFI, WirelessSGF, WirelessLocal_IO, WirelessDS, IKEA APP, WirelessICC, WirelessDS, IKEA APP, WirelessLocal, WirelessMobile, WirelessICC, WirelessMobile, WirelessLocal, IKEA WIFI, WirelessLocal_IO, WirelessMobile, WirelessICC, WirelessSGF, WirelessSGF, WirelessLocal, WirelessLocal_IO, WirelessSGF, WirelessMobile, WirelessDS, IKEA APP, IKEA WIFI]","[-78, -79, -79, -80, -81, -81, -81, -81, -81, -82, -82, -83, -83, -83, -83, -83, -83, -84, -84, -84, -84, -86, -87, -87, -87, -87, -87, -87, -88, -89, -89, -89, -89, -90, -90, -90, -91, -91, -91, -91, -92, -92, -93, -93, -93, -93, -93]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-87, -91, -106]","[8e:65:26:2e:6a:12, d0:aa:5f:eb:56:b3, 8c:53:c3:cf:4f:a2, 32:08:71:f8:99:53, 10:8f:fe:af:9f:d0, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d4, 10:8f:fe:af:9f:d6, 10:8f:fe:af:9f:d7, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:17, 3c:a3:7e:e4:62:b2, 3c:a3:7e:e4:62:b5, 3c:a3:7e:e4:62:b7, 8c:53:c3:cf:55:06, 10:8f:fe:af:a0:14, 3c:a3:7e:e4:62:b1, 3c:a3:7e:e4:62:b4, 10:8f:fe:af:a0:17, 10:8f:fe:af:a0:10, 3c:a3:7e:e4:62:b3]","[Redmi Note 12 Turbo, , HFB111213, Xiaomi SU7_333639, WirelessSGF, WirelessMobile, WirelessICC, WirelessDS, IKEA WIFI, WirelessLocal_IO, WirelessLocal, IKEA APP, IKEA WIFI, WirelessDS, WirelessLocal, WirelessSGF, WirelessICC, WirelessLocal_IO, WirelessMobile, IKEA APP, WirelessICC, WirelessDS, IKEA APP, Xiaomi_5505, WirelessLocal_IO, WirelessMobile, WirelessLocal_IO, IKEA APP, WirelessSGF, IKEA WIFI]","[-76, -81, -81, -82, -82, -82, -82, -82, -83, -83, -83, -83, -84, -85, -85, -86, -86, -86, -86, -87, -89, -90, -91, -91, -92, -92, -92, -93, -93, -93]"
signal_20260108_1617.csv,"['Lte', 'Lte', 'Lte']","[317, 314, 309]","[-86, -92, -106]","[d0:aa:5f:eb:56:b3, 10:8f:fe:af:9f:d0, 8c:53:c3:cf:4f:a2, 32:08:71:f8:99:53, 8e:65:26:2e:6a:12, 10:8f:fe:af:9f:d4, 32:f7:8e:f8:99:53, 10:8f:fe:af:9f:17, 10:8f:fe:af:9f:d7, d2:ec:1f:64:0c:aa, 10:8f:fe:af:9f:10, 10:8f:fe:af:9f:13, 10:8f:fe:af:9f:15, 10:8f:fe:af:9f:14, 10:8f:fe:af:9f:11, 10:8f:fe:af:9f:d3, 10:8f:fe:af:9f:d5, 10:8f:fe:af:9f:d6, 10:8f:fe:af:9f:12, 10:8f:fe:af:9f:d1, 10:8f:fe:af:9f:d2, 10:8f:fe:af:9f:16, 10:8f:fe:af:9f:e2, 10:8f:fe:af:9f:e5, c0:e0:18:e5:dc:54, 10:8f:fe:af:9f:e3, c0:e0:18:e5:dc:56, 10:8f:fe:af:9f:e7, c0:e0:18:e5:dc:53, c0:e0:18:e5:dc:51, c0:e0:18:e5:dc:52, c0:e0:18:e5:dc:55, c0:e0:18:e5:dc:57, 10:8f:fe:af:a0:14]","[, WirelessSGF, HFB111213, Xiaomi SU7_333639, Redmi Note 12 Turbo, WirelessLocal_IO, Xiaomi SU7_333639, IKEA APP, IKEA APP, DIRECT-Xiaomi SU7_776220, WirelessSGF, IKEA WIFI, WirelessDS, WirelessLocal_IO, WirelessMobile, IKEA WIFI, WirelessDS, WirelessLocal, WirelessICC, WirelessMobile, WirelessICC, WirelessLocal, WirelessICC, WirelessDS, WirelessLocal_IO, IKEA WIFI, WirelessLocal, IKEA APP, IKEA WIFI, WirelessMobile, WirelessICC, WirelessDS, IKEA APP, WirelessLocal_IO]","[-79, -79, -79, -82, -83, -85, -85, -86, -86, -86, -87, -87, -87, -87, -87, -87, -87, -87, -88, -88, -88, -89, -89, -90, -90, -90, -91, -91, -92, -92, -92, -92, -93, -94]"
