Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:04:35:661,-1.2227,4.8694,8.6536,42.4593,0.241,-0.0676,-0.0925,64.2814
17:04:35:682,-1.3926,4.9418,8.1458,42.6267,0.5031,-0.1454,-0.0585,64.2814
17:04:35:702,-1.2347,5.0758,7.8269,42.798,0.5648,-0.2125,0.0214,64.2814
17:04:35:724,-0.9661,5.1715,7.6187,42.9846,0.5276,-0.22,0.0577,64.2814
17:04:35:747,-0.7579,5.3222,7.6211,42.9709,0.4466,-0.1838,0.0236,64.2814
17:04:35:763,-0.8608,5.2672,7.8778,43.1899,0.3166,-0.1262,-0.0606,64.2814
17:04:35:782,-1.1838,5.2576,8.0931,43.3673,0.192,0.0101,-0.1181,64.2814
17:04:35:803,-1.2778,5.26,8.1123,43.6586,0.1377,0.1634,-0.0893,64.2814
17:04:35:823,-1.3352,5.394,7.9878,43.8499,0.2037,0.1644,-0.0467,64.2814
17:04:35:843,-1.1647,5.4425,7.6642,44.0953,0.3177,0.0634,-0.0148,64.2814
17:04:35:864,-1.0499,5.7033,7.3316,44.3512,0.3454,-0.0314,0.0108,64.2814
17:04:35:883,-0.8776,5.8349,7.2808,44.5544,0.306,-0.1646,0.0257,64.2814
17:04:35:908,-0.7507,6.0413,7.4489,44.6795,0.2442,-0.2391,0.0779,64.2814
17:04:35:924,-0.5994,6.204,7.5063,44.914,0.1526,-0.1891,0.1173,64.2814
17:04:35:944,-0.4008,6.192,7.7169,45.1888,0.0547,-0.1667,0.1226,64.2814
17:04:35:964,-0.3817,6.137,7.9783,45.1906,-0.0124,-0.1561,0.0939,64.2814
17:04:35:985,-0.4343,6.0293,8.1314,45.1824,-0.006,-0.1348,0.0459,64.2814
17:04:36:004,-0.4606,5.8828,8.1051,45.1065,0.0313,-0.0921,0.0108,64.2814
17:04:36:025,-0.4654,5.7224,7.9208,44.999,0.0686,-0.0495,-0.0031,64.2814
17:04:36:045,-0.4415,5.6674,7.7432,44.718,0.0951,-0.025,-0.018,64.2814
17:04:36:065,-0.4822,5.5262,7.6594,44.8751,0.0782,-0.0005,-0.0595,64.2814
17:04:36:085,-0.6574,5.3868,7.7049,44.7121,0.0228,0.0314,-0.0989,64.2814
17:04:36:109,-0.8225,5.3031,7.6977,44.6994,-0.0113,0.0708,-0.0989,64.2814
17:04:36:131,-0.8656,5.3414,7.5613,44.5614,-0.022,0.0975,-0.0574,64.2814
17:04:36:146,-0.7555,5.5454,7.6977,44.4112,-0.0529,0.0527,0.0097,64.2814
17:04:36:167,-0.7125,5.6483,7.8269,44.3484,-0.0933,0.0048,0.0513,64.2814
17:04:36:186,-0.6574,5.6913,7.791,44.3559,-0.1029,-0.0186,0.0694,64.2814
17:04:36:207,-0.5779,5.7846,7.9974,44.6994,-0.0912,-0.0879,0.0736,64.2814
17:04:36:227,-0.4678,5.7727,8.2965,44.6486,-0.0816,-0.1422,0.0662,64.2814
17:04:36:247,-0.4056,5.7655,8.2941,44.8083,-0.0443,-0.0996,0.064,64.2814
17:04:36:267,-0.3673,5.7631,8.0453,44.7242,0.0025,-0.0272,0.0491,64.2814
17:04:36:286,-0.329,5.7535,8.1099,44.9277,0.0036,-0.0218,0.0087,64.2814
17:04:36:309,-0.4128,5.6028,8.1529,45.0351,-0.0156,0.0005,-0.0425,64.2814
17:04:36:327,-0.5515,5.476,8.0501,44.9997,-0.0252,0.0421,-0.0691,64.2814
17:04:36:347,-0.7029,5.3988,8.0572,45.1085,-0.0454,0.0581,-0.0553,64.2814
17:04:36:368,-0.6598,5.3844,7.9615,44.9235,-0.0486,0.0687,-0.0137,64.2814
17:04:36:388,-0.6209,5.4353,7.8467,44.6895,-0.0262,0.0517,0.015,64.2814
17:04:36:409,-0.6257,5.4664,7.8467,44.5553,-0.0241,-0.0016,0.0225,64.2814
