Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:08:52:729,-2.4873,1.614,9.1496,43.4136,-0.1008,0.1826,-0.4194,-17.4475
17:08:52:748,-2.0489,1.7725,9.7125,43.2894,0.0004,0.008,-0.3395,-17.4475
17:08:52:768,-1.8096,1.7605,9.8345,43.3449,0.2762,-0.2061,-0.2959,-17.4475
17:08:52:789,-1.855,1.9759,9.6383,43.2238,0.5936,-0.3521,-0.2534,-17.4475
17:08:52:808,-1.7378,2.5364,7.9735,43.1522,0.8481,-0.1816,-0.181,-17.4475
17:08:52:831,-1.2275,2.8146,6.28,43.1791,0.7501,-0.0208,-0.2118,-17.4475
17:08:52:849,-1.2538,3.0826,7.6618,43.1265,0.1462,-0.3734,-0.3864,-17.4475
17:08:52:875,-1.1073,2.4239,9.3362,43.0248,-0.3596,-0.5044,-0.5409,-17.4475
17:08:52:890,-1.3783,2.2128,10.0768,42.9864,-0.4289,-0.2647,-0.5686,-17.4475
17:08:52:909,-1.7713,2.0548,10.395,42.9181,-0.284,-0.0208,-0.4844,-17.4475
17:08:52:930,-2.1039,2.2181,9.6383,42.6818,0.0228,0.1879,-0.2969,-17.4475
17:08:52:950,-2.0417,2.6584,8.4215,42.4795,0.3252,0.2337,-0.1043,-17.4475
17:08:52:981,-1.7234,3.0036,7.6355,42.3885,0.3806,0.1293,-0.0286,-17.4475
17:08:52:990,-1.4524,3.0347,7.5015,42.5062,0.1899,0.0027,-0.0883,-17.4475
17:08:53:010,-1.4716,2.6967,7.9711,42.2424,-0.0859,-0.0889,-0.2182,-17.4475
17:08:53:030,-1.7928,2.2875,8.5938,42.1437,-0.2861,-0.1369,-0.282,-17.4475
17:08:53:051,-1.9627,2.2325,8.7374,42.0783,-0.3234,-0.0868,-0.1916,-17.4475
17:08:53:084,-1.7282,2.656,8.5531,42.0612,-0.3043,-0.0325,-0.0286,-17.4475
17:08:53:092,-1.4261,3.0754,8.6704,41.9334,-0.349,-0.0964,0.0449,-17.4475
17:08:53:114,-1.3711,3.2213,9.1208,42.0745,-0.4236,-0.1859,0.0065,-17.4475
17:08:53:131,-1.5697,3.2261,9.2357,42.0584,-0.4129,-0.1827,-0.0446,-17.4475
17:08:53:152,-1.8072,3.4134,8.9725,41.9444,-0.3426,-0.09,-0.0489,-17.4475
17:08:53:184,-1.9388,3.6455,8.4742,41.9359,-0.3043,-0.0059,-0.0372,-17.4475
17:08:53:192,-1.7545,3.7077,8.2893,41.7482,-0.3096,-0.0826,-0.0521,-17.4475
17:08:53:218,-1.3639,3.5641,8.7039,41.5906,-0.3138,-0.3233,-0.1266,-17.4475
17:08:53:233,-1.3639,3.2961,9.0778,41.5955,-0.2659,-0.4415,-0.2427,-17.4475
17:08:53:253,-1.6104,2.9629,8.8953,41.5939,-0.1636,-0.2999,-0.3246,-17.4475
17:08:53:285,-1.7426,2.8552,8.2463,41.5806,-0.1083,-0.073,-0.3374,-17.4475
17:08:53:293,-1.6199,2.7667,8.3276,41.4173,-0.2126,-0.0282,-0.3076,-17.4475
17:08:53:317,-1.1025,2.4957,9.1735,41.0338,-0.3426,-0.1379,-0.2374,-17.4475
17:08:53:334,-0.7053,2.5005,10.0146,41.0514,-0.2883,-0.1955,-0.1266,-17.3567
17:08:53:353,-0.3745,2.9749,10.0193,41.2295,-0.0262,-0.0719,0.0236,-17.3567
17:08:53:377,-0.4295,3.7268,8.6106,41.1529,0.2634,0.1996,0.1013,-17.3567
17:08:53:396,-0.4319,4.0576,7.346,41.1041,0.2165,0.1847,0.0385,-17.3567
17:08:53:415,-0.4343,3.8542,7.4441,41.0835,-0.2435,-0.1848,-0.1469,-17.3567
17:08:53:435,-0.8225,2.9988,9.0969,41.0951,-0.8431,-0.5639,-0.3619,-17.3567
17:08:53:456,-1.474,2.3809,10.7641,41.0395,-1.1636,-0.6672,-0.412,-17.3567
17:08:53:478,-1.6152,2.1482,11.7847,40.9149,-1.0455,-0.6406,-0.2417,-17.3567
17:08:53:497,-1.1671,2.3378,11.6794,40.629,-0.6312,-0.532,0.0385,-17.2636
17:08:53:516,-0.4463,3.0251,10.678,40.4633,-0.1945,-0.3318,0.2803,-17.2636
17:08:53:536,0.1836,3.6239,9.801,40.3993,0.0356,-0.1198,0.3441,-17.2636
17:08:53:560,0.4522,3.883,9.1137,40.307,0.0887,0.1517,0.2324,-17.2636
17:08:53:576,0.4014,3.9858,8.1745,40.0458,0.0897,0.4723,0.0374,-17.2636
17:08:53:599,0.21,3.9476,7.4776,39.9838,0.0281,0.6278,-0.1714,-17.2636
17:08:53:617,-0.0724,3.6263,7.3699,39.993,-0.0795,0.467,-0.3811,-17.2636
17:08:53:636,-0.475,3.3248,7.8365,39.8256,-0.1402,0.1495,-0.5217,-17.2636
17:08:53:657,-0.7101,3.1448,8.3276,39.9358,-0.1146,-0.1049,-0.5153,-17.2636
