Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:14:42:350,-1.334,3.88,8.7314,18.991,-0.5533,-0.6174,-0.2457,0.0714
17:14:42:369,-1.8413,3.1669,9.1334,19.5829,-0.6061,-0.6413,-0.1752,0.051
17:14:42:390,-1.7982,3.0066,9.9996,19.8222,-0.6214,-0.4009,0.1342,0.0355
17:14:42:409,-1.0074,3.5031,10.1827,20.2555,-0.5176,0.0719,0.4644,0.0352
17:14:42:430,-0.2704,4.416,9.3416,20.399,-0.3163,0.3911,0.629,0.0463
17:14:42:449,0.0993,5.1673,7.9669,20.6137,-0.0848,0.3538,0.6064,0.0637
17:14:42:470,0.0885,5.5023,6.92,21.4192,0.0808,0.0371,0.4772,0.0824
17:14:42:490,-0.1723,5.4353,6.8925,22.0871,0.1755,-0.2118,0.3089,0.0978
17:14:42:510,-1.139,4.55,6.926,22.2739,0.1877,-0.2589,0.1455,0.1066
17:14:42:531,-1.2766,4.3932,6.9392,22.6721,0.0747,-0.1947,0.1413,0.1101
17:14:42:549,-1.1498,4.2162,7.2706,22.4185,-0.0362,-0.1141,0.1477,0.1106
17:14:42:569,-1.0576,4.2197,7.5206,22.5951,-0.0392,-0.0591,0.1804,0.11
17:14:42:589,-0.804,4.4219,7.3161,22.6405,0.0063,-0.097,0.2283,0.1096
17:14:42:611,-0.3517,4.8263,7.0481,22.7689,0.0215,-0.1623,0.2647,0.1151
17:14:42:629,0.1352,5.4042,7.2706,22.6772,0.0194,-0.2277,0.2555,0.1213
17:14:42:649,0.7525,5.9079,7.736,22.7444,0.0267,-0.2366,0.17,0.129
17:14:42:670,1.1569,6.0503,7.9334,22.9312,0.0392,-0.2677,0.0157,0.1376
17:14:42:690,0.9428,5.9821,8.2373,22.975,0.0564,-0.3587,-0.1321,0.1455
17:14:42:710,0.3996,5.9557,8.6931,23.6923,0.0872,-0.4186,-0.1923,0.1515
17:14:42:732,-0.0443,6.0108,8.8307,23.8595,0.1184,-0.4888,-0.2411,0.1568
17:14:42:752,-0.3745,5.7392,9.3835,24.1173,-0.1199,-0.8031,-0.0725,0.1617
17:14:42:770,0.3948,5.817,10.2915,24.5402,-0.2775,-0.7576,0.1694,0.1655
17:14:42:790,1.7659,6,11.4174,24.5993,-0.2637,-0.6046,0.363,0.1689
17:14:42:814,3.0891,6.4917,11.6184,24.8788,-0.078,-0.3129,0.3975,0.1728
17:14:42:830,3.4732,6.9177,10.282,24.9039,-0.0017,-0.2036,0.257,0.1776
17:14:42:849,2.9468,6.8052,9.3069,24.9415,-0.1287,-0.4409,0.0316,0.1843
17:14:42:871,2.5974,6.2237,9.7615,24.9108,-0.3768,-0.8673,-0.1794,0.192
17:14:42:890,2.814,4.8622,11.8493,25.0819,-0.4733,-0.9299,-0.3062,0.2025
17:14:42:911,3.0042,3.5928,13.218,25.4333,-0.2472,-0.6889,-0.3557,0.2041
17:14:42:930,2.9575,2.6991,13.0086,25.5473,0.308,-0.3401,-0.327,0.2058
17:14:42:950,2.8259,2.589,10.9268,26.1009,0.9033,-0.1013,-0.2253,0.2099
17:14:42:970,3.0676,3.2495,7.8951,26.3911,1.2262,-0.0976,-0.1648,0.2175
17:14:42:991,3.2758,4.0654,5.2164,26.5101,1.1736,-0.2436,-0.2286,0.2271
17:14:43:011,3.1908,4.8562,3.0999,26.4672,0.0664,-0.2677,-0.626,0.235
17:14:43:030,2.8798,4.7761,4.4399,26.738,-0.509,-0.027,-0.8196,0.2381
17:14:43:049,2.266,4.4423,6.1675,26.8325,-0.6706,0.1428,-0.8945,0.2363
17:14:43:070,1.992,4.2353,7.2287,26.9687,-0.451,0.0081,-0.8691,0.2328
17:14:43:090,2.0566,4.2449,7.474,27.0349,-0.1211,-0.0783,-0.8221,0.231
17:14:43:110,1.8628,4.4853,6.8626,27.1851,0.0744,-0.0619,-0.8248,0.2306
17:14:43:132,1.4058,4.6851,6.0359,27.304,0.0588,0.0524,-0.8215,0.2292
17:14:43:150,1.1103,4.8491,5.1936,27.6848,-0.1626,0.195,-0.7772,0.2261
17:14:43:169,0.7908,5.074,5.1171,28.1536,-0.389,0.1834,-0.7219,0.223
17:14:43:189,0.4199,5.3384,6.0467,27.6115,-0.4662,0.0741,-0.6663,0.2199
17:14:43:210,0.3063,5.2857,6.92,26.6207,-0.436,0.016,-0.6193,0.2168
17:14:43:230,0.134,5.2415,7.5326,26.2472,-0.3853,0.0386,-0.5399,0.2136
17:14:43:251,0.2094,5.4185,7.9968,26.3264,-0.3425,0.0487,-0.4244,0.2107
17:14:43:272,1.0181,6.0634,8.9779,26.0896,-0.1031,0.133,-0.2014,0.2085
17:14:43:291,1.4429,6.4762,9.1645,25.8214,0.1364,0.2011,-0.1568,0.2077
17:14:43:310,1.9155,6.9224,9.3751,25.8381,0.4583,0.254,-0.2659,0.2085
17:14:43:330,1.8305,6.8052,9.0341,26.2239,0.764,0.3254,-0.556,0.2109
17:14:43:350,0.6449,5.9533,8.0483,27.2449,0.9119,0.3099,-0.815,0.2142
17:14:43:370,-0.926,5.2654,7.2993,28.4635,0.8282,0.2601,-0.8352,0.2169
17:14:43:392,-2.0399,5.0393,7.4847,29.0993,0.5264,0.3572,-0.6092,0.2139
17:14:43:413,-2.0602,5.1218,8.3438,29.3895,0.1058,0.7918,-0.2405,0.2051
17:14:43:430,-1.7587,6.0132,8.8762,29.7931,-0.1443,1.1846,0.086,0.1959
17:14:43:450,-1.6032,7.407,8.5651,30.3296,-0.1141,0.9485,0.2442,0.1915
17:14:43:471,-1.4441,8.4287,8.6046,30.5506,-0.0759,0.3218,0.2286,0.1914
17:14:43:490,-1.1294,8.4766,9.8154,30.631,-0.2048,-0.0716,0.2338,0.191
17:14:43:509,-0.4223,8.0961,11.458,30.9558,-0.3935,0.0469,0.3025,0.1881
17:14:43:532,-0.2166,7.7515,12.7095,31.058,0.1434,0.3786,0.326,0.1853
17:14:43:549,-1.3101,6.3075,11.8002,31.4163,0.8147,0.2763,0.2717,0.1859
17:14:43:570,-2.0542,5.3946,9.6634,31.483,1.2882,0.2112,0.1614,0.19
17:14:43:590,-2.9958,4.4303,7.5218,31.7641,1.4329,0.2094,0.0612,0.1956
17:14:43:610,-3.9218,3.7053,5.744,31.8139,1.2854,0.2335,0.0646,0.2005
17:14:43:630,-4.1587,3.4241,4.8144,32.2939,0.9045,0.2753,0.1895,0.2035
17:14:43:651,-3.5557,3.3655,4.4818,32.5939,0.4388,0.3425,0.3319,0.2017
17:14:43:671,-2.8642,3.4337,4.5105,32.8722,-0.0484,0.323,0.4119,0.1977
17:14:43:689,-2.0985,3.5462,5.3025,33.1505,-0.5047,0.3389,0.4757,0.1914
17:14:43:710,-1.4644,3.6885,6.652,33.5456,-0.7567,0.472,0.546,0.184
17:14:43:731,-1.1174,3.7926,7.4991,33.9563,-0.662,0.5557,0.6486,0.1784
17:14:43:750,-0.603,4.1025,7.2838,34.2612,-0.3856,0.4528,0.8007,0.1759
