Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]","[b2:bc:7a:a4:f3:ab, 9a:da:c4:7e:27:f0, b2:bc:7a:a4:f3:2d, 4e:7e:70:4c:36:c2, c0:49:43:8c:ee:e0, c2:7a:77:8b:81:78]","[DIRECT-BMW 59404, DIRECT-Xiaomi_YU7_Pro_882998, DIRECT-BMW 59404, , JGLDH, yu7]","[-83, -72, -68, -54, -83, -54]"
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]","[b2:bc:7a:a4:f3:ab, 74:ee:2a:1e:09:1d, b2:bc:7a:a4:f3:2d, 48:8f:4c:15:7b:fc, 4a:75:62:64:5c:30, c2:7a:77:8b:81:78]","[DIRECT-BMW 59404, YYC_74ee2a1e091d, DIRECT-BMW 59404, CAR_DVR_67157bfc, Porsche_WLAN_0631, yu7]","[-82, -76, -77, -87, -81, -66]"
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]","[b2:bc:7a:a4:f3:ab, c2:85:88:8b:81:78, 9a:da:c4:7e:27:f0, 40:45:da:12:a3:f1, b2:bc:7a:a4:f3:2d, 68:4a:ae:9f:5e:64, 48:8f:4c:15:7b:fc, c2:7a:77:8b:81:78]","[DIRECT-BMW 59404, yu7, DIRECT-Xiaomi_YU7_Pro_882998, carletter_753e, DIRECT-BMW 59404, wirelesscs, CAR_DVR_67157bfc, yu7]","[-81, -72, -72, -86, -67, -87, -91, -62]"
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]","[b2:bc:7a:a4:f3:ab, c2:85:88:8b:81:78, 9a:da:c4:7e:27:f0, 40:45:da:12:a3:f1, 68:4a:ae:9f:5e:64, 68:4a:ae:9f:5e:61, b2:bc:7a:a4:f3:2d, c6:9e:28:7a:e6:c7, c2:9e:28:7a:e6:c7, ce:9e:28:7a:e6:c7, ca:9e:28:7a:e6:c7, c2:7a:77:8b:81:78, 48:8f:4c:15:7b:fc]","[DIRECT-BMW 59404, yu7, DIRECT-Xiaomi_YU7_Pro_882998, carletter_753e, wirelesscs, wirelessDS, DIRECT-BMW 59404, , FR-INTERNET, UQ-STORE, UQ-Laptop, yu7, CAR_DVR_67157bfc]","[-76, -66, -71, -85, -82, -83, -63, -79, -79, -79, -81, -54, -91]"
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,[],[],[],[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 322, 475]","[-80, -87, -89, -81, -97, -102, -105]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
signal_20251125_1615.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 471, 473, 49, 31, 33, 47]","[-80, -87, -89, -90, -96, -123, -124, -124, -125]",[],[],[]
