Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:53:33:717,-0.6963,3.8812,7.1187,64.1084,0.959,-0.9625,0.2537,0.12
16:53:33:719,-1.4836,4.2568,7.9609,65.0855,0.959,-0.9625,0.2537,0.1131
16:53:33:720,-1.4094,4.0606,9.0784,64.1979,-0.7746,0.0014,0.3111,0.0935
16:53:33:721,-1.3831,3.7256,10.2796,65.4935,-0.8161,-0.0914,0.2696,0.0756
16:53:33:722,-1.474,3.5127,10.8586,65.9132,-0.6377,-0.1953,0.2256,0.0624
16:53:33:723,-1.4501,3.5486,10.459,65.5958,-0.2932,-0.2295,0.2256,0.0565
16:53:33:723,-1.3591,3.685,9.6239,65.2456,0.0122,-0.2136,0.25,0.056
16:53:33:739,-1.084,3.7113,9.332,64.7457,0.0843,-0.2832,0.2427,0.0585
16:53:33:757,-0.9906,3.5438,9.2841,65.0855,-0.0476,-0.3541,0.1706,0.0604
16:53:33:777,-0.9547,3.3452,9.131,65.5649,-0.2065,-0.2661,0.1364,0.0604
16:53:33:798,-0.8925,3.405,8.7936,65.878,-0.3188,-0.0365,0.1841,0.0592
16:53:33:815,-0.6724,3.5438,8.9587,66.0073,-0.4594,0.1639,0.2402,0.0574
16:53:33:835,-0.3063,3.5653,9.9135,64.5564,-0.6023,0.2005,0.2317,0.0554
16:53:33:854,-0.3517,3.3165,10.3179,66.4764,-0.5803,0.0943,0.1132,0.0531
16:53:33:874,-0.6915,3.192,10.1504,66.3055,-0.3824,-0.0316,-0.0126,0.0513
16:53:33:894,-0.8734,3.0604,9.5569,65.3424,-0.171,-0.1305,-0.0847,0.0508
16:53:33:916,-0.9356,2.9503,9.0138,65.1638,-0.0782,-0.1452,-0.1214,0.0507
16:53:33:938,-1.017,2.8331,9.1478,66.9691,-0.1441,-0.1085,-0.1421,0.0495
16:53:33:954,-1.1438,2.6584,9.1382,65.8205,-0.2627,-0.1024,-0.1678,0.0473
16:53:33:973,-0.9595,2.5029,8.8223,63.8988,-0.3335,-0.0792,-0.1629,0.045
16:53:33:994,-0.7178,2.3857,8.7793,66.396,-0.4459,-0.0694,-0.1617,0.0422
16:53:34:017,-0.6724,2.1607,9.7244,66.785,-0.6267,-0.1049,-0.2167,0.0389
16:53:34:044,-0.8471,1.9645,10.3753,65.265,-0.6842,-0.144,-0.2912,0.035
16:53:34:055,-0.6796,1.7611,10.8347,66.0507,-0.4838,-0.1073,-0.2912,0.032
16:53:34:076,-0.5791,1.7946,10.6648,68.4973,-0.1625,-0.1391,-0.2826,0.0312
16:53:34:096,-0.6461,1.8042,10.1839,66.3852,0.1051,-0.2271,-0.3242,0.0324
16:53:34:116,-0.7801,1.7922,9.7484,66.4848,0.2309,-0.3077,-0.3278,0.0346
16:53:34:136,-0.7849,1.931,9.2865,67.3781,0.27,-0.2771,-0.2509,0.0372
16:53:34:158,-0.5791,2.1823,8.9731,66.8798,0.2456,-0.1501,-0.1519,0.0393
16:53:34:175,-0.3446,2.3641,9.0927,65.8867,0.16,-0.0499,-0.0969,0.0408
16:53:34:195,-0.2082,2.4383,9.3177,66.3151,0.0489,-0.0523,-0.1458,0.0419
16:53:34:214,-0.1699,2.1918,9.2889,66.8585,-0.0159,-0.1012,-0.2545,0.0427
16:53:34:235,-0.0861,1.9262,9.5976,67.0012,-0.0073,-0.1085,-0.351,0.0433
16:53:34:257,-0.3517,1.7492,9.7484,66.1677,0.0538,-0.1134,-0.4195,0.0435
16:53:34:275,-0.8734,1.7707,9.7627,67.2767,0.1124,-0.1098,-0.4488,0.0433
16:53:34:294,-0.9691,1.7204,9.7364,65.265,0.1405,-0.1037,-0.3853,0.0432
16:53:34:315,0.055,1.7444,9.789,66.2968,0.1332,-0.1183,-0.1519,0.044
16:53:34:338,0.213,1.6869,9.7867,66.7297,0.0696,-0.1085,-0.169,0.0464
16:53:34:359,0.0502,1.5314,9.9972,65.3207,-0.0122,-0.0548,-0.2448,0.0463
16:53:34:374,-0.1507,1.4285,9.9254,65.9335,-0.0599,0.0442,-0.2765,0.0448
16:53:34:397,-0.1603,1.6822,9.7651,66.9333,-0.0403,0.203,-0.1849,0.0427
16:53:34:419,-0.0335,1.9789,9.5617,65.4729,-0.0171,0.308,-0.0933,0.0403
16:53:34:441,0.0311,2.0506,9.3631,67.1742,-0.0623,0.2555,-0.0652,0.0383
16:53:34:455,-0.0838,2.0937,9.5043,66.3219,-0.1393,0.1223,-0.0542,0.037
16:53:34:474,-0.1699,2.0148,9.4852,66.3219,-0.1808,0.0356,-0.0395,0.036
16:53:34:493,-0.5432,2.2086,9.4564,66.4589,-0.1881,0.0576,0.0216,0.0347
16:53:34:517,-0.6197,2.2947,9.3392,68.0273,-0.1967,0.1431,0.1144,0.0328
16:53:34:535,-0.5456,2.077,9.5593,65.7083,-0.226,0.1358,0.1853,0.0309
16:53:34:555,-0.3613,1.6893,9.801,66.4652,-0.2908,-0.0707,0.1596,0.03
16:53:34:577,-0.3757,1.4022,10.081,65.9334,-0.3298,-0.2613,0.0985,0.0302
16:53:34:598,-0.7489,1.5003,10.1264,66.785,-0.2419,-0.1831,0.0863,0.03
16:53:34:616,-0.9858,1.5577,9.935,66.063,-0.0965,0.0393,0.1608,0.0287
16:53:34:633,-0.871,1.6343,9.8441,67.1742,0.0061,0.1321,0.2806,0.0275
16:53:34:654,-0.469,1.6606,9.6957,65.7724,0.0696,0.0735,0.3624,0.0275
16:53:34:676,-0.1675,1.797,9.2698,67.157,0.1344,0.0564,0.371,0.0284
16:53:34:695,0.055,1.8497,8.9731,66.385,0.1417,0.038,0.3221,0.0295
16:53:34:719,0.0383,1.7827,9.0975,66.1555,0.0599,-0.0059,0.239,0.0305
16:53:34:738,-0.3087,1.6558,9.5498,67.0811,-0.0696,-0.0682,0.1572,0.0308
16:53:34:756,-0.2943,1.7803,9.6933,65.9797,-0.0659,0.0173,0.2048,0.0306
