Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]","[bc:9b:5e:fc:58:c1, 5c:e8:83:7e:a4:b4, 5c:e8:83:7e:a4:b3, 5c:e8:83:7e:a4:b2, 5c:e8:83:7e:a4:b1, 5c:e8:83:7e:a4:b0, 62:e6:f0:4f:f4:a9, 68:4a:ae:9f:7e:94, 68:4a:ae:9f:7e:92, 68:4a:ae:9f:7e:91, 24:b8:da:7c:3a:64, 02:b5:53:61:39:64, bc:13:a8:de:51:7a, 10:9f:4f:bc:f6:3b, 38:a9:1c:2e:95:c6, c0:49:43:f1:59:83, c0:49:43:b2:a9:e1, 70:fd:45:71:14:54, 70:fd:45:71:14:53, 44:a1:91:a5:79:d4, 70:fd:45:71:14:52, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d2, 70:fd:45:71:14:51, 44:a1:91:a5:79:d1, 44:a1:91:a5:79:d0, 7a:34:fd:53:f7:77, 70:fd:45:71:14:50, 2c:05:47:3c:24:b5, 44:a1:91:a5:79:c1, 44:a1:91:a5:79:c0, a2:ef:4e:77:ee:aa, 38:a9:1c:2e:95:c5, 22:28:3e:14:fc:d4, 44:a1:91:a5:79:c4, 24:69:68:f0:0d:88, e8:9a:ff:06:a5:bb, 7c:b5:9b:17:0a:70, c0:49:43:b2:a9:e0, c0:49:43:f1:59:82, 62:e6:f0:2f:f4:a9]","[芒果Mango, wirelesscs, livestream, camera, wirelessDS, Livat WiFi, MBUX 88414, wirelesscs, camera, wirelessDS, CMCC-樊文花, 萌宝奇贝_5G, PPM-5G, 修个机-5G, tengye_5G, LTE-WiFi_5A1D_5G, LTE-WiFi_5A1D_5G, wirelesscs, livestream, wirelesscs, camera, livestream, camera, wirelessDS, wirelessDS, Livat WiFi, DIRECT-53-iQOO Z9 Turbo, Livat WiFi, GMB_24b5, wirelessDS, Livat WiFi, Redmi K60, tengye, iTV-3Y2r, wirelesscs, 艾力斯特, DIRECT-13-Android_81d3, , LTE-WiFi_5A1D, LTE-WiFi_5A1D, MBUX 88414]","[-75, -89, -86, -86, -88, -86, -87, -94, -94, -95, -83, -88, -92, -91, -85, -70, -67, -89, -89, -88, -91, -87, -86, -91, -87, -85, -94, -93, -74, -74, -75, -81, -78, -80, -90, -63, -75, -57, -67, -63, -70]"
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte']","[466, 456, 467]","[-80, -87, -89]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 473, 322, 475]","[-80, -87, -89, -82, -105, -140]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 473, 322, 475]","[-80, -87, -89, -82, -105, -140]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 473, 322, 475]","[-80, -87, -89, -82, -105, -140]",[],[],[]
signal_20251125_1601.csv,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[466, 456, 467, 473, 322, 475]","[-80, -87, -89, -82, -105, -140]",[],[],[]
