Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
16:46:12:613,-1.215,6.3835,7.9644,75.0348,-0.1535,0.1409,0.4195,-0.2864
16:46:12:633,-0.3303,5.1026,7.1396,75.6158,-0.1594,0.3918,0.4326,0.2903
16:46:12:653,0.5771,7.2155,7.3623,74.3342,-0.2837,0.5089,0.2978,0.2903
16:46:12:672,-0.4308,5.9358,7.6005,75.9726,-0.3183,0.3209,0.0981,0.3325
16:46:12:697,-1.3957,5.8891,8.4481,73.9441,-0.3604,0.4168,0.0637,0.3305
16:46:12:719,-1.5142,6.1992,8.5331,74.1891,-0.2038,0.3321,0.1844,0.3278
16:46:12:732,-0.9899,5.7994,7.7023,74.8046,-0.1,0.2626,0.3447,0.3247
16:46:12:752,-0.2752,5.9191,6.7793,75.8874,-0.1721,0.4234,0.3673,0.3231
16:46:12:773,0.0899,6.1884,6.5219,74.9249,-0.3511,0.3507,0.2432,0.3231
16:46:12:792,-0.0107,6.2076,7.3647,75.5161,-0.4739,0.1553,0.0954,0.3226
16:46:12:812,-0.4883,5.5755,8.3535,76.2428,-0.4219,0.0303,-0.0098,0.3184
16:46:12:831,-0.9097,5.6174,8.7593,75.0166,-0.2235,0.0048,-0.0101,0.3143
16:46:12:851,-1.1671,5.8042,7.9333,74.8991,-0.0677,0.0735,0.0658,0.3143
16:46:12:872,-0.9528,5.8616,7.2857,74.4492,-0.125,0.0929,0.1287,0.3103
16:46:12:895,-0.7014,5.858,7.5873,74.9668,-0.2829,-0.0807,0.0909,0.3082
16:46:12:914,-0.9576,5.9502,8.2278,74.3297,-0.3402,-0.2919,0.0115,0.3066
16:46:12:931,-1.8255,6.1872,8.2158,74.6729,-0.3194,-0.3009,0.0448,0.3022
16:46:12:950,-2.2995,6.4003,7.9261,75.3082,-0.3372,-0.139,0.2179,0.3022
16:46:12:971,-2.2157,6.4566,8.5151,75.6051,-0.4502,0.1481,0.3638,0.2975
16:46:12:991,-1.768,5.7599,9.1364,75.1478,-0.4092,0.4032,0.4195,0.296
16:46:13:014,-1.5298,5.0153,9.5075,76.0348,-0.2627,0.9151,0.4919,0.2902
16:46:13:033,-0.0897,5.3876,8.9532,74.9336,0.0641,0.9633,0.6557,0.2885
16:46:13:051,0.3317,5.2523,7.962,74.6503,0.1488,0.9185,0.5135,0.2856
16:46:13:071,-0.4452,5.4977,7.9453,73.5043,0.0835,1.0711,0.2664,0.285
16:46:13:090,-1.3993,5.5025,8.2027,75.6622,0.099,0.8187,0.2067,0.2863
