Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:18:19:834,-0.624,2.385,15.155,46.7121,0.6974,-0.4757,-1.1881,0.0244
17:18:19:855,-0.3,2.9951,10.484,46.5223,0.4154,-0.547,-1.0795,0.0313
17:18:19:875,0.7571,2.471,7.956,46.3305,-0.3637,-0.2692,-1.0604,0.0464
17:18:19:901,1.1141,1.3571,8.547,46.253,-0.9852,0.2618,-1.0359,0.0592
17:18:19:913,-0.372,1.484,8.973,46.2954,-1.3619,0.7428,-0.7187,0.0558
17:18:19:933,-0.542,1.029,9.957,46.3039,-1.1118,0.8386,-0.8741,0.0398
17:18:19:954,-0.753,0.704,9.311,46.2165,-0.6967,0.811,-1.2328,0.0226
17:18:19:974,-0.7001,1.1111,8.777,46.0485,-0.286,0.712,-1.3882,0.0082
17:18:19:992,-1.2251,1.362,8.6569,45.8034,0.0535,0.4746,-1.3179,0.0024
17:18:20:013,-1.538,1.338,8.394,45.79,0.3866,0.2703,-1.0944,-0.0005
17:18:20:034,-1.7561,1.638,8.1709,45.7516,0.6804,0.199,-0.7826,0.0001
17:18:20:053,-1.881,1.985,8.1379,45.6557,0.9305,0.0703,-0.5144,0.0052
17:18:20:074,-1.658,2.018,8.078,45.6377,1.1103,-0.216,-0.3985,0.0141
17:18:20:092,-1.493,2.0021,7.6661,45.4538,1.0933,-0.2788,-0.4814,0.0262
17:18:20:112,-1.737,2.169,7.599,45.6327,0.8964,-0.2384,-0.6006,0.0385
17:18:20:133,-2.168,2.294,7.896,45.6389,0.7028,-0.2681,-0.5442,0.0476
17:18:20:153,-2.5991,2.303,8.4371,45.4739,0.593,-0.1224,-0.3516,0.0528
17:18:20:171,-3.0131,2.2601,9.0979,45.5116,0.5611,0.117,-0.1452,0.0541
17:18:20:191,-3.3,2.33,9.318,45.3062,0.4877,0.3745,-0.0015,0.0525
17:18:20:214,-3.494,2.4041,9.543,45.2095,0.2643,0.4991,0.0837,0.0496
17:18:20:232,-3.705,2.567,9.725,45.2293,0.0227,0.6726,0.1529,0.045
17:18:20:257,-3.968,2.715,9.699,45.0993,-0.0934,1.0079,0.2434,0.0393
17:18:20:273,-4.845,3.1151,9.33,45.2394,-0.1136,1.2706,0.4179,0.0319
17:18:20:296,-5.7521,3.6341,8.846,45.3764,-0.2051,1.1462,0.5913,0.0244
17:18:20:318,-5.9201,3.519,8.774,45.6121,-0.4414,0.6332,0.6467,0.018
17:18:20:334,-5.426,3.3371,9.6911,45.8335,-0.5936,0.1479,0.6902,0.0119
17:18:20:351,-5.051,2.9021,10.824,45.8669,-0.3893,0.2937,0.7998,0.0073
17:18:20:370,-4.8971,2.612,10.845,45.7655,-0.0092,0.628,0.9861,0.0028
17:18:20:390,-4.6271,2.8301,9.687,45.7812,0.1238,0.6875,1.0574,0.0002
