Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:02:35:532,-0.048,6.266,6.063,52.0582,-0.1394,-0.2203,-0.2431,0.3127
18:02:35:555,0.045,6.024,6.537,51.9003,-0.4345,-0.3013,-0.2505,0.3397
18:02:35:580,0.464,6.0461,6.908,52.6506,-0.7157,-0.4898,-0.3028,0.3389
18:02:35:592,0.617,5.945,7.538,53.1805,-0.9277,-0.5474,-0.3901,0.3362
18:02:35:612,0.272,5.5931,8.711,52.4496,-0.8925,-0.5441,-0.4839,0.3305
18:02:35:631,-0.134,5.342,9.195,51.5817,-0.5889,-0.5505,-0.4881,0.3231
18:02:35:654,-0.2471,5.325,8.7851,53.0198,-0.2833,-0.5239,-0.3997,0.3153
18:02:35:671,-0.141,5.4881,8.048,52.2929,-0.1735,-0.4088,-0.307,0.3089
18:02:35:691,0.0011,5.4281,7.605,52.2929,-0.2087,-0.1937,-0.2921,0.3035
18:02:35:711,-0.5171,5.732,7.526,52.8974,-0.2683,0.0716,-0.275,0.2993
18:02:35:731,-0.9311,6.005,7.8641,52.9179,-0.2758,0.2175,-0.1567,0.2961
18:02:35:754,-0.843,6.2471,8.3111,52.9406,-0.2523,0.2335,-0.0759,0.2939
18:02:35:770,-0.9791,6.515,8.8961,52.801,-0.2162,0.1919,-0.0578,0.2923
18:02:35:790,-1.1801,6.333,9.137,52.3163,-0.1607,0.0918,0.0158,0.2911
18:02:35:811,-0.678,6.338,9.494,50.5044,-0.1309,0.0129,0.0914,0.29
18:02:35:830,-0.369,6.314,9.269,51.0746,-0.0979,0.0268,0.1063,0.2889
18:02:35:854,-0.3731,6.2471,9.152,51.8774,-0.1937,0.159,0.1426,0.2876
18:02:35:871,-0.0671,5.723,10.263,51.8585,-0.3151,0.2633,0.0562,0.2863
18:02:35:890,0.1001,5.1551,11.1101,52.1046,-0.2119,0.2793,-0.2591,0.285
18:02:35:910,-0.62,5.3801,10.325,51.2015,-0.0947,0.2175,-0.4902,0.2839
18:02:35:930,-1.6421,5.514,9.5801,52.2143,-0.2705,0.2772,-0.4146,0.2836
18:02:35:950,-2.622,4.226,10.2821,51.5841,-0.491,0.225,-0.2101,0.2836
18:02:35:970,-2.978,2.6891,10.823,50.7427,-0.5123,0.1856,-0.143,0.283
18:02:35:989,-4.068,3.0341,9.9971,50.2474,-0.3396,0.3176,-0.1504,0.2813
18:02:36:009,-5.061,3.7571,9.027,50.9097,-0.0712,0.4817,0.1841,0.2795
18:02:36:029,-4.2311,3.252,7.758,50.7732,0.1705,0.5424,0.5654,0.2786
18:02:36:049,-3.203,2.529,6.774,50.1206,0.0821,0.6266,0.689,0.2793
18:02:36:069,-2.6771,2.3231,6.5921,50.2405,-0.1724,0.6414,0.5164,0.2811
18:02:36:089,-2.8181,2.27,7.335,49.3196,-0.4143,0.535,0.2097,0.2829
18:02:36:108,-3.572,3.276,7.859,47.2243,-0.4845,0.3048,0.0754,0.2837
18:02:36:128,-3.582,4.013,8.132,47.7018,-0.3248,0.3304,0.363,0.2833
18:02:36:148,-3.026,3.855,7.9571,48.488,0.0087,0.4305,0.8019,0.282
18:02:36:168,-2.576,3.3161,7.7771,49.0593,0.2878,0.5862,1.0959,0.2813
18:02:36:190,-2.6171,3.24,7.878,49.4226,0.2793,0.5754,1.1791,0.2821
