Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:12:47:374,-1.073,2.939,9.726,38.7637,0.4029,-0.3356,-0.2225,0.0201
17:12:47:389,-0.977,2.882,9.7211,38.5975,0.4689,-0.5457,-0.2507,0.0229
17:12:47:390,-0.7691,2.762,9.678,38.5677,0.5264,-0.7315,-0.3044,0.0268
17:12:47:401,-0.651,2.637,9.6161,38.5108,0.5471,-0.861,-0.3825,0.0312
17:12:47:412,-0.647,2.484,9.6881,38.5222,0.5239,-0.8805,-0.457,0.0357
17:12:47:420,-0.74,2.348,9.791,38.5222,0.4751,-0.7865,-0.4913,0.04
17:12:47:432,-0.848,2.2211,9.776,38.6318,0.4139,-0.6203,-0.4718,0.0432
17:12:47:444,-1.058,2.2421,9.539,38.6174,0.3235,-0.4542,-0.4082,0.0452
17:12:47:451,-1.178,2.336,9.3911,38.4563,0.1855,-0.3186,-0.308,0.0468
17:12:47:461,-1.1591,2.472,9.5201,38.3015,0.0364,-0.1671,-0.2017,0.0476
17:12:47:470,-1.094,2.5511,9.8981,38.1147,-0.0478,0.0162,-0.137,0.0474
17:12:47:479,-1.236,2.666,10.0541,37.8573,-0.0381,0.1383,-0.1284,0.0467
17:12:47:490,-1.473,2.7761,9.929,37.6447,0.023,0.1469,-0.1297,0.046
17:12:47:499,-1.616,2.879,9.7211,37.7281,0.0914,0.0393,-0.1162,0.0458
17:12:47:510,-1.5521,2.853,9.53,37.6735,0.1585,-0.1243,-0.0991,0.0464
17:12:47:520,-1.41,2.75,9.309,37.572,0.216,-0.2916,-0.0979,0.0391
17:12:47:530,-1.3241,2.642,9.1061,37.6321,0.243,-0.4236,-0.115,-0.029
17:12:47:541,-1.2401,2.556,8.955,37.8365,0.2343,-0.4762,-0.137,-0.0273
17:12:47:551,-1.1569,2.451,9,38.0671,0.1953,-0.4652,-0.1517,-0.025
17:12:47:561,-1.082,2.369,9.1541,38.1875,0.1513,-0.4089,-0.1639,-0.0228
17:12:47:569,-1.0511,2.3021,9.2591,38.1461,0.111,-0.3491,-0.1724,-0.0211
17:12:47:580,-0.936,2.223,9.314,37.866,0.0707,-0.3039,-0.1724,-0.0197
17:12:47:590,-0.8261,2.149,9.36,37.7403,0.0377,-0.2391,-0.1627,-0.0186
17:12:47:600,-0.785,2.163,9.374,37.7253,0.0205,-0.1622,-0.1554,-0.0179
17:12:47:611,-0.7811,2.238,9.293,37.4363,0.0205,-0.0998,-0.1627,-0.0175
17:12:47:620,-0.864,2.3291,9.156,37.391,0.0254,-0.0815,-0.1882,-0.0172
17:12:47:630,-0.9941,2.3651,9.0461,37.2017,0.0254,-0.1097,-0.2139,-0.0169
17:12:47:640,-1.0271,2.396,8.9141,37.248,0.0254,-0.1415,-0.2299,-0.0164
17:12:47:651,-1.006,2.4581,8.835,37.5678,0.0181,-0.15,-0.2347,-0.0158
17:12:47:660,-0.9431,2.568,8.814,37.7211,0.0059,-0.1438,-0.242,-0.0153
17:12:47:670,-0.9461,2.6231,8.826,37.7746,-0.0026,-0.1218,-0.2652,-0.0149
17:12:47:680,-0.9911,2.64,8.828,37.783,-0.01,-0.117,-0.2945,-0.0146
17:12:47:690,-1.025,2.621,8.79,37.7382,-0.0186,-0.1195,-0.3153,-0.0143
17:12:47:700,-1.0369,2.606,8.804,37.5092,-0.0283,-0.1293,-0.3263,-0.0139
17:12:47:717,-1.0871,2.568,8.8931,37.6456,-0.0356,-0.1634,-0.3422,-0.0135
17:12:47:719,-1.2,2.537,9.029,37.6125,-0.0406,-0.2208,-0.3508,-0.0139
17:12:47:730,-1.248,2.4941,9.168,37.1525,-0.0381,-0.2636,-0.3435,-0.0131
17:12:47:740,-1.2191,2.472,9.249,37.1674,-0.0308,-0.2721,-0.3252,-0.0133
17:12:47:751,-1.152,2.4671,9.2711,36.9217,-0.0333,-0.2453,-0.3117,-0.0126
17:12:47:761,-1.1111,2.496,9.278,36.8587,-0.0491,-0.1915,-0.3044,-0.0125
17:12:47:770,-1.118,2.534,9.3311,37.1071,-0.0711,-0.1268,-0.297,-0.0122
17:12:47:780,-1.118,2.594,9.372,37.193,-0.0881,-0.0657,-0.2848,-0.0125
17:12:47:791,-1.121,2.678,9.431,37.0587,-0.0881,-0.012,-0.2727,-0.0128
17:12:47:801,-1.0271,2.7431,9.3551,37.0083,-0.0723,0.0015,-0.2714,-0.0124
17:12:47:812,-0.831,2.673,9.1151,37.0382,-0.0613,-0.0375,-0.2945,-0.0124
17:12:47:821,-0.702,2.5511,9.02,36.9954,-0.0833,-0.1195,-0.3325,-0.01
