Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:38:57:452,-1.329,3.2051,8.988,46.4644,-0.2057,-0.1753,-0.0608,0.0479
17:38:57:462,-1.257,3.2051,8.996,46.4644,-0.2215,-0.201,-0.0608,0.0267
17:38:57:471,-1.113,3.183,9.0221,18.4325,-0.2362,-0.2181,-0.0682,0.0316
17:38:57:484,-1.2761,3.258,8.991,18.5008,-0.2447,-0.2206,-0.0803,0.0377
17:38:57:491,-1.233,3.2981,9.077,18.48,-0.241,-0.2193,-0.0792,0.041
17:38:57:501,-1.1471,3.1811,9.137,18.6717,-0.2277,-0.2266,-0.0877,0.0352
17:38:57:510,-1.1801,3.078,9.158,18.5271,-0.2032,-0.223,-0.0975,0.0353
17:38:57:521,-1.176,3.102,9.1751,18.4499,-0.1763,-0.2351,-0.1048,0.0289
17:38:57:530,-1.14,3.1211,9.1871,18.3097,-0.1532,-0.2571,-0.1035,0.0286
17:38:57:540,-1.118,3.107,9.0941,18.1765,-0.1397,-0.2669,-0.0987,0.0343
17:38:57:550,-1.044,3.095,9.087,18.1302,-0.136,-0.2633,-0.0913,0.0353
17:38:57:559,-0.912,3.123,9.096,18.0911,-0.1324,-0.2474,-0.089,0.0359
17:38:57:569,-0.7901,3.1211,9.099,18.3076,-0.1238,-0.2303,-0.0925,0.0365
17:38:57:578,-0.647,3.159,9.147,18.2623,-0.1079,-0.2034,-0.1072,0.0371
17:38:57:589,-0.5651,3.188,9.2021,18.4129,-0.0909,-0.1693,-0.1305,0.0376
17:38:57:598,-0.584,3.2261,9.276,18.4569,-0.0749,-0.1277,-0.1513,0.038
17:38:57:608,-0.551,3.282,9.3671,18.4924,-0.0664,-0.0898,-0.1573,0.0382
17:38:57:618,-0.4961,3.344,9.4271,18.4236,-0.0627,-0.069,-0.1561,0.0383
17:38:57:627,-0.5201,3.353,9.501,18.3931,-0.0566,-0.0543,-0.15,0.0383
17:38:57:637,-0.5171,3.365,9.537,18.4864,-0.0432,-0.041,-0.15,0.0416
17:38:57:647,-0.5321,3.42,9.527,18.4496,-0.0272,-0.041,-0.1598,0.042
17:38:57:656,-0.599,3.432,9.518,18.4992,-0.0236,-0.0397,-0.1768,0.045
17:38:57:668,-0.69,3.456,9.6041,18.5581,-0.0407,-0.0336,-0.1842,0.0453
17:38:57:676,-0.764,3.425,9.716,18.624,-0.0602,-0.0385,-0.1745,0.0472
17:38:57:687,-0.833,3.372,9.803,18.7693,-0.0664,-0.069,-0.1561,0.0479
17:38:57:696,-0.7781,3.303,9.8171,18.8324,-0.0517,-0.1155,-0.1427,0.0482
17:38:57:707,-0.69,3.234,9.747,18.9361,-0.0175,-0.1618,-0.1488,0.0496
17:38:57:717,-0.632,3.212,9.6131,18.8953,0.0228,-0.2071,-0.172,0.0505
17:38:57:727,-0.632,3.1931,9.4601,18.8602,0.0582,-0.2474,-0.2038,0.0523
17:38:57:736,-0.738,3.195,9.29,18.9286,0.0814,-0.2768,-0.2355,0.0536
17:38:57:746,-0.7931,3.234,9.1781,18.8625,0.0876,-0.3073,-0.2575,0.0549
17:38:57:756,-0.833,3.231,9.0941,18.8274,0.0826,-0.3341,-0.2673,0.0563
17:38:57:767,-0.812,3.2141,9.0649,18.8602,0.0778,-0.3549,-0.2685,0.0574
17:38:57:776,-0.7451,3.176,9.012,18.9449,0.0766,-0.3708,-0.2698,0.0588
17:38:57:787,-0.663,3.164,8.9051,18.773,0.0814,-0.3818,-0.2795,0.0606
17:38:57:797,-0.666,3.171,8.828,18.7129,0.0826,-0.3744,-0.3026,0.0621
17:38:57:806,-0.627,3.246,8.79,18.5114,0.0754,-0.3574,-0.3321,0.0635
17:38:57:817,-0.596,3.363,8.751,18.4803,0.0656,-0.3439,-0.3638,0.0648
17:38:57:826,-0.663,3.4661,8.708,18.5003,0.0571,-0.3207,-0.3931,0.066
17:38:57:836,-0.831,3.5501,8.634,18.4895,0.0424,-0.2963,-0.4139,0.067
