Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251120_1712_1.csv,[],[],[],[],[],[]
signal_20251120_1712_1.csv,[],[],[],[],[],[]
signal_20251120_1712_1.csv,[],[],[],[],[],[]
signal_20251120_1712_1.csv,[],[],[],"[56:3f:5f:81:46:d6, d2:57:11:de:5d:69, c2:fc:46:df:91:53, 3c:67:ff:93:b6:3a, 66:e2:20:e3:5e:b8, 66:e2:20:e3:5e:b7, 46:71:65:88:51:e5, 28:f5:2b:76:88:9a, c0:49:43:8c:ee:e0, 9e:d4:64:b3:95:39, 34:75:63:5e:fa:84, ee:d1:9e:88:c7:fd, f0:b0:40:4c:2c:40, b0:c0:90:70:5d:8d, 56:c0:a0:81:46:d6, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, d0:aa:5f:e6:91:0a, 88:12:ac:8b:31:56, 6e:69:c5:cb:7b:0f]","[Xiaomi SU7_872864, iQOO Neo11, DIRECT-Xiaomi_YU7_Pro_882998, MIFI-B63A, MBUX 32235, MBUX 32235, Redmi Turbo 3, DVR_889A, JGLDH, Xiaomi YU7_838219, DVR-fa84, vivo NEX A, 360行车记录仪M320Pro-3892, 360行车记录仪-8D, Xiaomi SU7_872864, yu7, yu7, , DVR-HS-3156, DIRECT-Xiaomi SU7_564001]","[-64, -94, -83, -81, -91, -91, -96, -70, -95, -87, -92, -89, -80, -84, -86, -82, -70, -74, -85, -89]"
signal_20251120_1712_1.csv,[],[],[],[],[],[]
signal_20251120_1712_1.csv,['Lte'],[471],[-74],"[56:3f:5f:81:46:d6, 7c:b5:9b:17:0a:70, d2:57:11:de:5d:69, c2:fc:46:df:91:53, 3c:67:ff:93:b6:3a, 28:f5:2b:76:88:9a, 9e:d4:64:b3:95:39, f0:b0:40:4c:2c:40, 56:c0:a0:81:46:d6, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, d0:aa:5f:e6:91:0a, 88:12:ac:8b:31:56, c6:9e:28:7a:e6:c7, f0:a8:82:8d:a9:cf]","[Xiaomi SU7_872864, , iQOO Neo11, DIRECT-Xiaomi_YU7_Pro_882998, MIFI-B63A, DVR_889A, Xiaomi YU7_838219, 360行车记录仪M320Pro-3892, Xiaomi SU7_872864, yu7, yu7, , DVR-HS-3156, , BYD_DVR_8DA9CF]","[-64, -99, -94, -66, -76, -70, -82, -62, -93, -66, -64, -88, -94, -88, -74]"
signal_20251120_1712_1.csv,['Lte'],[471],[-74],[],[],[]
signal_20251120_1712_1.csv,['Lte'],[471],[-79],"[2e:15:e1:10:1c:bc, f4:fc:49:4a:66:24, 60:83:e2:19:b4:a8, d2:57:11:de:5d:69, c2:fc:46:df:91:53, 3c:67:ff:93:b6:3a, 66:e2:20:e3:5e:b7, 9e:2b:9b:b3:95:39, f6:fc:49:3a:66:24, f0:b0:40:4c:2c:40, 56:c0:a0:81:46:d6, 9e:89:80:ce:56:09, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, ce:9e:28:7a:d9:a0, 72:77:2a:61:48:b9, 6e:69:c5:cb:7b:0f]","[waizhu03, CU-6624, MiFi-B4A8, iQOO Neo11, DIRECT-Xiaomi_YU7_Pro_882998, MIFI-B63A, MBUX 32235, Xiaomi YU7_838219, , 360行车记录仪M320Pro-3892, Xiaomi SU7_872864, , yu7, yu7, UQ-STORE, DIRECT-Xiaomi_YU7_410299, DIRECT-Xiaomi SU7_564001]","[-93, -96, -87, -100, -62, -71, -92, -94, -96, -63, -92, -84, -64, -52, -94, -92, -96]"
signal_20251120_1712_1.csv,['Lte'],[471],[-79],[],[],[]
signal_20251120_1712_1.csv,['Lte'],[471],[-79],[],[],[]
