Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
signal_20251120_1731.csv,"['Lte', 'Lte', 'Lte']","[471, 176, 178]","[-87, -123, -129]","[64:82:14:53:e0:7d, d2:57:11:de:5d:69, a4:f9:7a:22:ef:1c, c2:fc:46:df:91:53, 12:e8:a7:fc:1a:c9, 70:fd:45:4a:d6:c4, 3c:67:ff:93:b6:3a, d2:79:21:00:86:27, 12:e8:a7:9c:1a:c9, 2c:05:47:3c:a8:a8, c0:4b:24:f0:fb:f1, f0:b0:40:4c:2c:40, 14:5d:34:01:01:25, 2c:c3:e6:2e:77:d7, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, 94:a4:08:64:f0:a8, 24:14:07:07:d0:59]","[360记录仪G3003K-4F77, iQOO Neo11, 江南霸主李楚狂的Mat..., DIRECT-Xiaomi_YU7_Pro_882998, Cayenne_9016, wirelesscs, MIFI-B63A, , Cayenne_9016_5GHz, HimDvr_3CA8A8, SLD-fbf1, 360行车记录仪M320Pro-3892, PPG_N288_010125, BenTanDV, yu7, yu7, HiDvr_64F0A8, HiDVR_07d059]","[-78, -92, -92, -85, -75, -84, -91, -77, -89, -75, -88, -84, -66, -77, -81, -72, -78, -92]"
signal_20251120_1731.csv,"['Lte', 'Lte', 'Lte']","[471, 176, 178]","[-84, -127, -130]","[c2:9e:28:7a:d2:d6, ee:7e:38:d3:48:80, c2:fc:46:df:91:53, 12:e8:a7:fc:1a:c9, 40:45:da:e4:2c:3d, 3c:67:ff:93:b6:3a, 68:4a:ae:9f:5e:61, 68:4a:ae:9f:5e:63, 68:4a:ae:9f:5e:62, 68:4a:ae:9f:5e:64, c0:4b:24:f0:fb:f1, f0:b0:40:4c:2c:40, ce:9e:28:7a:d2:d6, 2c:c3:e6:2e:77:d7, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, d2:c6:b7:70:dc:d8, c6:bb:4c:02:63:7e, ca:9e:28:7a:d2:d6, ee:81:c7:d3:48:80]","[FR-INTERNET, Xiaomi YU7_282555, DIRECT-Xiaomi_YU7_Pro_882998, Cayenne_9016, carletter_ad50, MIFI-B63A, wirelessDS, livestream, camera, wirelesscs, SLD-fbf1, 360行车记录仪M320Pro-3892, UQ-STORE, BenTanDV, yu7, yu7, DIRECT-Xiaomi_YU7_473896, IOV_HS052979, UQ-Laptop, Xiaomi YU7_282555]","[-85, -87, -66, -92, -92, -75, -98, -97, -98, -98, -90, -69, -86, -62, -66, -70, -91, -74, -85, -85]"
signal_20251120_1731.csv,"['Lte', 'Lte', 'Lte']","[471, 176, 178]","[-84, -127, -130]","[64:82:14:53:e0:7d, 60:83:e2:19:b4:a8, ee:7e:38:d3:48:80, c2:fc:46:df:91:53, c2:9e:28:7a:e6:c7, 12:e8:a7:fc:1a:c9, e2:9e:28:7a:d2:d6, 40:45:da:e4:2c:3d, 3c:67:ff:93:b6:3a, d2:79:21:00:86:27, f0:b0:40:4c:2c:40, ce:9e:28:7a:d2:d6, 2c:c3:e6:2e:77:d7, 2a:9d:0e:e4:19:6d, 2a:62:f1:e4:19:6d, 5e:19:20:a8:5f:1f, d2:c6:b7:70:dc:d8, ce:9e:28:7a:e6:c7, c6:bb:4c:02:63:7e, ca:9e:28:7a:d2:d6, c6:9e:28:7a:e6:c7, ca:9e:28:7a:e6:c7, 12:e8:a7:dc:12:6f]","[360记录仪G3003K-4F77, MiFi-B4A8, Xiaomi YU7_282555, DIRECT-Xiaomi_YU7_Pro_882998, FR-INTERNET, Cayenne_9016, STORE2-WQ, carletter_ad50, MIFI-B63A, , 360行车记录仪M320Pro-3892, UQ-STORE, BenTanDV, yu7, yu7, , DIRECT-Xiaomi_YU7_473896, UQ-STORE, IOV_HS052979, UQ-Laptop, , UQ-Laptop, MBUX 56159]","[-74, -95, -90, -64, -89, -82, -80, -92, -83, -53, -74, -80, -67, -64, -54, -81, -87, -91, -71, -80, -89, -89, -97]"
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
signal_20251120_1731.csv,[],[],[],[],[],[]
