Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:07:53:186,0.504,4.143,8.784,48.4636,-0.0701,0.0803,-0.0891,-97.3611
17:07:53:208,0.476,4.079,9.1811,47.3934,-0.1841,-0.0038,-0.0954,-97.3611
17:07:53:226,0.267,4.043,9.356,48.7826,-0.1639,-0.0615,-0.0869,-97.3611
17:07:53:246,0.2411,3.9761,9.2081,49.6577,-0.0403,-0.0635,-0.0518,-97.3611
17:07:53:267,0.26,4.026,8.8991,48.4636,0.0609,-0.0496,-0.0274,-97.3611
17:07:53:286,0.33,3.9971,8.463,48.7826,0.0353,-0.0454,-0.007,-97.3611
17:07:53:308,0.437,3.8681,8.465,48.7826,-0.0573,-0.0348,-0.0283,-97.3611
17:07:53:326,0.253,4.1051,8.824,48.4636,-0.1053,-0.0646,-0.0465,-97.3611
17:07:53:345,0.3011,3.8771,9.1241,47.9122,-0.1298,-0.0934,-0.0561,-97.3611
17:07:53:366,0.3701,3.9011,9.059,47.9122,-0.1138,-0.0774,-0.0689,-97.3611
17:07:53:385,0.308,3.99,9.009,49.3344,-0.069,-0.0146,-0.0785,-97.3611
17:07:53:405,0.303,3.947,8.877,49.3344,-0.018,0.0206,-0.0837,-97.3611
17:07:53:425,0.354,3.873,8.7671,48.4636,-0.019,-0.0049,-0.1115,-97.3611
17:07:53:445,0.231,3.8771,8.7311,48.4636,-0.1,-0.1019,-0.1158,-97.3611
17:07:53:465,0.09,3.885,8.5751,47.6023,-0.1991,-0.2372,-0.1147,-97.3611
17:07:53:485,0.253,3.858,8.5061,47.6023,-0.2512,-0.2745,-0.1136,-97.3611
17:07:53:505,0.4541,3.8441,8.5781,48.4816,-0.2236,-0.2553,-0.1275,-97.3611
17:07:53:525,0.512,3.774,8.654,48.4816,-0.1906,-0.1849,-0.1221,-97.3611
17:07:53:546,0.5021,3.648,8.939,48.19,-0.2162,-0.1701,-0.1264,-97.3611
17:07:53:565,0.2651,3.6671,9.737,48.19,-0.2342,-0.1935,-0.1712,-97.3611
17:07:53:585,-0.081,3.7511,9.557,48.19,-0.1192,-0.3063,-0.2127,-97.3611
17:07:53:605,0.471,3.59,9.48,48.19,0.0747,-0.121,-0.2222,-97.3611
17:07:53:625,0.8591,3.593,8.882,48.19,0.2175,0.059,-0.2691,-97.3611
17:07:53:645,0.6671,3.686,8.4731,48.19,0.1599,0.2006,-0.2212,-97.2688
17:07:53:665,0.576,3.7361,8.798,48.1832,0.0322,0.1761,-0.2116,-97.1713
17:07:53:685,0.006,4.0091,9.32,48.152,0.0407,-0.071,-0.2244,-97.0696
17:07:53:705,0.222,4.059,8.757,48.162,0.062,-0.2894,-0.1499,-96.9629
17:07:53:725,0.528,4.088,8.492,48.152,-0.0318,-0.381,-0.0326,-96.8514
17:07:53:745,0.5501,3.705,8.681,47.6321,-0.2353,-0.5621,0.0164,-96.7374
17:07:53:766,0.528,3.554,8.8361,48.3112,-0.4313,-0.6974,0.0269,-96.6235
17:07:53:785,0.933,3.341,8.9351,48.7925,-0.4185,-0.5556,-0.0049,-96.5111
17:07:53:805,1.235,3.4181,9.639,47.5151,-0.2247,-0.267,-0.0785,-96.4005
17:07:53:825,1.1291,3.767,9.1309,47.5151,-0.0275,-0.219,-0.0252,-96.2915
17:07:53:845,1.4741,3.794,8.5541,48.4779,0.0322,-0.1423,0.0058,-96.1839
17:07:53:867,1.541,3.966,8.592,47.5306,0.0578,0.0516,-0.1264,-96.079
17:07:53:885,1.208,3.9851,9.3821,48.4444,0.1716,0.3455,-0.2287,-95.9763
17:07:53:905,1.1531,4.016,8.985,48.0588,0.2068,0.2486,-0.1391,-95.8738
17:07:53:925,1.8311,3.8681,8.4011,47.7892,-0.0126,0.0738,0.0036,-95.7702
17:07:53:945,1.6151,4.021,8.9591,48.0579,-0.0648,0.2177,-0.0263,-95.667
17:07:53:967,1.292,4.553,8.465,48.0579,0.0364,0.3051,0.0781,-95.5656
17:07:53:985,1.685,4.799,7.62,48.3059,0.0151,0.3359,0.1858,-95.4672
17:07:54:005,1.922,4.541,7.833,48.2976,-0.0265,0.6673,0.1196,-95.3742
17:07:54:025,1.3811,4.545,9.03,47.7264,-0.2321,0.4979,0.0792,-95.3742
17:07:54:045,0.99,4.469,9.354,47.7364,-0.2672,0.1613,-0.0081,-95.3742
17:07:54:068,1.019,4.3061,9.191,48.611,-0.2736,-0.1082,-0.103,-95.3742
17:07:54:085,0.887,4.1501,9.0041,48.4141,-0.3055,-0.4683,-0.2179,-95.3742
17:07:54:104,0.756,4.088,8.0561,47.878,-0.3748,-0.725,-0.3202,-95.3742
17:07:54:124,0.978,4.1381,7.704,48.6194,-0.4718,-0.6942,-0.381,-95.3742
17:07:54:145,1.0331,4.064,8.1709,48.5354,-0.4857,-0.5642,-0.4268,-95.2782
17:07:54:164,0.7631,3.681,8.087,47.8085,-0.5368,-0.5653,-0.4854,-95.1725
17:07:54:184,0.641,3.5951,8.0561,48.6176,-0.6113,-0.4225,-0.4342,-95.0547
17:07:54:204,1.17,3.5951,8.676,48.455,-0.4951,-0.1562,-0.2893,-94.9233
17:07:54:225,0.768,3.552,9.152,48.4008,-0.2864,0.1559,-0.2074,-94.7796
17:07:54:244,0.504,3.717,9.083,48.8747,-0.0766,0.3657,-0.071,-94.6264
17:07:54:264,0.3101,3.566,8.729,47.9445,0.0854,0.6427,0.0707,-94.4674
17:07:54:283,0.03,3.3701,8.7101,48.4965,0.1695,0.9325,0.1634,-94.3071
17:07:54:304,0.035,3.329,8.54,48.4211,0.1343,1.0401,0.2049,-94.1501
17:07:54:325,0.2051,4.3061,7.874,48.9112,-0.0894,0.8004,0.2091,-93.9996
17:07:54:344,1.373,4.775,8.7071,49.4017,-0.4036,0.5224,0.1793,-93.8578
17:07:54:363,2.283,5.661,9.3821,48.4913,-0.5516,0.1037,-0.1381,-93.7257
17:07:54:384,0.555,5.3261,9.617,48.3496,-0.5889,-0.2574,-0.4652,-93.6013
17:07:54:405,-0.146,3.947,9.749,47.5844,-0.5826,-0.3554,-0.4939,-93.4773
17:07:54:426,-0.225,3.597,9.698,48.5047,-0.5292,-0.2937,-0.4311,-93.3472
17:07:54:445,-0.3131,3.4541,9.425,48.3443,-0.5218,-0.2958,-0.3256,-93.2076
17:07:54:464,0.186,3.77,9.399,48.2777,-0.5261,-0.2756,-0.1818,-93.0583
17:07:54:484,0.7511,3.5471,9.935,49.1913,-0.4845,-0.1786,-0.0624,-92.9014
17:07:54:504,1.074,2.972,10.62,49.1477,-0.3524,0.0195,-0.0529,-92.7404
17:07:54:523,1.1771,2.678,11.223,48.6215,-0.2171,0.1559,-0.1466,-92.5785
17:07:54:544,1.101,2.9291,11.3141,48.9999,-0.0733,0.1229,-0.2563,-92.4168
17:07:54:563,0.981,3.08,10.5461,48.0311,0.0439,0.1005,-0.2745,-92.2543
17:07:54:584,0.7151,2.379,10.0001,48.5956,-0.0052,0.2166,-0.3139,-92.0896
17:07:54:604,0.033,1.85,10.544,48.5851,-0.1053,0.3114,-0.3384,-91.9216
17:07:54:626,-0.335,1.806,11.6141,49.4459,-0.165,0.4158,-0.2574,-91.749
17:07:54:644,-0.5171,1.617,12.5471,49.084,-0.1341,0.2518,-0.1957,-91.5711
17:07:54:664,-0.483,1.62,12.117,49.0538,0.0311,-0.1488,-0.1275,-91.3892
17:07:54:685,-0.354,1.584,11.4371,48.4792,0.2622,-0.5429,-0.0752,-91.2049
17:07:54:704,-0.1391,1.677,9.576,49.5842,0.3783,-0.6931,-0.0326,-91.0201
17:07:54:724,0.071,1.85,8.6021,49.0394,0.2526,-0.6016,0.0164,-90.8367
17:07:54:743,0.095,1.988,8.595,48.9907,0.0459,-0.5451,0.0931,-90.6562
17:07:54:762,0.4661,1.9241,8.76,48.4469,-0.0872,-0.5493,0.1591,-90.4804
17:07:54:783,0.693,1.926,8.568,48.4089,-0.1116,-0.4993,0.1303,-90.3115
17:07:54:803,0.638,2.211,8.35,48.9753,-0.1116,-0.4311,0.1378,-90.1507
17:07:54:823,0.8351,2.376,8.408,48.9566,-0.1202,-0.3916,0.1943,-89.9984
17:07:54:843,1.469,2.178,7.958,49.5103,-0.1235,-0.3501,0.19,-89.8553
17:07:54:863,1.8281,1.7801,7.67,48.9312,-0.1277,-0.1434,0.1037,-89.7221
17:07:54:884,1.632,1.878,8.238,48.9033,-0.0329,0.1452,-0.0411,-89.5984
17:07:54:903,1.2611,2.067,8.4941,49.8768,0.1141,0.2156,-0.1466,-89.4821
17:07:54:923,1.2821,2.096,8.853,48.9033,0.2238,0.0164,-0.2265,-89.3699
17:07:54:943,1.053,2.424,7.532,49.8835,0.2261,-0.0529,-0.3234,-89.2591
17:07:54:963,0.974,2.5991,8.2811,49.8784,0.1695,-0.0902,-0.3651,-89.1468
17:07:54:984,0.6911,3.078,8.4251,49.8784,0.1738,-0.2287,-0.3767,-89.0302
17:07:55:003,0.792,3.2621,8.3741,49.8809,0.1397,-0.219,-0.3873,-88.9072
17:07:55:023,0.423,3.561,8.619,49.8185,0.0535,-0.0411,-0.4246,-88.7767
17:07:55:043,-0.146,3.954,9.89,49.8115,0.0704,0.3146,-0.3651,-88.6375
17:07:55:063,-0.6581,4.181,11.259,49.8623,0.2963,0.4531,-0.2383,-88.4892
17:07:55:085,-0.689,4.227,11.118,50.3877,0.5499,0.3296,-0.0561,-88.3332
17:07:55:103,-0.4091,3.9401,10.125,49.5493,0.5946,0.2305,0.0866,-88.173
17:07:55:123,-0.134,3.66,10.067,49.4893,0.4583,0.2251,0.1921,-88.0136
17:07:55:152,0.404,3.4061,10.752,50.5528,0.3475,0.092,0.2251,-87.8591
17:07:55:163,1.01,3.377,10.9601,50.5213,0.3262,-0.2074,0.1272,-87.7129
17:07:55:185,1.2131,3.6311,9.813,50.4831,0.2963,-0.4172,0.028,-87.5762
17:07:55:203,1.3331,3.5111,8.595,50.1461,0.0417,-0.2969,0.0781,-87.4483
17:07:55:222,1.73,2.898,9.416,50.4547,-0.2705,0.0227,0.1932,-87.3282
