Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
18:23:14:859,-1.365,4.1531,9.401,39.297,-0.1184,0.8184,0.8691,0.1463
18:23:14:880,-1.3331,4.284,9.701,39.8227,-0.0874,0.5424,0.8117,0.1413
18:23:14:897,-1.403,4.478,9.72,39.1636,0.018,0.2964,0.7893,0.1437
18:23:14:918,-1.398,4.596,9.516,39.9476,0.1309,0.127,0.7925,0.1454
18:23:14:938,-1.412,4.679,9.0971,39.0639,0.2139,0.0322,0.8106,0.1472
18:23:14:959,-1.13,4.668,8.712,39.3092,0.2321,0.0375,0.8372,0.1479
18:23:14:978,-0.84,4.787,8.8361,39.0058,0.2193,0.0642,0.8267,0.1479
18:23:14:998,-0.606,4.845,8.9921,39.0058,0.1958,0.0077,0.8117,0.1482
18:23:15:018,-0.2539,4.8611,9.071,39.6032,0.1628,-0.085,0.7957,0.1476
18:23:15:038,0.275,4.94,9.0851,38.987,0.1756,-0.1521,0.7659,0.1467
18:23:15:060,0.239,4.8041,8.681,39.6265,0.1991,-0.1159,0.7116,0.145
18:23:15:078,-0.287,4.49,8.4131,39.5646,0.1064,0.0056,0.7403,0.143
18:23:15:098,-0.072,3.698,8.88,38.9481,-0.08,0.0748,0.8383,0.1411
18:23:15:118,0.861,2.6711,9.497,38.8949,-0.209,0.0322,0.8096,0.1393
18:23:15:139,1.541,2.474,10.115,39.6178,-0.1504,0.0247,0.5677,0.1372
18:23:15:160,1.103,3.162,10.1891,39.7994,0.0903,0.0003,0.2865,0.1348
18:23:15:177,0.0761,4.016,9.332,39.0896,0.3439,0.0344,0.2034,0.1328
18:23:15:198,-0.843,4.567,8.537,39.0645,0.4718,0.1782,0.3451,0.1317
18:23:15:217,-1.0271,4.646,8.0681,39.0301,0.4451,0.2953,0.6285,0.132
18:23:15:238,-0.3731,4.136,7.745,39.2314,0.314,0.3497,0.8639,0.1339
18:23:15:259,0.4091,3.729,7.613,39.2434,0.1128,0.3369,0.9459,0.1365
18:23:15:277,0.9191,3.494,7.7711,39.4752,-0.0971,0.3156,0.9395,0.1384
18:23:15:300,1.026,3.317,8.085,39.2303,-0.2313,0.3389,0.8947,0.1396
18:23:15:318,0.725,3.425,8.6501,39.9969,-0.2558,0.4295,0.8521,0.1399
18:23:15:339,0.4541,3.7601,9.1841,39.5338,-0.1812,0.4275,0.8489,0.1398
18:23:15:358,0.504,4.0811,9.083,39.7191,-0.0789,0.3102,0.8841,0.1398
18:23:15:379,0.725,4.241,8.4581,39.7994,-0.0342,0.2261,0.9012,0.1399
18:23:15:397,0.83,4.3421,7.9481,39.4006,-0.0683,0.191,0.9065,0.1396
18:23:15:418,0.861,4.359,7.6541,40.1749,-0.1365,0.1942,0.9012,0.139
18:23:15:442,0.7511,4.397,7.517,39.7464,-0.2068,0.2974,0.9054,0.1381
18:23:15:459,0.471,4.4741,8.058,39.6089,-0.2867,0.3773,0.9609,0.137
18:23:15:478,0.44,4.16,8.6621,40.067,-0.3475,0.3241,1.0163,0.1361
18:23:15:497,0.516,3.669,8.882,39.69,-0.3612,0.1877,1.029,0.135
18:23:15:519,0.521,3.044,8.7221,39.3644,-0.2867,0.2175,1.0641,0.1331
18:23:15:543,2.1731,3.71,8.793,38.9779,-0.1216,0.2889,0.9822,0.1308
18:23:15:558,1.977,3.7721,8.087,40.1109,0.0243,0.2591,0.6274,0.1287
18:23:15:578,0.926,3.7841,7.965,39.7746,0.0488,0.3347,0.5103,0.1274
18:23:15:600,0.749,4.1,8.609,39.7579,0.0798,0.3721,0.5123,0.1271
18:23:15:617,0.593,4.421,8.724,39.4625,0.1426,0.1899,0.5314,0.1276
18:23:15:637,0.5501,4.677,8.003,39.4506,0.0595,0.0887,0.6082,0.1285
18:23:15:657,0.8231,4.914,7.991,39.427,-0.1781,0.2303,0.6508,0.1292
18:23:15:677,0.5711,4.703,8.616,39.1461,-0.3964,0.2485,0.6593,0.1295
18:23:15:697,0.282,5.027,9.528,38.8897,-0.5169,0.1792,0.7116,0.1293
18:23:15:717,0.15,5.067,10.326,39.5529,-0.4646,0.0844,0.8671,0.1281
18:23:15:737,0.224,4.5791,10.271,39.4916,-0.3475,0.029,1.0673,0.1263
18:23:15:757,0.6101,4.3541,9.7631,39.2105,-0.2813,0.2612,1.3071,0.1237
18:23:15:776,0.909,3.849,10.223,39.8226,-0.2878,0.8449,1.5414,0.1211
18:23:15:799,1.124,3.2981,11.391,39.424,-0.1834,1.4756,1.7,0.1192
18:23:15:817,1.098,2.649,12.3131,39.6671,0.0371,1.7014,1.5903,0.1199
18:23:15:841,0.2411,2.735,13.0571,39.3636,0.3344,1.3819,1.2889,0.1237
18:23:15:857,-0.651,2.951,12.761,39.6799,0.6454,0.7576,1.1047,0.1299
18:23:15:876,-0.8831,2.597,10.9631,39.9643,0.7987,0.4636,1.1377,0.1372
18:23:15:898,-0.7991,2.118,9.399,39.8878,0.5144,1.0357,1.3166,0.1444
18:23:15:917,-0.074,1.85,10.5581,38.9481,0.4323,1.0836,1.4274,0.1519
18:23:15:937,0.0851,1.677,10.065,38.8506,0.6358,0.8077,1.273,0.1596
18:23:15:957,-0.251,1.517,8.903,39.2571,0.6859,0.5584,1.1366,0.1672
18:23:15:977,-0.2561,1.706,7.908,39.185,0.426,0.2463,1.1036,0.1745
18:23:15:998,0.3011,2.0291,7.7021,39.1747,0.1,-0.2362,1.0812,0.1807
18:23:16:016,0.705,2.2421,7.1321,39.1962,-0.1226,-0.5708,0.9916,0.184
18:23:16:037,0.725,2.597,6.9311,39.2024,-0.242,-0.6837,0.9214,0.1838
18:23:16:058,0.83,3.042,6.9791,39.6656,-0.3538,-0.8093,0.9086,0.1804
18:23:16:077,0.6221,3.123,7.28,38.799,-0.487,-0.7454,0.9065,0.1747
18:23:16:098,1.199,2.525,7.9361,39.3646,-0.4624,-0.5633,0.8128,0.1673
18:23:16:116,1.2251,2.573,8.051,39.4622,-0.3475,-0.3939,0.589,0.1592
18:23:16:137,0.966,3.272,8.013,39.3737,-0.2335,-0.1766,0.4271,0.1516
18:23:16:159,0.519,4.028,8.0681,38.3924,-0.1323,-0.1585,0.4261,0.1453
18:23:16:177,0.7991,4.739,8.762,39.4169,-0.0364,-0.2842,0.6146,0.1407
18:23:16:196,1.05,4.002,9.126,39.1556,0.1693,-0.4568,0.802,0.1372
18:23:16:217,2.003,3.219,8.753,39.2974,0.4877,-0.7454,0.7094,0.1343
18:23:16:237,2.6231,3.9761,7.1171,39.2524,0.6273,-0.6517,0.4441,0.1316
18:23:16:258,2.0891,4.818,7.268,38.8802,0.6273,0.1228,0.2801,0.1297
18:23:16:277,1.7921,5.132,7.9961,39.2642,0.737,0.8045,0.2375,0.1301
18:23:16:299,2.5391,5.034,9.009,38.8437,0.8265,1.5576,0.2716,0.1339
18:23:16:317,3.308,4.931,10.7591,39.092,0.9969,2.0562,0.1288,0.1415
18:23:16:337,2.348,5.3021,11.3741,38.9696,1.1355,2.1031,-0.0278,0.1527
18:23:16:358,1.689,5.532,11.6351,38.4079,0.8893,1.8475,0.0606,0.1672
18:23:16:377,1.8431,5.082,12.282,38.802,0.4675,1.1613,0.0297,0.1832
18:23:16:396,1.745,4.95,12.011,37.7857,0.3098,0.3092,-0.1343,0.1975
18:23:16:417,1.364,4.8041,10.874,37.7294,0.3311,-0.0498,-0.2376,0.208
18:23:16:437,1.1201,4.241,10.7111,38.3708,0.2747,0.0898,-0.4326,0.2153
18:23:16:458,0.8561,3.4751,11.4011,38.2625,0.2139,0.0142,-0.6361,0.2208
18:23:16:476,0.447,3.0251,10.6991,38.1951,0.2267,-0.5463,-0.7425,0.2252
18:23:16:496,-0.5771,3.564,8.192,39.2701,0.1639,-1.0064,-0.6242,0.2284
18:23:16:515,-0.8261,4.6841,6.131,38.3576,-0.0619,-0.9159,-0.2003,0.2294
18:23:16:537,-0.117,5.379,5.406,37.7539,-0.3996,-0.6475,0.246,0.2283
18:23:16:557,0.705,5.357,5.7431,38.7151,-0.7767,-0.5026,0.5038,0.2253
18:23:16:576,1.577,4.737,6.047,38.3517,-1.0952,-0.6762,0.6231,0.2202
18:23:16:596,2.5391,3.968,6.3701,38.4834,-1.3817,-0.9255,0.5655,0.2123
18:23:16:615,2.616,2.9081,6.404,38.1648,-1.5821,-1.2397,0.3398,0.2011
18:23:16:636,1.91,1.938,6.1811,38.8196,-1.695,-1.2675,0.1001,0.1866
18:23:16:657,2.087,1.6631,6.449,38.2896,-1.7163,-0.9244,-0.1471,0.1694
18:23:16:676,2.274,1.766,7.007,37.8311,-1.6065,-0.4301,-0.4709,0.1511
18:23:16:696,1.4501,1.988,8.0059,37.7631,-1.3967,-0.0562,-0.7245,0.1335
18:23:16:717,1.014,2.7521,9.4181,37.7171,-1.0442,0.3059,-0.8107,0.1182
18:23:16:735,1.347,2.8961,9.873,37.695,-0.4294,0.4509,-0.8917,0.1061
18:23:16:758,1.326,2.427,9.215,38.4861,0.1565,0.454,-0.8757,0.0982
18:23:16:775,0.801,2.52,8.2571,37.8268,0.4462,1.0729,-0.5017,0.0949
18:23:16:795,0.8351,2.915,9.9311,38.2787,0.6634,1.8187,-0.0395,0.0963
18:23:16:815,0.89,2.987,10.826,39.2899,0.8936,2.1446,0.099,0.1028
18:23:16:859,0.033,3.815,12.15,37.5503,1.0779,2.4302,0.1522,0.114
18:23:16:860,0.1241,3.497,12.765,38.4992,1.455,2.6198,0.3781,0.1292
18:23:16:875,0.071,2.4911,11.2691,38.3488,1.7512,2.4344,0.5987,0.148
18:23:16:896,0.5831,3.075,8.4799,38.3607,1.5764,2.7848,0.507,0.1701
18:23:16:915,-0.6941,4.311,11.535,39.1944,1.1003,2.9308,-0.0139,0.194
18:23:16:935,-3.1361,4.244,9.191,37.15,0.7103,1.1869,-0.2291,0.2186
18:23:16:958,-4.2161,5.5991,8.3981,37.8133,-0.0556,0.7886,0.0308,0.24
18:23:16:975,-4.2401,4.943,9.315,38.6672,-0.9056,0.2069,0.3398,0.2554
18:23:16:995,-3.548,3.1211,10.7111,37.9635,-1.3893,-0.4514,0.4697,0.2635
18:23:17:015,-2.7581,1.919,11.901,37.3266,-1.2881,0.1547,0.6593,0.2633
18:23:17:035,-3.503,2.7551,12.756,37.5141,-0.4348,0.2027,0.8916,0.2573
18:23:17:056,-2.823,3.2021,9.9431,37.6911,0.264,-0.1713,1.0908,0.2512
18:23:17:075,-1.848,3.183,6.414,37.6528,0.1958,0.062,0.9268,0.2474
18:23:17:095,-2.456,3.482,6.318,38.6643,-0.3623,0.5532,0.833,0.246
18:23:17:115,-2.2001,4.0451,7.544,37.403,-0.6394,0.5862,1.209,0.2457
18:23:17:135,-0.941,3.3581,7.917,36.9517,-0.7287,0.6373,1.4541,0.2449
18:23:17:158,-0.2321,2.034,8.573,38.3127,-0.6766,0.6383,1.5403,0.243
18:23:17:175,0.684,1.878,9.011,37.9391,-0.4273,0.7374,1.5573,0.2401
18:23:17:195,0.921,2.661,8.6501,37.6403,-0.0908,0.4903,1.2218,0.2374
18:23:17:215,-0.108,3.102,7.998,37.5717,0.2512,-0.1904,0.7925,0.2358
18:23:17:235,-0.962,2.9921,8.0681,38.4184,0.6262,-0.8733,0.6593,0.2353
18:23:17:258,-1.0721,2.091,6.612,38.4161,0.8701,-0.8999,0.671,0.2355
18:23:17:274,-1.218,2.2061,5.334,37.5371,0.5708,0.1323,0.5677,0.2366
18:23:17:295,-0.869,3.1301,6.074,36.9507,0.4164,0.7268,0.4569,0.2392
18:23:17:314,-0.29,4.5911,6.507,37.84,0.3183,0.6511,0.278,0.243
18:23:17:334,-0.246,5.295,7.4891,37.8336,0.0265,0.4093,0.1576,0.2477
18:23:17:355,-0.723,4.644,8.279,37.595,-0.2324,0.1026,-0,0.2519
18:23:17:374,-1.422,4.5881,9.2291,37.8192,-0.3208,-0.0989,-0.2951,0.2542
18:23:17:394,-2.4971,5.295,9.026,38.1242,-0.472,-0.3396,-0.3697,0.2542
18:23:17:416,-2.729,5.687,9.21,38.1108,-0.8151,-0.4003,-0.2643,0.2523
18:23:17:434,-2.1161,5.292,10.512,37.8174,-1.0175,-0.3576,-0.2163,0.2484
18:23:17:458,-2.1071,5.223,14.075,37.3805,-0.7628,-0.6432,-0.2398,0.2422
18:23:17:474,-1.9061,5.1101,12.093,38.0019,-0.4273,-0.7326,-0.2194,0.2341
18:23:17:494,-1.8791,4.478,11.25,37.2084,-0.3836,-0.6857,-0.1705,0.2259
18:23:17:514,-1.8071,3.624,11.882,37.1693,-0.3026,-0.5046,-0,0.2184
18:23:17:534,-0.507,3.195,12.002,37.1564,0.067,-0.5259,0.0095,0.2117
18:23:17:553,-0.618,2.927,8.973,38.1239,0.2204,-0.6069,-0.0949,0.2066
18:23:17:573,-0.926,2.8601,6.813,38.1239,-0.08,-0.3257,-0.0874,0.2034
18:23:17:593,-1.86,3.705,6.9641,37.3741,-0.4774,-0.297,-0.0437,0.2009
18:23:17:613,-2.3651,3.516,6.7511,38.0558,-0.7235,-0.4887,0.18,0.1982
18:23:17:634,-1.5581,2.5271,6.3581,38.3841,-0.9908,-0.7231,0.4165,0.1937
18:23:17:654,0.224,2.228,6.1451,37.4365,-1.5033,-1.3005,0.4356,0.1869
18:23:17:674,1.536,1.907,5.621,37.9713,-1.7632,-1.1854,0.1939,0.1763
18:23:17:694,0.387,1.4261,6.6101,38.3032,-1.482,-0.2863,-0.1375,0.1613
18:23:17:714,-1.7381,1.5671,7.17,37.6721,-1.0494,0.2591,-0.1002,0.1451
18:23:17:734,-1.185,2.012,7.4501,38.1143,-0.7597,0.4051,0.082,0.1312
18:23:17:754,-0.345,0.638,10.227,38.0848,-0.4806,0.0311,0.0074,0.1205
18:23:17:774,0.176,0.5111,6.749,38.0652,-0.1035,0.0429,-0.4869,0.1123
18:23:17:794,-2.8781,2.273,5.439,38.0751,0.0733,0.4977,-0.359,0.1063
18:23:17:813,-3.203,1.854,6.5981,38.0187,-0.0758,0.927,0.2758,0.1036
18:23:17:833,-1.992,0.636,8.13,38.6622,-0.0854,0.9526,0.4697,0.1037
18:23:17:853,-1.901,0.4271,7.9631,38.5107,0.1735,1.0612,0.3802,0.1051
18:23:17:875,-3.0881,-0.038,5.9111,37.9076,0.3439,1.6141,0.4122,0.1076
18:23:17:893,-3.7871,-0.647,6.708,38.0335,-0.2633,1.9731,0.6189,0.1125
18:23:17:913,-3.431,-1.5641,8.868,37.8798,-0.5317,2.1691,0.6434,0.1186
18:23:17:933,-3.203,-2.5691,9.2651,38.5456,-0.2153,2.511,0.4804,0.1237
18:23:17:953,-4.728,-2.133,7.905,38.3351,0.1298,3.0096,0.1789,0.1287
18:23:17:975,-7.089,-1.698,8.379,38.2519,-0.3528,2.9809,0.2247,0.1358
18:23:17:994,-7.302,-2.004,9.737,38.2206,-1.0878,2.2522,0.3972,0.1441
18:23:18:015,-6.807,-2.61,9.899,38.2662,-1.3595,1.7739,0.4484,0.1497
18:23:18:032,-7.242,-3.17,8.066,38.092,-1.2253,2.1351,0.4857,0.1507
18:23:18:053,-7.3211,-4.0181,7.649,38.1132,-1.1155,3.212,0.4751,0.1489
18:23:18:075,-7.23,-4.877,9.191,37.6715,-1.0047,4.06,0.2428,0.1472
18:23:18:093,-7.1231,-5.382,9.629,37.8058,-0.7842,4.5052,-0.1779,0.147
18:23:18:112,-7.3931,-5.085,8.195,37.4837,-0.6989,4.5415,-0.6242,0.1488
18:23:18:133,-7.683,-4.449,6.069,37.8516,-1.0612,4.2101,-0.898,0.1518
18:23:18:152,-7.788,-3.9671,5.3291,37.5159,-1.7759,3.5486,-1.0077,0.1532
18:23:18:176,-7.257,-3.7781,5.8151,37.3675,-2.4162,2.8126,-1.0142,0.1489
18:23:18:193,-6.459,-3.714,6.2171,36.681,-2.7805,2.1904,-1.0526,0.1377
18:23:18:213,-5.4611,-3.6131,5.844,36.9213,-2.9264,1.8495,-1.1804,0.1201
18:23:18:233,-5.748,-3.551,5.877,36.2196,-3.0009,1.6301,-1.3934,0.0978
18:23:18:252,-6.854,-2.9861,6.837,36.2883,-2.8274,1.5364,-1.3988,0.0721
18:23:18:275,-7.293,-3.137,7.2851,36.4736,-2.3533,1.6312,-1.3647,0.0448
18:23:18:292,-8.2361,-3.3641,7.335,36.9507,-1.8538,1.8176,-1.4585,0.0183
18:23:18:312,-9.744,-3.644,7.4021,36.682,-1.3648,1.9689,-1.5532,-0.0057
18:23:18:333,-11.346,-3.864,6.9431,36.8429,-0.9643,2.0562,-1.5575,-0.0266
18:23:18:352,-12.0431,-3.426,6.8591,36.6178,-0.7639,1.9444,-1.4372,-0.0439
18:23:18:375,-12.998,-3.477,7.4501,37.2585,-0.5818,1.6706,-1.288,-0.0579
18:23:18:393,-13.5341,-4.073,7.4381,37.4375,-0.3358,1.2977,-1.1506,-0.0691
