Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
17:41:06:837,1.9733,1.9564,7.1479,56.6047,-0.2607,-0.6076,0.6651,-0.0762
17:41:06:854,1.4057,2.0259,8.3789,57.3894,-0.6266,-0.6428,0.4685,-0.0782
17:41:06:870,0.6081,2.1001,8.5394,57.7341,-0.6943,-0.5538,0.4136,-0.1018
17:41:06:889,0.3782,2.1384,7.4185,56.4396,-0.5414,-0.2747,0.533,-0.1081
17:41:06:913,0.5602,2.4283,6.4533,56.5168,-0.3038,0.1845,0.6816,-0.0729
17:41:06:930,0.4668,2.924,6.6257,58.4341,-0.0774,0.5472,0.6917,-0.0723
17:41:06:949,0.6201,3.233,7.3538,57.7092,0.0861,0.6633,0.6331,-0.0723
17:41:06:971,0.8692,3.3312,8.1179,56.9933,0.1761,0.5445,0.55,-0.068
17:41:06:991,0.8811,3.3551,8.8556,58.389,0.2667,0.2681,0.4323,-0.048
17:41:07:011,1.1398,3.4533,9.5166,56.4896,0.4308,-0.0947,0.2948,-0.0498
17:41:07:030,1.5302,3.6234,9.8783,57.6141,0.6449,-0.4015,0.0946,0.1322
17:41:07:048,1.6021,3.8174,10.1058,55.8335,0.8249,-0.3924,-0.1611,0.1501
17:41:07:071,1.4703,3.5228,10.0699,57.7484,0.8819,-0.0963,-0.3667,0.1519
17:41:07:089,1.2332,3.6929,10.3309,56.8845,0.6044,-0.1847,-0.42,0.0845
17:41:07:111,1.2141,3.9443,11.6578,57.5573,0.2028,-0.5416,-0.4109,0.0845
17:41:07:130,1.1135,4.1551,12.3117,58.2841,0.1037,-0.3967,-0.4317,0.0786
17:41:07:148,1.6572,3.8102,12.2374,57.0628,0.0558,-0.174,-0.4621,0.0786
17:41:07:171,1.8104,3.0222,12.8841,58.1444,-0.111,-0.2124,-0.5771,0.069
17:41:07:190,1.547,1.7049,12.8913,59.3474,-0.1371,-0.2529,-0.6965,0.0681
17:41:07:213,1.4775,0.7565,11.8782,58.9303,-0.0865,-0.3168,-0.6927,0.0685
17:41:07:229,1.1494,0.881,11.4399,58.6075,-0.1957,-0.4963,-0.5372,0.0686
17:41:07:248,1.7889,1.6666,11.2578,58.111,-0.2772,-0.4313,-0.3358,0.0686
17:41:07:271,2.4451,2.5576,9.6459,58.2611,-0.1397,-0.0973,-0.2165,0.0887
17:41:07:289,2.2942,3.1588,7.4664,57.3834,-0.0369,0.3251,-0.2762,0.1221
17:41:07:311,1.4153,3.3264,6.8509,57.6899,-0.1504,0.4881,-0.4642,0.1228
17:41:07:330,0.2728,2.73,7.5814,57.5919,-0.2543,0.2122,-0.6112,0.1304
17:41:07:348,-0.7259,2.0977,7.7227,58.44,-0.1243,-0.0249,-0.6272,0.1304
17:41:07:370,-1.1283,2.5288,6.712,58.8018,0.1346,0.014,-0.558,0.1312
17:41:07:390,-0.496,2.9695,5.5647,59.129,0.2933,0.1509,-0.5036,0.133
17:41:07:411,-0.4218,3.1995,5.2893,59.5598,0.2235,0.0433,-0.5526,0.1352
17:41:07:431,-0.8601,3.1923,6.1779,57.4427,0.092,-0.133,-0.5915,0.1354
17:41:07:449,-1.0828,3.4773,7.2844,57.2892,0.1309,-0.2614,-0.4972,0.1354
17:41:07:470,-1.0229,4.0569,7.7131,59.7942,0.3583,-0.4739,-0.3358,0.141
17:41:07:489,-0.3571,4.7635,7.7634,59.7942,0.631,-0.5677,-0.1787,0.138
17:41:07:512,0.4524,5.4077,7.3371,58.5585,0.7205,-0.541,-0.1031,0.1377
17:41:07:530,0.7159,5.8221,8.0364,58.7372,0.4846,-0.4963,-0.1643,0.1292
17:41:07:548,0.1507,5.4987,9.8112,59.4825,0.1245,-0.4265,-0.289,0.1292
17:41:07:571,-0.6062,4.7874,10.8339,59.4824,-0.071,-0.2257,-0.3476,0.1267
17:41:07:593,-0.9607,4.2988,11.5117,60.7255,-0.1871,-0.1181,-0.3108,0.1266
17:41:07:611,-1.8397,3.9946,12.8242,60.7255,-0.3422,-0.1069,-0.232,0.1252
17:41:07:629,-2.472,3.7839,13.5475,61.6306,-0.3954,0.0641,-0.0423,0.125
17:41:07:648,-2.4815,3.5084,13.3751,61.0393,-0.3262,0.2388,0.1659,0.125
17:41:07:668,-2.5702,3.154,13.047,61.0752,-0.2287,0.2132,0.2996,0.1274
17:41:07:691,-2.757,2.8043,11.962,59.2722,-0.0657,0.1882,0.403,0.1387
17:41:07:711,-2.5462,2.4426,10.319,60.4417,0.0382,0.1056,0.5042,0.1398
17:41:07:729,-1.7989,2.1217,9.9334,60.9196,-0.0886,-0.1261,0.5958,0.1519
17:41:07:747,-0.6685,1.7792,10.7046,60.782,-0.2756,-0.3141,0.6789,0.1519
17:41:07:772,0.3039,1.6187,10.8626,60.0376,-0.2947,-0.3115,0.7407,0.1533
17:41:07:791,0.8955,1.6427,9.9022,60.3337,-0.1802,-0.1543,0.7801,0.1582
17:41:07:811,1.1853,1.9301,8.6208,60.5313,-0.046,0.1221,0.8179,0.1573
17:41:07:830,0.9626,2.2295,7.4257,60.0148,0.0637,0.3203,0.8206,0.1572
17:41:07:848,0.4668,2.3971,6.0845,59.7953,0.1703,0.4263,0.8083,0.1572
17:41:07:868,0.165,2.5744,5.4066,60.5219,0.2092,0.4444,0.8115,0.1524
17:41:07:890,0.3614,2.7755,5.5839,60.7748,0.2028,0.3219,0.8137,0.1487
17:41:07:911,0.6464,3.0318,5.8905,60.0746,0.2193,0.1743,0.77,0.1484
17:41:07:929,0.771,3.3911,6.2042,61.4211,0.223,0.1141,0.6997,0.1499
17:41:07:948,1.0201,3.8533,6.8988,60.456,0.1666,0.1184,0.6246,0.1499
17:41:07:969,1.171,4.2749,8.47,61.4153,0.0904,0.0811,0.5063,0.1552
17:41:07:990,1.1901,4.3299,9.6435,59.8498,0.1351,-0.0361,0.3572,0.1558
17:41:08:010,1.4344,4.4257,9.8615,60.6154,0.2459,-0.0515,0.2533,0.1575
17:41:08:030,1.9206,4.3491,9.8423,60.387,0.2321,0.047,0.1777,0.1576
17:41:08:048,2.3733,4.1,10.2735,60.0429,0.0845,0.1291,0.0892,0.1577
17:41:08:068,2.5266,4.2605,10.9393,59.6712,-0.0614,0.2494,0.0184,0.1544
17:41:08:089,2.3541,4.5958,11.7608,62.0557,-0.1184,0.3693,-0.0338,0.151
17:41:08:110,2.3877,4.6964,12.5224,60.959,-0.0183,0.3624,-0.0892,0.1507
17:41:08:130,2.8427,4.1048,11.9452,59.8156,0.2326,0.0971,-0.2165,0.1515
17:41:08:148,3.008,3.1516,10.5297,60.621,0.3764,-0.2976,-0.4237,0.1515
17:41:08:167,2.826,2.2654,10.9129,59.6305,0.1277,-0.5837,-0.5809,0.1516
17:41:08:190,2.1242,1.8343,12.532,61.1887,-0.217,-0.4974,-0.5761,0.1523
17:41:08:210,1.7554,2.0905,12.1823,59.1118,-0.2234,-0.002,-0.3971,0.1548
17:41:08:230,2.2631,2.3708,10.022,59.0545,-0.0423,0.2905,-0.249,0.1551
17:41:08:248,2.7014,2.6366,8.47,59.3604,-0.0284,0.038,-0.3065,0.1551
17:41:08:268,2.1673,2.4714,9.1166,58.9513,-0.2638,-0.4425,-0.5436,0.1548
17:41:08:290,1.0033,2.0929,9.7034,59.6465,-0.4002,-0.393,-0.6906,0.1491
17:41:08:310,0.1363,2.1863,8.9178,59.093,-0.3065,0.1291,-0.6315,0.1486
17:41:08:329,-0.235,2.3468,7.1551,58.2927,-0.1222,0.4966,-0.51,0.1447
17:41:08:347,0.0261,2.627,5.7444,59.0628,0.0169,0.5115,-0.428,0.1447
17:41:08:367,-0.0457,2.8474,5.3683,58.7244,0.0435,0.2612,-0.4765,0.1443
17:41:08:391,-0.8265,2.7324,6.3383,58.6369,0.0126,-0.0174,-0.5542,0.1522
17:41:08:411,-1.4373,2.5648,7.1742,58.2347,0.1266,-0.2225,-0.5111,0.1538
17:41:08:431,-1.4517,2.6702,6.5299,57.7392,0.3658,-0.1133,-0.3193,0.154
17:41:08:447,-0.7331,3.1396,5.9527,57.6519,0.4473,0.0492,-0.1004,0.154
17:41:08:468,-0.2086,3.7551,7.3634,57.3975,0.337,-0.1964,-0.028,0.1503
17:41:08:491,-0.6206,4.0377,9.2005,57.0752,0.3114,-0.6316,-0.0855,0.1534
17:41:08:511,-0.9798,3.9515,9.8711,58.1321,0.4547,-0.6407,-0.0732,0.1535
17:41:08:530,-1.181,3.9276,9.8423,57.6479,0.6055,-0.0899,0.0599,0.1446
17:41:08:547,-0.2302,4.1383,11.1477,58.5011,0.6337,0.1956,0.2224,0.1446
17:41:08:568,0.3518,4.5766,13.2026,58.0219,0.5671,-0.2438,0.2421,0.137
17:41:08:590,0.6129,4.0785,13.7272,57.2755,0.5863,-0.402,0.1809,0.1362
17:41:08:611,-0.4984,4.0928,13.5475,56.5898,0.6513,0.0374,0.1398,0.1371
17:41:08:629,-0.2924,3.7575,12.5464,56.1215,0.6012,0.4013,0.2576,0.1371
17:41:08:665,0.2057,3.6138,12.2757,55.2097,0.353,0.1264,0.322,0.1396
17:41:08:668,0.9961,3.415,13.1236,56.4123,0.1032,-0.2822,0.2996,0.1398
17:41:08:691,1.2045,2.9552,13.3296,55.9689,0.0275,-0.4159,0.2059,0.1494
17:41:08:710,0.9291,2.742,12.5009,54.8607,0.1138,-0.2603,0.1686,0.1494
17:41:08:729,0.9386,3.0055,10.9513,55.9635,0.2742,-0.0979,0.2341,0.1597
17:41:08:747,1.0057,3.2234,9.4184,54.851,0.4004,0.0092,0.3247,0.1597
17:41:08:767,1.0201,3.1492,9.6938,55.3442,0.4366,-0.2651,0.3982,0.1647
17:41:08:791,1.1805,2.9863,10.0747,54.0252,0.5288,-0.7866,0.4792,0.1653
17:41:08:812,1.2668,2.9671,9.313,54.4982,0.7557,-0.8356,0.6102,0.1733
17:41:08:830,1.4512,3.3887,7.9718,54.8173,1.0167,-0.4196,0.7673,0.1734
17:41:08:848,1.7506,3.8318,6.7431,54.0008,1.1824,-0.2198,0.8558,0.1731
17:41:08:867,2.3589,4.0785,5.5623,54.297,1.1802,-0.3045,0.7498,0.1731
17:41:08:891,2.4643,4.021,5.0115,54.1933,1.0172,-0.4143,0.4701,0.1808
17:41:08:910,2.4044,4.1455,5.3037,54.0963,0.7061,-0.3978,0.2693,0.1809
17:41:08:929,2.6104,4.4641,6.3455,54.5309,0.4084,-0.1719,0.1915,0.1862
17:41:08:947,2.5338,4.5359,7.3012,53.5397,0.2694,-0.0345,0.0765,0.1862
17:41:08:967,2.4164,4.4401,7.2125,53.2114,0.3109,0.2047,-0.1031,0.1921
17:41:08:992,2.4212,4.3204,7.5095,53.6876,0.3343,0.03,-0.2123,0.1928
17:41:09:010,3.2643,4.7227,8.743,52.2653,0.2646,-0.2609,-0.2282,0.2136
17:41:09:029,3.3457,5.0628,9.4376,52.1371,0.2417,-0.1975,-0.2602,0.2138
17:41:09:047,2.8427,5.2808,8.7478,52.9106,0.3301,0.0263,-0.3151,0.2282
17:41:09:069,2.7876,5.494,7.7802,51.8845,0.3594,0.0119,-0.3657,0.2297
17:41:09:092,2.4427,5.5874,7.955,53.1024,0.2076,-0.2113,-0.4381,0.2453
17:41:09:110,2.0308,5.4389,8.9394,52.5121,-0.0231,-0.272,-0.4482,0.2455
17:41:09:129,1.9158,5.2089,9.5909,52.7744,-0.1301,-0.0563,-0.3587,0.2547
17:41:09:147,2.3206,5.0628,9.8256,52.8669,-0.038,-0.0185,-0.2586,0.2547
17:41:09:167,2.5817,4.9718,9.2436,52.3625,0.1639,-0.2832,-0.2479,0.2548
17:41:09:192,2.5505,4.9359,8.2783,53.2542,0.2422,-0.4361,-0.2362,0.2548
17:41:09:210,2.7541,5.0125,7.7275,52.411,0.0803,-0.3493,-0.1579,0.2573
17:41:09:230,3.0128,5.1299,8.24,51.3913,-0.1403,-0.1889,-0.1063,0.2573
17:41:09:247,2.7709,5.0221,9.0065,52.324,-0.1776,-0.2348,-0.119,0.2587
17:41:09:267,2.3996,5.0964,8.5682,51.6542,0.0094,-0.3184,-0.1047,0.2588
17:41:09:292,2.1697,5.2976,7.4401,51.5487,0.15,-0.3599,-0.0461,0.2599
17:41:09:311,2.3014,5.4245,7.6868,51.8378,0.1053,-0.3653,0.0386,0.2376
17:41:09:329,2.4403,5.4149,8.1969,51.2987,0.1298,-0.4361,0.0818,0.2355
17:41:09:348,2.5146,5.4437,7.591,51.3754,0.3269,-0.524,0.0796,0.2355
17:41:09:367,2.5649,5.4508,6.4701,51.7334,0.4435,-0.6225,0.0653,0.237
17:41:09:388,2.8188,5.4987,5.833,51.2834,0.3114,-0.5341,0.0786,0.2246
17:41:09:412,3.1493,5.5059,6.0725,51.3348,0.0078,-0.2768,0.0802,0.2302
17:41:09:430,2.8691,5.2952,7.3874,50.6912,-0.2393,-0.1208,0.0029,0.2302
17:41:09:447,2.5266,5.0101,7.9359,51.5601,-0.2441,-0.1431,-0.053,0.2327
17:41:09:467,2.7733,5.0748,7.3179,51.079,-0.1419,-0.1314,-0.029,0.2329
17:41:09:488,2.9912,5.1898,7.1718,50.7591,-0.1903,-0.0116,-0.0311,0.2279
17:41:09:509,2.6679,5.2209,7.1215,51.72,-0.3049,0.1339,-0.061,0.2242
17:41:09:530,2.4068,5.3263,6.9443,51.1881,-0.4066,0.267,-0.061,0.2319
17:41:09:547,2.3948,5.3071,7.9574,51.2853,-0.5355,0.2494,-0.0557,0.2319
17:41:09:566,2.3517,5.2808,8.8172,51.8159,-0.494,0.1067,-0.0503,0.2398
17:41:09:587,2.3374,5.4916,8.1155,49.8657,-0.2686,0.0769,-0.0216,0.2526
17:41:09:611,2.5002,5.6137,7.4089,50.6778,-0.1967,0.1296,0.0195,0.2623
17:41:09:632,2.6343,5.6209,7.646,50.4452,-0.2788,0.1956,0.0525,0.2659
17:41:09:646,2.711,5.6448,7.967,50.3874,-0.2963,0.218,0.061,0.2668
17:41:09:671,2.7158,5.6472,7.979,50.9986,-0.2287,0.1456,0.0402,0.2669
17:41:09:688,2.7182,5.5945,7.8424,50.1812,-0.1584,0.0976,0.0248,0.2539
17:41:09:710,2.8834,5.6305,7.9239,50.2621,-0.1307,0.0859,0.0333,0.254
17:41:09:729,2.9553,5.7047,7.8472,50.3298,-0.0955,0.0737,0.028,0.2479
17:41:09:747,2.8499,5.8101,7.4616,50.5259,-0.0673,0.0705,0.0093,0.2479
17:41:09:766,2.8068,5.9418,7.4377,50.1714,-0.0923,0.087,-0.0088,0.2348
17:41:09:787,2.6655,5.9586,7.682,49.9149,-0.1312,0.0848,-0.0407,0.225
17:41:09:810,2.426,5.949,7.8233,50.801,-0.1147,0.0619,-0.0626,0.2207
17:41:09:829,2.3805,5.9658,7.5814,50.3544,-0.071,0.039,-0.0572,0.227
17:41:09:846,2.5098,6.052,7.3371,49.7979,-0.0705,0.0353,-0.0439,0.2228
17:41:09:867,2.505,6.0592,7.385,49.5847,-0.1238,0.0524,-0.0546,0.2224
17:41:09:887,2.3877,5.9634,7.7538,50.2621,-0.169,0.0635,-0.0759,0.2241
17:41:09:911,2.3421,5.882,7.7586,50.3821,-0.1467,0.0587,-0.0818,0.2297
17:41:09:929,2.3757,5.9131,7.4904,49.6556,-0.1254,0.0609,-0.0732,0.2284
17:41:09:946,2.5002,5.8796,7.5143,49.5516,-0.1594,0.0561,-0.0748,0.2284
17:41:09:968,2.2942,5.846,7.852,49.6017,-0.1626,0.0438,-0.0908,0.2353
17:41:09:987,2.1026,5.8197,7.5263,49.8982,-0.0934,0.0167,-0.0865,0.2393
17:41:10:011,2.1697,5.9035,6.8533,48.6851,-0.0598,0.0215,-0.0578,0.2374
17:41:10:030,2.3972,6.0903,6.6545,48.5832,-0.1317,0.03,-0.0413,0.2351
17:41:10:046,2.3421,6.1406,6.7958,49.812,-0.2212,0.047,-0.0567,0.2336
17:41:10:067,2.3062,6.167,6.9012,48.4538,-0.2708,0.0683,-0.0764,0.2335
17:41:10:087,2.0955,6.1287,7.2245,50.942,-0.2889,0.0428,-0.1015,0.2351
17:41:10:113,1.8392,6.0831,7.4089,49.4272,-0.258,-0.0142,-0.1057,0.2327
17:41:10:130,1.7913,6.2556,7.0066,48.0873,-0.2186,0.0247,-0.0679,0.2301
17:41:10:148,2.0595,6.4496,6.9898,48.9926,-0.2601,0.0806,-0.0349,0.2301
17:41:10:166,2.0955,6.5238,7.2461,48.5995,-0.3091,0.1317,-0.0413,0.2303
17:41:10:186,1.9422,6.464,7.3586,49.736,-0.3001,0.1493,-0.0588,0.2274
17:41:10:211,1.8128,6.3442,7.2988,49.0037,-0.2575,0.103,-0.0642,0.2259
17:41:10:228,1.7673,6.2795,7.1287,50.1336,-0.2372,0.1323,-0.037,0.2337
17:41:10:247,1.8128,6.1837,7.1119,48.0726,-0.2559,0.1546,0.0056,0.2326
17:41:10:266,2.0356,6.325,6.8676,48.8087,-0.266,0.1871,0.0445,0.2325
17:41:10:287,2.2344,6.3322,7.0521,49.4217,-0.3214,0.1615,0.0413,0.2358
17:41:10:312,2.438,6.3466,7.5598,47.6965,-0.3661,0.1141,-0.0077,0.2317
17:41:10:330,2.4356,6.3753,7.7634,48.7449,-0.3587,0.1754,-0.0663,0.2291
17:41:10:352,2.1673,6.4616,7.8233,48.1968,-0.3683,0.2399,-0.1174,0.2291
17:41:10:366,1.5877,6.4185,8.537,49.318,-0.4306,0.1855,-0.1707,0.2268
17:41:10:387,1.0488,6.2484,9.5406,47.4057,-0.4514,0.0731,-0.192,0.2282
17:41:10:412,0.6584,6.1215,10.3621,47.3162,-0.3901,-0.0206,-0.1696,0.2239
17:41:10:430,0.3878,5.688,10.4243,48.2207,-0.3326,0.0417,-0.1153,0.2232
17:41:10:447,0.0692,5.3215,11.0135,47.1558,-0.4018,0.1424,-0.0327,0.2193
17:41:10:467,-0.3978,4.8856,12.041,47.0783,-0.4439,0.1749,0.037,0.2189
17:41:10:486,-0.9774,4.5216,12.3859,46.4106,-0.2766,0.1083,0.094,0.219
17:41:10:514,-0.8649,4.4545,11.3488,49.2577,-0.0119,0.0715,0.2022,0.2271
17:41:10:529,-0.405,4.3707,9.8687,46.7225,0.0877,0.1493,0.2927,0.2229
17:41:10:546,0.0644,4.1791,9.1789,48.9104,-0.021,0.1983,0.3284,0.2229
17:41:10:566,0.6225,4.1,8.9083,47.6807,-0.1536,0.2052,0.3401,0.2197
17:41:10:585,0.9578,4.1527,8.1322,47.8618,-0.2196,0.2979,0.3353,0.2024
17:41:10:610,1.0488,4.1862,7.464,47.8075,-0.2862,0.4252,0.3194,0.1963
17:41:10:628,1.0536,3.93,7.8233,48.2695,-0.315,0.3778,0.2624,0.1962
17:41:10:647,0.759,3.645,7.4856,47.1662,-0.1461,0.2516,0.1825,0.192
17:41:10:675,0.4213,3.6641,5.9408,45.5686,0.0595,0.2153,0.1825,0.1916
17:41:10:685,0.3878,3.8461,4.7791,47.6196,-0.0039,0.1797,0.2474,0.1868
17:41:10:709,0.577,4.0713,5.9455,47.3444,-0.2926,0.0614,0.2821,0.1868
17:41:10:730,0.7231,4.1503,8.0987,46.0309,-0.4508,-0.0979,0.2464,0.1863
17:41:10:746,0.5219,4.1982,8.6664,45.5554,-0.2708,-0.0371,0.2075,0.1863
17:41:10:766,0.1435,4.4353,7.7035,45.5554,-0.0348,0.1754,0.2512,0.184
17:41:10:790,0.6345,4.9359,7.2485,46.7364,-0.0582,0.2532,0.362,0.1625
17:41:10:812,1.4392,5.2928,8.846,46.7364,-0.2761,0.0582,0.3774,0.1534
17:41:10:830,1.6883,5.3215,10.0004,45.5564,-0.3262,-0.068,0.2842,0.1533
17:41:10:847,1.7218,5.3287,10.0268,45.5564,-0.2734,-0.0196,0.2272,0.1477
17:41:10:866,2.208,5.2041,10.7381,47.3836,-0.3438,-0.0574,0.2171,0.1471
17:41:10:885,2.9577,5.1203,11.9596,46.2253,-0.4098,-0.1357,0.1782,0.1446
17:41:10:909,3.2595,5.0054,12.75,46.5933,-0.3661,-0.1463,0.0685,0.1446
17:41:10:931,3.3625,4.5599,13.047,46.8737,-0.2777,-0.1186,-0.0823,0.1436
17:41:10:946,3.5445,3.8413,12.623,46.9798,-0.1674,-0.018,-0.2282,0.1436
17:41:10:965,3.2187,3.4605,12.1225,47.442,-0.0769,0.1008,-0.346,0.1302
17:41:10:985,2.438,3.2617,11.483,46.3572,0.0083,0.234,-0.3998,0.1299
17:41:11:009,1.8703,3.0749,10.1537,45.7365,0.1042,0.3315,-0.3848,0.1275
17:41:11:030,1.8751,3.0174,9.1957,46.8538,0.1016,0.2372,-0.3358,0.1275
17:41:11:050,1.9877,2.948,9.04,47.8983,0.0323,-0.0004,-0.3247,0.1273
17:41:11:065,2.2176,2.9145,8.7071,46.9803,0.0222,-0.2166,-0.3422,0.1273
17:41:11:086,2.3948,2.845,7.6604,47.7302,0.0163,-0.3008,-0.4008,0.1274
