Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-68, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-74, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-72, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-65, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-69, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-64, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-60, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-63, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-61, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-62, -104, -130]",[],[],[]
20250413_19:26,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-57, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-64, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-71, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-73, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-72, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-76, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-79, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-72, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-70, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-73, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-77, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-75, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-79, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-73, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-77, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-72, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-75, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-79, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-83, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte']","[473, 332, 137]","[-80, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 283, 228, 332, 137]","[-86, -98, -104, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 228, 283, 332, 137]","[-87, -97, -98, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte', 'Lte']","[473, 283, 228, 332, 137]","[-89, -100, -90, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 228, 332, 137]","[-88, -103, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 228, 332, 137]","[-89, -92, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 228, 332, 137]","[-86, -81, -104, -130]",[],[],[]
20250413_19:27,"['Lte', 'Lte', 'Lte', 'Lte']","[228, 473, 413, 332]","[-80, -93, -99, -121]",[],[],[]
