Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
19:37:47:951,-4.4675,-1.1271,9.2585,52.5911,0.4995,0.7004,-0.2444,195.0156
19:37:47:994,-4.6698,1.5892,5.435,51.4807,-0.5823,-1.3582,0.7702,195.6094
19:37:48:021,-4.6255,0.9738,7.2785,51.2065,-0.7165,-2.7934,0.7457,195.6094
19:37:48:042,-3.9527,0.6135,10.057,51.3707,-0.7871,-3.6347,0.7505,200.1875
19:37:48:052,-2.3354,-0.5261,14.6897,50.6303,-0.7085,-2.6754,0.8419,199.3906
19:37:48:071,-0.7541,-0.987,14.0828,51.2117,-0.7311,-1.8344,0.9402,198.7969
19:37:48:092,-0.2022,-0.2508,12.8163,52.5148,-0.7572,-0.612,0.8616,198.1719
19:37:48:121,-0.0981,0.1227,11.5055,49.9312,-0.6635,0.5281,0.68,197.25
19:37:48:138,-0.3327,0.009,10.3742,51.2099,-0.4547,0.9987,0.5274,196.1719
19:37:48:153,-1.0342,0.1167,9.3303,51.4458,-0.1503,0.8424,0.4395,195.1562
19:37:48:170,-1.44,0.2999,8.7521,51.1658,0.1749,0.2698,0.395,194.2031
19:37:48:202,-1.3442,0.3777,8.7126,51.4874,0.4348,-0.2535,0.3575,193.4375
19:37:48:215,-1.0246,0.3849,9.037,51.4874,0.5869,-0.3212,0.2917,192.9219
19:37:48:229,-0.8319,0.5213,9.6452,50.8119,0.6582,-0.1065,0.2222,192.5781
19:37:48:260,-0.7433,0.6255,10.2162,51.4946,0.6625,0.0602,0.1439,192.4062
19:37:48:269,-0.7337,0.7153,10.1635,51.4946,0.6138,0.0879,0.0706,192.3281
19:37:48:300,-0.778,1.0098,9.7002,51.3398,0.5333,0.2005,-0.0077,192.2969
19:37:48:315,-0.7241,1.1223,9.1591,51.1298,0.4662,0.3129,-0.0849,192.3438
19:37:48:333,-1.0797,1.175,8.2625,51.9012,0.3696,0.2346,-0.0724,192.4531
19:37:48:347,-1.4592,1.4024,7.0989,51.2837,0.1562,-0.1806,-0.0037,192.5938
19:37:48:367,-0.9552,1.388,6.9936,53.4622,-0.1002,-0.6314,-0.0418,192.75
19:37:48:386,0.2802,1.2396,7.9034,50.8504,-0.2672,-0.8131,-0.2343,192.8594
19:37:48:418,0.9315,1.3342,9.1125,51.6826,-0.2781,-0.7763,-0.4037,192.9531
19:37:48:433,0.6334,0.9727,9.7457,53.3997,-0.1716,-0.7654,-0.4298,193.3906
19:37:48:446,0.0779,0.6722,10.2988,53.6828,-0.0531,-0.7324,-0.2743,193.9219
19:37:48:473,-0.2166,0.7416,10.8231,50.3173,-0.0515,-0.5247,0.0501,194.4688
19:37:48:485,0.1917,1.0541,10.6483,51.9414,-0.211,-0.1526,0.4525,194.9062
19:37:48:505,1.0476,1.3761,9.7014,51.6967,-0.4164,0.0389,0.7204,194.9219
19:37:48:531,1.8987,1.5018,9.0107,50.4055,-0.5996,-0.1955,0.7524,194.4219
19:37:48:545,1.955,1.7807,9.6368,52.1086,-0.7407,-0.5649,0.6914,193.4844
19:37:48:568,1.7215,2.1422,11.0482,49.9054,-0.7719,-0.4922,0.5817,192.5156
19:37:48:589,1.6294,2.0584,11.6084,51.1155,-0.6459,-0.1816,0.4512,191.6562
19:37:48:605,1.5001,2.1781,11.3642,50.019,-0.3998,0.1611,0.2919,190.9375
19:37:48:625,1.6868,2.7563,10.5514,51.1513,-0.2046,0.1372,0.0296,190.3125
19:37:48:646,2.0927,3.0831,9.7804,50.5411,-0.2017,-0.273,-0.3581,189.875
19:37:48:667,2.2255,2.809,9.8116,50.7549,-0.2976,-0.4898,-0.7707,189.7812
19:37:48:683,1.6162,2.1063,10.4747,49.3389,-0.4147,-0.2788,-1.0594,190.1875
19:37:48:703,0.7746,1.2851,11.0649,50.5902,-0.4637,0.3925,-1.1488,191.0781
19:37:48:721,0.2096,0.8625,10.7848,50.4051,-0.4006,1.0911,-1.1358,192.1875
19:37:48:741,-0.2657,0.8841,9.8535,49.3061,-0.2302,1.4344,-1.1078,193.3594
19:37:48:768,-0.596,1.2097,8.6923,48.9009,-0.0664,1.5167,-1.1017,194.4375
19:37:48:785,-1.0486,1.4659,7.6077,50.421,0.1014,1.5036,-1.1041,195.4531
19:37:48:803,-1.9392,1.5341,6.4154,48.3515,0.2202,1.2229,-0.9922,196.5469
19:37:48:820,-2.7365,1.7304,5.4864,50.0034,0.2455,0.7241,-0.7518,197.7031
19:37:48:845,-2.594,2.1302,5.3835,49.9889,0.1914,0.1798,-0.5342,198.7969
19:37:48:866,-1.9212,2.736,6.1149,48.0618,0.0747,-0.2501,-0.5086,199.625
19:37:48:883,-1.5621,3.0879,7.5119,49.6166,-0.0709,-0.4394,-0.6348,199.9688
19:37:48:899,-1.926,2.7108,9.28,48.37,-0.1847,-0.2812,-0.7235,200.5781
19:37:48:924,-2.5102,1.9794,10.6555,49.4504,-0.2765,0.2458,-0.6623,200.5781
19:37:48:940,-3.4056,1.7101,10.8459,48.526,-0.3474,0.5795,-0.4596,201.6094
19:37:48:965,-4.0605,1.6023,11.0278,46.6931,-0.3442,0.478,-0.1808,202.4062
19:37:48:987,-4.0018,1.2504,11.5665,47.2315,-0.227,0.1912,0.1439,203.4375
19:37:49:002,-3.4787,1.2205,12.2932,46.3001,-0.0491,-0.0642,0.4336,203.4375
19:37:49:018,-2.8047,1.588,12.839,48.7423,0.1059,-0.3462,0.5769,203.5
19:37:49:039,-2.0685,1.8741,13.7045,47.9396,0.1866,-0.6314,0.5423,203.25
19:37:49:059,-1.5872,1.7149,14.9711,47.8958,0.2463,-0.6661,0.4264,202.75
19:37:49:083,-2.1439,1.3282,15.7791,47.5443,0.385,-0.4344,0.4733,202.1719
19:37:49:100,-1.9021,0.5872,15.4272,47.2147,0.5981,-0.2586,0.5678,201.6406
19:37:49:118,-1.6698,0.2424,14.2468,46.6932,0.8556,-0.2498,0.6973,201.2812
19:37:49:138,-1.2185,0.1239,12.5362,47.0559,1.0905,-0.3968,0.8014,200.9062
19:37:49:159,-0.863,0.0293,10.6747,46.5811,1.2148,-0.6173,0.8488,200.4531
