Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
14:32:16:305,-0.0909,2.1007,9.4134,63.7211,0.2406,0.0266,0.0128,206.28
14:32:16:325,-0.2336,2.1415,9.2108,63.6309,0.2545,0.0309,0.0447,202.07
14:32:16:345,-0.281,2.1169,9.0693,63.6848,0.1459,0.0138,0.0788,202.12
14:32:16:366,-0.2044,2.0855,9.045,63.9515,-0.0043,-0.0075,0.0777,202.09
14:32:16:386,-0.188,1.9271,9.2117,63.9798,-0.1075,-0.017,0.0479,202
14:32:16:405,-0.184,1.9018,9.3375,63.8349,-0.1331,-0.0319,-0.0106,201.91
14:32:16:425,-0.2122,1.984,9.3389,63.197,-0.1086,-0.0862,-0.0724,201.85
14:32:16:445,-0.2388,2.0992,9.208,62.9751,-0.1054,-0.1011,-0.082,201.87
14:32:16:465,-0.3405,2.05,9.2515,62.7631,-0.1256,-0.0011,-0.0373,201.99
14:32:16:485,-0.2281,2.0524,9.5417,62.7134,-0.1512,0.131,0.016,202.09
14:32:16:505,-0.176,1.9746,9.7377,62.9225,-0.1246,0.1576,0.0341,202.1
14:32:16:525,-0.1523,1.7587,9.75,63.2338,-0.0724,0.0884,0.017,202.04
14:32:16:545,-0.2487,1.6072,9.667,63.3688,-0.0479,0.0617,-0.033,202
14:32:16:565,-0.3709,1.6105,9.4807,63.2756,-0.05,0.05,-0.0586,201.99
14:32:16:585,-0.3894,1.733,9.3651,63.3756,-0.0617,0.0213,-0.0256,202.01
14:32:16:605,-0.2605,1.7618,9.3321,63.0175,-0.0671,-0.0362,0.0256,202.08
14:32:16:625,-0.1589,1.6074,9.3647,63.2662,-0.0245,-0.1757,0.0373,202.15
14:32:16:646,-0.0569,1.5892,9.2,63.2948,0.017,-0.346,0.0128,202.19
14:32:16:666,0.0856,1.7798,9.0555,63.4827,-0.0117,-0.3268,0.0043,202.28
14:32:16:687,0.1136,1.9151,9.1517,63.447,-0.0798,-0.099,0.0266,202.38
14:32:16:705,0.0868,1.9315,9.3971,63.152,-0.1267,0.0703,0.0873,202.38
14:32:16:725,0.1014,1.8591,9.5002,62.91,-0.1852,0.0383,0.1565,202.28
14:32:16:746,0.251,1.6728,9.4503,62.9559,-0.2949,-0.1256,0.1672,202.17
14:32:16:765,0.5462,1.6021,9.457,63.1267,-0.4333,-0.1703,0.1054,202.06
14:32:16:787,0.6846,1.6473,9.6999,63.1328,-0.4812,-0.1171,0.0096,201.93
14:32:16:805,0.6499,1.55,9.6826,63.3341,-0.3641,-0.1299,-0.0649,201.78
