Time,Acc_X,Acc_Y,Acc_Z,Meg,Gyr_X,Gyr_Y,Gyr_Z,Ore
14:42:03:437,-0.0007,2.0852,9.9337,60.7468,-0.1363,-0.1267,-0.4024,201.82
14:42:03:437,0.1451,2.0448,9.6973,60.6269,-0.1139,-0.1427,-0.2885,188.18
14:42:03:446,0.3654,2.0107,9.6064,60.6,-0.1416,-0.1075,-0.2938,189.15
14:42:03:465,0.4503,2.1696,9.7124,60.419,-0.1001,-0.0894,-0.3215,189.5
14:42:03:485,0.294,2.2589,9.6361,60.3933,-0.0256,-0.2289,-0.3386,189.83
14:42:03:505,0.1466,2.29,9.2628,60.6642,-0.016,-0.2768,-0.313,190.23
14:42:03:525,0.3309,2.4072,9.0624,60.7051,-0.0234,-0.2225,-0.2183,190.73
14:42:03:545,0.6446,2.5183,8.9783,60.8285,-0.0692,-0.033,-0.1533,191.13
14:42:03:565,0.7547,2.4049,9.0437,60.6402,-0.1235,0.1874,-0.1224,191.36
14:42:03:585,0.7297,2.3154,9.2844,60.6417,-0.1682,0.3205,-0.1395,191.43
14:42:03:605,0.5605,2.2722,9.5244,60.3137,-0.2044,0.247,-0.1852,191.45
14:42:03:627,0.4791,2.4073,9.5863,60.3392,-0.2417,0.2033,-0.1789,191.57
14:42:03:645,0.3876,2.4591,9.6632,60.4986,-0.3077,0.2353,-0.1054,191.81
14:42:03:665,0.4057,2.4539,10.387,60.2867,-0.3471,0.2853,-0.0703,192.01
14:42:03:685,0.5445,2.7024,10.8562,60.254,-0.2385,0.1011,-0.0447,192.1
14:42:03:705,0.6056,2.9803,11.1023,60.5644,-0.0958,-0.0085,0.017,192.22
14:42:03:725,0.2851,2.5194,11.2445,60.5442,0.131,0.0043,0.1352,192.43
14:42:03:745,0.0508,2.1069,11.2609,60.7116,0.3524,0.0383,0.231,192.48
14:42:03:765,0.2678,2.2888,10.9925,60.7857,0.5856,0.0767,0.3364,192.37
14:42:03:785,0.1646,2.1154,10.0268,60.6117,0.5994,0.3503,0.4269,192.17
14:42:03:805,-0.6648,0.5322,9.4225,60.8266,0.1384,0.8155,0.5675,191.76
14:42:03:825,-1.006,-0.3406,10.5951,60.6318,-0.2875,1.0412,0.6633,191.02
14:42:03:846,-0.5542,0.165,11.8459,60.7746,0.049,0.7378,0.6856,190.06
14:42:03:865,-0.2027,0.3231,10.6989,60.9338,0.5951,0.3641,0.6633,189.27
14:42:03:885,-0.1977,0.128,8.9526,60.8796,0.6313,0.3449,0.5802,188.75
14:42:03:905,-0.331,0.2924,8.3316,61.198,0.3386,0.4961,0.4695,188.08
14:42:03:925,-0.5315,0.716,8.6172,61.016,0.1235,0.5472,0.4173,187.29
14:42:03:946,-0.6472,0.9007,8.6976,60.7643,0.0649,0.3471,0.4365,186.58
14:42:03:965,-0.3024,1.2144,8.4607,60.5105,0.1054,0.0277,0.4365,186.08
14:42:03:985,0.1632,1.7572,7.9309,60.585,0.2236,-0.1842,0.3567,185.72
14:42:04:005,0.2961,2.1711,7.2647,60.1297,0.3141,-0.0341,0.3034,185.39
14:42:04:026,0.1875,2.3641,6.7949,60.5301,0.2896,0.2598,0.3535,184.99
14:42:04:045,0.0819,2.3437,6.681,60.6446,0.0671,0.4663,0.4418,184.49
14:42:04:065,-0.0481,2.0335,7.2902,60.8441,-0.2619,0.5419,0.477,183.93
14:42:04:085,-0.1942,1.6879,8.1754,60.6509,-0.4844,0.4408,0.4227,183.31
14:42:04:106,-0.1625,1.6484,8.9522,60.8811,-0.5259,0.2843,0.3173,182.71
14:42:04:134,-0.1069,1.7096,9.4548,60.8966,-0.4088,0.2033,0.1373,182.23
14:42:04:151,-0.1717,1.9566,9.6367,61.1596,-0.2278,0.2055,-0.0479,181.86
14:42:04:166,-0.2818,2.344,9.6405,61.2622,-0.1139,0.1916,-0.2257,181.63
14:42:04:186,-0.5867,2.6393,9.8056,61.5381,-0.0969,0.1118,-0.3322,181.59
14:42:04:205,-0.8321,2.9067,10.0337,61.3365,-0.0852,-0.0532,-0.3705,181.8
14:42:04:232,-1.0389,3.0187,10.1945,61.505,-0.1065,-0.2353,-0.3503,182.22
14:42:04:245,-0.9692,3.1749,10.254,61.5396,-0.1235,-0.3279,-0.2726,182.75
14:42:04:265,-0.8275,3.0645,10.3591,61.369,-0.132,-0.1373,-0.1672,183.29
14:42:04:285,-0.8115,2.6975,10.88,61.3487,-0.1373,0.1171,-0.0862,183.63
14:42:04:305,-0.4901,2.5845,11.6275,61.2651,-0.0458,0.1054,-0.1235,183.72
14:42:04:325,-0.1855,2.8866,11.9192,61.4801,0.1629,-0.0447,-0.2278,183.76
14:42:04:347,-0.828,2.1453,11.2339,61.3327,0.2374,-0.0011,-0.2023,183.94
14:42:04:366,-1.5195,0.67,10.7002,61.8054,0.0106,0.131,-0.1043,184.21
14:42:04:386,-1.3948,0.2944,11.3835,61.8878,-0.1586,0.1469,-0.033,184.41
14:42:04:413,-0.7633,0.4023,11.6578,62.0439,0.1288,-0.033,0.0756,184.49
14:42:04:430,-0.193,0.0497,10.5147,62.2299,0.5919,0.0053,0.1384,184.61
14:42:04:446,-0.1233,-0.4317,8.9048,62.3324,0.7389,0.3173,0.0617,184.63
14:42:04:466,-0.3036,-0.4402,8.1701,62.1757,0.4482,0.5164,-0.0724,184.34
14:42:04:486,-0.6154,-0.1595,8.5161,62.3123,-0.0245,0.4312,-0.1703,184.03
14:42:04:511,-0.9019,-0.1595,9.257,62.3346,-0.3162,0.0426,-0.2353,183.99
14:42:04:525,-0.7599,0.1254,9.3163,62.1943,-0.264,-0.4216,-0.3652,184.26
14:42:04:545,-0.5087,0.7964,8.7234,62.2233,-0.082,-0.61,-0.5504,184.78
14:42:04:566,-0.6188,1.4287,8.0949,62.0671,0.0852,-0.5249,-0.6633,185.39
14:42:04:586,-1.0285,1.81,7.6699,62.2619,0.2246,-0.2566,-0.6175,186.05
14:42:04:612,-1.5437,2.1398,7.2222,62.3388,0.3066,0.0777,-0.3609,186.74
14:42:04:626,-1.6391,2.2457,7.1208,62.2897,0.2321,0.5164,0.0405,187.34
14:42:04:646,-1.7805,1.7934,7.4934,62.5077,0.0649,0.8326,0.2843,187.64
14:42:04:665,-1.8799,1.5875,8.2292,62.3502,-0.099,0.7793,0.3961,187.42
14:42:04:687,-1.9497,1.5072,8.8898,62.3226,-0.2097,0.4333,0.5195,186.98
