Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 137, 475]","[-77, -91, -92]",[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-74, -93]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-84, -96, -102]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-73, -95, -96]",[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-74, -90]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-77, -99, -116]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte', 'Lte']","[473, 44, 40, 33]","[-72, -110, -114, -117]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 322, 475]","[-75, -93, -95]",[],[],[]
20250412_14:32,['Lte'],[473],[-73],[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-85, -118]",[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-84, -115]",[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-81, -95]",[],[],[]
20250412_14:32,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-72, -92, -92]",[],[],[]
20250412_14:32,['Lte'],[473],[-80],[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-87, -125]",[],[],[]
20250412_14:32,"['Lte', 'Lte']","[473, 475]","[-76, -117]",[],[],[]
20250412_14:32,['Lte'],[473],[-83],[],[],[]
20250412_14:32,['Lte'],[473],[-83],[],[],[]
20250412_14:32,['Lte'],[473],[-86],[],[],[]
20250412_14:32,['Lte'],[473],[-84],[],[],[]
20250412_14:32,['Lte'],[473],[-85],[],[],[]
20250412_14:32,['Lte'],[473],[-82],[],[],[]
20250412_14:33,"['Lte', 'Lte', 'Lte']","[473, 474, 322]","[-83, -106, -116]",[],[],[]
20250412_14:33,"['Lte', 'Lte', 'Lte']","[473, 474, 322]","[-81, -100, -105]",[],[],[]
20250412_14:33,"['Lte', 'Lte', 'Lte']","[473, 474, 322]","[-86, -91, -102]",[],[],[]
20250412_14:33,"['Lte', 'Lte', 'Lte']","[473, 474, 322]","[-85, -93, -102]",[],[],[]
