Time,Cell_Type,Cell_ID,Cell_RSSI,WiFi_MAC,WiFi_ID,WiFi_RSSI
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-78, -94, -101]",[],[],[]
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-70, -98, -109]",[],[],[]
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 322, 475]","[-75, -88, -88]",[],[],[]
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 322, 475]","[-73, -93, -103]",[],[],[]
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-71, -94, -115]","[bc:9b:5e:fc:58:c1, fa:6b:14:05:ec:d2, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b0, 7c:b5:9b:17:0a:70, 10:9f:4f:bc:f6:3a, e8:9a:ff:06:a5:bb, bc:13:a8:de:51:7f, c0:49:43:f1:59:82, 6a:77:da:3b:c0:78, bc:fd:0c:aa:59:04, 44:a1:91:a5:79:c1, 02:b5:53:61:39:60, 50:20:65:8b:42:26, c0:49:43:b2:a9:e0, 24:69:68:f0:0d:88, 38:a9:1c:2e:95:c5, 14:d8:64:ff:a9:df, 44:a1:91:a5:7c:d3, 44:a1:91:a5:7c:d2, 02:b5:53:61:39:64, 3e:a9:1c:2e:95:c6, 38:a9:1c:2e:95:c6, c2:49:43:b1:59:83, c0:49:43:b2:a9:e1, c2:49:43:b2:a9:e1, c0:49:43:f1:59:83, bc:9b:5e:fc:58:bf, 70:fd:45:4a:d7:61, 24:b8:da:7c:3a:64, 62:e6:f0:21:69:41, 62:e6:f0:37:da:2b, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:7c:c2, 3c:67:ff:4b:cc:fb, 5c:e8:83:7e:a4:b1, 44:a1:91:a5:7c:d0, 5c:e8:83:7e:a4:b3, 5c:e8:83:7e:a4:b2, 5c:e8:83:7e:a4:b0, cc:29:bd:e0:8c:ee, 22:08:89:b1:d8:e9, 20:08:89:91:d8:e9, 44:a1:91:a5:78:31, 44:a1:91:a5:78:33, 44:a1:91:a5:78:32, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d0, 00:6b:8e:e4:4b:18, 00:88:2b:40:60:5b, 70:fd:45:71:14:40]","[芒果Mango, DIRECT-XD-Android_U7dt, livestream, camera, Livat WiFi, , , livestream, camera, Livat WiFi, , 修个机, DIRECT-13-Android_81d3, PPM, LTE-WiFi_5A1D, , Looci_KB7M0402, , 萌宝奇贝, , LTE-WiFi_5A1D, 艾力斯特, tengye, bawangchaji, livestream, camera, 萌宝奇贝_5G, , tengye_5G, , LTE-WiFi_5A1D_5G, , LTE-WiFi_5A1D_5G, 芒果Mango, , CMCC-樊文花, DIRECT-BMW 24955, DIRECT-BMW 02497, livestream, Livat WiFi, camera, lee, , Livat WiFi, livestream, camera, Livat WiFi, 洗脸熊-5G, , Mastet boxing-5G, , livestream, camera, camera, livestream, Livat WiFi, 相遇半小时光, CAR_DVR_50_605b, Livat WiFi]","[-79, -78, -86, -89, -87, -88, -90, -91, -90, -92, -73, -80, -68, -82, -69, -82, -63, -75, -83, -62, -66, -52, -74, -75, -89, -91, -91, -90, -91, -77, -77, -77, -78, -76, -78, -82, -90, -80, -81, -77, -78, -81, -85, -81, -84, -86, -85, -90, -92, -90, -67, -67, -80, -81, -82, -81, -88, -73, -87]"
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-81, -102, -109]","[bc:9b:5e:fc:58:c1, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b0, 38:a9:1c:2e:95:c6, c0:49:43:b2:a9:e1, c0:49:43:f1:59:83, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d0, 0a:6d:4c:b5:27:4f, e8:9a:ff:06:a5:bb, 10:9f:4f:bc:f6:3a, 62:e6:f0:37:da:2b, c0:49:43:f1:59:82, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:7c:c2, c0:49:43:b2:a9:e0, 44:a1:91:a5:79:c0, bc:9b:5e:fc:58:bf, 24:69:68:f0:0d:88, 38:a9:1c:2e:95:c5]","[芒果Mango, livestream, camera, Livat WiFi, , , livestream, camera, Livat WiFi, tengye_5G, LTE-WiFi_5A1D_5G, LTE-WiFi_5A1D_5G, livestream, camera, Livat WiFi, A5L-23-B17C3, DIRECT-13-Android_81d3, 修个机, DIRECT-BMW 02497, LTE-WiFi_5A1D, livestream, Livat WiFi, camera, LTE-WiFi_5A1D, Livat WiFi, 芒果Mango, 艾力斯特, tengye]","[-70, -84, -86, -83, -84, -88, -87, -88, -83, -86, -81, -81, -85, -86, -87, -83, -67, -81, -88, -73, -84, -84, -84, -85, -87, -70, -49, -78]"
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 475, 322]","[-76, -108, -118]","[bc:9b:5e:fc:58:c1, c0:49:43:b2:a9:e1, c0:49:43:f1:59:83, c2:49:43:b1:59:83, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, e8:9a:ff:06:a5:bb, c0:49:43:f1:59:82, 7c:b5:9b:17:0a:70, bc:9b:5e:fc:58:bf, c0:49:43:b2:a9:e0, ee:23:7b:d9:d9:65, 38:a9:1c:2e:95:c5, 24:69:68:f0:0d:88, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b0, 38:a9:1c:2e:95:c6, 0a:6d:4c:b5:27:4f, 10:9f:4f:bc:f6:3a, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:7c:c2, 44:a1:91:a5:79:c0, 62:e6:f0:37:da:2b]","[芒果Mango, LTE-WiFi_5A1D_5G, LTE-WiFi_5A1D_5G, , livestream, camera, Livat WiFi, , DIRECT-13-Android_81d3, LTE-WiFi_5A1D, , 芒果Mango, LTE-WiFi_5A1D, iTV-SSID2, tengye, 艾力斯特, livestream, camera, Livat WiFi, , , livestream, camera, Livat WiFi, tengye_5G, A5L-23-B17C3, 修个机, livestream, Livat WiFi, camera, Livat WiFi, DIRECT-BMW 02497]","[-76, -81, -81, -80, -92, -92, -91, -92, -74, -79, -69, -64, -66, -83, -75, -56, -84, -86, -83, -84, -88, -87, -88, -83, -86, -83, -81, -84, -84, -84, -87, -88]"
20250412_14:49,['Lte'],[473],[-65],"[bc:9b:5e:fc:58:c1, c0:49:43:b2:a9:e1, c0:49:43:f1:59:83, c2:49:43:b1:59:83, ec:41:f9:72:e5:b6, 7c:b5:9b:17:0a:70, e8:9a:ff:06:a5:bb, 6a:77:da:3b:c0:78, 24:69:68:f0:0d:88, 00:88:2b:40:60:5b, 44:a1:91:a5:79:d3, 44:a1:91:a5:79:d2, 44:a1:91:a5:79:d0, 44:a1:91:a5:79:d1, c0:49:43:f1:59:82, bc:9b:5e:fc:58:bf, c0:49:43:b2:a9:e0, ee:23:7b:d9:d9:65, 38:a9:1c:2e:95:c5, 70:fd:45:4a:d7:73, 70:fd:45:4a:d7:72, 70:fd:45:4a:d7:70, 70:fd:45:4a:d7:71, 44:a1:91:a5:95:b1, 44:a1:91:a5:95:b3, 44:a1:91:a5:95:b2, 44:a1:91:a5:95:b0, 38:a9:1c:2e:95:c6, 0a:6d:4c:b5:27:4f, 10:9f:4f:bc:f6:3a, 44:a1:91:a5:7c:c3, 44:a1:91:a5:7c:c0, 44:a1:91:a5:7c:c2, 44:a1:91:a5:79:c0, 62:e6:f0:37:da:2b]","[芒果Mango, LTE-WiFi_5A1D_5G, LTE-WiFi_5A1D_5G, , HIKVISION-C6LITE-SEHL, , DIRECT-13-Android_81d3, , 艾力斯特, CAR_DVR_50_605b, livestream, camera, Livat WiFi, , LTE-WiFi_5A1D, 芒果Mango, LTE-WiFi_5A1D, iTV-SSID2, tengye, livestream, camera, Livat WiFi, , , livestream, camera, Livat WiFi, tengye_5G, A5L-23-B17C3, 修个机, livestream, Livat WiFi, camera, Livat WiFi, DIRECT-BMW 02497]","[-66, -83, -83, -84, -83, -61, -72, -83, -58, -79, -92, -92, -91, -92, -79, -64, -66, -83, -75, -84, -86, -83, -84, -88, -87, -88, -83, -86, -83, -81, -84, -84, -84, -87, -88]"
20250412_14:49,"['Lte', 'Lte', 'Lte']","[473, 322, 475]","[-82, -106, -107]",[],[],[]
20250412_14:49,"['Lte', 'Lte']","[473, 322]","[-73, -96]",[],[],[]
