Time,Meg
16:20:19:031,35.6422
16:20:19:043,35.7162
16:20:19:064,35.574
16:20:19:083,35.1714
16:20:19:103,35.1515
16:20:19:123,35.0794
16:20:19:143,35.1444
16:20:19:163,35.3855
16:20:19:183,35.4791
16:20:19:202,35.3205
16:20:19:223,35.053
16:20:19:243,34.9988
16:20:19:263,35.2687
16:20:19:282,35.3839
16:20:19:302,35.389
16:20:19:322,35.4423
16:20:19:342,35.4292
16:20:19:363,35.265
16:20:19:382,35.2215
16:20:19:402,35.0418
16:20:19:423,35.2115
16:20:19:444,35.3019
16:20:19:463,35.2935
16:20:19:483,35.3976
16:20:19:503,35.4319
16:20:19:522,35.4165
16:20:19:543,35.4712
16:20:19:563,35.4778
16:20:19:583,35.4614
16:20:19:603,35.4922
16:20:19:623,35.4946
16:20:19:643,35.4207
16:20:19:663,35.6969
16:20:19:683,35.7044
16:20:19:703,35.7833
16:20:19:722,36.0066
16:20:19:742,35.9693
16:20:19:763,36.1586
16:20:19:782,36.0888
16:20:19:803,36.429
16:20:19:827,36.5084
16:20:19:843,36.643
16:20:19:864,36.6474
16:20:19:883,36.5844
16:20:19:903,36.3362
16:20:19:925,36.3362
16:20:19:944,36.3718
16:20:19:964,36.392
16:20:19:983,36.1828
16:20:20:003,36.1772
16:20:20:024,36.3136
16:20:20:043,36.0937
16:20:20:063,36.1145
16:20:20:083,36.032
16:20:20:109,35.8196
16:20:20:123,35.7667
16:20:20:143,35.7375
16:20:20:163,35.4575
16:20:20:183,35.5786
16:20:20:206,35.6904
16:20:20:223,35.8476
16:20:20:243,35.9554
16:20:20:263,36.5202
16:20:20:283,36.5044
16:20:20:306,36.7176
16:20:20:323,37.153
16:20:20:343,37.3621
16:20:20:363,37.4798
16:20:20:383,37.5611
16:20:20:405,37.7706
16:20:20:423,37.5813
16:20:20:443,37.5452
16:20:20:463,37.7712
16:20:20:483,37.9085
16:20:20:503,37.9326
16:20:20:523,37.8932
16:20:20:542,37.824
16:20:20:563,37.625
16:20:20:586,37.5388
16:20:20:603,37.3729
16:20:20:623,37.3826
16:20:20:643,37.1941
16:20:20:664,36.9696
16:20:20:686,36.6585
16:20:20:703,36.5954
16:20:20:723,36.5858
16:20:20:743,36.511
16:20:20:764,36.8613
16:20:20:784,37.12
16:20:20:803,37.1787
16:20:20:823,37.6358
16:20:20:843,37.9416
16:20:20:868,38.1169
16:20:20:884,38.3189
16:20:20:903,38.2985
16:20:20:923,38.5796
16:20:20:943,38.767
16:20:20:967,39.2188
16:20:20:983,39.1828
16:20:21:003,39.3931
16:20:21:044,39.4243
16:20:21:047,39.1055
16:20:21:064,38.9626
16:20:21:083,38.9526
16:20:21:103,38.8008
16:20:21:123,38.7332
16:20:21:143,38.6388
16:20:21:165,38.3954
16:20:21:183,38.256
16:20:21:203,37.6899
16:20:21:222,37.3738
16:20:21:243,37.4889
16:20:21:264,37.473
16:20:21:283,37.4768
16:20:21:303,37.4813
16:20:21:323,37.5286
16:20:21:343,37.493
16:20:21:363,37.605
16:20:21:383,37.9833
16:20:21:403,38.3634
16:20:21:423,38.9377
16:20:21:445,39.4508
16:20:21:463,40.0964
16:20:21:483,40.2247
16:20:21:503,40.4119
16:20:21:523,40.3408
16:20:21:544,40.0665
16:20:21:563,39.7934
16:20:21:583,39.5556
16:20:21:603,39.4001
16:20:21:623,39.0481
16:20:21:644,38.8728
16:20:21:663,38.4068
16:20:21:683,38.2881
16:20:21:703,38.286
16:20:21:724,38.0915
16:20:21:744,37.8346
16:20:21:764,38.0132
16:20:21:783,37.9128
16:20:21:803,38.5453
16:20:21:824,38.3844
16:20:21:843,38.1351
16:20:21:864,38.676
16:20:21:883,38.8411
16:20:21:903,38.6915
16:20:21:924,38.9536
16:20:21:943,39.2107
16:20:21:964,38.977
16:20:21:983,39.0423
16:20:22:003,39.3745
16:20:22:025,39.6203
16:20:22:044,39.5745
16:20:22:063,39.3996
16:20:22:083,39.1554
16:20:22:103,38.946
16:20:22:123,38.6204
16:20:22:143,38.5508
16:20:22:163,38.4185
16:20:22:183,38.3374
16:20:22:206,38.3245
16:20:22:224,38.2883
16:20:22:243,38.3814
16:20:22:263,38.3109
16:20:22:283,38.3634
16:20:22:304,38.333
16:20:22:323,38.266
16:20:22:343,38.0179
16:20:22:363,38.1007
16:20:22:383,38.0333
16:20:22:404,37.643
16:20:22:423,37.5944
16:20:22:443,37.8406
16:20:22:463,37.7668
16:20:22:483,37.7904
16:20:22:504,38.2131
16:20:22:523,38.5688
16:20:22:543,38.7102
16:20:22:564,39.0093
16:20:22:587,39.5796
16:20:22:603,39.5368
16:20:22:623,39.3394
16:20:22:643,39.1884
16:20:22:664,39.1359
16:20:22:686,38.9713
16:20:22:704,38.6756
16:20:22:723,38.7577
16:20:22:743,38.5049
16:20:22:763,38.2805
16:20:22:785,38.6697
16:20:22:803,38.7102
16:20:22:823,38.6497
16:20:22:843,38.7503
16:20:22:863,38.8896
16:20:22:883,38.6541
