Time,Meg
16:29:06:053,34.2986
16:29:06:073,34.1498
16:29:06:094,34.1744
16:29:06:113,34.1804
16:29:06:133,34.2302
16:29:06:153,34.5041
16:29:06:177,34.6217
16:29:06:193,34.4087
16:29:06:213,34.8311
16:29:06:233,34.3966
16:29:06:253,34.2506
16:29:06:273,34.4169
16:29:06:293,34.3293
16:29:06:313,34.3208
16:29:06:333,34.4389
16:29:06:353,34.2462
16:29:06:373,33.8488
16:29:06:393,33.9488
16:29:06:414,33.6107
16:29:06:433,33.695
16:29:06:453,33.7237
16:29:06:474,33.6613
16:29:06:493,33.7595
16:29:06:514,33.5366
16:29:06:533,33.9405
16:29:06:553,34.079
16:29:06:574,34.4473
16:29:06:593,34.533
16:29:06:613,34.6939
16:29:06:633,34.7475
16:29:06:653,34.5403
16:29:06:676,34.3263
16:29:06:693,34.2064
16:29:06:713,34.4802
16:29:06:733,34.3957
16:29:06:752,34.6162
16:29:06:773,34.9881
16:29:06:793,35.2037
16:29:06:814,35.126
16:29:06:833,35.2785
16:29:06:853,35.0768
16:29:06:873,35.282
16:29:06:894,35.4756
16:29:06:913,35.6044
16:29:06:933,35.7672
16:29:06:953,35.6527
16:29:06:975,35.3631
16:29:06:993,35.3987
16:29:07:014,35.1892
16:29:07:033,35.2374
16:29:07:054,35.321
16:29:07:074,35.2751
16:29:07:093,35.2574
16:29:07:114,35.4474
16:29:07:135,35.3424
16:29:07:153,35.4091
16:29:07:177,35.5184
16:29:07:193,35.3179
16:29:07:215,35.272
16:29:07:233,35.4027
16:29:07:254,35.4229
16:29:07:274,35.533
16:29:07:294,35.5808
16:29:07:313,35.4876
16:29:07:334,35.9625
16:29:07:354,36.2914
16:29:07:374,36.2817
16:29:07:393,36.7726
16:29:07:416,36.9719
16:29:07:434,36.998
16:29:07:454,37.0512
16:29:07:473,36.8753
16:29:07:493,36.7881
16:29:07:513,36.3554
16:29:07:533,35.958
16:29:07:554,35.9113
16:29:07:574,35.7861
16:29:07:593,35.9964
16:29:07:615,36.1528
16:29:07:634,36.1045
16:29:07:653,36.0158
16:29:07:679,36.0222
16:29:07:693,35.8614
16:29:07:714,35.6153
16:29:07:733,35.7853
16:29:07:753,35.7551
16:29:07:774,35.6749
16:29:07:794,35.6619
16:29:07:814,35.8184
16:29:07:834,35.9055
16:29:07:854,36.1069
16:29:07:873,36.6286
16:29:07:894,36.8567
16:29:07:915,37.3359
16:29:07:935,37.4482
16:29:07:954,37.4728
16:29:07:973,37.7035
16:29:07:995,37.3996
16:29:08:015,37.4607
16:29:08:035,37.4849
16:29:08:064,37.3376
16:29:08:078,37.1174
16:29:08:094,37.0273
16:29:08:114,37.0433
16:29:08:133,36.903
16:29:08:154,36.9851
16:29:08:177,37.2349
16:29:08:193,37.1368
16:29:08:214,36.7543
16:29:08:234,36.7694
16:29:08:254,36.5288
16:29:08:274,36.3209
16:29:08:293,36.4167
16:29:08:314,36.7178
16:29:08:333,36.9308
16:29:08:355,37.3818
16:29:08:375,38.029
16:29:08:394,38.3415
16:29:08:414,38.7742
16:29:08:433,39.0909
16:29:08:453,38.8629
16:29:08:474,38.6747
16:29:08:494,38.5472
16:29:08:514,38.319
16:29:08:534,38.1191
16:29:08:554,38.1078
16:29:08:576,37.5931
16:29:08:593,37.289
16:29:08:614,37.1721
16:29:08:633,37.4727
16:29:08:653,37.4212
16:29:08:676,37.6382
16:29:08:693,37.9623
16:29:08:714,37.7909
16:29:08:733,37.7147
16:29:08:754,37.9528
16:29:08:773,38.5136
16:29:08:794,38.4794
16:29:08:815,38.5567
16:29:08:834,38.3243
16:29:08:854,38.1564
16:29:08:874,37.9198
16:29:08:895,37.7499
16:29:08:915,37.8381
16:29:08:936,37.5315
16:29:08:953,37.5866
16:29:08:975,37.4879
16:29:08:993,37.4944
16:29:09:014,37.5109
16:29:09:034,37.6918
16:29:09:054,37.8713
16:29:09:077,37.9382
16:29:09:093,37.9878
16:29:09:116,38.4713
16:29:09:133,38.6058
16:29:09:153,38.6926
16:29:09:177,39.0722
16:29:09:193,39.176
16:29:09:215,38.9779
16:29:09:235,39.0117
16:29:09:254,38.6
16:29:09:274,38.3378
16:29:09:293,38.1953
16:29:09:315,38.2062
16:29:09:334,38.258
16:29:09:354,38.3073
16:29:09:374,38.6671
16:29:09:394,38.577
16:29:09:414,38.8276
16:29:09:433,39.2481
16:29:09:454,39.0837
16:29:09:474,39.2124
16:29:09:494,39.3993
16:29:09:515,39.2598
16:29:09:534,39.3239
16:29:09:553,38.9085
16:29:09:577,38.7523
16:29:09:594,38.7025
16:29:09:615,38.6783
16:29:09:633,38.8147
16:29:09:654,38.9578
16:29:09:679,38.7297
16:29:09:695,38.7389
16:29:09:713,38.9564
16:29:09:734,39.3614
16:29:09:753,39.6756
16:29:09:775,40.3664
16:29:09:794,40.6676
16:29:09:814,40.5621
16:29:09:833,40.5833
16:29:09:854,40.7522
16:29:09:873,40.9857
16:29:09:893,41.1816
16:29:09:914,41.2046
16:29:09:934,41.3529
16:29:09:954,41.4418
16:29:09:974,41.3527
16:29:09:994,41.4357
16:29:10:015,41.4552
16:29:10:033,41.2922
16:29:10:084,41.3152
16:29:10:086,41.4441
16:29:10:095,41.4322
16:29:10:114,41.625
16:29:10:133,41.6988
16:29:10:153,41.9418
16:29:10:178,42.2367
16:29:10:194,42.5024
16:29:10:214,43.022
16:29:10:233,43.1969
16:29:10:254,43.4323
16:29:10:274,43.5641
16:29:10:293,43.6567
16:29:10:314,43.6025
16:29:10:333,43.4498
16:29:10:354,43.3134
16:29:10:375,42.8974
16:29:10:393,42.4324
16:29:10:415,42.1516
16:29:10:433,41.9654
16:29:10:454,41.6168
16:29:10:474,41.811
16:29:10:494,41.9981
16:29:10:514,41.9852
16:29:10:533,41.8455
16:29:10:553,41.589
16:29:10:577,41.4414
16:29:10:593,41.565
16:29:10:614,41.283
16:29:10:633,41.6806
16:29:10:654,42.1001
16:29:10:677,41.93
16:29:10:693,42.0266
16:29:10:715,42.0198
16:29:10:737,41.7918
16:29:10:754,41.999
16:29:10:774,41.9156
16:29:10:794,42.2713
16:29:10:815,42.1795
16:29:10:834,41.8377
16:29:10:855,41.7239
16:29:10:874,41.6069
16:29:10:895,41.2551
16:29:10:914,41.4831
16:29:10:936,41.4103
16:29:10:953,41.4067
16:29:10:974,41.1097
16:29:10:993,40.8764
16:29:11:014,40.682
16:29:11:034,40.3079
16:29:11:054,40.367
16:29:11:077,40.1896
16:29:11:093,40.3048
16:29:11:114,39.8766
16:29:11:134,39.958
16:29:11:154,39.7815
16:29:11:177,39.7864
16:29:11:193,39.8953
16:29:11:215,40.0491
16:29:11:234,40.0825
16:29:11:253,39.8868
16:29:11:273,39.8843
16:29:11:293,39.6653
16:29:11:314,39.8745
16:29:11:335,39.9151
16:29:11:354,39.8488
16:29:11:374,39.8435
16:29:11:394,39.8271
16:29:11:416,39.6679
16:29:11:433,39.8062
16:29:11:453,39.7026
16:29:11:473,39.3934
16:29:11:493,39.2672
16:29:11:514,39.1593
16:29:11:534,39.2405
16:29:11:553,39.3906
16:29:11:577,39.6438
16:29:11:593,39.4866
16:29:11:614,39.272
16:29:11:633,39.1924
16:29:11:654,39.3195
16:29:11:678,39.2182
16:29:11:694,39.4355
16:29:11:714,39.6396
16:29:11:735,39.7196
16:29:11:754,39.5433
16:29:11:776,39.3143
16:29:11:794,39.231
16:29:11:814,39.6017
16:29:11:833,39.6553
16:29:11:855,39.9874
16:29:11:873,40.1717
16:29:11:893,40.3578
16:29:11:913,40.6862
16:29:11:934,40.4897
16:29:11:953,40.7886
16:29:11:974,40.7175
16:29:11:995,40.6627
16:29:12:015,40.6441
16:29:12:034,40.53
16:29:12:053,40.66
16:29:12:088,40.5379
16:29:12:094,40.6918
16:29:12:114,40.8443
16:29:12:134,40.823
16:29:12:153,40.8588
16:29:12:178,40.8058
16:29:12:193,40.8752
16:29:12:213,41.0629
16:29:12:233,41.3352
16:29:12:253,41.6479
16:29:12:273,41.8784
16:29:12:294,41.8839
16:29:12:314,41.8814
16:29:12:333,41.6074
16:29:12:354,41.4943
16:29:12:375,41.1184
16:29:12:394,41.638
16:29:12:414,41.5689
16:29:12:434,41.7801
16:29:12:455,41.955
16:29:12:474,41.5906
16:29:12:494,41.6924
16:29:12:514,41.5409
16:29:12:533,41.8205
16:29:12:555,42.1679
16:29:12:577,42.6114
16:29:12:594,42.7544
16:29:12:614,42.9063
16:29:12:633,42.9723
16:29:12:655,43.0618
16:29:12:678,43.2456
16:29:12:693,43.5866
16:29:12:714,43.8336
16:29:12:735,43.8468
16:29:12:755,44.1817
16:29:12:774,44.2273
16:29:12:794,44.3819
16:29:12:815,44.4646
16:29:12:833,44.4695
16:29:12:855,44.5377
16:29:12:873,44.4001
16:29:12:893,44.4794
16:29:12:914,44.7372
16:29:12:933,44.6718
16:29:12:954,44.6135
16:29:12:975,44.5366
16:29:12:994,44.4215
16:29:13:014,44.5381
16:29:13:033,44.7429
16:29:13:053,45.1987
16:29:13:075,45.2849
16:29:13:093,45.6293
16:29:13:114,46.0831
16:29:13:133,46.2175
16:29:13:153,46.022
16:29:13:177,45.8195
16:29:13:193,45.3163
16:29:13:215,45.285
16:29:13:234,45.2827
16:29:13:256,45.3382
16:29:13:274,45.8124
16:29:13:294,45.9834
16:29:13:315,46.1752
16:29:13:334,46.3429
16:29:13:354,46.7006
16:29:13:374,46.7105
16:29:13:394,46.8778
16:29:13:414,46.738
16:29:13:433,46.7673
16:29:13:454,46.7546
16:29:13:474,46.3539
16:29:13:494,46.5499
16:29:13:514,46.2217
16:29:13:533,46.4377
16:29:13:554,46.6087
16:29:13:578,46.6814
16:29:13:593,46.6752
16:29:13:615,47.0766
16:29:13:633,47.1342
16:29:13:653,47.0051
16:29:13:680,47.4587
16:29:13:695,47.2223
16:29:13:714,47.0695
16:29:13:734,47.0796
16:29:13:754,47.1407
16:29:13:775,47.2871
16:29:13:794,47.4878
16:29:13:814,47.248
16:29:13:834,47.2589
16:29:13:853,47.0902
16:29:13:874,47.2664
16:29:13:894,47.5172
16:29:13:914,47.7898
16:29:13:933,47.8711
16:29:13:953,47.785
16:29:13:974,47.7113
16:29:13:993,47.4161
16:29:14:015,47.2219
16:29:14:034,47.3495
16:29:14:054,47.4089
16:29:14:094,47.3462
16:29:14:096,47.5283
16:29:14:115,47.5843
16:29:14:133,47.8967
16:29:14:153,47.805
16:29:14:177,47.9814
16:29:14:193,48.0178
16:29:14:214,48.0587
16:29:14:233,48.1231
16:29:14:254,48.2028
16:29:14:274,48.1641
16:29:14:293,48.0973
16:29:14:314,48.1862
16:29:14:334,48.094
16:29:14:353,48.2136
16:29:14:374,48.4615
16:29:14:393,48.6053
16:29:14:414,48.4948
16:29:14:434,48.5503
16:29:14:455,48.4875
16:29:14:475,48.5204
16:29:14:494,48.6371
16:29:14:514,48.9521
16:29:14:533,48.9849
16:29:14:555,49.0868
16:29:14:576,49.2311
16:29:14:593,49.4778
16:29:14:614,49.5764
16:29:14:633,49.4329
16:29:14:655,49.3788
16:29:14:677,49.4206
16:29:14:693,49.3713
16:29:14:714,49.5136
16:29:14:736,49.9202
16:29:14:753,50.0221
16:29:14:773,50.0495
16:29:14:793,50.3157
16:29:14:815,50.2815
16:29:14:833,50.5625
16:29:14:853,50.6355
16:29:14:873,50.6942
16:29:14:893,50.5459
16:29:14:914,50.6632
16:29:14:933,50.4431
16:29:14:954,50.7194
16:29:14:974,50.9229
16:29:14:993,50.6475
16:29:15:014,50.8793
16:29:15:033,51.2413
16:29:15:053,51.5372
16:29:15:074,51.6241
16:29:15:093,51.919
16:29:15:114,51.7914
16:29:15:133,52.0215
16:29:15:153,51.9208
16:29:15:178,51.7116
16:29:15:193,52.077
16:29:15:215,51.9641
16:29:15:235,51.7595
16:29:15:253,51.6765
16:29:15:275,51.8342
16:29:15:294,51.6955
16:29:15:314,52.0045
16:29:15:334,52.1799
16:29:15:353,52.0867
16:29:15:374,52.1284
16:29:15:393,52.4697
16:29:15:414,52.3995
16:29:15:433,52.4701
16:29:15:454,52.5945
16:29:15:475,52.3879
16:29:15:493,52.6502
16:29:15:514,52.619
16:29:15:535,52.6979
16:29:15:553,52.5966
16:29:15:573,52.6639
16:29:15:593,52.6874
16:29:15:615,52.6825
16:29:15:634,52.6906
16:29:15:653,52.6623
16:29:15:678,52.5593
16:29:15:694,52.4655
16:29:15:714,52.5065
16:29:15:734,52.3045
16:29:15:754,52.0248
16:29:15:774,51.7652
16:29:15:794,51.358
