Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:20:19:031,493,,120,,176,,44,,121,
16:20:21:044,493,,120,,176,,44,,121,
16:20:23:023,493,,120,,176,,44,,121,
16:20:25:023,493,,120,,176,,44,,121,
16:20:27:023,493,,120,,176,,44,,121,
16:20:29:023,493,,120,,176,,44,,121,
16:20:31:023,493,,120,,176,,44,,121,
16:20:33:023,493,,120,,176,,44,,121,
16:20:35:023,493,,120,,176,,44,,121,
16:20:37:023,493,,120,,176,,44,,121,
16:20:39:023,493,,120,,176,,44,,121,
16:20:41:023,493,,120,,176,,44,,121,
16:20:43:023,493,,120,,176,,44,,121,
16:20:45:023,493,,120,,176,,44,,121,
16:20:47:023,493,,120,,176,,44,,121,
16:20:49:023,493,,120,,176,,44,,121,
16:20:51:023,493,,120,,176,,44,,121,
16:20:53:022,493,,120,,176,,44,,121,
16:20:55:023,493,,120,,176,,44,,121,
16:20:57:023,493,,120,,176,,44,,121,
16:20:59:023,493,,120,,176,,44,,121,
