Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:56:40:114,43,-67,40,-82,176,-81,15,,322,
16:56:42:129,43,-67,40,-82,176,-81,15,,322,
16:56:44:142,43,-67,40,-82,176,-81,15,,322,
16:56:46:116,43,-67,40,-82,176,-81,15,,322,
16:56:48:116,43,-67,40,-82,176,-81,15,,322,
16:56:50:114,43,-67,40,-82,176,-81,15,,322,
16:56:52:113,43,-67,40,-82,176,-81,15,,322,
16:56:54:114,43,-67,40,-82,176,-81,15,,322,
16:56:56:114,43,-67,40,-82,176,-81,15,,322,
16:56:58:114,43,-67,40,-82,176,-81,15,,322,
16:57:00:114,43,-67,40,-82,176,-81,15,,322,
16:57:02:114,43,-67,40,-82,176,-81,15,,322,
16:57:04:115,43,-67,40,-82,176,-81,15,,322,
16:57:06:115,43,-67,40,-82,176,-81,15,,322,
16:57:08:114,43,-67,40,-82,176,-81,15,,322,
16:57:10:114,43,-67,40,-82,176,-81,15,,322,
16:57:12:114,43,-67,40,-82,176,-81,15,,322,
16:57:14:113,43,-67,40,-82,176,-81,15,,322,
16:57:16:114,43,-67,40,-82,176,-81,15,,322,
16:57:18:114,43,-67,40,-82,176,-81,15,,322,
16:57:20:113,43,-67,40,-82,176,-81,15,,322,
16:57:22:114,43,-67,40,-82,176,-81,15,,322,
16:57:24:113,43,-67,40,-82,176,-81,15,,322,
16:57:26:115,43,-67,40,-82,176,-81,15,,322,
16:57:28:114,43,-67,40,-82,176,-81,15,,322,
16:57:30:113,43,-67,40,-82,176,-81,15,,322,
16:57:32:113,43,-67,40,-82,176,-81,15,,322,
16:57:34:114,43,-67,40,-82,176,-81,15,,322,
16:57:36:114,43,-67,40,-82,176,-81,15,,322,
16:57:38:114,43,-67,40,-82,176,-81,15,,322,
