Time,Meg
16:48:25:440,63.0535
16:48:25:457,62.7863
16:48:25:478,62.6396
16:48:25:498,62.5236
16:48:25:518,62.5032
16:48:25:537,62.812
16:48:25:557,62.8978
16:48:25:577,62.866
16:48:25:598,62.6541
16:48:25:618,62.3098
16:48:25:637,62.1277
16:48:25:658,61.7975
16:48:25:678,61.9255
16:48:25:698,62.1133
16:48:25:718,62.2335
16:48:25:738,62.2795
16:48:25:759,62.3405
16:48:25:777,62.0726
16:48:25:798,61.9207
16:48:25:817,61.6001
16:48:25:837,61.4316
16:48:25:858,61.2696
16:48:25:878,61.1626
16:48:25:898,61.1754
16:48:25:917,61.4687
16:48:25:941,61.0692
16:48:25:958,60.8991
16:48:25:977,60.6834
16:48:25:998,60.5261
16:48:26:017,60.4365
16:48:26:040,60.2451
16:48:26:057,60.1946
16:48:26:078,60.2258
16:48:26:098,59.8761
16:48:26:117,59.967
16:48:26:139,59.8464
16:48:26:157,59.8207
16:48:26:178,59.5713
16:48:26:198,59.3799
16:48:26:217,58.9469
16:48:26:239,58.6033
16:48:26:258,58.3878
16:48:26:278,58.1761
16:48:26:298,57.9626
16:48:26:317,58.1035
16:48:26:339,57.9619
16:48:26:358,58.0349
16:48:26:378,57.8446
16:48:26:398,57.7503
16:48:26:417,57.4476
16:48:26:438,56.8832
16:48:26:458,56.4863
16:48:26:478,56.0526
16:48:26:498,55.588
16:48:26:520,55.436
16:48:26:538,55.1499
16:48:26:558,55.1999
16:48:26:578,55.1282
16:48:26:598,54.814
16:48:26:619,54.3791
16:48:26:638,54.1747
16:48:26:658,53.8672
16:48:26:678,53.6406
16:48:26:698,53.6162
16:48:26:718,53.6012
16:48:26:738,53.8269
16:48:26:758,53.5131
16:48:26:778,53.1683
16:48:26:798,52.8406
16:48:26:818,52.4945
16:48:26:838,52.2484
16:48:26:858,52.1207
16:48:26:878,51.9452
16:48:26:901,51.7363
16:48:26:918,51.7265
16:48:26:938,51.3996
16:48:26:958,51.3994
16:48:26:977,50.9874
16:48:26:999,50.9843
16:48:27:018,50.5353
16:48:27:038,50.1987
16:48:27:057,50.0158
16:48:27:078,49.9653
16:48:27:099,49.6362
16:48:27:118,49.579
16:48:27:138,49.4591
16:48:27:158,49.2774
16:48:27:178,48.9712
16:48:27:198,48.7762
16:48:27:218,48.7661
16:48:27:237,48.9072
16:48:27:258,48.7189
16:48:27:281,48.5516
16:48:27:298,48.5144
16:48:27:318,48.2766
16:48:27:337,48.1946
16:48:27:358,48.4691
16:48:27:380,48.1728
16:48:27:398,48.2835
16:48:27:418,48.3768
16:48:27:438,48.2399
16:48:27:491,48.3647
16:48:27:493,48.455
16:48:27:501,48.3136
16:48:27:518,48.1343
16:48:27:538,48.125
16:48:27:557,48.4377
16:48:27:579,48.3973
16:48:27:599,48.5623
16:48:27:618,48.6384
16:48:27:638,48.861
16:48:27:660,48.8064
16:48:27:679,48.7462
16:48:27:698,48.9203
16:48:27:718,48.8728
16:48:27:738,48.7387
16:48:27:758,48.8772
16:48:27:778,49.1306
16:48:27:798,49.25
16:48:27:818,49.4681
16:48:27:838,49.6661
16:48:27:858,49.917
16:48:27:878,50.0608
16:48:27:898,50.2671
16:48:27:918,50.4093
16:48:27:937,50.7662
16:48:27:958,50.9058
16:48:27:978,51.0783
16:48:27:998,51.2368
16:48:28:018,51.2218
16:48:28:039,51.0926
16:48:28:058,51.2668
16:48:28:078,51.3056
16:48:28:098,51.2827
16:48:28:118,51.4515
16:48:28:141,51.6732
16:48:28:158,51.5599
16:48:28:179,51.8036
16:48:28:198,51.5152
16:48:28:218,51.6738
16:48:28:238,51.5107
16:48:28:258,51.5005
16:48:28:278,51.908
16:48:28:298,52.1487
16:48:28:318,52.1883
16:48:28:338,52.058
16:48:28:358,52.153
16:48:28:378,51.891
16:48:28:398,51.997
16:48:28:421,52.0717
16:48:28:438,52.3415
16:48:28:458,52.3613
16:48:28:478,52.2761
16:48:28:498,52.4036
16:48:28:521,52.078
16:48:28:538,51.9487
16:48:28:558,51.9718
16:48:28:578,51.4898
16:48:28:598,51.2811
16:48:28:619,51.2003
16:48:28:638,50.8847
16:48:28:658,50.7201
16:48:28:677,50.5569
16:48:28:698,50.413
16:48:28:718,50.2575
16:48:28:739,50.0648
16:48:28:758,49.9065
16:48:28:778,49.6116
16:48:28:799,49.2016
16:48:28:818,48.8611
16:48:28:838,48.8077
16:48:28:858,48.549
16:48:28:877,48.5825
16:48:28:900,48.5159
16:48:28:918,47.9848
16:48:28:938,47.9201
16:48:28:958,47.577
16:48:28:978,47.0375
16:48:28:999,46.7433
16:48:29:018,46.6021
16:48:29:038,46.0684
16:48:29:058,45.5715
16:48:29:078,45.316
16:48:29:098,44.8169
16:48:29:118,44.4344
16:48:29:138,44.2015
16:48:29:158,43.9888
16:48:29:178,43.9251
16:48:29:198,43.5998
16:48:29:218,43.2432
16:48:29:238,43.0632
16:48:29:257,42.8578
16:48:29:280,42.6588
16:48:29:298,42.3177
16:48:29:318,42.3276
16:48:29:338,42.0763
16:48:29:358,41.7731
16:48:29:379,41.4381
16:48:29:398,41.2854
16:48:29:418,41.0509
16:48:29:437,40.8275
16:48:29:457,40.8346
16:48:29:506,41.0064
16:48:29:508,40.995
16:48:29:518,40.8305
16:48:29:538,40.719
16:48:29:558,40.394
16:48:29:577,40.1273
16:48:29:599,40.0015
16:48:29:618,39.7632
16:48:29:638,39.8286
16:48:29:660,39.9595
16:48:29:678,39.994
16:48:29:698,40.2095
16:48:29:718,40.4257
16:48:29:738,40.4948
16:48:29:759,40.7816
16:48:29:778,40.5269
16:48:29:798,40.6291
16:48:29:817,40.6214
16:48:29:837,40.5664
16:48:29:858,40.3372
16:48:29:878,40.3379
16:48:29:898,40.2768
16:48:29:918,40.3528
16:48:29:939,40.6341
16:48:29:959,40.6491
16:48:29:979,40.7121
16:48:29:998,40.2621
16:48:30:018,40.0852
16:48:30:042,39.9645
16:48:30:058,40.0887
16:48:30:078,40.0227
16:48:30:098,40.1381
16:48:30:118,40.083
16:48:30:141,39.7705
16:48:30:158,39.5445
16:48:30:178,39.8127
16:48:30:198,39.9005
16:48:30:217,40.2413
16:48:30:238,40.3616
16:48:30:258,40.4397
16:48:30:278,40.0118
16:48:30:298,40.0188
16:48:30:317,39.8776
16:48:30:339,39.8998
16:48:30:358,40.0241
16:48:30:378,40.2804
16:48:30:398,39.6856
16:48:30:420,39.916
16:48:30:438,40.0313
16:48:30:458,40.3125
16:48:30:478,40.7172
16:48:30:498,40.9201
16:48:30:520,41.2694
16:48:30:538,41.3728
16:48:30:558,41.5766
16:48:30:578,41.5604
16:48:30:598,41.5189
16:48:30:619,41.6529
16:48:30:639,41.8816
16:48:30:658,41.9937
16:48:30:678,42.4176
16:48:30:702,42.7475
16:48:30:720,43.1701
16:48:30:738,43.5561
16:48:30:760,43.7094
16:48:30:779,43.9108
16:48:30:799,43.9759
16:48:30:818,44.0925
16:48:30:838,44.4892
16:48:30:858,45.1582
16:48:30:877,45.4425
16:48:30:899,46.0625
16:48:30:918,46.1111
16:48:30:938,46.1617
16:48:30:958,46.6887
16:48:30:977,46.8779
16:48:31:000,47.3195
16:48:31:018,47.9069
16:48:31:038,48.3875
16:48:31:058,48.5406
16:48:31:078,48.9528
16:48:31:099,49.6704
16:48:31:118,50.3162
16:48:31:138,51.0938
16:48:31:158,51.7071
16:48:31:178,52.0609
16:48:31:199,52.3342
16:48:31:218,52.5144
16:48:31:238,53.1465
16:48:31:258,53.4914
16:48:31:279,54.0761
16:48:31:298,54.423
16:48:31:318,54.6889
16:48:31:337,54.7821
16:48:31:358,54.8402
16:48:31:380,54.8446
16:48:31:398,54.8812
16:48:31:418,55.2012
16:48:31:438,55.5808
16:48:31:458,55.9035
16:48:31:479,56.1348
16:48:31:539,56.4528
16:48:31:542,56.6392
16:48:31:544,56.9505
16:48:31:559,57.0769
16:48:31:578,57.3929
16:48:31:598,57.3558
16:48:31:618,57.4524
16:48:31:638,57.4993
16:48:31:658,57.6097
16:48:31:678,57.9541
16:48:31:698,57.8389
16:48:31:718,58.0027
16:48:31:738,58.017
16:48:31:759,58.1044
16:48:31:778,58.2369
16:48:31:799,58.1878
16:48:31:818,58.2963
16:48:31:838,58.1059
16:48:31:859,58.2969
16:48:31:878,58.3298
16:48:31:898,58.1396
16:48:31:918,58.2068
16:48:31:939,58.4654
16:48:31:958,58.2335
16:48:31:978,58.4636
16:48:31:998,58.3474
16:48:32:018,58.6223
16:48:32:041,58.4521
16:48:32:058,58.7145
16:48:32:078,58.5391
16:48:32:098,58.8647
16:48:32:118,58.9378
16:48:32:140,59.0212
16:48:32:158,59.1178
16:48:32:178,59.2263
16:48:32:198,59.0374
16:48:32:218,58.9506
16:48:32:239,59.0004
16:48:32:258,58.6339
16:48:32:278,58.295
16:48:32:298,58.4491
16:48:32:319,58.4696
16:48:32:338,58.1897
16:48:32:358,58.1967
16:48:32:377,57.9227
16:48:32:398,57.7642
16:48:32:420,57.7157
16:48:32:439,57.6903
16:48:32:459,57.4197
16:48:32:477,57.254
16:48:32:498,57.2621
16:48:32:520,57.1941
16:48:32:538,57.1206
16:48:32:558,57.2039
16:48:32:578,57.1106
16:48:32:598,56.8263
16:48:32:618,56.7673
16:48:32:638,56.6934
16:48:32:658,56.3606
16:48:32:678,56.2668
16:48:32:699,56.3802
16:48:32:719,56.1021
16:48:32:740,56.13
16:48:32:758,55.7531
16:48:32:778,55.5071
16:48:32:803,55.3938
16:48:32:818,55.316
16:48:32:838,55.3713
16:48:32:857,55.3687
16:48:32:877,55.3549
16:48:32:899,55.2695
16:48:32:918,55.2858
16:48:32:938,55.072
16:48:32:957,54.9009
16:48:32:977,54.9577
16:48:33:000,54.9395
16:48:33:018,54.9955
16:48:33:038,54.8244
16:48:33:058,54.8655
16:48:33:078,54.9551
16:48:33:098,55.0753
16:48:33:119,55.2223
16:48:33:138,55.3264
16:48:33:157,55.4235
16:48:33:180,55.3636
16:48:33:200,55.1435
16:48:33:218,55.1807
16:48:33:238,55.1438
16:48:33:257,55.0417
16:48:33:279,55.0311
16:48:33:298,55.1465
16:48:33:318,55.2454
16:48:33:338,55.3852
16:48:33:357,55.6094
16:48:33:379,55.4024
16:48:33:398,55.1735
16:48:33:418,55.1348
16:48:33:437,54.8353
16:48:33:458,54.4088
16:48:33:478,54.3941
16:48:33:524,54.4184
16:48:33:526,54.3124
16:48:33:538,54.6973
16:48:33:560,54.9453
16:48:33:578,55.0351
16:48:33:598,54.9473
16:48:33:618,55.0159
16:48:33:637,54.7829
16:48:33:659,54.723
16:48:33:678,54.7655
16:48:33:698,54.823
16:48:33:718,55.0087
16:48:33:737,54.9739
16:48:33:760,54.7545
16:48:33:778,54.5546
16:48:33:798,54.3647
16:48:33:818,54.0949
16:48:33:837,54.0542
16:48:33:858,53.9223
16:48:33:878,53.7976
16:48:33:898,53.4755
16:48:33:918,53.3219
16:48:33:937,53.0856
16:48:33:958,53.0157
16:48:33:978,52.6991
16:48:33:998,52.5134
16:48:34:018,52.2569
16:48:34:040,52.4022
16:48:34:058,52.3203
16:48:34:078,52.1853
16:48:34:098,51.9588
16:48:34:118,51.8452
16:48:34:139,51.495
16:48:34:158,51.2973
16:48:34:178,51.279
16:48:34:198,51.1265
16:48:34:218,50.7587
16:48:34:238,50.4057
16:48:34:258,50.0136
16:48:34:278,49.8036
16:48:34:298,49.6215
16:48:34:318,49.207
16:48:34:338,48.9753
16:48:34:358,48.5368
16:48:34:378,48.1585
16:48:34:399,47.9352
16:48:34:420,47.6728
16:48:34:438,47.5113
16:48:34:458,47.3155
16:48:34:478,47.261
16:48:34:498,46.5155
16:48:34:520,46.0057
16:48:34:539,45.4215
16:48:34:558,44.9044
16:48:34:578,44.6719
16:48:34:599,44.6924
16:48:34:619,44.7321
16:48:34:637,44.79
16:48:34:658,44.5885
16:48:34:678,44.5296
16:48:34:699,44.354
16:48:34:718,44.0737
16:48:34:738,43.6573
16:48:34:758,43.5456
16:48:34:778,43.1315
16:48:34:800,42.7396
16:48:34:818,42.4946
16:48:34:838,42.1099
16:48:34:857,41.7167
16:48:34:878,41.1884
16:48:34:899,40.8788
16:48:34:918,40.511
16:48:34:938,40.2885
16:48:34:958,40.0678
16:48:34:977,39.8951
16:48:35:000,39.518
16:48:35:018,39.0861
16:48:35:038,38.638
16:48:35:058,38.2572
16:48:35:078,37.8555
16:48:35:099,37.7705
16:48:35:118,37.5195
16:48:35:138,37.5021
16:48:35:158,37.4125
16:48:35:180,37.1293
16:48:35:199,37.0165
16:48:35:218,36.8246
16:48:35:238,36.6156
16:48:35:258,36.0578
16:48:35:279,35.6369
16:48:35:298,35.3281
16:48:35:318,35.0329
16:48:35:338,34.9216
16:48:35:358,34.7749
16:48:35:379,34.9171
16:48:35:398,34.7382
16:48:35:418,34.6434
16:48:35:438,34.5856
16:48:35:457,34.4636
16:48:35:477,34.4195
16:48:35:498,34.6102
16:48:35:539,34.582
16:48:35:542,34.6763
16:48:35:561,34.433
16:48:35:578,34.6662
16:48:35:598,34.708
16:48:35:618,35.0402
16:48:35:638,35.3943
16:48:35:659,35.4637
16:48:35:678,35.4644
16:48:35:699,35.595
16:48:35:718,35.8035
16:48:35:738,35.7979
16:48:35:760,36.4131
16:48:35:778,36.7245
16:48:35:798,37.0275
16:48:35:818,37.3996
16:48:35:838,37.9874
16:48:35:859,38.5384
16:48:35:878,38.9518
16:48:35:898,39.2477
16:48:35:918,39.8375
16:48:35:941,39.9693
16:48:35:958,40.3222
16:48:35:978,40.6176
16:48:35:998,40.7357
16:48:36:018,41.0565
16:48:36:040,41.3668
16:48:36:058,42.0798
16:48:36:078,42.242
16:48:36:098,42.7645
16:48:36:118,42.859
16:48:36:138,42.8672
16:48:36:158,42.9961
16:48:36:178,43.3983
16:48:36:198,43.8881
16:48:36:218,44.4442
16:48:36:239,44.9385
16:48:36:258,45.4206
16:48:36:277,45.7837
16:48:36:298,46.1498
16:48:36:320,46.2465
16:48:36:338,46.7011
16:48:36:358,47.0181
16:48:36:378,47.6376
16:48:36:398,47.8427
16:48:36:421,48.3645
16:48:36:438,49.0065
16:48:36:458,49.1839
16:48:36:478,49.5414
16:48:36:498,49.8389
16:48:36:519,49.7573
16:48:36:538,50.0525
16:48:36:558,50.3358
16:48:36:578,50.5684
16:48:36:598,50.951
16:48:36:618,51.0792
16:48:36:637,51.0581
16:48:36:658,51.1087
16:48:36:677,51.351
16:48:36:700,51.613
16:48:36:718,52.1884
16:48:36:738,52.3022
