Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:25:53:223,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:25:55:237,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:25:57:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:25:59:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:01:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:03:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:05:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:07:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:09:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:11:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:13:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:15:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:17:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:19:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:21:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:23:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:25:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:27:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:29:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:31:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:33:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:35:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:37:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:39:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:41:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:43:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:45:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:47:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:49:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:51:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:53:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:55:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:57:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:26:59:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:01:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:03:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:05:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:07:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:09:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:11:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:13:219,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:15:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:17:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:19:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:21:217,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:23:218,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:25:219,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
17:27:27:219,473,-105.0,471,-87,493,-102,474,-95,322,-100.0
