Time,Meg
17:10:14:081,56.7898
17:10:14:099,56.6741
17:10:14:119,56.5206
17:10:14:139,56.4923
17:10:14:159,56.0807
17:10:14:179,56.2112
17:10:14:199,56.0459
17:10:14:219,56.1924
17:10:14:239,56.1922
17:10:14:259,56.4588
17:10:14:280,56.2125
17:10:14:299,56.3075
17:10:14:319,56.331
17:10:14:339,56.3375
17:10:14:359,56.5009
17:10:14:379,56.4838
17:10:14:399,56.1689
17:10:14:419,56.0116
17:10:14:439,55.7625
17:10:14:460,55.7823
17:10:14:479,55.9784
17:10:14:499,56.2822
17:10:14:519,56.5365
17:10:14:541,56.8565
17:10:14:559,57.0191
17:10:14:579,56.7418
17:10:14:599,56.5446
17:10:14:619,56.4967
17:10:14:639,56.3577
17:10:14:659,56.1177
17:10:14:679,56.2285
17:10:14:699,56.1291
17:10:14:719,55.9686
17:10:14:739,56.2901
17:10:14:759,56.0551
17:10:14:780,56.1005
17:10:14:799,56.1859
17:10:14:819,56.3115
17:10:14:840,56.4483
17:10:14:859,56.4673
17:10:14:879,56.5411
17:10:14:899,56.4556
17:10:14:919,56.4127
17:10:14:940,56.4264
17:10:14:962,56.2382
17:10:14:979,56.2631
17:10:14:999,56.0021
17:10:15:020,55.6904
17:10:15:044,55.7886
17:10:15:060,55.8837
17:10:15:079,56.0281
17:10:15:100,55.8831
17:10:15:120,56.3874
17:10:15:141,56.2926
17:10:15:160,56.6543
17:10:15:180,56.6262
17:10:15:200,56.6486
17:10:15:219,56.1886
17:10:15:239,56.1501
17:10:15:259,56.2245
17:10:15:280,56.3787
17:10:15:299,56.2921
17:10:15:319,56.6048
17:10:15:339,56.5752
17:10:15:359,56.6991
17:10:15:380,56.3028
17:10:15:400,56.5434
17:10:15:424,56.0592
17:10:15:446,56.1716
17:10:15:459,55.9552
17:10:15:479,56.1593
17:10:15:499,56.2731
17:10:15:521,56.5399
17:10:15:542,56.5347
17:10:15:560,56.6096
17:10:15:582,56.6772
17:10:15:601,56.6036
17:10:15:620,56.4709
17:10:15:639,56.3424
17:10:15:661,56.3129
17:10:15:680,56.4147
17:10:15:701,56.1606
17:10:15:719,56.4337
17:10:15:739,56.3614
17:10:15:761,56.334
17:10:15:782,56.0052
17:10:15:799,56.2512
17:10:15:820,56.0935
17:10:15:839,56.1044
17:10:15:861,56.4699
17:10:15:879,56.5088
17:10:15:899,56.4284
17:10:15:919,56.3492
17:10:15:940,56.4573
17:10:15:961,56.4234
17:10:15:980,56.8337
17:10:15:999,56.7958
17:10:16:019,56.8012
17:10:16:039,56.5481
17:10:16:061,56.4382
17:10:16:088,56.3583
17:10:16:100,56.4158
17:10:16:119,56.2742
17:10:16:139,56.4448
17:10:16:161,56.3152
17:10:16:183,56.0151
17:10:16:199,55.9377
17:10:16:219,56.198
17:10:16:239,56.3639
17:10:16:262,56.6916
17:10:16:280,56.5708
17:10:16:299,56.4981
17:10:16:319,56.1468
17:10:16:343,55.9066
17:10:16:361,55.819
17:10:16:382,56.0418
17:10:16:399,56.1049
17:10:16:419,56.6026
17:10:16:439,56.6958
17:10:16:461,56.862
17:10:16:479,56.6391
17:10:16:499,56.4616
17:10:16:525,56.2104
17:10:16:542,56.3121
17:10:16:562,56.4561
17:10:16:581,56.5937
17:10:16:613,56.6778
17:10:16:632,56.4602
17:10:16:650,56.1972
17:10:16:665,56.1461
17:10:16:682,56.0952
17:10:16:713,56.0984
17:10:16:727,56.2856
17:10:16:746,56.4749
17:10:16:763,56.5161
17:10:16:793,56.391
17:10:16:808,56.2449
17:10:16:823,56.2483
17:10:16:840,56.2467
17:10:16:873,56.498
17:10:16:890,56.6422
17:10:16:904,56.5679
17:10:16:919,56.6398
17:10:16:953,56.6765
17:10:16:973,56.7618
17:10:16:989,56.6586
17:10:17:005,56.5898
17:10:17:040,56.6211
17:10:17:042,56.2741
17:10:17:076,56.5734
17:10:17:096,56.4605
17:10:17:116,56.3202
17:10:17:133,56.2945
17:10:17:152,56.3354
17:10:17:172,56.2817
17:10:17:192,56.3591
17:10:17:208,56.4802
17:10:17:226,56.5537
17:10:17:244,56.4537
17:10:17:265,56.4957
17:10:17:281,56.519
17:10:17:313,56.3965
17:10:17:332,56.3903
17:10:17:350,56.4342
17:10:17:370,56.2129
17:10:17:391,56.0612
17:10:17:408,56.0188
17:10:17:428,56.0776
17:10:17:442,56.1458
17:10:17:476,56.1094
17:10:17:503,56.7708
17:10:17:503,56.7962
17:10:17:535,56.907
17:10:17:558,56.9225
17:10:17:573,56.9108
17:10:17:593,56.9278
17:10:17:611,56.8636
17:10:17:628,56.8831
17:10:17:646,56.9235
17:10:17:667,56.6268
17:10:17:685,56.4802
17:10:17:718,56.3034
17:10:17:734,55.9152
17:10:17:749,56.1378
17:10:17:765,56.1787
17:10:17:781,56.3409
17:10:17:815,56.5465
17:10:17:833,56.5877
17:10:17:848,56.9039
17:10:17:864,56.8011
17:10:17:894,56.8458
17:10:17:916,56.5191
17:10:17:924,56.6007
17:10:17:955,56.6669
17:10:17:970,56.4505
17:10:17:986,56.4977
17:10:18:004,56.5523
17:10:18:020,56.4296
17:10:18:039,56.2826
17:10:18:059,56.1545
17:10:18:089,56.2628
17:10:18:100,56.3268
17:10:18:119,56.3418
17:10:18:139,56.3535
17:10:18:159,56.22
17:10:18:181,56.5312
17:10:18:199,56.7537
17:10:18:219,56.7084
17:10:18:239,56.9397
17:10:18:260,56.5659
17:10:18:280,56.561
17:10:18:299,56.6012
17:10:18:319,56.7414
17:10:18:340,56.6696
17:10:18:360,56.6875
17:10:18:380,56.5877
17:10:18:399,56.2502
17:10:18:419,56.2245
17:10:18:441,56.2184
17:10:18:459,56.077
17:10:18:479,55.9976
17:10:18:500,56.2803
17:10:18:524,56.3804
17:10:18:540,56.509
17:10:18:560,56.4765
17:10:18:580,56.3048
17:10:18:599,56.3246
17:10:18:619,56.436
17:10:18:639,56.7038
17:10:18:660,56.941
17:10:18:679,56.8643
17:10:18:700,56.8244
17:10:18:719,56.6553
17:10:18:739,56.4745
17:10:18:760,56.5349
17:10:18:782,56.4409
17:10:18:799,56.4228
17:10:18:819,56.633
17:10:18:840,56.7969
17:10:18:861,56.6831
17:10:18:879,56.7461
17:10:18:900,56.4456
17:10:18:919,56.0596
17:10:18:939,55.9694
17:10:18:961,55.9574
17:10:18:979,55.8388
17:10:19:000,56.05
17:10:19:021,56.1543
17:10:19:039,56.1299
17:10:19:061,55.9361
17:10:19:080,56.2536
17:10:19:099,56.3992
17:10:19:119,56.2509
17:10:19:139,56.2299
17:10:19:162,56.4202
17:10:19:180,56.3366
17:10:19:200,56.3905
17:10:19:219,56.2628
17:10:19:240,56.3929
17:10:19:261,56.6859
17:10:19:280,56.7811
17:10:19:299,56.6325
17:10:19:319,56.6169
17:10:19:339,56.3713
17:10:19:361,56.1309
17:10:19:379,56.0008
17:10:19:399,56.0748
17:10:19:420,56.3112
17:10:19:443,56.3564
17:10:19:461,56.4477
17:10:19:479,56.6385
17:10:19:499,56.4021
17:10:19:521,56.3234
17:10:19:539,56.0261
17:10:19:561,56.1283
17:10:19:580,55.8504
17:10:19:599,56.0257
17:10:19:619,55.9539
17:10:19:639,55.9968
17:10:19:661,56.1004
17:10:19:680,56.0333
17:10:19:699,56.1769
17:10:19:719,56.3564
17:10:19:739,56.4534
17:10:19:761,56.3907
17:10:19:779,56.1524
17:10:19:799,55.9701
17:10:19:819,55.8125
17:10:19:840,55.7408
17:10:19:861,55.8347
17:10:19:879,55.9564
17:10:19:899,55.9075
17:10:19:921,56.1075
17:10:19:939,56.3056
17:10:19:961,56.5595
17:10:19:979,56.6652
17:10:20:000,56.4079
17:10:20:020,56.2984
17:10:20:039,56.2438
17:10:20:061,56.0581
17:10:20:094,55.8711
17:10:20:102,55.6905
17:10:20:119,55.6917
17:10:20:139,55.8054
17:10:20:159,55.8484
17:10:20:180,55.9152
17:10:20:199,55.8255
17:10:20:219,55.7356
17:10:20:239,55.6262
17:10:20:259,55.2597
17:10:20:280,54.8856
17:10:20:299,54.9064
17:10:20:319,54.8209
17:10:20:341,54.5433
17:10:20:360,54.7986
17:10:20:379,54.8249
17:10:20:399,54.4554
17:10:20:420,54.371
17:10:20:440,53.9906
17:10:20:459,53.525
17:10:20:479,53.4267
17:10:20:499,53.3521
17:10:20:519,53.209
17:10:20:539,52.9394
17:10:20:560,52.6434
17:10:20:579,52.2627
17:10:20:600,52.2812
17:10:20:619,52.1463
17:10:20:639,52.2507
17:10:20:660,52.0031
17:10:20:681,51.7416
17:10:20:700,51.7719
17:10:20:720,51.796
17:10:20:740,51.9546
17:10:20:760,51.6691
17:10:20:779,51.4242
17:10:20:799,50.9663
17:10:20:819,50.6931
17:10:20:839,50.1765
17:10:20:859,49.9422
17:10:20:879,49.7369
17:10:20:903,49.5526
17:10:20:919,49.5001
17:10:20:939,49.3364
17:10:20:959,48.8919
17:10:20:979,48.6003
17:10:20:999,48.6857
17:10:21:019,48.6345
17:10:21:039,48.3741
17:10:21:059,48.4128
17:10:21:079,48.3811
17:10:21:099,48.3854
17:10:21:119,48.3142
17:10:21:139,48.3765
17:10:21:159,47.9934
17:10:21:179,47.779
17:10:21:199,47.4613
17:10:21:219,46.9612
17:10:21:240,47.0428
17:10:21:261,46.8655
17:10:21:279,47.2547
17:10:21:299,47.3064
17:10:21:319,47.6479
17:10:21:339,48.1194
17:10:21:359,48.1085
17:10:21:379,47.8417
17:10:21:399,47.5893
17:10:21:419,47.6167
17:10:21:440,47.4702
17:10:21:460,47.7897
17:10:21:479,47.65
17:10:21:499,47.4309
17:10:21:521,47.5983
17:10:21:539,47.5551
17:10:21:559,47.6948
17:10:21:581,48.2528
17:10:21:600,48.0068
17:10:21:619,48.0975
17:10:21:639,48.2873
17:10:21:661,48.2764
17:10:21:680,48.459
17:10:21:700,48.4321
17:10:21:719,48.5616
17:10:21:739,48.4823
17:10:21:766,48.9246
17:10:21:780,49.3029
17:10:21:799,49.4677
17:10:21:819,49.479
17:10:21:840,49.1802
17:10:21:860,49.0326
17:10:21:879,48.975
17:10:21:900,48.9958
17:10:21:920,49.2109
17:10:21:939,49.0117
17:10:21:961,49.2791
17:10:21:979,49.41
17:10:21:999,49.637
17:10:22:024,50.0092
17:10:22:040,50.1694
17:10:22:063,50.1718
17:10:22:079,50.0372
17:10:22:119,50.0813
17:10:22:121,50.1047
17:10:22:139,50.3895
17:10:22:161,50.8664
17:10:22:179,51.227
17:10:22:199,51.2956
17:10:22:219,51.6815
17:10:22:239,51.6133
17:10:22:261,51.8779
17:10:22:279,51.9035
17:10:22:300,51.9841
17:10:22:319,52.1314
17:10:22:340,52.0419
17:10:22:361,52.1875
17:10:22:379,51.9828
17:10:22:400,52.1022
17:10:22:420,51.9122
17:10:22:442,51.8889
17:10:22:461,51.8045
17:10:22:480,51.6008
17:10:22:500,51.6316
17:10:22:519,52.146
17:10:22:539,52.0775
17:10:22:563,52.357
17:10:22:579,52.5542
17:10:22:601,52.1926
17:10:22:620,52.0484
17:10:22:639,51.9148
17:10:22:661,51.7579
17:10:22:680,51.561
17:10:22:699,51.4315
17:10:22:719,51.5578
17:10:22:739,51.3458
17:10:22:761,51.2818
17:10:22:779,50.7709
17:10:22:799,50.3372
17:10:22:819,50.2365
17:10:22:843,50.0478
17:10:22:861,50.4464
17:10:22:880,50.3769
17:10:22:900,50.0884
17:10:22:923,49.9488
17:10:22:939,49.4673
17:10:22:961,48.7985
17:10:22:980,48.5087
17:10:23:000,48.0667
17:10:23:019,47.821
17:10:23:039,47.7142
17:10:23:061,47.4912
17:10:23:079,47.6712
17:10:23:100,47.0075
17:10:23:120,46.58
17:10:23:140,46.1052
17:10:23:159,45.6117
17:10:23:179,45.2899
17:10:23:199,45.2998
17:10:23:219,45.1415
17:10:23:239,45.2315
17:10:23:260,44.9162
17:10:23:279,45.0426
17:10:23:299,44.7977
17:10:23:319,44.4896
17:10:23:339,44.3523
17:10:23:359,44.5124
17:10:23:379,44.2748
17:10:23:399,44.3239
17:10:23:419,44.0937
17:10:23:439,44.1953
17:10:23:459,43.8677
17:10:23:479,44.0854
17:10:23:500,43.8526
17:10:23:519,43.7545
17:10:23:540,43.6009
17:10:23:562,43.3612
17:10:23:580,43.3358
17:10:23:600,43.7352
17:10:23:619,43.6626
17:10:23:640,43.6225
17:10:23:660,43.7455
17:10:23:679,43.6419
17:10:23:699,43.5096
17:10:23:719,43.6451
17:10:23:739,43.6805
17:10:23:761,43.8455
17:10:23:779,43.6464
17:10:23:799,43.8325
17:10:23:819,43.7411
17:10:23:839,43.6381
17:10:23:859,43.6724
17:10:23:879,43.8596
17:10:23:900,43.7915
17:10:23:919,43.8528
17:10:23:940,43.9235
17:10:23:959,43.8844
17:10:23:979,43.9962
17:10:24:000,43.8665
17:10:24:019,44.1963
17:10:24:039,43.8639
17:10:24:062,43.7018
17:10:24:079,43.7133
17:10:24:099,43.6931
17:10:24:128,43.7018
17:10:24:139,43.714
17:10:24:159,43.7633
17:10:24:180,43.3723
17:10:24:199,43.4195
17:10:24:219,43.3929
17:10:24:239,43.5666
17:10:24:260,43.9365
17:10:24:279,44.0673
17:10:24:299,44.1304
17:10:24:320,44.1656
17:10:24:339,44.287
17:10:24:359,44.5194
17:10:24:379,45.1346
17:10:24:399,45.1973
17:10:24:419,45.2196
17:10:24:439,45.5105
17:10:24:459,45.7383
17:10:24:479,46.0602
17:10:24:499,46.4447
17:10:24:519,46.5643
17:10:24:539,46.6182
17:10:24:564,46.7835
17:10:24:579,46.8246
17:10:24:599,47.0307
17:10:24:619,47.1976
17:10:24:640,47.598
17:10:24:662,47.8159
17:10:24:680,48.2838
17:10:24:699,48.6651
17:10:24:719,48.9019
17:10:24:740,48.9647
17:10:24:759,49.5428
17:10:24:779,49.6128
17:10:24:799,50.0219
17:10:24:819,50.3032
17:10:24:839,50.5299
17:10:24:859,50.7145
17:10:24:879,51.3243
17:10:24:899,51.3363
17:10:24:921,51.9081
17:10:24:939,52.2294
17:10:24:961,52.5469
17:10:24:980,52.8308
17:10:24:999,53.3113
17:10:25:020,53.4899
17:10:25:039,53.945
17:10:25:062,53.9051
17:10:25:080,54.3016
17:10:25:099,54.4445
17:10:25:119,54.5764
17:10:25:140,55.3369
17:10:25:161,55.6276
17:10:25:179,56.0721
17:10:25:199,56.5601
17:10:25:220,56.5289
17:10:25:240,56.5658
17:10:25:261,56.4249
17:10:25:279,56.3989
17:10:25:299,56.5233
17:10:25:320,56.6623
17:10:25:340,56.7982
17:10:25:361,57.0179
17:10:25:379,57.3027
17:10:25:399,57.243
17:10:25:419,57.5599
17:10:25:439,57.5751
17:10:25:461,57.7799
17:10:25:480,57.9235
17:10:25:499,58.0227
17:10:25:519,58.0275
17:10:25:539,58.1726
17:10:25:561,58.22
17:10:25:579,58.2999
17:10:25:599,58.1936
17:10:25:619,58.426
17:10:25:640,58.3509
17:10:25:661,58.5412
17:10:25:679,58.583
17:10:25:699,58.6473
17:10:25:719,58.6742
17:10:25:740,58.8587
17:10:25:761,58.5946
17:10:25:779,58.7954
17:10:25:800,58.8642
17:10:25:820,58.6102
17:10:25:839,58.3737
17:10:25:861,58.2764
17:10:25:879,58.4938
17:10:25:899,58.4496
17:10:25:919,58.4922
17:10:25:939,58.4517
17:10:25:962,58.3275
17:10:25:980,58.0531
17:10:25:999,58.1704
17:10:26:019,58.2734
17:10:26:039,58.0229
17:10:26:061,58.0505
17:10:26:080,58.1945
17:10:26:101,57.9729
17:10:26:140,58.1678
17:10:26:145,58.2168
17:10:26:159,57.5876
17:10:26:179,57.7821
17:10:26:199,57.152
17:10:26:220,57.1218
17:10:26:240,57.0695
17:10:26:259,56.8514
17:10:26:279,56.7827
17:10:26:299,56.4997
17:10:26:319,56.4209
17:10:26:340,56.3707
17:10:26:360,56.4813
17:10:26:379,56.6336
17:10:26:400,56.6025
17:10:26:419,56.6834
17:10:26:440,56.5983
17:10:26:459,56.4112
17:10:26:480,56.2343
17:10:26:501,56.5397
17:10:26:519,56.5831
17:10:26:539,56.549
17:10:26:559,56.8754
17:10:26:579,56.9067
17:10:26:599,56.8436
17:10:26:619,56.777
17:10:26:639,56.5684
17:10:26:660,56.5092
17:10:26:679,56.5454
17:10:26:699,57.0146
17:10:26:719,57.3253
17:10:26:740,57.6193
17:10:26:759,57.6416
17:10:26:779,57.6473
17:10:26:799,57.551
17:10:26:819,57.5804
17:10:26:839,57.6478
17:10:26:859,57.5394
17:10:26:880,57.1826
17:10:26:899,56.9352
17:10:26:919,57.2116
17:10:26:939,57.3213
17:10:26:959,57.5593
17:10:26:979,57.8132
17:10:26:999,57.7275
17:10:27:020,57.8648
17:10:27:039,57.8918
17:10:27:061,57.7509
17:10:27:079,57.7878
17:10:27:099,57.7207
17:10:27:119,57.7157
17:10:27:139,57.9353
17:10:27:159,57.5984
17:10:27:179,57.4253
17:10:27:199,57.3379
17:10:27:220,56.9272
17:10:27:240,56.7948
17:10:27:260,56.6461
17:10:27:279,56.3918
17:10:27:300,56.2299
17:10:27:320,56.2531
17:10:27:341,56.1108
17:10:27:359,55.8235
17:10:27:380,55.4405
17:10:27:400,55.1502
17:10:27:420,54.7372
17:10:27:439,54.6854
17:10:27:460,54.3758
17:10:27:480,54.1549
17:10:27:501,54.2527
17:10:27:519,54.0887
17:10:27:539,53.9253
17:10:27:567,53.7173
17:10:27:581,53.4831
17:10:27:599,52.951
17:10:27:619,52.5965
17:10:27:639,52.4
17:10:27:663,51.7355
17:10:27:679,51.3582
17:10:27:699,51.0228
17:10:27:719,50.5885
17:10:27:739,50.0888
17:10:27:760,49.4235
17:10:27:779,49.3843
17:10:27:799,49.0316
17:10:27:821,48.5851
17:10:27:840,48.5787
17:10:27:861,48.5723
17:10:27:879,48.0959
17:10:27:900,47.5994
17:10:27:919,47.2808
17:10:27:939,47.0141
17:10:27:961,46.5365
17:10:27:980,46.5837
17:10:27:999,46.4937
17:10:28:019,46.1764
17:10:28:040,45.7461
17:10:28:061,45.4122
17:10:28:079,45.0736
17:10:28:099,44.7043
17:10:28:119,44.1313
17:10:28:150,43.8032
17:10:28:161,43.4915
17:10:28:179,43.135
17:10:28:199,42.9233
17:10:28:219,42.8127
17:10:28:239,42.721
17:10:28:261,42.5754
17:10:28:279,42.4936
17:10:28:299,42.067
17:10:28:319,41.6339
17:10:28:339,41.1226
17:10:28:361,40.5698
17:10:28:379,40.3947
17:10:28:399,40.0744
17:10:28:419,40.233
