Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:43:57:887,471,-95.0,473,-81.0,493,,124,,322,
16:43:59:902,471,-95.0,473,-81.0,493,,124,,322,
16:44:01:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:03:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:05:883,471,-95.0,473,-81.0,493,,124,,322,
16:44:07:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:09:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:11:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:13:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:15:879,471,-95.0,473,-81.0,493,,124,,322,
16:44:17:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:19:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:21:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:23:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:25:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:27:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:29:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:31:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:33:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:35:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:37:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:39:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:41:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:43:879,471,-95.0,473,-81.0,493,,124,,322,
16:44:45:885,471,-95.0,473,-81.0,493,,124,,322,
16:44:47:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:49:878,471,-95.0,473,-81.0,493,,124,,322,
16:44:51:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:53:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:55:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:57:877,471,-95.0,473,-81.0,493,,124,,322,
16:44:59:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:01:879,471,-95.0,473,-81.0,493,,124,,322,
16:45:03:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:05:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:07:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:09:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:11:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:13:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:15:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:17:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:19:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:21:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:23:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:25:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:27:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:29:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:31:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:33:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:35:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:37:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:39:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:41:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:43:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:45:880,471,-95.0,473,-81.0,493,,124,,322,
16:45:47:878,471,-95.0,473,-81.0,493,,124,,322,
16:45:49:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:51:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:53:877,471,-95.0,473,-81.0,493,,124,,322,
16:45:55:878,471,-91.0,473,-107.0,493,,124,,322,
16:45:57:879,471,-91.0,473,-107.0,493,,124,,322,
16:45:59:879,471,-91.0,473,-107.0,493,,124,,322,
16:46:01:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:03:878,471,-91.0,473,-107.0,493,,124,,322,
16:46:05:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:07:878,471,-91.0,473,-107.0,493,,124,,322,
16:46:09:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:11:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:13:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:15:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:17:878,471,-91.0,473,-107.0,493,,124,,322,
16:46:19:878,471,-91.0,473,-107.0,493,,124,,322,
16:46:21:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:23:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:25:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:27:878,471,-91.0,473,-107.0,493,,124,,322,
16:46:29:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:31:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:33:877,471,-91.0,473,-107.0,493,,124,,322,
16:46:35:877,471,,473,,493,,124,,322,
16:46:37:878,471,,473,,493,,124,,322,
16:46:39:877,471,,473,,493,,124,,322,
16:46:41:877,471,,473,,493,,124,,322,
16:46:43:877,471,,473,,493,,124,,322,
16:46:45:878,471,,473,,493,,124,,322,
16:46:47:877,471,,473,,493,,124,,322,
16:46:49:877,471,-89.0,473,,493,,124,,322,
16:46:51:878,471,-89.0,473,,493,,124,,322,
16:46:53:881,471,-89.0,473,,493,,124,,322,
16:46:55:878,471,-89.0,473,,493,,124,,322,
16:46:57:878,471,-89.0,473,,493,,124,,322,
16:46:59:878,471,-89.0,473,,493,,124,,322,
16:47:01:879,471,-89.0,473,,493,,124,,322,
16:47:03:879,471,-89.0,473,,493,,124,,322,
16:47:05:879,471,-89.0,473,,493,,124,,322,
16:47:07:878,471,-89.0,473,,493,,124,,322,
16:47:09:879,471,-89.0,473,,493,,124,,322,
16:47:11:878,471,-89.0,473,,493,,124,,322,
16:47:13:879,471,-89.0,473,,493,,124,,322,
16:47:15:880,471,-89.0,473,,493,,124,,322,
16:47:17:880,471,-89.0,473,,493,,124,,322,
16:47:19:878,471,-89.0,473,,493,,124,,322,
16:47:21:878,471,-89.0,473,,493,,124,,322,
16:47:23:880,471,-89.0,473,,493,,124,,322,
16:47:25:877,471,-89.0,473,,493,,124,,322,
16:47:27:879,471,-89.0,473,,493,,124,,322,
16:47:29:878,471,-89.0,473,,493,,124,,322,
16:47:31:877,471,-89.0,473,,493,,124,,322,
16:47:33:879,471,-89.0,473,,493,,124,,322,
16:47:35:878,471,-89.0,473,,493,,124,,322,
16:47:37:880,471,-89.0,473,,493,,124,,322,
16:47:39:878,471,-89.0,473,,493,,124,,322,
16:47:41:879,471,-89.0,473,,493,,124,,322,
16:47:43:878,471,-89.0,473,,493,,124,,322,
16:47:45:879,471,-89.0,473,,493,,124,,322,
16:47:47:877,471,-89.0,473,,493,,124,,322,
16:47:49:877,471,-89.0,473,,493,,124,,322,
16:47:51:877,471,-89.0,473,,493,,124,,322,
