Time,Meg
17:19:00:272,50.1665
17:19:00:284,50.1824
17:19:00:304,50.3616
17:19:00:324,50.7085
17:19:00:346,50.9013
17:19:00:366,50.8935
17:19:00:384,50.9947
17:19:00:404,51.0296
17:19:00:424,50.8502
17:19:00:444,51.0568
17:19:00:465,50.7679
17:19:00:485,50.6207
17:19:00:504,50.73
17:19:00:524,50.8658
17:19:00:545,50.9051
17:19:00:566,51.0854
17:19:00:584,51.1328
17:19:00:604,51.0543
17:19:00:624,51.1572
17:19:00:646,51.0644
17:19:00:665,50.9383
17:19:00:684,50.9716
17:19:00:704,50.747
17:19:00:726,50.6761
17:19:00:744,50.6558
17:19:00:765,50.5854
17:19:00:784,50.6349
17:19:00:804,50.6626
17:19:00:824,50.5076
17:19:00:844,50.4249
17:19:00:865,50.2061
17:19:00:884,50.37
17:19:00:904,50.3449
17:19:00:924,50.4874
17:19:00:944,50.6746
17:19:00:965,50.7394
17:19:00:984,51.0211
17:19:01:004,51.0265
17:19:01:025,51.2796
17:19:01:045,50.9955
17:19:01:065,51.2166
17:19:01:084,51.0738
17:19:01:105,51.3098
17:19:01:126,51.2785
17:19:01:144,51.5823
17:19:01:166,51.5774
17:19:01:185,51.7713
17:19:01:206,52.0841
17:19:01:225,52.2098
17:19:01:244,52.2922
17:19:01:265,52.4968
17:19:01:285,52.5361
17:19:01:305,52.4475
17:19:01:325,52.3063
17:19:01:345,52.4752
17:19:01:366,52.3012
17:19:01:385,52.3685
17:19:01:405,52.4298
17:19:01:425,52.8724
17:19:01:445,53.2867
17:19:01:466,53.7163
17:19:01:484,54.0403
17:19:01:505,54.2785
17:19:01:526,54.4557
17:19:01:545,54.3319
17:19:01:565,54.4935
17:19:01:585,54.7699
17:19:01:606,54.6234
17:19:01:625,54.5954
17:19:01:645,54.5104
17:19:01:666,54.5543
17:19:01:686,54.6989
17:19:01:705,55.0047
17:19:01:725,55.1991
17:19:01:745,55.4343
17:19:01:766,55.3272
17:19:01:788,55.5206
17:19:01:806,55.5694
17:19:01:825,55.5609
17:19:01:845,55.8059
17:19:01:865,55.6232
17:19:01:886,55.7551
17:19:01:904,55.5359
17:19:01:925,55.7128
17:19:01:944,55.7276
17:19:01:965,55.8956
17:19:01:984,55.8646
17:19:02:005,56.0244
17:19:02:025,56.2242
17:19:02:046,56.1836
17:19:02:066,56.3896
17:19:02:085,56.8675
17:19:02:105,57.0439
17:19:02:125,57.2016
17:19:02:145,57.3203
17:19:02:166,57.4408
17:19:02:185,57.1675
17:19:02:205,57.3717
17:19:02:225,57.3188
17:19:02:245,57.3807
17:19:02:286,57.5532
17:19:02:287,57.7686
17:19:02:304,58.0249
17:19:02:326,57.943
17:19:02:345,58.0626
17:19:02:366,57.9174
17:19:02:385,57.885
17:19:02:406,57.7572
17:19:02:425,57.8023
17:19:02:445,57.6878
17:19:02:465,58.0268
17:19:02:486,58.0887
17:19:02:505,58.1898
17:19:02:525,58.3286
17:19:02:545,58.2042
17:19:02:567,58.1562
17:19:02:585,57.982
17:19:02:604,58.1864
17:19:02:625,58.0699
17:19:02:653,58.1832
17:19:02:665,58.2937
17:19:02:685,58.287
17:19:02:705,58.0853
17:19:02:725,57.6678
17:19:02:745,57.401
17:19:02:765,57.3944
17:19:02:785,57.0284
17:19:02:805,56.953
17:19:02:825,56.8815
17:19:02:846,57.0672
17:19:02:865,56.9858
17:19:02:885,56.7058
17:19:02:905,56.8254
17:19:02:924,56.7066
17:19:02:944,56.6929
17:19:02:966,56.6738
17:19:02:985,56.7194
17:19:03:005,56.6163
17:19:03:025,56.4223
17:19:03:047,56.653
17:19:03:065,56.8784
17:19:03:085,56.7276
17:19:03:106,56.9324
17:19:03:127,56.7463
17:19:03:146,56.185
17:19:03:166,56.3669
17:19:03:185,56.3487
17:19:03:206,56.5259
17:19:03:226,56.1711
17:19:03:245,56.2746
17:19:03:266,55.7118
17:19:03:286,55.5139
17:19:03:305,55.4017
17:19:03:325,55.4487
17:19:03:345,55.3341
17:19:03:366,55.377
17:19:03:385,55.0277
17:19:03:405,54.9584
17:19:03:424,54.9735
17:19:03:445,54.785
17:19:03:465,54.7312
17:19:03:485,54.59
17:19:03:507,54.0339
17:19:03:525,54.0089
17:19:03:544,53.9199
17:19:03:565,53.6557
17:19:03:584,53.263
17:19:03:605,53.1433
17:19:03:624,52.8811
17:19:03:644,52.6627
17:19:03:665,52.2707
17:19:03:685,52.2373
17:19:03:707,52.1121
17:19:03:724,51.827
17:19:03:744,51.7411
17:19:03:765,51.7587
17:19:03:785,51.7619
17:19:03:804,51.7836
17:19:03:824,51.7328
17:19:03:845,51.5633
17:19:03:865,51.3985
17:19:03:885,51.248
17:19:03:904,50.8613
17:19:03:925,51.0103
17:19:03:944,50.9754
17:19:03:966,50.882
17:19:03:986,50.6986
17:19:04:006,50.9315
17:19:04:025,50.8022
17:19:04:045,50.4704
17:19:04:066,50.3744
17:19:04:086,50.1989
17:19:04:105,49.9372
17:19:04:125,49.5554
17:19:04:144,49.5119
17:19:04:166,49.2638
17:19:04:185,49.1158
17:19:04:204,49.0074
17:19:04:225,48.8375
17:19:04:245,48.8645
17:19:04:282,48.7377
17:19:04:288,48.6273
17:19:04:304,48.4139
17:19:04:324,48.4752
17:19:04:345,48.5198
17:19:04:365,48.473
17:19:04:384,48.5292
17:19:04:404,48.4317
17:19:04:424,48.1409
17:19:04:445,47.8034
17:19:04:465,47.6869
17:19:04:484,47.8679
17:19:04:504,47.8348
17:19:04:525,47.6338
17:19:04:545,47.3876
17:19:04:566,47.2552
17:19:04:584,46.9602
17:19:04:604,47.2181
17:19:04:624,46.9069
17:19:04:646,46.6965
17:19:04:666,46.5571
17:19:04:685,46.4718
17:19:04:704,46.1992
17:19:04:725,46.0089
17:19:04:744,45.9205
17:19:04:765,45.6161
17:19:04:785,45.6768
17:19:04:805,45.6218
17:19:04:824,46.0782
17:19:04:845,46.1119
17:19:04:865,46.3436
17:19:04:886,46.3478
17:19:04:905,46.321
17:19:04:927,46.092
17:19:04:945,46.0558
17:19:04:971,46.3683
17:19:04:985,46.4266
17:19:05:005,46.6357
17:19:05:025,46.8776
17:19:05:046,47.1208
17:19:05:065,47.1619
17:19:05:084,47.2872
17:19:05:106,47.5206
17:19:05:125,47.5364
17:19:05:145,47.4737
17:19:05:165,47.1862
17:19:05:185,47.1188
17:19:05:205,46.9576
17:19:05:225,46.8696
17:19:05:245,46.8009
17:19:05:265,46.8743
17:19:05:285,46.8794
17:19:05:305,46.7949
17:19:05:325,46.948
17:19:05:346,47.243
17:19:05:367,47.4676
17:19:05:386,47.7805
17:19:05:405,47.5691
17:19:05:424,47.7376
17:19:05:445,47.8024
17:19:05:466,47.5937
17:19:05:485,47.8867
17:19:05:508,48.1548
17:19:05:525,47.9392
17:19:05:544,48.0777
17:19:05:565,48.362
17:19:05:585,48.8772
17:19:05:604,49.1382
17:19:05:625,49.1618
17:19:05:645,49.1532
17:19:05:665,49.41
17:19:05:684,49.3194
17:19:05:704,49.3309
17:19:05:724,49.2569
17:19:05:745,48.9766
17:19:05:767,48.9088
17:19:05:785,49.0435
17:19:05:805,48.9591
17:19:05:824,48.9066
17:19:05:846,49.0361
17:19:05:866,49.172
17:19:05:886,49.3342
17:19:05:905,49.1425
17:19:05:925,49.2596
17:19:05:945,49.1341
17:19:05:965,48.5445
17:19:05:985,48.5335
17:19:06:005,48.4627
17:19:06:024,48.104
17:19:06:045,47.9199
17:19:06:067,47.8463
17:19:06:085,47.7054
17:19:06:104,47.7151
17:19:06:124,47.7694
17:19:06:145,47.6962
17:19:06:167,47.387
17:19:06:184,47.6323
17:19:06:205,47.4247
17:19:06:225,47.4131
17:19:06:245,47.501
17:19:06:266,47.2182
17:19:06:306,47.027
17:19:06:306,46.8258
17:19:06:324,46.6639
17:19:06:344,46.9459
17:19:06:366,46.678
17:19:06:385,46.3714
17:19:06:405,46.2281
17:19:06:424,46.2844
17:19:06:445,46.1765
17:19:06:465,46.0975
17:19:06:485,46.0877
17:19:06:505,45.9887
17:19:06:525,45.8396
17:19:06:545,46.0212
17:19:06:570,46.3563
17:19:06:585,46.5787
17:19:06:604,46.7958
17:19:06:625,46.822
17:19:06:646,46.7701
17:19:06:665,46.7626
17:19:06:685,46.5999
17:19:06:705,46.2484
17:19:06:726,46.2623
17:19:06:745,46.0622
17:19:06:766,45.872
17:19:06:785,45.7652
17:19:06:806,45.4695
17:19:06:825,45.7099
17:19:06:852,45.8064
17:19:06:865,45.7483
17:19:06:885,45.5076
17:19:06:905,45.5451
17:19:06:927,45.4513
17:19:06:946,45.249
17:19:06:965,45.3053
17:19:06:984,45.1817
17:19:07:006,44.7913
17:19:07:026,44.6833
17:19:07:045,44.3585
17:19:07:065,44.4853
17:19:07:085,44.3089
17:19:07:105,44.2243
17:19:07:125,44.0346
17:19:07:145,43.9649
17:19:07:165,44.0626
17:19:07:185,43.8048
17:19:07:206,43.7316
17:19:07:226,43.6228
17:19:07:244,43.5139
17:19:07:265,43.4113
17:19:07:285,43.4709
17:19:07:305,43.5468
17:19:07:324,43.3026
17:19:07:344,43.2073
17:19:07:366,43.3342
17:19:07:385,43.2927
17:19:07:407,42.8902
17:19:07:425,42.6216
17:19:07:445,42.2083
17:19:07:466,41.5924
17:19:07:485,41.4756
17:19:07:505,41.5845
17:19:07:526,41.3326
17:19:07:545,41.5721
17:19:07:566,41.7811
17:19:07:585,42.1016
17:19:07:606,42.5483
17:19:07:625,42.8603
17:19:07:644,43.2784
17:19:07:665,43.215
17:19:07:686,43.1509
17:19:07:706,43.1714
17:19:07:724,42.9852
17:19:07:744,43.0986
17:19:07:765,43.2604
17:19:07:785,43.2981
17:19:07:805,43.3479
17:19:07:824,43.2134
17:19:07:845,43.0876
17:19:07:866,42.9221
17:19:07:885,43.1158
17:19:07:904,43.4906
17:19:07:925,43.9443
17:19:07:945,44.1708
17:19:07:965,44.1803
17:19:07:985,44.0989
17:19:08:005,43.8835
17:19:08:025,43.7115
17:19:08:045,43.6948
17:19:08:065,43.5503
17:19:08:085,43.6134
17:19:08:105,43.8667
17:19:08:125,43.887
17:19:08:146,43.7433
17:19:08:167,44.0712
17:19:08:185,43.7668
17:19:08:205,43.8856
17:19:08:225,44.0051
17:19:08:245,43.908
17:19:08:266,44.0038
17:19:08:284,44.1168
17:19:08:320,44.1615
17:19:08:326,43.8827
17:19:08:344,43.5645
17:19:08:365,43.4581
17:19:08:384,42.9696
17:19:08:406,43.0819
17:19:08:425,43.3666
17:19:08:445,43.6136
17:19:08:466,44.1229
17:19:08:486,44.5886
17:19:08:505,44.846
17:19:08:525,44.745
17:19:08:546,44.7932
17:19:08:566,45.1873
17:19:08:586,45.1884
17:19:08:605,45.1728
17:19:08:626,45.3606
17:19:08:645,45.5783
17:19:08:665,45.8534
17:19:08:685,45.9596
17:19:08:706,45.7743
17:19:08:725,45.6482
17:19:08:745,45.5021
17:19:08:765,45.7092
17:19:08:785,45.7641
17:19:08:805,46.1006
17:19:08:825,46.3843
17:19:08:846,46.4769
17:19:08:866,46.4612
17:19:08:885,46.4282
17:19:08:905,46.497
17:19:08:925,46.6673
17:19:08:944,46.7001
17:19:08:965,46.8686
17:19:08:984,46.811
17:19:09:004,46.8005
17:19:09:025,46.4483
