Time,Meg
17:38:32:455,55.5642
17:38:32:474,55.561
17:38:32:494,55.5133
17:38:32:515,55.1157
17:38:32:534,55.1391
17:38:32:554,55.1083
17:38:32:574,55.1165
17:38:32:594,55.0168
17:38:32:616,54.9583
17:38:32:634,54.9707
17:38:32:654,54.9794
17:38:32:674,55.0441
17:38:32:694,55.2588
17:38:32:716,55.3113
17:38:32:734,55.2641
17:38:32:754,55.1868
17:38:32:774,55.1167
17:38:32:794,55.26
17:38:32:815,55.3578
17:38:32:835,55.4587
17:38:32:855,55.359
17:38:32:874,55.228
17:38:32:894,55.1547
17:38:32:915,54.958
17:38:32:934,54.8964
17:38:32:954,54.9527
17:38:32:974,55.1378
17:38:32:994,55.2943
17:38:33:015,55.4009
17:38:33:034,55.3767
17:38:33:054,55.0921
17:38:33:074,54.6747
17:38:33:094,54.5279
17:38:33:115,54.7314
17:38:33:134,54.9367
17:38:33:154,54.9359
17:38:33:174,54.9515
17:38:33:195,54.8215
17:38:33:215,54.5771
17:38:33:235,54.49
17:38:33:254,54.6503
17:38:33:274,54.6561
17:38:33:296,54.2653
17:38:33:315,54.1983
17:38:33:335,54.0372
17:38:33:354,53.8457
17:38:33:374,53.849
17:38:33:395,54.1576
17:38:33:415,53.9975
17:38:33:435,54.0907
17:38:33:454,53.842
17:38:33:474,53.8797
17:38:33:495,53.9882
17:38:33:516,54.1968
17:38:33:534,54.2168
17:38:33:555,54.2854
17:38:33:578,54.1365
17:38:33:595,53.8519
17:38:33:616,53.585
17:38:33:635,53.5246
17:38:33:655,53.4423
17:38:33:676,53.1752
17:38:33:695,53.2995
17:38:33:716,53.089
17:38:33:734,52.8349
17:38:33:754,52.694
17:38:33:775,52.7013
17:38:33:795,52.5108
17:38:33:815,52.5279
17:38:33:834,52.5154
17:38:33:854,52.4899
17:38:33:875,52.2739
17:38:33:895,52.2632
17:38:33:915,51.9782
17:38:33:935,51.797
17:38:33:958,51.713
17:38:33:975,51.4866
17:38:33:994,51.3025
17:38:34:015,51.4436
17:38:34:035,51.57
17:38:34:056,51.4246
17:38:34:075,51.299
17:38:34:095,51.2917
17:38:34:115,50.9363
17:38:34:134,50.9014
17:38:34:156,50.8946
17:38:34:175,50.6946
17:38:34:195,50.5904
17:38:34:215,50.4664
17:38:34:234,49.9727
17:38:34:254,49.7787
17:38:34:275,49.5563
17:38:34:295,49.3621
17:38:34:315,49.6016
17:38:34:338,49.702
17:38:34:355,49.7097
17:38:34:375,49.6801
17:38:34:394,49.8574
17:38:34:415,49.5055
17:38:34:436,49.1335
17:38:34:455,48.8754
17:38:34:475,48.595
17:38:34:495,48.4
17:38:34:516,48.3375
17:38:34:535,48.0516
17:38:34:555,47.8852
17:38:34:575,47.5353
17:38:34:594,47.464
17:38:34:615,47.7417
17:38:34:635,47.7033
17:38:34:655,47.6722
17:38:34:675,47.6371
17:38:34:695,47.5035
17:38:34:718,47.3474
17:38:34:735,47.1873
17:38:34:755,46.9522
17:38:34:775,47.0569
17:38:34:795,46.904
17:38:34:815,46.762
17:38:34:834,46.4515
17:38:34:854,46.3694
17:38:34:874,46.2403
17:38:34:894,46.3916
17:38:34:915,46.4407
17:38:34:935,46.4494
17:38:34:955,46.2701
17:38:34:975,46.2332
17:38:34:994,46.1815
17:38:35:015,45.8588
17:38:35:035,45.6569
17:38:35:055,45.4625
17:38:35:074,45.4446
17:38:35:094,45.1284
17:38:35:115,45.3754
17:38:35:135,45.4308
17:38:35:154,45.4384
17:38:35:174,45.5914
17:38:35:196,45.828
17:38:35:215,45.8528
17:38:35:235,46.0538
17:38:35:255,46.267
17:38:35:275,46.3266
17:38:35:295,46.3147
17:38:35:315,46.2461
17:38:35:335,46.3267
17:38:35:354,46.2041
17:38:35:374,46.1642
17:38:35:395,46.0576
17:38:35:416,46.2078
17:38:35:435,46.2766
17:38:35:455,46.5439
17:38:35:474,46.7554
17:38:35:494,46.8277
17:38:35:516,47.2503
17:38:35:534,47.0847
17:38:35:554,47.2868
17:38:35:575,47.3455
17:38:35:594,47.437
17:38:35:615,47.3017
17:38:35:634,47.5073
17:38:35:654,47.486
17:38:35:675,47.4737
17:38:35:695,47.5733
17:38:35:715,47.5841
17:38:35:735,47.493
17:38:35:754,47.4332
17:38:35:776,47.6205
17:38:35:795,47.6368
17:38:35:815,47.8163
17:38:35:834,47.9448
17:38:35:854,48.0085
17:38:35:875,48.1398
17:38:35:894,48.4241
17:38:35:915,48.616
17:38:35:934,48.5757
17:38:35:956,48.8581
17:38:35:975,48.6214
17:38:35:995,48.7284
17:38:36:015,48.9876
17:38:36:034,49.1099
17:38:36:055,49.4252
17:38:36:075,49.5715
17:38:36:095,49.9413
17:38:36:116,50.1139
17:38:36:134,50.3717
17:38:36:155,50.2627
17:38:36:175,50.5999
17:38:36:195,51.0138
17:38:36:215,51.0405
17:38:36:234,51.2395
17:38:36:255,51.1831
17:38:36:275,51.0873
17:38:36:295,50.9941
17:38:36:315,50.9931
17:38:36:336,51.0041
17:38:36:355,51.1819
17:38:36:375,51.318
17:38:36:394,51.2504
17:38:36:415,51.4822
17:38:36:435,51.4398
17:38:36:455,51.7492
17:38:36:474,51.7032
17:38:36:494,52.1487
17:38:36:515,52.1868
17:38:36:536,51.9441
17:38:36:555,52.1018
17:38:36:574,52.2973
17:38:36:595,52.2199
17:38:36:615,52.1857
17:38:36:635,52.3961
17:38:36:655,52.2224
17:38:36:675,52.3886
17:38:36:694,52.2901
17:38:36:716,52.6086
17:38:36:735,52.5985
