Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:38:32:455,471,-85.0,322,,40,,46,,48,
17:38:34:455,471,-85.0,322,,40,,46,,48,
17:38:36:455,471,-85.0,322,,40,,46,,48,
17:38:38:461,471,-85.0,322,,40,,46,,48,
17:38:40:466,471,-85.0,322,,40,,46,,48,
17:38:42:478,471,-85.0,322,,40,,46,,48,
17:38:44:455,471,-85.0,322,,40,,46,,48,
17:38:46:454,471,-85.0,322,,40,,46,,48,
17:38:48:454,471,-85.0,322,,40,,46,,48,
17:38:50:455,471,-85.0,322,,40,,46,,48,
17:38:52:454,471,-85.0,322,,40,,46,,48,
17:38:54:455,471,-85.0,322,,40,,46,,48,
17:38:56:455,471,-85.0,322,,40,,46,,48,
17:38:58:455,471,-85.0,322,,40,,46,,48,
17:39:00:455,471,-85.0,322,,40,,46,,48,
17:39:02:455,471,-85.0,322,,40,,46,,48,
17:39:04:454,471,-85.0,322,,40,,46,,48,
17:39:06:455,471,-85.0,322,,40,,46,,48,
17:39:08:455,471,-85.0,322,,40,,46,,48,
17:39:10:455,471,-85.0,322,,40,,46,,48,
17:39:12:455,471,-85.0,322,,40,,46,,48,
17:39:14:454,471,-85.0,322,,40,,46,,48,
17:39:16:455,471,-85.0,322,,40,,46,,48,
17:39:18:455,471,-85.0,322,,40,,46,,48,
17:39:20:454,471,-85.0,322,,40,,46,,48,
17:39:22:455,471,-85.0,322,,40,,46,,48,
17:39:24:454,471,-85.0,322,,40,,46,,48,
17:39:26:455,471,-85.0,322,,40,,46,,48,
17:39:28:454,471,-85.0,322,,40,,46,,48,
17:39:30:455,471,-85.0,322,,40,,46,,48,
17:39:32:454,471,-85.0,322,,40,,46,,48,
17:39:34:454,471,-85.0,322,,40,,46,,48,
17:39:36:455,471,-85.0,322,,40,,46,,48,
17:39:38:454,471,-85.0,322,,40,,46,,48,
17:39:40:454,471,-85.0,322,,40,,46,,48,
17:39:42:454,471,-85.0,322,,40,,46,,48,
17:39:44:454,471,-85.0,322,,40,,46,,48,
17:39:46:454,471,-85.0,322,,40,,46,,48,
17:39:48:454,471,-85.0,322,,40,,46,,48,
17:39:50:454,471,-85.0,322,,40,,46,,48,
17:39:52:454,471,-85.0,322,,40,,46,,48,
17:39:54:455,471,-85.0,322,,40,,46,,48,
17:39:56:455,471,-85.0,322,,40,,46,,48,
17:39:58:455,471,-85.0,322,,40,,46,,48,
17:40:00:454,471,-85.0,322,,40,,46,,48,
17:40:02:456,471,-85.0,322,,40,,46,,48,
17:40:04:455,471,-85.0,322,,40,,46,,48,
17:40:06:456,471,-85.0,322,,40,,46,,48,
17:40:08:456,471,-85.0,322,,40,,46,,48,
17:40:10:455,471,-85.0,322,,40,,46,,48,
17:40:12:454,471,-85.0,322,,40,,46,,48,
17:40:14:455,471,-85.0,322,,40,,46,,48,
17:40:16:455,471,-85.0,322,,40,,46,,48,
17:40:18:455,471,-85.0,322,,40,,46,,48,
17:40:20:454,471,-85.0,322,,40,,46,,48,
