Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:44:44:727,471,-70,322,-93.0,40,,46,,48,
17:44:46:741,471,-70,322,-93.0,40,,46,,48,
17:44:48:727,471,-75,322,,40,,46,,48,
17:44:50:725,471,-75,322,,40,,46,,48,
17:44:52:725,471,-75,322,,40,,46,,48,
17:44:54:727,471,-75,322,,40,,46,,48,
17:44:56:726,471,-75,322,,40,,46,,48,
17:44:58:725,471,-75,322,,40,,46,,48,
17:45:00:727,471,-75,322,,40,,46,,48,
17:45:02:726,471,-75,322,,40,,46,,48,
17:45:04:726,471,-75,322,,40,,46,,48,
17:45:06:726,471,-75,322,,40,,46,,48,
17:45:08:726,471,-75,322,,40,,46,,48,
17:45:10:725,471,-75,322,,40,,46,,48,
17:45:12:725,471,-75,322,,40,,46,,48,
17:45:14:726,471,-75,322,,40,,46,,48,
17:45:16:725,471,-75,322,,40,,46,,48,
17:45:18:725,471,-75,322,,40,,46,,48,
17:45:20:725,471,-75,322,,40,,46,,48,
17:45:22:726,471,-75,322,,40,,46,,48,
17:45:24:725,471,-75,322,,40,,46,,48,
17:45:26:726,471,-75,322,,40,,46,,48,
17:45:28:726,471,-75,322,,40,,46,,48,
17:45:30:724,471,-75,322,,40,,46,,48,
17:45:32:725,471,-75,322,,40,,46,,48,
17:45:34:726,471,-75,322,,40,,46,,48,
17:45:36:724,471,-75,322,,40,,46,,48,
17:45:38:725,471,-75,322,,40,,46,,48,
17:45:40:726,471,-75,322,,40,,46,,48,
17:45:42:725,471,-75,322,,40,,46,,48,
17:45:44:725,471,-75,322,,40,,46,,48,
17:45:46:726,471,-75,322,,40,,46,,48,
17:45:48:725,471,-75,322,,40,,46,,48,
17:45:50:725,471,-75,322,,40,,46,,48,
17:45:52:726,471,-75,322,,40,,46,,48,
17:45:54:725,471,-75,322,,40,,46,,48,
17:45:56:725,471,-75,322,,40,,46,,48,
17:45:58:726,471,-75,322,,40,,46,,48,
17:46:00:725,471,-75,322,,40,,46,,48,
17:46:02:725,471,-75,322,,40,,46,,48,
17:46:04:726,471,-75,322,,40,,46,,48,
17:46:06:725,471,-75,322,,40,,46,,48,
17:46:08:725,471,-75,322,,40,,46,,48,
17:46:10:726,471,-75,322,,40,,46,,48,
17:46:12:725,471,-75,322,,40,,46,,48,
17:46:14:725,471,-75,322,,40,,46,,48,
17:46:16:726,471,-75,322,,40,,46,,48,
17:46:18:726,471,-75,322,,40,,46,,48,
17:46:20:725,471,-75,322,,40,,46,,48,
17:46:22:727,471,-75,322,,40,,46,,48,
17:46:24:725,471,-75,322,,40,,46,,48,
17:46:26:725,471,-75,322,,40,,46,,48,
17:46:28:726,471,-75,322,,40,,46,,48,
17:46:30:725,471,-75,322,,40,,46,,48,
17:46:32:725,471,-75,322,,40,,46,,48,
