Time,Meg
17:40:56:295,56.6311
17:40:56:304,56.9213
17:40:56:324,57.5103
17:40:56:347,54.9002
17:40:56:363,56.6901
17:40:56:382,55.5441
17:40:56:403,55.9611
17:40:56:422,56.7597
17:40:56:442,53.7968
17:40:56:468,54.9765
17:40:56:482,55.5624
17:40:56:503,54.9028
17:40:56:521,55.9743
17:40:56:540,55.9094
17:40:56:561,55.096
17:40:56:579,57.9409
17:40:56:600,53.8222
17:40:56:620,55.3255
17:40:56:638,54.4062
17:40:56:662,56.8146
17:40:56:678,56.9114
17:40:56:699,55.918
17:40:56:718,55.4296
17:40:56:738,54.8196
17:40:56:759,55.2676
17:40:56:779,55.4365
17:40:56:800,54.8762
17:40:56:818,55.5844
17:40:56:838,54.4739
17:40:56:857,54.6551
17:40:56:877,54.1273
17:40:56:896,54.1298
17:40:56:917,55.7835
17:40:56:937,54.115
17:40:56:957,54.2479
17:40:56:978,54.9841
17:40:57:000,54.8335
17:40:57:019,54.317
17:40:57:036,53.2949
17:40:57:056,54.3304
17:40:57:076,54.1519
17:40:57:097,53.6781
17:40:57:118,53.3453
17:40:57:138,53.0192
17:40:57:157,53.9674
17:40:57:176,53.217
17:40:57:196,52.6786
17:40:57:216,52.5909
17:40:57:237,52.4732
17:40:57:257,54.2685
17:40:57:276,51.9827
17:40:57:300,53.2059
17:40:57:318,52.9062
17:40:57:336,50.6238
17:40:57:357,51.9625
17:40:57:378,50.9757
17:40:57:397,51.088
17:40:57:417,51.8636
17:40:57:437,51.8569
17:40:57:457,52.3182
17:40:57:477,50.9534
17:40:57:499,51.3595
17:40:57:519,51.2149
17:40:57:536,50.2781
17:40:57:556,50.2175
17:40:57:576,50.2005
17:40:57:596,49.3984
17:40:57:617,49.2662
17:40:57:637,49.0646
17:40:57:657,49.8287
17:40:57:680,48.7199
17:40:57:698,48.7311
17:40:57:718,49.5235
17:40:57:737,49.3587
17:40:57:758,47.9796
17:40:57:778,47.9796
17:40:57:798,48.8038
17:40:57:816,48.6852
17:40:57:836,48.58
17:40:57:857,49.1405
17:40:57:879,48.3452
17:40:57:899,48.9685
17:40:57:917,46.7595
17:40:57:937,46.994
17:40:57:956,45.8971
17:40:57:977,46.1836
17:40:57:998,46.1501
17:40:58:019,46.6145
17:40:58:038,45.8464
17:40:58:057,46.0634
17:40:58:077,45.7566
17:40:58:101,44.6557
17:40:58:119,45.6269
17:40:58:139,45.2972
17:40:58:156,45.3731
17:40:58:177,46.0428
17:40:58:199,42.9894
17:40:58:219,45.0931
17:40:58:237,42.5561
17:40:58:257,44.5261
17:40:58:324,42.4651
17:40:58:324,44.3214
17:40:58:325,43.8606
17:40:58:335,44.1372
17:40:58:355,43.1614
17:40:58:376,42.8489
17:40:58:397,41.9032
17:40:58:416,42.6002
17:40:58:435,41.5788
17:40:58:456,40.7294
17:40:58:478,42.0974
17:40:58:498,41.9634
17:40:58:519,42.3609
17:40:58:536,41.315
17:40:58:556,42.5446
17:40:58:576,41.8276
17:40:58:597,41.6491
17:40:58:616,40.8952
17:40:58:636,40.1264
17:40:58:656,40.5556
17:40:58:677,40.353
17:40:58:698,40.0382
17:40:58:717,40.0472
17:40:58:737,38.5481
17:40:58:758,38.4094
17:40:58:775,39.5355
17:40:58:797,38.6177
17:40:58:817,37.663
17:40:58:836,37.713
17:40:58:858,36.5274
17:40:58:876,38.1035
