Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:45:13:737,338,-68,,,,,,,,
17:45:15:753,338,-68,,,,,,,,
17:45:17:735,338,-68,,,,,,,,
17:45:19:733,338,-68,,,,,,,,
17:45:21:738,338,-68,,,,,,,,
17:45:23:730,338,-68,,,,,,,,
17:45:25:731,338,-68,,,,,,,,
17:45:27:728,338,-68,,,,,,,,
17:45:29:729,338,-68,,,,,,,,
17:45:31:728,338,-68,,,,,,,,
17:45:33:727,338,-68,,,,,,,,
17:45:35:727,338,-68,,,,,,,,
17:45:37:724,338,-68,,,,,,,,
17:45:39:724,338,-68,,,,,,,,
17:45:41:732,338,-68,,,,,,,,
17:45:43:720,338,-68,,,,,,,,
17:45:45:718,338,-68,,,,,,,,
17:45:47:719,338,-68,,,,,,,,
17:45:49:718,338,-68,,,,,,,,
17:45:51:715,338,-68,,,,,,,,
17:45:53:717,338,-68,,,,,,,,
17:45:55:713,338,-68,,,,,,,,
17:45:57:713,338,-68,,,,,,,,
17:45:59:715,338,-68,,,,,,,,
17:46:01:710,338,-68,,,,,,,,
17:46:03:709,338,-68,,,,,,,,
17:46:05:709,338,-68,,,,,,,,
17:46:07:707,338,-68,,,,,,,,
17:46:09:705,338,-68,,,,,,,,
17:46:11:706,338,-68,,,,,,,,
17:46:13:709,338,-68,,,,,,,,
17:46:15:703,338,-68,,,,,,,,
17:46:17:703,338,-68,,,,,,,,
17:46:19:699,338,-68,,,,,,,,
17:46:21:700,338,-68,,,,,,,,
17:46:23:698,338,-68,,,,,,,,
17:46:25:698,338,-68,,,,,,,,
17:46:27:696,338,-68,,,,,,,,
17:46:29:696,338,-68,,,,,,,,
17:46:31:695,338,-68,,,,,,,,
17:46:33:695,338,-68,,,,,,,,
17:46:35:692,338,-68,,,,,,,,
17:46:37:692,338,-68,,,,,,,,
17:46:39:689,338,-68,,,,,,,,
17:46:41:689,338,-68,,,,,,,,
17:46:43:688,338,-68,,,,,,,,
17:46:45:684,338,-68,,,,,,,,
17:46:47:686,338,-68,,,,,,,,
17:46:49:686,338,-68,,,,,,,,
17:46:51:687,338,-68,,,,,,,,
17:46:53:684,338,-68,,,,,,,,
17:46:55:681,338,-68,,,,,,,,
17:46:57:681,338,-68,,,,,,,,
17:46:59:677,338,-68,,,,,,,,
17:47:01:677,338,-68,,,,,,,,
17:47:03:676,338,-68,,,,,,,,
17:47:05:673,338,-68,,,,,,,,
17:47:07:674,338,-68,,,,,,,,
17:47:09:673,338,-68,,,,,,,,
17:47:11:676,338,-68,,,,,,,,
17:47:13:670,338,-68,,,,,,,,
17:47:15:679,338,-68,,,,,,,,
17:47:17:671,338,-68,,,,,,,,
17:47:19:669,338,-68,,,,,,,,
17:47:21:667,338,-68,,,,,,,,
17:47:23:665,338,-68,,,,,,,,
17:47:25:663,338,-68,,,,,,,,
17:47:27:663,338,-68,,,,,,,,
17:47:29:662,338,-68,,,,,,,,
17:47:31:660,338,-68,,,,,,,,
17:47:33:661,338,-68,,,,,,,,
17:47:35:667,338,-68,,,,,,,,
17:47:37:658,338,-68,,,,,,,,
17:47:39:659,338,-68,,,,,,,,
17:47:41:655,338,-68,,,,,,,,
17:47:43:655,338,-68,,,,,,,,
17:47:45:654,338,-68,,,,,,,,
17:47:47:653,338,-68,,,,,,,,
17:47:49:652,338,-68,,,,,,,,
17:47:51:650,338,-68,,,,,,,,
17:47:53:658,338,-68,,,,,,,,
17:47:55:647,338,-68,,,,,,,,
17:47:57:647,338,-68,,,,,,,,
17:47:59:647,338,-68,,,,,,,,
17:48:01:645,338,-68,,,,,,,,
17:48:03:643,338,-68,,,,,,,,
17:48:05:641,338,-68,,,,,,,,
17:48:07:642,338,-68,,,,,,,,
17:48:09:640,338,-68,,,,,,,,
17:48:11:638,338,-68,,,,,,,,
17:48:13:638,338,-68,,,,,,,,
17:48:15:637,338,-68,,,,,,,,
17:48:17:637,338,-68,,,,,,,,
17:48:19:638,338,-68,,,,,,,,
17:48:21:656,338,-68,,,,,,,,
17:48:23:633,338,-68,,,,,,,,
17:48:25:632,338,-68,,,,,,,,
17:48:27:631,338,-68,,,,,,,,
17:48:29:628,338,-68,,,,,,,,
17:48:31:629,338,-68,,,,,,,,
17:48:33:633,338,-68,,,,,,,,
17:48:35:625,338,-68,,,,,,,,
17:48:37:625,338,-68,,,,,,,,
17:48:39:625,338,-68,,,,,,,,
17:48:41:625,338,-68,,,,,,,,
17:48:43:622,338,-68,,,,,,,,
17:48:45:621,338,-68,,,,,,,,
17:48:47:619,338,-68,,,,,,,,
