Time,Meg
16:44:08:494,64.8958
16:44:08:515,64.7249
16:44:08:534,64.6132
16:44:08:554,64.8172
16:44:08:575,64.8965
16:44:08:594,64.8413
16:44:08:613,64.8753
16:44:08:634,65.0017
16:44:08:653,65.3632
16:44:08:673,65.6071
16:44:08:693,65.7595
16:44:08:713,65.653
16:44:08:732,65.4184
16:44:08:752,65.3559
16:44:08:772,65.3758
16:44:08:791,65.4988
16:44:08:812,65.5991
16:44:08:831,65.5991
16:44:08:851,65.6212
16:44:08:873,65.6673
16:44:08:891,65.6903
16:44:08:910,65.7647
16:44:08:930,65.7901
16:44:08:950,65.734
16:44:08:972,65.7932
16:44:08:991,65.7321
16:44:09:010,65.6978
16:44:09:030,65.7611
16:44:09:050,65.8318
16:44:09:072,66.1764
16:44:09:090,66.4257
16:44:09:110,66.5565
16:44:09:129,66.3754
16:44:09:150,65.9462
16:44:09:172,65.6552
16:44:09:190,65.6482
16:44:09:209,65.728
16:44:09:230,65.9982
16:44:09:251,66.1724
16:44:09:271,66.1819
16:44:09:293,66.203
16:44:09:310,66.2686
16:44:09:329,66.2521
16:44:09:349,66.1687
16:44:09:372,65.9463
16:44:09:392,65.7417
16:44:09:410,65.7324
16:44:09:430,65.7671
16:44:09:450,65.8405
16:44:09:472,65.7552
16:44:09:491,65.8158
16:44:09:510,66.0189
16:44:09:530,65.9507
16:44:09:550,65.9781
16:44:09:571,65.8453
16:44:09:590,65.5713
16:44:09:610,65.4093
16:44:09:630,65.3226
16:44:09:650,65.2627
16:44:09:673,65.1494
16:44:09:689,65.1527
16:44:09:709,65.1082
16:44:09:730,65.1574
16:44:09:749,65.2752
16:44:09:772,65.6189
16:44:09:789,65.9847
16:44:09:810,66.264
16:44:09:830,66.4532
16:44:09:849,66.3177
16:44:09:872,66.1203
16:44:09:890,66.3447
16:44:09:910,66.567
16:44:09:929,66.9048
16:44:09:950,67.1149
16:44:09:972,67.126
16:44:09:989,67.1984
16:44:10:010,67.4366
16:44:10:030,67.6671
16:44:10:050,67.9047
16:44:10:071,67.7554
