Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
17:15:28:961,493,-70,15,-125,473,-85.0,317,,309,
17:15:30:960,493,-70,15,-125,473,-85.0,317,,309,
17:15:32:961,493,-70,15,-125,473,-85.0,317,,309,
17:15:34:960,493,-70,15,-125,473,-85.0,317,,309,
17:15:36:960,493,-70,15,-125,473,-85.0,317,,309,
17:15:38:960,493,-70,15,-125,473,-85.0,317,,309,
17:15:40:963,493,-70,15,-125,473,-85.0,317,,309,
17:15:42:959,493,-70,15,-125,473,-85.0,317,,309,
17:15:44:962,493,-70,15,-125,473,-85.0,317,,309,
17:15:46:960,493,-70,15,-125,473,-77.0,317,,309,
17:15:48:964,493,-70,15,-125,473,-77.0,317,,309,
17:15:50:968,493,-70,15,-125,473,-77.0,317,,309,
17:15:52:964,493,-70,15,-125,473,-77.0,317,,309,
17:15:54:960,493,-70,15,-125,473,-77.0,317,,309,
17:15:56:962,493,-70,15,-125,473,-77.0,317,,309,
17:15:58:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:00:961,493,-70,15,-125,473,-77.0,317,,309,
17:16:02:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:04:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:06:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:08:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:10:960,493,-70,15,-125,473,-77.0,317,,309,
17:16:12:961,493,-70,15,-125,473,-77.0,317,,309,
17:16:14:966,493,-70,15,-125,473,-77.0,317,,309,
17:16:16:959,493,-70,15,-125,473,-77.0,317,,309,
17:16:18:961,493,-70,15,-125,473,-85.0,317,,309,
17:16:20:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:22:959,493,-70,15,-125,473,-85.0,317,,309,
17:16:24:959,493,-70,15,-125,473,-85.0,317,,309,
17:16:26:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:28:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:30:961,493,-70,15,-125,473,-85.0,317,,309,
17:16:32:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:34:959,493,-70,15,-125,473,-85.0,317,,309,
17:16:36:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:38:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:40:959,493,-70,15,-125,473,-85.0,317,,309,
17:16:42:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:44:961,493,-70,15,-125,473,-85.0,317,,309,
17:16:46:960,493,-70,15,-125,473,-85.0,317,,309,
17:16:48:961,493,-70,15,-125,473,-85.0,317,,309,
