Time,Meg
16:24:16:446,35.5165
16:24:16:455,33.7358
16:24:16:474,36.5211
16:24:16:493,36.3388
16:24:16:511,37.4128
16:24:16:530,35.8839
16:24:16:550,36.9855
16:24:16:572,36.7734
16:24:16:589,37.4786
16:24:16:608,34.2493
16:24:16:626,37.1411
16:24:16:645,35.5792
16:24:16:664,37.1418
16:24:16:684,36.8032
16:24:16:705,37.3109
16:24:16:723,37.3303
16:24:16:742,37.8161
16:24:16:762,37.6947
16:24:16:780,36.6018
16:24:16:799,36.3109
16:24:16:819,36.9437
16:24:16:842,35.3021
16:24:16:862,36.9326
16:24:16:879,37.0628
16:24:16:898,37.0659
16:24:16:920,38.3489
16:24:16:941,36.5772
16:24:16:959,37.8922
16:24:16:982,37.1053
16:24:16:999,38.3075
16:24:17:020,34.9424
16:24:17:051,35.2273
16:24:17:063,36.1042
16:24:17:079,36.5625
16:24:17:097,35.9812
16:24:17:118,38.1725
16:24:17:140,36.5943
16:24:17:158,37.8922
16:24:17:181,38.3136
16:24:17:206,36.767
16:24:17:219,37.1257
16:24:17:241,36.9634
16:24:17:265,38.2071
16:24:17:280,36.7072
16:24:17:300,36.0628
16:24:17:320,38.4605
16:24:17:342,38.2116
16:24:17:365,37.1387
16:24:17:377,38.5942
16:24:17:399,39.0898
16:24:17:419,37.562
16:24:17:439,36.6693
16:24:17:463,37.6145
16:24:17:481,37.3652
16:24:17:499,38.6857
16:24:17:519,38.357
16:24:17:542,38.1103
16:24:17:560,38.5509
16:24:17:579,37.6255
16:24:17:601,36.5705
16:24:17:620,36.8138
16:24:17:647,35.6853
16:24:17:664,37.8633
16:24:17:677,38.0665
16:24:17:700,37.8522
16:24:17:718,36.9774
16:24:17:739,36.104
16:24:17:757,38.0818
16:24:17:778,38.3265
16:24:17:800,36.6196
16:24:17:817,36.2738
16:24:17:839,37.2623
16:24:17:858,40.2601
16:24:17:882,37.4267
16:24:17:899,38.8738
16:24:17:919,38.0376
16:24:17:941,36.0974
16:24:17:961,37.4927
16:24:17:980,37.6983
16:24:17:998,36.1993
16:24:18:019,41.9042
16:24:18:040,40.9256
16:24:18:061,40.896
16:24:18:079,41.5819
16:24:18:101,40.7009
16:24:18:119,40.6094
16:24:18:139,41.213
16:24:18:161,40.4089
16:24:18:183,40.3228
16:24:18:203,40.6118
16:24:18:221,41.5281
16:24:18:242,40.0645
16:24:18:266,40.0762
16:24:18:279,40.6094
16:24:18:299,40.9929
16:24:18:317,41.1166
16:24:18:340,42.2797
16:24:18:359,40.635
16:24:18:380,40.6535
16:24:18:533,41.5907
16:24:18:536,40.3895
16:24:18:537,41.8094
16:24:18:538,41.9042
16:24:18:540,38.8748
16:24:18:541,36.9481
