Time,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
16:43:54:843,309,-100.0,317,-83.0,120,-107.0,358,,310,
16:43:57:039,309,-103.0,317,-79.0,120,-112.0,358,,310,
16:43:58:831,309,-103.0,317,-80.0,120,-112.0,358,,310,
16:44:00:828,309,-103.0,317,-81.0,120,-112.0,358,,310,
16:44:02:828,309,-103.0,317,-80.0,120,-112.0,358,,310,
16:44:04:826,309,-102.0,317,-84.0,120,-110.0,358,,310,
16:44:06:830,309,-102.0,317,-86.0,120,-110.0,358,,310,
16:44:08:828,309,-102.0,317,-86.0,120,-110.0,358,,310,
16:44:10:822,309,-111.0,317,-87.0,120,-118.0,358,,310,
16:44:12:828,309,-111.0,317,-85.0,120,-118.0,358,,310,
16:44:14:823,309,-111.0,317,-84.0,120,-118.0,358,,310,
16:44:16:822,309,-111.0,317,-85.0,120,-118.0,358,,310,
16:44:18:822,309,-100.0,317,-87.0,120,-106.0,358,,310,
16:44:20:821,309,-100.0,317,-91.0,120,-106.0,358,,310,
16:44:22:814,309,-100.0,317,-92.0,120,-106.0,358,,310,
16:44:24:813,309,-110.0,317,-95.0,120,-118.0,358,,310,
16:44:26:816,309,-110.0,317,-86.0,120,-118.0,358,,310,
16:44:28:814,309,-110.0,317,-87.0,120,-118.0,358,,310,
16:44:30:810,309,-113.0,317,-89.0,120,-122.0,358,,310,
16:44:32:813,309,-113.0,317,-90.0,120,-122.0,358,,310,
16:44:34:809,309,-113.0,317,-88.0,120,-122.0,358,,310,
16:44:36:807,309,-113.0,317,-97.0,120,-122.0,358,,310,
16:44:38:808,309,-114.0,317,-87.0,120,-122.0,358,,310,
16:44:40:807,309,-114.0,317,-91.0,120,-122.0,358,,310,
16:44:42:810,309,-114.0,317,-96.0,120,-122.0,358,,310,
16:44:44:808,309,-114.0,317,-94.0,120,-122.0,358,,310,
16:44:46:805,309,-125.0,317,-91.0,120,-128.0,358,,310,
16:44:48:802,309,-125.0,317,-97.0,120,-128.0,358,,310,
16:44:50:802,309,-125.0,317,-90.0,120,-128.0,358,,310,
16:44:52:802,309,-125.0,317,-89.0,120,-128.0,358,,310,
16:44:54:799,309,-122.0,317,-86.0,120,-128.0,358,,310,
16:44:56:800,309,-122.0,317,-95.0,120,-128.0,358,,310,
16:44:58:798,309,-122.0,317,-89.0,120,-128.0,358,,310,
16:45:00:796,309,-124.0,317,-91.0,120,-128.0,358,,310,
16:45:02:794,309,-124.0,317,-92.0,120,-128.0,358,,310,
16:45:04:795,309,-124.0,317,-95.0,120,-128.0,358,,310,
16:45:06:796,309,-124.0,317,-99.0,120,-128.0,358,,310,
16:45:08:797,309,-127.0,317,-107.0,120,-126.0,358,,310,
16:45:10:794,309,-127.0,317,-101.0,120,-126.0,358,,310,
16:45:12:791,309,-127.0,317,-104.0,120,-126.0,358,,310,
16:45:14:787,309,-127.0,317,-114.0,120,-126.0,358,,310,
16:45:16:789,309,-126.0,317,-108.0,120,-123.0,358,,310,
16:45:18:786,309,-126.0,317,-94.0,120,-123.0,358,,310,
16:45:20:784,309,-126.0,317,-96.0,120,-123.0,358,,310,
16:45:22:783,309,-126.0,317,-98.0,120,-123.0,358,,310,
16:45:24:810,309,-127.0,317,-110.0,120,-121.0,358,,310,
16:45:26:859,309,-127.0,317,-103.0,120,-121.0,358,,310,
16:45:28:907,309,-127.0,317,-104.0,120,-121.0,358,,310,
16:45:30:778,309,-128.0,317,-110.0,120,-122.0,358,,310,
16:45:32:776,309,-128.0,317,-100.0,120,-122.0,358,,310,
16:45:34:779,309,-128.0,317,,120,-122.0,358,,310,
16:45:36:776,309,-128.0,317,,120,-122.0,358,,310,
16:45:38:778,309,-122.0,317,,120,-115.0,358,,310,
16:45:40:774,309,-122.0,317,,120,-115.0,358,,310,
16:45:42:776,309,-122.0,317,,120,-115.0,358,,310,
16:45:44:770,309,-122.0,317,,120,-115.0,358,,310,
